"Net Name","Pass/Fail","Operation","Driver Comp Ref Des & Pin Name","Receiver Comp Ref Des & Pin Name","Associated Clk/Strobe Net Name","Associated Clk/Strobe Driver Comp Ref Des & Pin Name","Associated Clk/Strobe Receiver Comp Ref Des & Pin Name","Clk/Strobe Crossing Threshold Time, [ns]","Average Center Voltage, Vcent(pin_mid), [mV]","Upper Eye Mask, Vcent(pin_mid) + VdIVW_Total/2, [mV]","Lower Eye Mask, Vcent(pin_mid) - VdIVW_Total/2, [mV]","Half Eye-Mask Width, TdIVW/2, [ps]","Output Delay Uncertainty, [ps]","Measured Setup Time, [ps]","Setup Time Margin, [ps]","Setup Time Margin with Output Delay Uncertainty, [ps]","Measured Hold Time, [ps]","Hold Time Margin, [ps]","Hold Time Margin with Output Delay Uncertainty, [ps]","Min Voltage Above/Below Eye-Mask, [mV]","Peak Voltage Above/Below Vcent(pin_mid), [mV]","VIHL_AC/2 Limit, [mV]","Peak Voltage Above/Below Vcent(pin_mid) Margin, [mV]","Vcent(pin_mid) to Vcent(pin_mid) Pulse Width, [ps]","Pulse Width Limit, tdIPW, [ps]","Pulse Width Margin, [ps]","Pulse Width Margin with Output Delay Uncertainty, [ps]","Min Slew Rate, [V/ns]","Min Slew Rate Limit, SRIN_VdIVW_min, [V/ns]","Min Slew Rate Margin, [V/ns]","Max Slew Rate, [V/ns]","Max Slew Rate Limit, SRIN_VdIVW_max, [V/ns]","Max Slew Rate Margin, [V/ns]","Min Slew Rate (2), [V/ns]","Min Slew Rate (2) Limit, SRIN_VdIVW_min, [V/ns]","Min Slew Rate (2) Margin, [V/ns]","Max Slew Rate (2), [V/ns]","Max Slew Rate (2) Limit, SRIN_VdIVW_max, [V/ns]","Max Slew Rate (2) Margin, [V/ns]","Eye Mask Shape"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","20.453"," 700.3"," 768.3"," 632.3","    62","   6.0"," 269.0"," 206.5"," 200.5","N/A","N/A","N/A","699.758"," 862.9","  93.0"," 769.9","N/A","N/A","N/A","N/A"," 4.746"," 1.000"," 3.746"," 4.746"," 9.000"," 4.254"," 4.903"," 0.949"," 3.954"," 4.903"," 9.000"," 4.097","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","21.078"," 700.3"," 768.3"," 632.3","    62","   6.0","N/A","N/A","N/A"," 393.8"," 331.3"," 325.3","574.598"," 737.3","  93.0"," 644.3","N/A","N/A","N/A","N/A"," 4.897"," 1.000"," 3.897"," 4.897"," 9.000"," 4.103","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","21.703"," 700.3"," 768.3"," 632.3","    62","   6.0"," 203.3"," 140.8"," 134.8","N/A","N/A","N/A","431.187"," 615.0","  93.0"," 522.0","N/A","N/A","N/A","N/A"," 4.897"," 1.000"," 3.897"," 4.897"," 9.000"," 4.103"," 4.847"," 0.979"," 3.868"," 4.847"," 9.000"," 4.153","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","22.328"," 700.3"," 768.3"," 632.3","    62","   6.0","N/A","N/A","N/A","N/A","N/A","N/A","378.765"," 545.6","  93.0"," 452.6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","22.953"," 700.3"," 768.3"," 632.3","    62","   6.0","N/A","N/A","N/A","N/A","N/A","N/A","408.660"," 524.7","  93.0"," 431.7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","23.578"," 700.3"," 768.3"," 632.3","    62","   6.0","N/A","N/A","N/A"," 327.3"," 264.8"," 258.8","430.277"," 507.5","  93.0"," 414.5","N/A","N/A","N/A","N/A"," 4.697"," 1.000"," 3.697"," 4.697"," 9.000"," 4.303","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","24.204"," 700.3"," 768.3"," 632.3","    62","   6.0"," 269.5"," 207.0"," 201.0"," 361.1"," 298.6"," 292.6","700.217"," 861.9","  93.0"," 768.9"," 658.6","   363"," 296.1"," 284.1"," 4.697"," 1.000"," 3.697"," 5.029"," 9.000"," 3.971"," 4.891"," 0.939"," 3.951"," 4.891"," 9.000"," 4.109","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","24.828"," 700.3"," 768.3"," 632.3","    62","   6.0"," 235.6"," 173.1"," 167.1"," 300.3"," 237.8"," 231.8","479.609"," 593.5","  93.0"," 500.5"," 561.9","   363"," 199.4"," 187.4"," 5.029"," 1.000"," 4.029"," 5.266"," 9.000"," 3.734"," 4.902"," 1.006"," 3.896"," 4.902"," 9.000"," 4.098","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","25.453"," 700.3"," 768.3"," 632.3","    62","   6.0"," 299.6"," 237.1"," 231.1"," 363.9"," 301.4"," 295.4","741.080"," 855.7","  93.0"," 762.7"," 690.7","   363"," 328.2"," 316.2"," 4.842"," 1.000"," 3.842"," 5.266"," 9.000"," 3.734"," 4.804"," 1.053"," 3.751"," 4.804"," 9.000"," 4.196","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","26.078"," 700.3"," 768.3"," 632.3","    62","   6.0"," 232.9"," 170.4"," 164.4","N/A","N/A","N/A","459.594"," 567.8","  93.0"," 474.8","N/A","N/A","N/A","N/A"," 4.842"," 1.000"," 3.842"," 4.842"," 9.000"," 4.158"," 4.690"," 0.968"," 3.722"," 4.690"," 9.000"," 4.310","Eye-Rectangle"
