.HEADER
..NAMES
Time,V U1.F1
.DATA
5.5169e-09,0.4328
5.5266e-09,0.3432
5.5362e-09,0.2551
5.5459e-09,0.1702
5.5555e-09,0.0902
5.5652e-09,0.0163
5.5748e-09,-0.0508
5.5845e-09,-0.1107
5.5941e-09,-0.1625
5.6037e-09,-0.2056
5.6134e-09,-0.2394
5.6230e-09,-0.2644
5.6327e-09,-0.2817
5.6423e-09,-0.2924
5.6520e-09,-0.2976
5.6616e-09,-0.2979
5.6713e-09,-0.2941
5.6809e-09,-0.2872
5.6905e-09,-0.2779
5.7002e-09,-0.2669
5.7098e-09,-0.2550
5.7195e-09,-0.2431
5.7291e-09,-0.2318
5.7388e-09,-0.2219
5.7484e-09,-0.2137
5.7581e-09,-0.2077
5.7677e-09,-0.2041
5.7774e-09,-0.2027
5.7870e-09,-0.2034
5.7966e-09,-0.2060
5.8063e-09,-0.2099
5.8159e-09,-0.2152
5.8256e-09,-0.2216
5.8352e-09,-0.2288
5.8449e-09,-0.2363
5.8545e-09,-0.2438
5.8642e-09,-0.2509
5.8738e-09,-0.2571
5.8835e-09,-0.2619
5.8931e-09,-0.2654
5.9027e-09,-0.2673
5.9124e-09,-0.2676
5.9220e-09,-0.2667
5.9317e-09,-0.2647
5.9413e-09,-0.2618
5.9510e-09,-0.2583
5.9606e-09,-0.2544
5.9703e-09,-0.2499
5.9799e-09,-0.2440
5.9895e-09,-0.2361
5.9992e-09,-0.2257
6.0088e-09,-0.2121
6.0185e-09,-0.1944
6.0281e-09,-0.1711
6.0378e-09,-0.1411
6.0474e-09,-0.1035
6.0571e-09,-0.0583
6.0667e-09,-0.0054
6.0764e-09,0.0546
6.0860e-09,0.1213
6.0956e-09,0.1935
6.1053e-09,0.2697
6.1149e-09,0.3484
6.1246e-09,0.4280
6.1342e-09,0.5072
6.1439e-09,0.5848
6.1535e-09,0.6594
6.1632e-09,0.7298
6.1728e-09,0.7953
6.1824e-09,0.8550
6.1921e-09,0.9083
6.2017e-09,0.9550
6.2114e-09,0.9949
6.2210e-09,1.0285
6.2307e-09,1.0563
6.2403e-09,1.0788
6.2500e-09,1.0968
6.2596e-09,1.1108
6.2693e-09,1.1215
6.2789e-09,1.1292
6.2885e-09,1.1344
6.2982e-09,1.1372
6.3078e-09,1.1378
6.3175e-09,1.1367
6.3271e-09,1.1341
6.3368e-09,1.1308
6.3464e-09,1.1272
6.3561e-09,1.1241
6.3657e-09,1.1218
6.3753e-09,1.1208
6.3850e-09,1.1213
6.3946e-09,1.1234
6.4043e-09,1.1269
6.4139e-09,1.1316
6.4236e-09,1.1372
6.4332e-09,1.1434
6.4429e-09,1.1501
6.4525e-09,1.1570
6.4621e-09,1.1640
6.4718e-09,1.1709
6.4814e-09,1.1773
6.4911e-09,1.1831
6.5007e-09,1.1879
6.5104e-09,1.1918
6.5200e-09,1.1945
6.5297e-09,1.1959
6.5393e-09,1.1959
6.5490e-09,1.1947
6.5586e-09,1.1925
6.5682e-09,1.1894
6.5779e-09,1.1854
6.5875e-09,1.1806
6.5972e-09,1.1749
6.6068e-09,1.1682
6.6165e-09,1.1605
6.6261e-09,1.1518
6.6358e-09,1.1421
6.6454e-09,1.1313
6.6550e-09,1.1199
6.6647e-09,1.1079
6.6743e-09,1.0959
6.6840e-09,1.0841
6.6936e-09,1.0731
6.7033e-09,1.0632
