.HEADER
..NAMES
Time,V U1.V6
.DATA
8.0632e-09,0.0240
8.0729e-09,0.0264
8.0825e-09,0.0282
8.0922e-09,0.0299
8.1018e-09,0.0315
8.1114e-09,0.0334
8.1211e-09,0.0355
8.1307e-09,0.0377
8.1404e-09,0.0399
8.1500e-09,0.0420
8.1597e-09,0.0440
8.1693e-09,0.0459
8.1790e-09,0.0477
8.1886e-09,0.0494
8.1983e-09,0.0511
8.2079e-09,0.0526
8.2175e-09,0.0541
8.2272e-09,0.0555
8.2368e-09,0.0569
8.2465e-09,0.0582
8.2561e-09,0.0592
8.2658e-09,0.0601
8.2754e-09,0.0608
8.2851e-09,0.0616
8.2947e-09,0.0626
8.3043e-09,0.0639
8.3140e-09,0.0656
8.3236e-09,0.0676
8.3333e-09,0.0697
8.3429e-09,0.0718
8.3526e-09,0.0737
8.3622e-09,0.0753
8.3719e-09,0.0765
8.3815e-09,0.0772
8.3911e-09,0.0775
8.4008e-09,0.0773
8.4104e-09,0.0768
8.4201e-09,0.0760
8.4297e-09,0.0751
8.4394e-09,0.0739
8.4490e-09,0.0723
8.4587e-09,0.0702
8.4683e-09,0.0676
8.4780e-09,0.0643
8.4876e-09,0.0604
8.4972e-09,0.0560
8.5069e-09,0.0513
8.5165e-09,0.0465
8.5262e-09,0.0417
8.5358e-09,0.0370
8.5455e-09,0.0326
8.5551e-09,0.0284
8.5648e-09,0.0246
8.5744e-09,0.0211
8.5840e-09,0.0178
8.5937e-09,0.0149
8.6033e-09,0.0123
8.6130e-09,0.0100
8.6226e-09,0.0081
8.6323e-09,0.0064
8.6419e-09,0.0051
8.6516e-09,0.0040
8.6612e-09,0.0031
8.6709e-09,0.0022
8.6805e-09,0.0013
8.6901e-09,0.0004
8.6998e-09,-0.0007
8.7094e-09,-0.0019
8.7191e-09,-0.0032
8.7287e-09,-0.0045
8.7384e-09,-0.0056
8.7480e-09,-0.0065
8.7577e-09,-0.0072
8.7673e-09,-0.0077
8.7769e-09,-0.0082
8.7866e-09,-0.0086
8.7962e-09,-0.0091
8.8059e-09,-0.0097
8.8155e-09,-0.0104
8.8252e-09,-0.0112
8.8348e-09,-0.0120
8.8445e-09,-0.0129
8.8541e-09,-0.0136
8.8638e-09,-0.0143
8.8734e-09,-0.0149
8.8830e-09,-0.0153
8.8927e-09,-0.0158
8.9023e-09,-0.0162
8.9120e-09,-0.0168
8.9216e-09,-0.0174
8.9313e-09,-0.0180
8.9409e-09,-0.0186
8.9506e-09,-0.0192
8.9602e-09,-0.0197
8.9698e-09,-0.0201
8.9795e-09,-0.0203
8.9891e-09,-0.0204
8.9988e-09,-0.0204
9.0084e-09,-0.0203
9.0181e-09,-0.0200
9.0277e-09,-0.0197
9.0374e-09,-0.0192
9.0470e-09,-0.0186
9.0567e-09,-0.0178
9.0663e-09,-0.0168
9.0759e-09,-0.0157
9.0856e-09,-0.0144
9.0952e-09,-0.0130
9.1049e-09,-0.0116
9.1145e-09,-0.0103
9.1242e-09,-0.0090
9.1338e-09,-0.0079
9.1435e-09,-0.0070
9.1531e-09,-0.0062
9.1627e-09,-0.0056
9.1724e-09,-0.0049
9.1820e-09,-0.0043
9.1917e-09,-0.0037
9.2013e-09,-0.0030
9.2110e-09,-0.0024
9.2206e-09,-0.0018
9.2303e-09,-0.0012
9.2399e-09,-0.0007
9.2496e-09,-0.0003
9.2592e-09,0.0001
9.2688e-09,0.0004
9.2785e-09,0.0006
9.2881e-09,0.0009
9.2978e-09,0.0012
9.3074e-09,0.0016
9.3171e-09,0.0020
9.3267e-09,0.0023
9.3364e-09,0.0027
9.3460e-09,0.0030
9.3556e-09,0.0033
9.3653e-09,0.0036
9.3749e-09,0.0038
