.HEADER
..NAMES
Time,V U1.V5
.DATA
4.7646e-09,-0.2195
4.7743e-09,-0.2071
4.7839e-09,-0.1935
4.7936e-09,-0.1787
4.8032e-09,-0.1624
4.8129e-09,-0.1445
4.8225e-09,-0.1253
4.8321e-09,-0.1051
4.8418e-09,-0.0849
4.8514e-09,-0.0653
4.8611e-09,-0.0472
4.8707e-09,-0.0311
4.8804e-09,-0.0172
4.8900e-09,-0.0056
4.8997e-09,0.0037
4.9093e-09,0.0109
4.9190e-09,0.0163
4.9286e-09,0.0205
4.9382e-09,0.0238
4.9479e-09,0.0268
4.9575e-09,0.0298
4.9672e-09,0.0329
4.9768e-09,0.0363
4.9865e-09,0.0398
4.9961e-09,0.0432
5.0058e-09,0.0464
5.0154e-09,0.0492
5.0250e-09,0.0517
5.0347e-09,0.0539
5.0443e-09,0.0559
5.0540e-09,0.0578
5.0636e-09,0.0597
5.0733e-09,0.0614
5.0829e-09,0.0628
5.0926e-09,0.0637
5.1022e-09,0.0640
5.1119e-09,0.0639
5.1215e-09,0.0634
5.1311e-09,0.0626
5.1408e-09,0.0618
5.1504e-09,0.0609
5.1601e-09,0.0599
5.1697e-09,0.0588
5.1794e-09,0.0577
5.1890e-09,0.0565
5.1987e-09,0.0554
5.2083e-09,0.0546
5.2179e-09,0.0542
5.2276e-09,0.0544
5.2372e-09,0.0555
5.2469e-09,0.0575
5.2565e-09,0.0603
5.2662e-09,0.0637
5.2758e-09,0.0672
5.2855e-09,0.0704
5.2951e-09,0.0729
5.3047e-09,0.0745
5.3144e-09,0.0750
5.3240e-09,0.0746
5.3337e-09,0.0731
5.3433e-09,0.0707
5.3530e-09,0.0674
5.3626e-09,0.0634
5.3723e-09,0.0590
5.3819e-09,0.0542
5.3916e-09,0.0494
5.4012e-09,0.0445
5.4108e-09,0.0397
5.4205e-09,0.0350
5.4301e-09,0.0304
5.4398e-09,0.0261
5.4494e-09,0.0219
5.4591e-09,0.0181
5.4687e-09,0.0146
5.4784e-09,0.0115
5.4880e-09,0.0088
5.4976e-09,0.0064
5.5073e-09,0.0045
5.5169e-09,0.0028
5.5266e-09,0.0013
5.5362e-09,0.0000
5.5459e-09,-0.0011
5.5555e-09,-0.0021
5.5652e-09,-0.0030
5.5748e-09,-0.0038
5.5845e-09,-0.0047
5.5941e-09,-0.0058
5.6037e-09,-0.0071
5.6134e-09,-0.0087
5.6230e-09,-0.0106
5.6327e-09,-0.0126
5.6423e-09,-0.0146
5.6520e-09,-0.0163
5.6616e-09,-0.0176
5.6713e-09,-0.0184
5.6809e-09,-0.0186
5.6905e-09,-0.0183
5.7002e-09,-0.0176
5.7098e-09,-0.0167
5.7195e-09,-0.0157
5.7291e-09,-0.0147
5.7388e-09,-0.0139
5.7484e-09,-0.0133
5.7581e-09,-0.0128
5.7677e-09,-0.0126
5.7774e-09,-0.0125
5.7870e-09,-0.0127
5.7966e-09,-0.0132
5.8063e-09,-0.0138
5.8159e-09,-0.0145
5.8256e-09,-0.0153
5.8352e-09,-0.0161
5.8449e-09,-0.0169
5.8545e-09,-0.0177
5.8642e-09,-0.0184
5.8738e-09,-0.0190
5.8835e-09,-0.0196
5.8931e-09,-0.0200
5.9027e-09,-0.0202
5.9124e-09,-0.0203
5.9220e-09,-0.0201
5.9317e-09,-0.0198
5.9413e-09,-0.0192
5.9510e-09,-0.0184
5.9606e-09,-0.0173
5.9703e-09,-0.0160
5.9799e-09,-0.0145
5.9895e-09,-0.0128
5.9992e-09,-0.0111
6.0088e-09,-0.0094
6.0185e-09,-0.0078
6.0281e-09,-0.0064
6.0378e-09,-0.0054
6.0474e-09,-0.0046
6.0571e-09,-0.0041
6.0667e-09,-0.0039
6.0764e-09,-0.0037
6.0860e-09,-0.0036
6.0956e-09,-0.0034
6.1053e-09,-0.0031
6.1149e-09,-0.0027
6.1246e-09,-0.0021
6.1342e-09,-0.0014
6.1439e-09,-0.0007
6.1535e-09,0.0000
6.1632e-09,0.0008
6.1728e-09,0.0015
6.1824e-09,0.0022
6.1921e-09,0.0029
6.2017e-09,0.0036
6.2114e-09,0.0041
6.2210e-09,0.0046
6.2307e-09,0.0049
6.2403e-09,0.0052
6.2500e-09,0.0054
6.2596e-09,0.0055
6.2693e-09,0.0057
6.2789e-09,0.0057
6.2885e-09,0.0058
6.2982e-09,0.0057
6.3078e-09,0.0056
6.3175e-09,0.0055
6.3271e-09,0.0052
6.3368e-09,0.0050
6.3464e-09,0.0047
6.3561e-09,0.0044
6.3657e-09,0.0042
6.3753e-09,0.0041
6.3850e-09,0.0041
6.3946e-09,0.0043
6.4043e-09,0.0046
6.4139e-09,0.0050
6.4236e-09,0.0056
6.4332e-09,0.0061
6.4429e-09,0.0067
6.4525e-09,0.0072
6.4621e-09,0.0076
6.4718e-09,0.0078
6.4814e-09,0.0079
6.4911e-09,0.0078
6.5007e-09,0.0076
6.5104e-09,0.0073
6.5200e-09,0.0070
6.5297e-09,0.0066
6.5393e-09,0.0062
6.5490e-09,0.0059
6.5586e-09,0.0055
6.5682e-09,0.0052
6.5779e-09,0.0049
6.5875e-09,0.0046
6.5972e-09,0.0044
6.6068e-09,0.0041
6.6165e-09,0.0039
6.6261e-09,0.0037
6.6358e-09,0.0036
6.6454e-09,0.0034
6.6550e-09,0.0032
6.6647e-09,0.0031
6.6743e-09,0.0029
6.6840e-09,0.0028
6.6936e-09,0.0027
6.7033e-09,0.0026
6.7129e-09,0.0025
6.7226e-09,0.0025
6.7322e-09,0.0024
6.7419e-09,0.0022
6.7515e-09,0.0020
6.7611e-09,0.0017
6.7708e-09,0.0014
6.7804e-09,0.0011
6.7901e-09,0.0007
6.7997e-09,0.0004
6.8094e-09,0.0001
6.8190e-09,-0.0002
6.8287e-09,-0.0003
6.8383e-09,-0.0004
6.8480e-09,-0.0004
6.8576e-09,-0.0003
6.8672e-09,-0.0001
6.8769e-09,0.0000
6.8865e-09,0.0002
6.8962e-09,0.0003
6.9058e-09,0.0004
6.9155e-09,0.0005
6.9251e-09,0.0005
6.9348e-09,0.0005
6.9444e-09,0.0004
6.9540e-09,0.0003
6.9637e-09,0.0002
6.9733e-09,0.0001
6.9830e-09,0.0000
6.9926e-09,-0.0001
7.0023e-09,-0.0002
7.0119e-09,-0.0003
7.0216e-09,-0.0004
7.0312e-09,-0.0005
7.0409e-09,-0.0006
7.0505e-09,-0.0006
7.0601e-09,-0.0007
7.0698e-09,-0.0007
7.0794e-09,-0.0008
7.0891e-09,-0.0008
7.0987e-09,-0.0008
7.1084e-09,-0.0008
7.1180e-09,-0.0007
7.1277e-09,-0.0006
7.1373e-09,-0.0004
7.1469e-09,-0.0002
7.1566e-09,-0.0001
7.1662e-09,0.0001
7.1759e-09,0.0002
7.1855e-09,0.0003
7.1952e-09,0.0004
7.2048e-09,0.0004
7.2145e-09,0.0003
7.2241e-09,0.0001
7.2338e-09,-0.0001
7.2434e-09,0.0005
7.2530e-09,0.0031
7.2627e-09,0.0086
7.2723e-09,0.0179
7.2820e-09,0.0315
7.2916e-09,0.0502
7.3013e-09,0.0751
7.3109e-09,0.1069
7.3206e-09,0.1460
7.3302e-09,0.1917
7.3398e-09,0.2431
7.3495e-09,0.2989
7.3591e-09,0.3577
7.3688e-09,0.4185
7.3784e-09,0.4802
7.3881e-09,0.5422
7.3977e-09,0.6034
7.4074e-09,0.6629
7.4170e-09,0.7199
7.4266e-09,0.7736
7.4363e-09,0.8236
7.4459e-09,0.8697
7.4556e-09,0.9117
7.4652e-09,0.9495
7.4749e-09,0.9831
7.4845e-09,1.0128
7.4942e-09,1.0388
