.HEADER
..NAMES
Time,V U1.U2
.DATA
4.9093e-09,0.7075
4.9190e-09,0.7696
4.9286e-09,0.8258
4.9382e-09,0.8762
4.9479e-09,0.9207
4.9575e-09,0.9597
4.9672e-09,0.9934
4.9768e-09,1.0222
4.9865e-09,1.0464
4.9961e-09,1.0666
5.0058e-09,1.0831
5.0154e-09,1.0966
5.0250e-09,1.1076
5.0347e-09,1.1165
5.0443e-09,1.1238
5.0540e-09,1.1300
5.0636e-09,1.1357
5.0733e-09,1.1414
5.0829e-09,1.1476
5.0926e-09,1.1544
5.1022e-09,1.1618
5.1119e-09,1.1694
5.1215e-09,1.1766
5.1311e-09,1.1827
5.1408e-09,1.1873
5.1504e-09,1.1900
5.1601e-09,1.1909
5.1697e-09,1.1900
5.1794e-09,1.1879
5.1890e-09,1.1851
5.1987e-09,1.1820
5.2083e-09,1.1792
5.2179e-09,1.1772
5.2276e-09,1.1761
5.2372e-09,1.1760
5.2469e-09,1.1768
5.2565e-09,1.1784
5.2662e-09,1.1808
5.2758e-09,1.1836
5.2855e-09,1.1865
5.2951e-09,1.1893
5.3047e-09,1.1915
5.3144e-09,1.1928
5.3240e-09,1.1928
5.3337e-09,1.1916
5.3433e-09,1.1890
5.3530e-09,1.1851
5.3626e-09,1.1801
5.3723e-09,1.1743
5.3819e-09,1.1679
5.3916e-09,1.1612
5.4012e-09,1.1544
5.4108e-09,1.1476
5.4205e-09,1.1408
5.4301e-09,1.1342
5.4398e-09,1.1278
5.4494e-09,1.1218
5.4591e-09,1.1162
5.4687e-09,1.1114
5.4784e-09,1.1076
5.4880e-09,1.1050
5.4976e-09,1.1038
5.5073e-09,1.1041
5.5169e-09,1.1061
5.5266e-09,1.1098
5.5362e-09,1.1150
5.5459e-09,1.1215
5.5555e-09,1.1289
5.5652e-09,1.1368
5.5748e-09,1.1446
5.5845e-09,1.1518
5.5941e-09,1.1582
5.6037e-09,1.1635
5.6134e-09,1.1677
5.6230e-09,1.1710
5.6327e-09,1.1735
5.6423e-09,1.1754
5.6520e-09,1.1769
5.6616e-09,1.1782
5.6713e-09,1.1795
5.6809e-09,1.1807
5.6905e-09,1.1820
5.7002e-09,1.1834
5.7098e-09,1.1849
5.7195e-09,1.1865
5.7291e-09,1.1882
5.7388e-09,1.1900
5.7484e-09,1.1918
5.7581e-09,1.1936
5.7677e-09,1.1951
5.7774e-09,1.1964
5.7870e-09,1.1975
5.7966e-09,1.1984
5.8063e-09,1.1993
5.8159e-09,1.2001
5.8256e-09,1.2008
5.8352e-09,1.2016
5.8449e-09,1.2022
5.8545e-09,1.2026
5.8642e-09,1.2028
5.8738e-09,1.2027
5.8835e-09,1.2022
5.8931e-09,1.2013
5.9027e-09,1.2001
5.9124e-09,1.1988
5.9220e-09,1.1975
5.9317e-09,1.1965
5.9413e-09,1.1958
5.9510e-09,1.1957
5.9606e-09,1.1961
5.9703e-09,1.1971
5.9799e-09,1.1987
5.9895e-09,1.2008
5.9992e-09,1.2032
6.0088e-09,1.2058
6.0185e-09,1.2083
6.0281e-09,1.2106
6.0378e-09,1.2124
6.0474e-09,1.2136
6.0571e-09,1.2144
6.0667e-09,1.2146
6.0764e-09,1.2145
6.0860e-09,1.2140
6.0956e-09,1.2133
