.HEADER
..NAMES
Time,V U1.Y1
.DATA
1.24013e-08,0.9588
1.24246e-08,1.0315
1.24478e-08,1.0907
1.24711e-08,1.1375
1.24944e-08,1.1735
1.25176e-08,1.1999
1.25409e-08,1.2177
1.25642e-08,1.2291
1.25874e-08,1.2369
1.26107e-08,1.2432
1.26340e-08,1.2487
1.26572e-08,1.2542
1.26805e-08,1.2601
1.27038e-08,1.2660
1.27270e-08,1.2714
1.27503e-08,1.2761
1.27736e-08,1.2796
1.27968e-08,1.2804
1.28201e-08,1.2770
1.28434e-08,1.2677
1.28667e-08,1.2510
1.28899e-08,1.2280
1.29132e-08,1.2025
1.29365e-08,1.1784
1.29597e-08,1.1586
1.29830e-08,1.1447
1.30063e-08,1.1374
1.30295e-08,1.1364
1.30528e-08,1.1406
1.30761e-08,1.1478
1.30993e-08,1.1566
1.31226e-08,1.1657
1.31459e-08,1.1736
1.31691e-08,1.1792
1.31924e-08,1.1822
1.32157e-08,1.1831
1.32389e-08,1.1827
1.32622e-08,1.1812
1.32855e-08,1.1786
1.33087e-08,1.1752
1.33320e-08,1.1722
1.33553e-08,1.1708
1.33785e-08,1.1729
1.34018e-08,1.1790
1.34251e-08,1.1888
1.34483e-08,1.2009
1.34716e-08,1.2132
1.34949e-08,1.2235
1.35181e-08,1.2303
1.35414e-08,1.2330
1.35647e-08,1.2318
1.35879e-08,1.2169
1.36112e-08,1.1659
1.36345e-08,1.0551
1.36577e-08,0.8729
1.36810e-08,0.7298
1.37043e-08,0.6305
1.37275e-08,0.5588
1.37508e-08,0.5149
1.37741e-08,0.4927
1.37973e-08,0.4826
1.38206e-08,0.4817
1.38439e-08,0.4870
1.38671e-08,0.4961
1.38904e-08,0.5064
1.39137e-08,0.5153
1.39369e-08,0.5208
1.39602e-08,0.5240
1.39835e-08,0.5247
1.40067e-08,0.5222
1.40300e-08,0.5172
1.40533e-08,0.5110
1.40765e-08,0.5058
1.40998e-08,0.5032
1.41231e-08,0.5018
1.41463e-08,0.4951
1.41696e-08,0.4766
1.41929e-08,0.4446
1.42161e-08,0.3996
1.42394e-08,0.3426
1.42627e-08,0.2786
1.42859e-08,0.2147
1.43092e-08,0.1562
1.43325e-08,0.1045
1.43557e-08,0.0600
1.43790e-08,0.0233
1.44023e-08,-0.0052
1.44255e-08,-0.0262
1.44488e-08,-0.0418
1.44721e-08,-0.0535
1.44953e-08,-0.0617
1.45186e-08,-0.0664
1.45419e-08,-0.0684
1.45651e-08,-0.0690
1.45884e-08,-0.0697
1.46117e-08,-0.0723
1.46349e-08,-0.0777
1.46582e-08,-0.0853
1.46815e-08,-0.0927
1.47047e-08,-0.0970
1.47280e-08,-0.0949
1.47513e-08,-0.0845
1.47745e-08,-0.0673
1.47978e-08,-0.0463
1.48211e-08,-0.0242
1.48443e-08,-0.0033
1.48676e-08,0.0144
1.48909e-08,0.0273
1.49141e-08,0.0351
1.49374e-08,0.0386
1.49607e-08,0.0390
1.49839e-08,0.0372
1.50072e-08,0.0341
1.50305e-08,0.0306
1.50537e-08,0.0270
1.50770e-08,0.0232
1.51003e-08,0.0193
1.51236e-08,0.0161
1.51468e-08,0.0151
1.51701e-08,0.0170
1.51934e-08,0.0218
1.52166e-08,0.0280
1.52399e-08,0.0332
1.52632e-08,0.0356
1.52864e-08,0.0338
1.53097e-08,0.0279
1.53330e-08,0.0186
1.53562e-08,0.0076
1.53795e-08,-0.0033
1.54028e-08,-0.0123
1.54260e-08,-0.0184
1.54493e-08,-0.0215
1.54726e-08,-0.0214
1.54958e-08,-0.0189
1.55191e-08,-0.0152
1.55424e-08,-0.0113
1.55656e-08,-0.0078
1.55889e-08,-0.0046
1.56122e-08,-0.0016
1.56354e-08,0.0012
1.56587e-08,0.0032
1.56820e-08,0.0039
1.57052e-08,0.0027
1.57285e-08,-0.0005
1.57518e-08,-0.0050
1.57750e-08,-0.0097
1.57983e-08,-0.0131
1.58216e-08,-0.0142
1.58448e-08,-0.0126
1.58681e-08,-0.0086
1.58914e-08,-0.0029
1.59146e-08,0.0033
1.59379e-08,0.0089
1.59612e-08,0.0129
1.59844e-08,0.0147
1.60077e-08,0.0143
