.HEADER
..NAMES
Time,V U1.U3
.DATA
1.44488e-08,-0.0416
1.44721e-08,-0.0504
1.44953e-08,-0.0596
1.45186e-08,-0.0684
1.45419e-08,-0.0763
1.45651e-08,-0.0838
1.45884e-08,-0.0910
1.46117e-08,-0.0963
1.46349e-08,-0.0984
1.46582e-08,-0.0952
1.46815e-08,-0.0842
1.47047e-08,-0.0651
1.47280e-08,-0.0397
1.47513e-08,-0.0117
1.47745e-08,0.0140
1.47978e-08,0.0332
1.48211e-08,0.0448
1.48443e-08,0.0499
1.48676e-08,0.0502
1.48909e-08,0.0470
1.49141e-08,0.0418
1.49374e-08,0.0363
1.49607e-08,0.0319
1.49839e-08,0.0291
1.50072e-08,0.0278
1.50305e-08,0.0278
1.50537e-08,0.0287
1.50770e-08,0.0299
1.51003e-08,0.0312
1.51236e-08,0.0326
1.51468e-08,0.0336
1.51701e-08,0.0332
1.51934e-08,0.0300
1.52166e-08,0.0228
1.52399e-08,0.0116
1.52632e-08,-0.0013
1.52864e-08,-0.0132
1.53097e-08,-0.0218
1.53330e-08,-0.0262
1.53562e-08,-0.0263
1.53795e-08,-0.0230
1.54028e-08,-0.0177
1.54260e-08,-0.0119
1.54493e-08,-0.0067
1.54726e-08,-0.0009
1.54958e-08,0.0232
1.55191e-08,0.0930
1.55424e-08,0.2467
1.55656e-08,0.3775
1.55889e-08,0.4825
1.56122e-08,0.5560
1.56354e-08,0.5968
1.56587e-08,0.6220
1.56820e-08,0.6334
1.57052e-08,0.6398
1.57285e-08,0.6466
1.57518e-08,0.6547
1.57750e-08,0.6641
1.57983e-08,0.6734
1.58216e-08,0.6810
1.58448e-08,0.6848
1.58681e-08,0.6835
1.58914e-08,0.6775
1.59146e-08,0.6692
1.59379e-08,0.6613
1.59612e-08,0.6539
1.59844e-08,0.6473
1.60077e-08,0.6470
1.60310e-08,0.6598
1.60542e-08,0.6891
1.60775e-08,0.7356
1.61008e-08,0.7979
1.61240e-08,0.8690
1.61473e-08,0.9413
1.61706e-08,1.0090
1.61938e-08,1.0669
1.62171e-08,1.1129
1.62404e-08,1.1478
1.62636e-08,1.1727
1.62869e-08,1.1892
1.63102e-08,1.1992
1.63334e-08,1.2061
1.63567e-08,1.2133
