.HEADER
..NAMES
Time,V U1.E3
.DATA
1.04934e-08,-0.0193
1.05167e-08,-0.0161
1.05400e-08,-0.0128
1.05632e-08,-0.0094
1.05865e-08,-0.0064
1.06098e-08,-0.0042
1.06330e-08,-0.0022
1.06563e-08,0.0000
1.06796e-08,0.0018
1.07028e-08,0.0024
1.07261e-08,0.0018
1.07494e-08,0.0004
1.07726e-08,-0.0019
1.07959e-08,-0.0045
1.08192e-08,-0.0063
1.08424e-08,-0.0064
1.08657e-08,-0.0048
1.08890e-08,-0.0019
1.09122e-08,0.0018
1.09355e-08,0.0059
1.09588e-08,0.0091
1.09820e-08,0.0108
1.10053e-08,0.0110
1.10286e-08,0.0100
1.10518e-08,0.0080
1.10751e-08,0.0055
1.10984e-08,0.0034
1.11216e-08,0.0020
1.11449e-08,0.0010
1.11682e-08,0.0001
1.11914e-08,-0.0006
1.12147e-08,-0.0012
1.12380e-08,-0.0018
1.12612e-08,-0.0021
1.12845e-08,-0.0017
1.13078e-08,-0.0005
1.13310e-08,0.0011
1.13543e-08,0.0027
1.13776e-08,0.0039
1.14008e-08,0.0042
1.14241e-08,0.0034
1.14474e-08,0.0016
1.14706e-08,-0.0004
1.14939e-08,-0.0022
1.15172e-08,-0.0035
1.15404e-08,-0.0040
1.15637e-08,-0.0036
1.15870e-08,-0.0025
1.16102e-08,-0.0012
1.16335e-08,-0.0000
1.16568e-08,0.0009
1.16800e-08,0.0014
1.17033e-08,0.0016
1.17266e-08,0.0016
1.17498e-08,0.0018
1.17731e-08,0.0020
1.17964e-08,0.0022
1.18196e-08,0.0022
1.18429e-08,0.0020
1.18662e-08,0.0014
1.18894e-08,0.0004
1.19127e-08,-0.0006
1.19360e-08,-0.0013
1.19592e-08,-0.0014
1.19825e-08,-0.0009
1.20058e-08,0.0001
1.20290e-08,0.0013
1.20523e-08,0.0023
1.20756e-08,0.0028
1.20988e-08,0.0028
1.21221e-08,0.0024
1.21454e-08,0.0016
1.21686e-08,0.0008
1.21919e-08,0.0003
1.22152e-08,0.0000
1.22384e-08,-0.0000
1.22617e-08,0.0001
1.22850e-08,0.0002
1.23082e-08,0.0002
1.23315e-08,0.0001
1.23548e-08,-0.0001
1.23780e-08,-0.0001
1.24013e-08,0.0000
1.24246e-08,0.0004
1.24478e-08,0.0009
1.24711e-08,0.0015
1.24944e-08,0.0019
1.25176e-08,0.0019
1.25409e-08,0.0015
1.25642e-08,0.0009
1.25874e-08,0.0002
1.26107e-08,-0.0003
1.26340e-08,-0.0006
1.26572e-08,-0.0004
1.26805e-08,0.0000
1.27038e-08,0.0005
1.27270e-08,0.0009
1.27503e-08,0.0012
1.27736e-08,0.0012
1.27968e-08,0.0011
1.28201e-08,0.0009
1.28434e-08,0.0008
1.28667e-08,0.0008
1.28899e-08,0.0009
1.29132e-08,0.0010
1.29365e-08,0.0011
1.29597e-08,0.0011
1.29830e-08,0.0092
1.30063e-08,0.0466
1.30295e-08,0.1565
1.30528e-08,0.3122
1.30761e-08,0.4275
1.30993e-08,0.5202
1.31226e-08,0.5810
1.31459e-08,0.6088
1.31691e-08,0.6205
1.31924e-08,0.6262
1.32157e-08,0.6287
1.32389e-08,0.6273
1.32622e-08,0.6297
1.32855e-08,0.6381
1.33087e-08,0.6460
1.33320e-08,0.6514
1.33553e-08,0.6577
1.33785e-08,0.6651
1.34018e-08,0.6670
1.34251e-08,0.6612
1.34483e-08,0.6531
1.34716e-08,0.6447
1.34949e-08,0.6348
1.35181e-08,0.6260
1.35414e-08,0.6267
1.35647e-08,0.6413
1.35879e-08,0.6693
1.36112e-08,0.7123
1.36345e-08,0.7717
1.36577e-08,0.8415
1.36810e-08,0.9120
1.37043e-08,0.9786
1.37275e-08,1.0394
1.37508e-08,1.0904
1.37741e-08,1.1285
1.37973e-08,1.1561
1.38206e-08,1.1776
1.38439e-08,1.1932
1.38671e-08,1.2023
1.38904e-08,1.2078
1.39137e-08,1.2126
1.39369e-08,1.2165
1.39602e-08,1.2193
1.39835e-08,1.2237
1.40067e-08,1.2311
1.40300e-08,1.2394
1.40533e-08,1.2464
1.40765e-08,1.2523
1.40998e-08,1.2559
1.41231e-08,1.2541
1.41463e-08,1.2450
1.41696e-08,1.2305
1.41929e-08,1.2128
1.42161e-08,1.1776
1.42394e-08,1.1101
1.42627e-08,0.9791
1.42859e-08,0.8025
1.43092e-08,0.6642
1.43325e-08,0.5730
