.HEADER
..NAMES
Time,V U1.E3
.DATA
4.7068e-09,1.1918
4.7164e-09,1.1920
4.7261e-09,1.1924
4.7357e-09,1.1928
4.7453e-09,1.1934
4.7550e-09,1.1940
4.7646e-09,1.1947
4.7743e-09,1.1955
4.7839e-09,1.1963
4.7936e-09,1.1971
4.8032e-09,1.1980
4.8129e-09,1.1988
4.8225e-09,1.1997
4.8321e-09,1.2006
4.8418e-09,1.2013
4.8514e-09,1.2020
4.8611e-09,1.2025
4.8707e-09,1.2029
4.8804e-09,1.2032
4.8900e-09,1.2034
4.8997e-09,1.2035
4.9093e-09,1.2035
4.9190e-09,1.2034
4.9286e-09,1.2033
4.9382e-09,1.2031
4.9479e-09,1.2028
4.9575e-09,1.2024
4.9672e-09,1.2019
4.9768e-09,1.2015
4.9865e-09,1.2010
4.9961e-09,1.2005
5.0058e-09,1.2001
5.0154e-09,1.1996
5.0250e-09,1.1993
5.0347e-09,1.1989
5.0443e-09,1.1987
5.0540e-09,1.1985
5.0636e-09,1.1984
5.0733e-09,1.1983
5.0829e-09,1.1984
5.0926e-09,1.1985
5.1022e-09,1.1987
5.1119e-09,1.1989
5.1215e-09,1.1991
5.1311e-09,1.1993
5.1408e-09,1.1995
5.1504e-09,1.1997
5.1601e-09,1.2000
5.1697e-09,1.2003
5.1794e-09,1.2006
5.1890e-09,1.2009
5.1987e-09,1.2012
5.2083e-09,1.2015
5.2179e-09,1.2017
5.2276e-09,1.2018
5.2372e-09,1.2019
5.2469e-09,1.2019
5.2565e-09,1.2019
5.2662e-09,1.2019
5.2758e-09,1.2018
5.2855e-09,1.2017
5.2951e-09,1.2015
5.3047e-09,1.2014
5.3144e-09,1.2012
5.3240e-09,1.2009
5.3337e-09,1.2007
5.3433e-09,1.2004
5.3530e-09,1.2002
5.3626e-09,1.1999
5.3723e-09,1.1997
5.3819e-09,1.1995
5.3916e-09,1.1992
5.4012e-09,1.1991
5.4108e-09,1.1989
5.4205e-09,1.1988
5.4301e-09,1.1987
5.4398e-09,1.1987
5.4494e-09,1.1988
5.4591e-09,1.1988
5.4687e-09,1.1989
5.4784e-09,1.1990
5.4880e-09,1.1991
5.4976e-09,1.1991
5.5073e-09,1.1992
5.5169e-09,1.1994
5.5266e-09,1.1995
5.5362e-09,1.1997
5.5459e-09,1.1998
5.5555e-09,1.2000
5.5652e-09,1.2002
5.5748e-09,1.2003
5.5845e-09,1.2004
5.5941e-09,1.2005
5.6037e-09,1.2006
5.6134e-09,1.2006
5.6230e-09,1.2006
5.6327e-09,1.2006
5.6423e-09,1.2006
5.6520e-09,1.2006
5.6616e-09,1.2005
5.6713e-09,1.2004
5.6809e-09,1.2004
5.6905e-09,1.2003
5.7002e-09,1.2002
5.7098e-09,1.2001
5.7195e-09,1.2000
5.7291e-09,1.1999
5.7388e-09,1.1998
5.7484e-09,1.1997
5.7581e-09,1.1996
5.7677e-09,1.1996
5.7774e-09,1.1995
5.7870e-09,1.1995
5.7966e-09,1.1995
5.8063e-09,1.1995
5.8159e-09,1.1995
5.8256e-09,1.1996
5.8352e-09,1.1996
5.8449e-09,1.1997
5.8545e-09,1.1997
5.8642e-09,1.1997
5.8738e-09,1.1998
5.8835e-09,1.1998
5.8931e-09,1.1999
5.9027e-09,1.2000
5.9124e-09,1.2001
5.9220e-09,1.2001
5.9317e-09,1.2002
5.9413e-09,1.2003
5.9510e-09,1.2003
5.9606e-09,1.2004
5.9703e-09,1.2004
5.9799e-09,1.2004
5.9895e-09,1.2004
5.9992e-09,1.2004
6.0088e-09,1.2004
6.0185e-09,1.2004
6.0281e-09,1.2003
6.0378e-09,1.2003
6.0474e-09,1.2003
6.0571e-09,1.2002
6.0667e-09,1.2002
6.0764e-09,1.2001
6.0860e-09,1.2001
6.0956e-09,1.2000
6.1053e-09,1.2000
6.1149e-09,1.1999
6.1246e-09,1.1999
6.1342e-09,1.1998
6.1439e-09,1.1998
6.1535e-09,1.1998
6.1632e-09,1.1998
6.1728e-09,1.1998
6.1824e-09,1.1998
6.1921e-09,1.1998
6.2017e-09,1.1998
6.2114e-09,1.1999
6.2210e-09,1.1999
6.2307e-09,1.1999
6.2403e-09,1.1999
6.2500e-09,1.1999
6.2596e-09,1.1999
6.2693e-09,1.2000
6.2789e-09,1.2000
6.2885e-09,1.2001
6.2982e-09,1.2001
6.3078e-09,1.2001
6.3175e-09,1.2001
6.3271e-09,1.2001
6.3368e-09,1.2002
6.3464e-09,1.2002
6.3561e-09,1.2001
6.3657e-09,1.2001
6.3753e-09,1.2001
6.3850e-09,1.2001
6.3946e-09,1.2001
6.4043e-09,1.2001
6.4139e-09,1.2001
6.4236e-09,1.2000
6.4332e-09,1.2000
6.4429e-09,1.2000
6.4525e-09,1.2000
6.4621e-09,1.2000
6.4718e-09,1.2000
6.4814e-09,1.1999
6.4911e-09,1.1999
6.5007e-09,1.1999
6.5104e-09,1.1999
6.5200e-09,1.1998
6.5297e-09,1.1998
6.5393e-09,1.1999
6.5490e-09,1.1999
6.5586e-09,1.1999
6.5682e-09,1.1999
6.5779e-09,1.1999
6.5875e-09,1.1999
6.5972e-09,1.1999
6.6068e-09,1.1999
6.6165e-09,1.1999
6.6261e-09,1.1999
6.6358e-09,1.2000
6.6454e-09,1.2000
6.6550e-09,1.2000
6.6647e-09,1.2000
6.6743e-09,1.2000
6.6840e-09,1.2000
6.6936e-09,1.2000
6.7033e-09,1.2000
6.7129e-09,1.2000
6.7226e-09,1.2000
6.7322e-09,1.2000
6.7419e-09,1.2000
6.7515e-09,1.2000
6.7611e-09,1.2000
6.7708e-09,1.2000
6.7804e-09,1.2000
6.7901e-09,1.2000
6.7997e-09,1.2000
6.8094e-09,1.2000
6.8190e-09,1.2000
6.8287e-09,1.2000
6.8383e-09,1.2000
6.8480e-09,1.2000
6.8576e-09,1.1999
6.8672e-09,1.1999
6.8769e-09,1.1999
6.8865e-09,1.1999
6.8962e-09,1.1999
6.9058e-09,1.1999
6.9155e-09,1.1999
6.9251e-09,1.1999
6.9348e-09,1.1999
6.9444e-09,1.1999
6.9540e-09,1.1999
6.9637e-09,1.1999
6.9733e-09,1.1999
6.9830e-09,1.1999
6.9926e-09,1.1999
7.0023e-09,1.2000
7.0119e-09,1.2000
7.0216e-09,1.2000
7.0312e-09,1.2000
7.0409e-09,1.2000
7.0505e-09,1.2000
7.0601e-09,1.2000
7.0698e-09,1.2000
7.0794e-09,1.2000
7.0891e-09,1.2000
7.0987e-09,1.2000
7.1084e-09,1.2000
7.1180e-09,1.2000
7.1277e-09,1.2000
7.1373e-09,1.2000
7.1469e-09,1.2000
7.1566e-09,1.2000
7.1662e-09,1.2000
7.1759e-09,1.2000
7.1855e-09,1.2000
7.1952e-09,1.2000
