.HEADER
..NAMES
Time,V U2.J3
.DATA
1.17033e-08,-0.1499
1.17266e-08,-0.1691
1.17498e-08,-0.1760
1.17731e-08,-0.1777
1.17964e-08,-0.1802
1.18196e-08,-0.1730
1.18429e-08,-0.1567
1.18662e-08,-0.1383
1.18894e-08,-0.1120
1.19127e-08,-0.0718
1.19360e-08,-0.0266
1.19592e-08,0.0151
1.19825e-08,0.0541
1.20058e-08,0.0840
1.20290e-08,0.0983
1.20523e-08,0.1051
1.20756e-08,0.1112
1.20988e-08,0.1109
1.21221e-08,0.1031
1.21454e-08,0.0945
1.21686e-08,0.0831
1.21919e-08,0.0672
1.22152e-08,0.0549
1.22384e-08,0.0502
1.22617e-08,0.0494
1.22850e-08,0.0512
1.23082e-08,0.0556
1.23315e-08,0.0559
1.23548e-08,0.0483
1.23780e-08,0.0383
1.24013e-08,0.0287
1.24246e-08,0.0166
1.24478e-08,0.0034
1.24711e-08,-0.0085
1.24944e-08,-0.0214
1.25176e-08,-0.0347
1.25409e-08,-0.0409
1.25642e-08,-0.0306
1.25874e-08,0.0117
1.26107e-08,0.0833
1.26340e-08,0.1774
1.26572e-08,0.2924
1.26805e-08,0.4142
1.27038e-08,0.5356
1.27270e-08,0.6613
1.27503e-08,0.7856
1.27736e-08,0.8955
1.27968e-08,0.9934
1.28201e-08,1.0765
1.28434e-08,1.1343
1.28667e-08,1.1692
1.28899e-08,1.1929
1.29132e-08,1.2139
1.29365e-08,1.2309
1.29597e-08,1.2514
1.29830e-08,1.2760
1.30063e-08,1.2914
1.30295e-08,1.2999
1.30528e-08,1.3090
1.30761e-08,1.3128
1.30993e-08,1.3070
1.31226e-08,1.2979
1.31459e-08,1.2801
1.31691e-08,1.2412
1.31924e-08,1.1690
1.32157e-08,1.0687
1.32389e-08,0.9485
1.32622e-08,0.8112
1.32855e-08,0.6723
1.33087e-08,0.5407
1.33320e-08,0.4094
1.33553e-08,0.2803
1.33785e-08,0.1702
1.34018e-08,0.0778
1.34251e-08,-0.0010
1.34483e-08,-0.0543
1.34716e-08,-0.0829
1.34949e-08,-0.1011
1.35181e-08,-0.1182
1.35414e-08,-0.1320
1.35647e-08,-0.1471
1.35879e-08,-0.1668
1.36112e-08,-0.1773
1.36345e-08,-0.1766
1.36577e-08,-0.1763
1.36810e-08,-0.1734
1.37043e-08,-0.1599
1.37275e-08,-0.1416
1.37508e-08,-0.1202
1.37741e-08,-0.0866
1.37973e-08,-0.0375
1.38206e-08,0.0294
1.38439e-08,0.1229
1.38671e-08,0.2316
1.38904e-08,0.3493
1.39137e-08,0.4735
1.39369e-08,0.5961
1.39602e-08,0.7207
1.39835e-08,0.8379
