.HEADER
..NAMES
Time,V U1.U1
.DATA
6.7322e-09,0.0029
6.7419e-09,0.0030
6.7515e-09,0.0033
6.7611e-09,0.0036
6.7708e-09,0.0039
6.7804e-09,0.0042
6.7901e-09,0.0045
6.7997e-09,0.0047
6.8094e-09,0.0049
6.8190e-09,0.0050
6.8287e-09,0.0051
6.8383e-09,0.0051
6.8480e-09,0.0051
6.8576e-09,0.0050
6.8672e-09,0.0049
6.8769e-09,0.0048
6.8865e-09,0.0045
6.8962e-09,0.0043
6.9058e-09,0.0040
6.9155e-09,0.0036
6.9251e-09,0.0032
6.9348e-09,0.0028
6.9444e-09,0.0024
6.9540e-09,0.0019
6.9637e-09,0.0015
6.9733e-09,0.0012
6.9830e-09,0.0008
6.9926e-09,0.0005
7.0023e-09,0.0002
7.0119e-09,0.0000
7.0216e-09,-0.0002
7.0312e-09,-0.0003
7.0409e-09,-0.0005
7.0505e-09,-0.0007
7.0601e-09,-0.0008
7.0698e-09,-0.0009
7.0794e-09,-0.0010
7.0891e-09,-0.0011
7.0987e-09,-0.0012
7.1084e-09,-0.0012
7.1180e-09,-0.0013
7.1277e-09,-0.0013
7.1373e-09,-0.0013
7.1469e-09,-0.0014
7.1566e-09,-0.0014
7.1662e-09,-0.0015
7.1759e-09,-0.0015
7.1855e-09,-0.0015
7.1952e-09,-0.0014
7.2048e-09,-0.0013
7.2145e-09,-0.0012
7.2241e-09,-0.0010
7.2338e-09,-0.0009
7.2434e-09,-0.0008
7.2530e-09,-0.0006
7.2627e-09,0.0005
7.2723e-09,0.0036
7.2820e-09,0.0097
7.2916e-09,0.0194
7.3013e-09,0.0335
7.3109e-09,0.0529
7.3206e-09,0.0783
7.3302e-09,0.1102
7.3398e-09,0.1486
7.3495e-09,0.1930
7.3591e-09,0.2424
7.3688e-09,0.2954
7.3784e-09,0.3507
7.3881e-09,0.4073
7.3977e-09,0.4646
7.4074e-09,0.5223
7.4170e-09,0.5800
7.4266e-09,0.6372
7.4363e-09,0.6936
7.4459e-09,0.7486
7.4556e-09,0.8019
7.4652e-09,0.8529
7.4749e-09,0.9013
7.4845e-09,0.9465
7.4942e-09,0.9881
7.5038e-09,1.0259
7.5135e-09,1.0596
7.5231e-09,1.0891
7.5327e-09,1.1147
7.5424e-09,1.1367
7.5520e-09,1.1558
7.5617e-09,1.1724
7.5713e-09,1.1869
7.5810e-09,1.1997
7.5906e-09,1.2112
7.6003e-09,1.2214
7.6099e-09,1.2303
7.6196e-09,1.2379
7.6292e-09,1.2439
7.6388e-09,1.2482
7.6485e-09,1.2508
7.6581e-09,1.2516
7.6678e-09,1.2506
7.6774e-09,1.2482
7.6871e-09,1.2445
7.6967e-09,1.2397
7.7064e-09,1.2342
7.7160e-09,1.2282
7.7256e-09,1.2220
7.7353e-09,1.2159
7.7449e-09,1.2100
7.7546e-09,1.2048
7.7642e-09,1.2005
7.7739e-09,1.1971
7.7835e-09,1.1949
7.7932e-09,1.1937
7.8028e-09,1.1937
7.8125e-09,1.1948
7.8221e-09,1.1966
7.8317e-09,1.1988
7.8414e-09,1.2011
7.8510e-09,1.2032
7.8607e-09,1.2050
7.8703e-09,1.2064
7.8800e-09,1.2076
7.8896e-09,1.2086
7.8993e-09,1.2094
7.9089e-09,1.2099
7.9185e-09,1.2099
7.9282e-09,1.2093
7.9378e-09,1.2081
7.9475e-09,1.2061
7.9571e-09,1.2034
7.9668e-09,1.1999
7.9764e-09,1.1958
7.9861e-09,1.1912
7.9957e-09,1.1862
8.0054e-09,1.1811
8.0150e-09,1.1763
8.0246e-09,1.1720
8.0343e-09,1.1685
8.0439e-09,1.1658
8.0536e-09,1.1641
8.0632e-09,1.1631
8.0729e-09,1.1628
8.0825e-09,1.1629
8.0922e-09,1.1631
8.1018e-09,1.1634
8.1114e-09,1.1636
8.1211e-09,1.1636
8.1307e-09,1.1634
8.1404e-09,1.1632
8.1500e-09,1.1629
8.1597e-09,1.1629
8.1693e-09,1.1630
8.1790e-09,1.1634
8.1886e-09,1.1641
8.1983e-09,1.1650
8.2079e-09,1.1660
8.2175e-09,1.1672
8.2272e-09,1.1685
8.2368e-09,1.1700
8.2465e-09,1.1716
8.2561e-09,1.1734
8.2658e-09,1.1755
8.2754e-09,1.1778
8.2851e-09,1.1804
8.2947e-09,1.1832
8.3043e-09,1.1861
8.3140e-09,1.1892
8.3236e-09,1.1921
8.3333e-09,1.1950
8.3429e-09,1.1977
8.3526e-09,1.2002
8.3622e-09,1.2024
8.3719e-09,1.2044
8.3815e-09,1.2059
8.3911e-09,1.2070
8.4008e-09,1.2076
8.4104e-09,1.2078
8.4201e-09,1.2076
8.4297e-09,1.2070
8.4394e-09,1.2062
8.4490e-09,1.2051
8.4587e-09,1.2040
8.4683e-09,1.2028
8.4780e-09,1.2017
8.4876e-09,1.2008
8.4972e-09,1.2002
8.5069e-09,1.1998
8.5165e-09,1.1998
8.5262e-09,1.2000
8.5358e-09,1.2004
8.5455e-09,1.2009
8.5551e-09,1.2014
8.5648e-09,1.2019
8.5744e-09,1.2023
8.5840e-09,1.2025
8.5937e-09,1.2027
8.6033e-09,1.2028
8.6130e-09,1.2030
8.6226e-09,1.2031
8.6323e-09,1.2033
8.6419e-09,1.2036
8.6516e-09,1.2039
8.6612e-09,1.2042
8.6709e-09,1.2043
8.6805e-09,1.2044
8.6901e-09,1.2043
8.6998e-09,1.2040
8.7094e-09,1.2038
8.7191e-09,1.2035
8.7287e-09,1.2032
8.7384e-09,1.2031
8.7480e-09,1.2032
8.7577e-09,1.2034
8.7673e-09,1.2038
8.7769e-09,1.2042
8.7866e-09,1.2048
8.7962e-09,1.2053
8.8059e-09,1.2057
8.8155e-09,1.2061
8.8252e-09,1.2063
8.8348e-09,1.2063
8.8445e-09,1.2061
8.8541e-09,1.2058
8.8638e-09,1.2054
8.8734e-09,1.2048
8.8830e-09,1.2042
8.8927e-09,1.2035
8.9023e-09,1.2028
8.9120e-09,1.2021
8.9216e-09,1.2015
8.9313e-09,1.2009
8.9409e-09,1.2003
8.9506e-09,1.1997
8.9602e-09,1.1993
8.9698e-09,1.1989
8.9795e-09,1.1987
8.9891e-09,1.1985
8.9988e-09,1.1985
9.0084e-09,1.1986
9.0181e-09,1.1987
9.0277e-09,1.1989
9.0374e-09,1.1991
9.0470e-09,1.1993
9.0567e-09,1.1995
9.0663e-09,1.1998
9.0759e-09,1.2000
9.0856e-09,1.2002
9.0952e-09,1.2004
9.1049e-09,1.2006
9.1145e-09,1.2008
9.1242e-09,1.2009
9.1338e-09,1.2010
9.1435e-09,1.2009
9.1531e-09,1.2008
9.1627e-09,1.2007
9.1724e-09,1.2005
9.1820e-09,1.2003
9.1917e-09,1.2001
9.2013e-09,1.2001
9.2110e-09,1.2001
9.2206e-09,1.2002
9.2303e-09,1.2003
9.2399e-09,1.2006
9.2496e-09,1.2008
9.2592e-09,1.2010
9.2688e-09,1.2013
9.2785e-09,1.2014
9.2881e-09,1.2015
9.2978e-09,1.2016
9.3074e-09,1.2015
9.3171e-09,1.2014
9.3267e-09,1.2013
9.3364e-09,1.2012
9.3460e-09,1.2011
9.3556e-09,1.2009
9.3653e-09,1.2008
9.3749e-09,1.2007
9.3846e-09,1.2006
9.3942e-09,1.2005
9.4039e-09,1.2004
9.4135e-09,1.2003
9.4232e-09,1.2001
9.4328e-09,1.2000
9.4425e-09,1.1999
9.4521e-09,1.1998
9.4617e-09,1.1998
9.4714e-09,1.1999
9.4810e-09,1.2000
9.4907e-09,1.2002
9.5003e-09,1.2003
9.5100e-09,1.2005
9.5196e-09,1.2007
9.5293e-09,1.2009
9.5389e-09,1.2011
9.5486e-09,1.2012
9.5582e-09,1.2013
9.5678e-09,1.2014
9.5775e-09,1.2014
9.5871e-09,1.2014
9.5968e-09,1.2014
9.6064e-09,1.2013
9.6161e-09,1.2012
9.6257e-09,1.2012
9.6354e-09,1.2011
9.6450e-09,1.2010
9.6546e-09,1.2009
9.6643e-09,1.2008
9.6739e-09,1.2008
9.6836e-09,1.2008
9.6932e-09,1.2008
9.7029e-09,1.2008
9.7125e-09,1.2009
9.7222e-09,1.2009
9.7318e-09,1.2010
9.7415e-09,1.2010
9.7511e-09,1.2010
9.7607e-09,1.2010
9.7704e-09,1.2010
9.7800e-09,1.2010
9.7897e-09,1.2010
9.7993e-09,1.2009
9.8090e-09,1.2009
9.8186e-09,1.2009
9.8283e-09,1.2009
9.8379e-09,1.2008
9.8475e-09,1.2008
9.8572e-09,1.2008
9.8668e-09,1.2007
9.8765e-09,1.2006
9.8861e-09,1.2005
9.8958e-09,1.2004
9.9054e-09,1.2004
9.9151e-09,1.2003
9.9247e-09,1.2003
9.9344e-09,1.2003
9.9440e-09,1.2004
9.9536e-09,1.2005
9.9633e-09,1.2006
9.9729e-09,1.2007
9.9826e-09,1.2007
9.9922e-09,1.2008
1.00019e-08,1.2009
1.00115e-08,1.2009
1.00212e-08,1.2009
1.00308e-08,1.2009
1.00404e-08,1.2009
1.00501e-08,1.2009
1.00597e-08,1.2008
1.00694e-08,1.2008
1.00790e-08,1.2008
1.00887e-08,1.2008
1.00983e-08,1.2007
1.01080e-08,1.2007
1.01176e-08,1.2007
1.01273e-08,1.2007
1.01369e-08,1.2006
1.01465e-08,1.2006
1.01562e-08,1.2006
1.01658e-08,1.2005
1.01755e-08,1.2005
1.01851e-08,1.2005
1.01948e-08,1.2005
