.HEADER
..NAMES
Time,V U1.W2
.DATA
7.1084e-09,1.1919
7.1180e-09,1.1926
7.1277e-09,1.1936
7.1373e-09,1.1949
7.1469e-09,1.1964
7.1566e-09,1.1982
7.1662e-09,1.2000
7.1759e-09,1.2020
7.1855e-09,1.2039
7.1952e-09,1.2059
7.2048e-09,1.2078
7.2145e-09,1.2095
7.2241e-09,1.2111
7.2338e-09,1.2123
7.2434e-09,1.2134
7.2530e-09,1.2141
7.2627e-09,1.2147
7.2723e-09,1.2151
7.2820e-09,1.2153
7.2916e-09,1.2154
7.3013e-09,1.2154
7.3109e-09,1.2151
7.3206e-09,1.2146
7.3302e-09,1.2138
7.3398e-09,1.2128
7.3495e-09,1.2115
7.3591e-09,1.2101
7.3688e-09,1.2086
7.3784e-09,1.2071
7.3881e-09,1.2058
7.3977e-09,1.2046
7.4074e-09,1.2036
7.4170e-09,1.2029
7.4266e-09,1.2024
7.4363e-09,1.2023
7.4459e-09,1.2023
7.4556e-09,1.2024
7.4652e-09,1.2024
7.4749e-09,1.2025
7.4845e-09,1.2024
7.4942e-09,1.2023
7.5038e-09,1.2021
7.5135e-09,1.2019
7.5231e-09,1.2017
7.5327e-09,1.2014
7.5424e-09,1.2012
7.5520e-09,1.2010
7.5617e-09,1.2008
7.5713e-09,1.2007
7.5810e-09,1.2007
7.5906e-09,1.2008
7.6003e-09,1.2010
7.6099e-09,1.2012
7.6196e-09,1.2015
7.6292e-09,1.2018
7.6388e-09,1.2020
7.6485e-09,1.2022
7.6581e-09,1.2023
7.6678e-09,1.2023
7.6774e-09,1.2022
7.6871e-09,1.2020
7.6967e-09,1.2017
7.7064e-09,1.2014
7.7160e-09,1.2011
7.7256e-09,1.2009
7.7353e-09,1.2008
7.7449e-09,1.2006
7.7546e-09,1.2005
7.7642e-09,1.2004
7.7739e-09,1.2002
7.7835e-09,1.2000
7.7932e-09,1.1997
7.8028e-09,1.1994
7.8125e-09,1.1990
7.8221e-09,1.1987
7.8317e-09,1.1984
7.8414e-09,1.1983
7.8510e-09,1.1982
7.8607e-09,1.1982
7.8703e-09,1.1984
7.8800e-09,1.1986
7.8896e-09,1.1989
7.8993e-09,1.1993
7.9089e-09,1.1997
7.9185e-09,1.2001
7.9282e-09,1.2005
7.9378e-09,1.2008
7.9475e-09,1.2011
7.9571e-09,1.2013
7.9668e-09,1.2014
7.9764e-09,1.2015
7.9861e-09,1.2016
7.9957e-09,1.2015
8.0054e-09,1.2014
8.0150e-09,1.2014
8.0246e-09,1.2013
8.0343e-09,1.2013
8.0439e-09,1.2013
8.0536e-09,1.2014
8.0632e-09,1.2015
8.0729e-09,1.2016
8.0825e-09,1.2017
8.0922e-09,1.2018
8.1018e-09,1.2018
8.1114e-09,1.2018
8.1211e-09,1.2017
8.1307e-09,1.2015
8.1404e-09,1.2014
8.1500e-09,1.2013
8.1597e-09,1.2012
8.1693e-09,1.2012
8.1790e-09,1.2012
8.1886e-09,1.2012
8.1983e-09,1.2013
8.2079e-09,1.2013
8.2175e-09,1.2014
8.2272e-09,1.2014
8.2368e-09,1.2014
8.2465e-09,1.2014
8.2561e-09,1.2014
8.2658e-09,1.2013
8.2754e-09,1.2013
8.2851e-09,1.2012
8.2947e-09,1.2012
8.3043e-09,1.2012
8.3140e-09,1.2012
8.3236e-09,1.2013
8.3333e-09,1.2013
8.3429e-09,1.2014
8.3526e-09,1.2015
8.3622e-09,1.2016
8.3719e-09,1.2018
8.3815e-09,1.2019
8.3911e-09,1.2019
8.4008e-09,1.2020
8.4104e-09,1.2020
8.4201e-09,1.2020
8.4297e-09,1.2019
8.4394e-09,1.2018
8.4490e-09,1.2017
8.4587e-09,1.2015
8.4683e-09,1.2014
8.4780e-09,1.2013
8.4876e-09,1.2013
8.4972e-09,1.2013
8.5069e-09,1.2013
8.5165e-09,1.2013
8.5262e-09,1.2013
8.5358e-09,1.2013
8.5455e-09,1.2013
8.5551e-09,1.2013
8.5648e-09,1.2013
8.5744e-09,1.2012
8.5840e-09,1.2012
8.5937e-09,1.2012
8.6033e-09,1.2011
8.6130e-09,1.2011
8.6226e-09,1.2011
8.6323e-09,1.2011
8.6419e-09,1.2012
8.6516e-09,1.2012
8.6612e-09,1.2012
8.6709e-09,1.2013
8.6805e-09,1.2013
8.6901e-09,1.2013
8.6998e-09,1.2013
8.7094e-09,1.2013
8.7191e-09,1.2013
8.7287e-09,1.2013
8.7384e-09,1.2013
8.7480e-09,1.2013
8.7577e-09,1.2012
8.7673e-09,1.2012
8.7769e-09,1.2012
8.7866e-09,1.2012
8.7962e-09,1.2012
8.8059e-09,1.2012
8.8155e-09,1.2013
8.8252e-09,1.2013
8.8348e-09,1.2014
8.8445e-09,1.2014
8.8541e-09,1.2014
8.8638e-09,1.2014
8.8734e-09,1.2014
8.8830e-09,1.2013
8.8927e-09,1.2013
8.9023e-09,1.2012
8.9120e-09,1.2012
8.9216e-09,1.2011
8.9313e-09,1.2011
8.9409e-09,1.2011
8.9506e-09,1.2011
8.9602e-09,1.2011
8.9698e-09,1.2012
8.9795e-09,1.2012
8.9891e-09,1.2012
8.9988e-09,1.2012
9.0084e-09,1.2012
9.0181e-09,1.2012
9.0277e-09,1.2012
9.0374e-09,1.2012
9.0470e-09,1.2012
9.0567e-09,1.2012
9.0663e-09,1.2012
9.0759e-09,1.2012
9.0856e-09,1.2012
9.0952e-09,1.2012
9.1049e-09,1.2012
9.1145e-09,1.2012
9.1242e-09,1.2013
9.1338e-09,1.2013
9.1435e-09,1.2013
9.1531e-09,1.2013
9.1627e-09,1.2013
9.1724e-09,1.2013
9.1820e-09,1.2013
9.1917e-09,1.2013
9.2013e-09,1.2013
9.2110e-09,1.2012
9.2206e-09,1.2012
9.2303e-09,1.2012
9.2399e-09,1.2012
9.2496e-09,1.2012
9.2592e-09,1.2012
9.2688e-09,1.2012
9.2785e-09,1.2012
9.2881e-09,1.2013
9.2978e-09,1.2013
9.3074e-09,1.2013
9.3171e-09,1.2013
9.3267e-09,1.2013
9.3364e-09,1.2013
9.3460e-09,1.2012
9.3556e-09,1.2012
9.3653e-09,1.2012
9.3749e-09,1.2012
9.3846e-09,1.2012
9.3942e-09,1.2012
9.4039e-09,1.2012
9.4135e-09,1.2012
9.4232e-09,1.2012
9.4328e-09,1.2012
9.4425e-09,1.2012
9.4521e-09,1.2012
9.4617e-09,1.2013
9.4714e-09,1.2013
9.4810e-09,1.2013
9.4907e-09,1.2013
9.5003e-09,1.2013
9.5100e-09,1.2013
9.5196e-09,1.2012
9.5293e-09,1.2012
9.5389e-09,1.2012
9.5486e-09,1.2012
9.5582e-09,1.2012
9.5678e-09,1.2012
9.5775e-09,1.2012
9.5871e-09,1.2013
9.5968e-09,1.2013
9.6064e-09,1.2013
9.6161e-09,1.2013
9.6257e-09,1.2013
9.6354e-09,1.2013
9.6450e-09,1.2012
9.6546e-09,1.2012
9.6643e-09,1.2012
9.6739e-09,1.2012
9.6836e-09,1.2012
9.6932e-09,1.2012
9.7029e-09,1.2012
9.7125e-09,1.2012
9.7222e-09,1.2012
9.7318e-09,1.2011
9.7415e-09,1.2004
9.7511e-09,1.1975
9.7607e-09,1.1902
9.7704e-09,1.1757
9.7800e-09,1.1511
9.7897e-09,1.1146
9.7993e-09,1.0658
9.8090e-09,1.0059
9.8186e-09,0.9365
9.8283e-09,0.8597
9.8379e-09,0.7776
9.8475e-09,0.6917
9.8572e-09,0.6031
9.8668e-09,0.5132
9.8765e-09,0.4233
9.8861e-09,0.3351
9.8958e-09,0.2500
9.9054e-09,0.1696
9.9151e-09,0.0951
9.9247e-09,0.0272
9.9344e-09,-0.0332
9.9440e-09,-0.0858
9.9536e-09,-0.1305
9.9633e-09,-0.1679
9.9729e-09,-0.1985
9.9826e-09,-0.2228
9.9922e-09,-0.2412
1.00019e-08,-0.2542
1.00115e-08,-0.2625
1.00212e-08,-0.2667
1.00308e-08,-0.2678
1.00404e-08,-0.2667
1.00501e-08,-0.2642
1.00597e-08,-0.2608
1.00694e-08,-0.2570
1.00790e-08,-0.2536
1.00887e-08,-0.2510
1.00983e-08,-0.2499
1.01080e-08,-0.2504
1.01176e-08,-0.2527
1.01273e-08,-0.2563
1.01369e-08,-0.2605
1.01465e-08,-0.2645
1.01562e-08,-0.2675
1.01658e-08,-0.2689
1.01755e-08,-0.2685
1.01851e-08,-0.2663
1.01948e-08,-0.2631
1.02044e-08,-0.2595
1.02141e-08,-0.2564
1.02237e-08,-0.2545
