.HEADER
..NAMES
Time,V U2.G3&F3
.DATA
1.40300e-08,1.2184
1.40533e-08,1.2129
1.40765e-08,1.2051
1.40998e-08,1.1886
1.41231e-08,1.1542
1.41463e-08,1.0895
1.41696e-08,0.9995
1.41929e-08,0.9028
1.42161e-08,0.8210
1.42394e-08,0.7608
1.42627e-08,0.7142
1.42859e-08,0.6696
1.43092e-08,0.6263
1.43325e-08,0.5925
1.43557e-08,0.5716
1.43790e-08,0.5611
1.44023e-08,0.5554
1.44255e-08,0.5502
1.44488e-08,0.5441
1.44721e-08,0.5387
1.44953e-08,0.5339
1.45186e-08,0.5285
1.45419e-08,0.5218
1.45651e-08,0.5144
1.45884e-08,0.5077
1.46117e-08,0.5028
1.46349e-08,0.4988
1.46582e-08,0.4954
1.46815e-08,0.4948
1.47047e-08,0.5003
1.47280e-08,0.5149
1.47513e-08,0.5474
1.47745e-08,0.6143
1.47978e-08,0.7146
1.48211e-08,0.8278
1.48443e-08,0.9275
1.48676e-08,1.0026
1.48909e-08,1.0607
1.49141e-08,1.1125
1.49374e-08,1.1582
1.49607e-08,1.1885
1.49839e-08,1.2014
1.50072e-08,1.2015
1.50305e-08,1.1972
1.50537e-08,1.1945
1.50770e-08,1.1945
1.51003e-08,1.1953
1.51236e-08,1.1968
1.51468e-08,1.2009
1.51701e-08,1.2088
1.51934e-08,1.2187
1.52166e-08,1.2257
1.52399e-08,1.2263
1.52632e-08,1.2221
1.52864e-08,1.2168
1.53097e-08,1.2111
1.53330e-08,1.2016
1.53562e-08,1.1815
1.53795e-08,1.1403
1.54028e-08,1.0683
1.54260e-08,0.9740
1.54493e-08,0.8786
1.54726e-08,0.8019
1.54958e-08,0.7465
1.55191e-08,0.7021
1.55424e-08,0.6577
1.55656e-08,0.6160
1.55889e-08,0.5850
1.56122e-08,0.5672
1.56354e-08,0.5589
1.56587e-08,0.5539
1.56820e-08,0.5486
1.57052e-08,0.5424
1.57285e-08,0.5371
1.57518e-08,0.5323
1.57750e-08,0.5268
1.57983e-08,0.5199
1.58216e-08,0.5124
1.58448e-08,0.5061
1.58681e-08,0.5015
1.58914e-08,0.4979
1.59146e-08,0.4950
1.59379e-08,0.4957
1.59612e-08,0.5031
1.59844e-08,0.5212
1.60077e-08,0.5616
1.60310e-08,0.6379
1.60542e-08,0.7429
1.60775e-08,0.8542
1.61008e-08,0.9477
1.61240e-08,1.0180
1.61473e-08,1.0737
1.61706e-08,1.1242
1.61938e-08,1.1662
1.62171e-08,1.1920
1.62404e-08,1.2014
1.62636e-08,1.2001
1.62869e-08,1.1960
1.63102e-08,1.1941
1.63334e-08,1.1944
1.63567e-08,1.1954
1.63800e-08,1.1976
1.64032e-08,1.2028
1.64265e-08,1.2115
1.64498e-08,1.2209
1.64730e-08,1.2263
1.64963e-08,1.2254
1.65196e-08,1.2208
1.65428e-08,1.2154
1.65661e-08,1.2090
1.65894e-08,1.1972
1.66126e-08,1.1726
1.66359e-08,1.1224
1.66592e-08,1.0414
1.66824e-08,0.9444
1.67057e-08,0.8539
1.67290e-08,0.7853
1.67522e-08,0.7351
1.67755e-08,0.6911
1.67988e-08,0.6460
1.68220e-08,0.6067
1.68453e-08,0.5802
1.68686e-08,0.5661
1.68918e-08,0.5592
1.69151e-08,0.5538
1.69384e-08,0.5476
1.69616e-08,0.5412
1.69849e-08,0.5362
1.70082e-08,0.5312
1.70314e-08,0.5250
1.70547e-08,0.5175
1.70780e-08,0.5100
1.71012e-08,0.5044
1.71245e-08,0.5004
1.71478e-08,0.4969
