.HEADER
..NAMES
Time,V U2.B7&A7
.DATA
1.12845e-08,0.5566
1.13078e-08,0.5428
1.13310e-08,0.5270
1.13543e-08,0.5162
1.13776e-08,0.5138
1.14008e-08,0.5177
1.14241e-08,0.5172
1.14474e-08,0.5060
1.14706e-08,0.4920
1.14939e-08,0.4872
1.15172e-08,0.4940
1.15404e-08,0.5034
1.15637e-08,0.5094
1.15870e-08,0.5185
1.16102e-08,0.5437
1.16335e-08,0.6151
1.16568e-08,0.7422
1.16800e-08,0.8676
1.17033e-08,0.9508
1.17266e-08,1.0111
1.17498e-08,1.0662
1.17731e-08,1.1158
1.17964e-08,1.1513
1.18196e-08,1.1698
1.18429e-08,1.1828
1.18662e-08,1.1912
1.18894e-08,1.1908
1.19127e-08,1.1890
1.19360e-08,1.1941
1.19592e-08,1.2031
1.19825e-08,1.2114
1.20058e-08,1.2143
1.20290e-08,1.2108
1.20523e-08,1.2097
1.20756e-08,1.2166
1.20988e-08,1.2245
1.21221e-08,1.2225
1.21454e-08,1.2090
1.21686e-08,1.1944
1.21919e-08,1.1866
1.22152e-08,1.1759
1.22384e-08,1.1406
1.22617e-08,1.0573
1.22850e-08,0.9415
1.23082e-08,0.8440
1.23315e-08,0.7828
1.23548e-08,0.7367
1.23780e-08,0.6946
1.24013e-08,0.6579
1.24246e-08,0.6310
1.24478e-08,0.6070
1.24711e-08,0.5838
1.24944e-08,0.5690
1.25176e-08,0.5619
1.25409e-08,0.5529
1.25642e-08,0.5377
1.25874e-08,0.5229
1.26107e-08,0.5145
1.26340e-08,0.5145
1.26572e-08,0.5183
1.26805e-08,0.5150
1.27038e-08,0.5020
1.27270e-08,0.4895
1.27503e-08,0.4881
1.27736e-08,0.4966
1.27968e-08,0.5053
1.28201e-08,0.5113
1.28434e-08,0.5233
1.28667e-08,0.5576
1.28899e-08,0.6452
1.29132e-08,0.7760
1.29365e-08,0.8885
1.29597e-08,0.9645
1.29830e-08,1.0243
1.30063e-08,1.0780
1.30295e-08,1.1244
1.30528e-08,1.1554
1.30761e-08,1.1728
1.30993e-08,1.1853
1.31226e-08,1.1911
1.31459e-08,1.1896
1.31691e-08,1.1901
1.31924e-08,1.1966
1.32157e-08,1.2051
1.32389e-08,1.2125
1.32622e-08,1.2136
1.32855e-08,1.2100
1.33087e-08,1.2112
1.33320e-08,1.2191
1.33553e-08,1.2246
1.33785e-08,1.2191
1.34018e-08,1.2046
1.34251e-08,1.1921
1.34483e-08,1.1848
1.34716e-08,1.1690
1.34949e-08,1.1226
1.35181e-08,1.0263
1.35414e-08,0.9106
1.35647e-08,0.8239
1.35879e-08,0.7702
1.36112e-08,0.7259
1.36345e-08,0.6847
1.36577e-08,0.6502
1.36810e-08,0.6251
1.37043e-08,0.6013
1.37275e-08,0.5796
1.37508e-08,0.5674
1.37741e-08,0.5606
1.37973e-08,0.5494
1.38206e-08,0.5334
1.38439e-08,0.5200
1.38671e-08,0.5139
1.38904e-08,0.5156
1.39137e-08,0.5184
1.39369e-08,0.5120
1.39602e-08,0.4979
1.39835e-08,0.4877
1.40067e-08,0.4898
1.40300e-08,0.4995
1.40533e-08,0.5072
1.40765e-08,0.5136
1.40998e-08,0.5290
1.41231e-08,0.5740
1.41463e-08,0.6769
1.41696e-08,0.8087
1.41929e-08,0.9118
1.42161e-08,0.9817
1.42394e-08,1.0390
1.42627e-08,1.0903
1.42859e-08,1.1338
1.43092e-08,1.1607
1.43325e-08,1.1762
1.43557e-08,1.1873
1.43790e-08,1.1908
1.44023e-08,1.1889
1.44255e-08,1.1911
1.44488e-08,1.1986
1.44721e-08,1.2074
1.44953e-08,1.2137
1.45186e-08,1.2129
1.45419e-08,1.2096
1.45651e-08,1.2127
1.45884e-08,1.2211
1.46117e-08,1.2245
1.46349e-08,1.2160
1.46582e-08,1.2008
1.46815e-08,1.1897
1.47047e-08,1.1817
1.47280e-08,1.1596
1.47513e-08,1.0995
1.47745e-08,0.9904
1.47978e-08,0.8805
1.48211e-08,0.8076
1.48443e-08,0.7590
1.48676e-08,0.7147
1.48909e-08,0.6745
1.49141e-08,0.6431
1.49374e-08,0.6197
1.49607e-08,0.5956
1.49839e-08,0.5756
1.50072e-08,0.5659
1.50305e-08,0.5586
1.50537e-08,0.5454
1.50770e-08,0.5294
1.51003e-08,0.5177
1.51236e-08,0.5137
1.51468e-08,0.5170
1.51701e-08,0.5179
1.51934e-08,0.5082
