.HEADER
..NAMES
Time,V U2.R8
.DATA
1.76597e-08,1.2059
1.76829e-08,1.2073
1.77062e-08,1.2079
1.77295e-08,1.2072
1.77527e-08,1.2051
1.77760e-08,1.2026
1.77993e-08,1.2002
1.78225e-08,1.1987
1.78458e-08,1.1979
1.78691e-08,1.1978
1.78923e-08,1.1981
1.79156e-08,1.1987
1.79389e-08,1.1995
1.79621e-08,1.2007
1.79854e-08,1.2023
1.80087e-08,1.2041
1.80319e-08,1.2054
1.80552e-08,1.2058
1.80785e-08,1.2051
1.81017e-08,1.2038
1.81250e-08,1.2023
1.81483e-08,1.2011
1.81715e-08,1.2002
1.81948e-08,1.1995
1.82181e-08,1.1990
1.82413e-08,1.1986
1.82646e-08,1.1987
1.82879e-08,1.1993
1.83111e-08,1.2006
1.83344e-08,1.2021
1.83577e-08,1.2034
1.83809e-08,1.2042
1.84042e-08,1.2044
1.84275e-08,1.2040
1.84507e-08,1.2034
1.84740e-08,1.2027
1.84973e-08,1.2021
1.85205e-08,1.2014
1.85438e-08,1.2007
1.85671e-08,1.1999
1.85903e-08,1.1994
1.86136e-08,1.1993
1.86369e-08,1.1999
1.86601e-08,1.2007
1.86834e-08,1.1967
1.87067e-08,1.1740
1.87299e-08,1.1154
1.87532e-08,1.0060
1.87765e-08,0.8825
1.87997e-08,0.7699
1.88230e-08,0.6483
1.88463e-08,0.5038
1.88695e-08,0.3534
1.88928e-08,0.2202
1.89161e-08,0.1019
1.89393e-08,0.0028
1.89626e-08,-0.0658
1.89859e-08,-0.1094
1.90091e-08,-0.1329
1.90324e-08,-0.1448
1.90557e-08,-0.1528
1.90789e-08,-0.1610
1.91022e-08,-0.1730
1.91255e-08,-0.1822
1.91487e-08,-0.1829
1.91720e-08,-0.1822
1.91953e-08,-0.1885
1.92185e-08,-0.2025
1.92418e-08,-0.2134
1.92651e-08,-0.2070
1.92883e-08,-0.1805
1.93116e-08,-0.1443
1.93349e-08,-0.1059
1.93581e-08,-0.0633
1.93814e-08,-0.0174
1.94047e-08,0.0244
1.94279e-08,0.0602
1.94512e-08,0.0916
1.94745e-08,0.1164
1.94977e-08,0.1306
1.95210e-08,0.1321
1.95443e-08,0.1206
1.95675e-08,0.0997
1.95908e-08,0.0770
1.96141e-08,0.0610
1.96373e-08,0.0545
1.96606e-08,0.0518
1.96839e-08,0.0474
1.97071e-08,0.0428
1.97304e-08,0.0423
1.97537e-08,0.0467
1.97769e-08,0.0528
1.98002e-08,0.0558
1.98235e-08,0.0532
1.98468e-08,0.0451
1.98700e-08,0.0311
1.98933e-08,0.0118
1.99166e-08,-0.0091
1.99398e-08,-0.0266
1.99631e-08,-0.0390
1.99864e-08,-0.0473
2.00096e-08,-0.0528
2.00329e-08,-0.0563
2.00562e-08,-0.0562
2.00794e-08,-0.0496
2.01027e-08,-0.0359
2.01260e-08,-0.0190
2.01492e-08,-0.0050
2.01725e-08,0.0030
2.01958e-08,0.0060
2.02190e-08,0.0061
2.02423e-08,0.0044
2.02656e-08,0.0014
2.02888e-08,-0.0023
2.03121e-08,-0.0058
2.03354e-08,-0.0091
2.03586e-08,-0.0105
2.03819e-08,-0.0009
2.04052e-08,0.0421
2.04284e-08,0.1391
2.04517e-08,0.2636
2.04750e-08,0.3820
2.04982e-08,0.4998
2.05215e-08,0.6345
2.05448e-08,0.7766
2.05680e-08,0.9071
2.05913e-08,1.0242
2.06146e-08,1.1236
2.06378e-08,1.1942
2.06611e-08,1.2364
2.06844e-08,1.2573
2.07076e-08,1.2662
2.07309e-08,1.2708
2.07542e-08,1.2780
2.07774e-08,1.2923
2.08007e-08,1.3081
2.08240e-08,1.3162
2.08472e-08,1.3179
2.08705e-08,1.3227
2.08938e-08,1.3361
2.09170e-08,1.3512
2.09403e-08,1.3527
2.09636e-08,1.3332
2.09868e-08,1.2999
2.10101e-08,1.2620
2.10334e-08,1.2211
2.10566e-08,1.1790
2.10799e-08,1.1424
2.11032e-08,1.1135
2.11264e-08,1.0902
2.11497e-08,1.0728
2.11730e-08,1.0643
2.11962e-08,1.0670
2.12195e-08,1.0818
2.12428e-08,1.1069
2.12660e-08,1.1356
2.12893e-08,1.1580
2.13126e-08,1.1680
2.13358e-08,1.1698
2.13591e-08,1.1708
2.13824e-08,1.1732
2.14056e-08,1.1742
2.14289e-08,1.1713
2.14522e-08,1.1660
2.14754e-08,1.1624
2.14987e-08,1.1635
2.15220e-08,1.1701
2.15452e-08,1.1829
2.15685e-08,1.2015
2.15918e-08,1.2223
2.16150e-08,1.2397
2.16383e-08,1.2508
2.16616e-08,1.2557
2.16848e-08,1.2566
2.17081e-08,1.2555
2.17314e-08,1.2526
2.17546e-08,1.2453
2.17779e-08,1.2317
2.18012e-08,1.2138
2.18244e-08,1.1976
2.18477e-08,1.1879
2.18710e-08,1.1851
2.18942e-08,1.1869
2.19175e-08,1.1913
2.19408e-08,1.1966
2.19640e-08,1.2017
2.19873e-08,1.2056
2.20106e-08,1.2055
2.20338e-08,1.1894
2.20571e-08,1.1411
2.20804e-08,1.0390
2.21037e-08,0.9091
2.21269e-08,0.7856
2.21502e-08,0.6582
2.21735e-08,0.5114
2.21967e-08,0.3582
2.22200e-08,0.2237
2.22433e-08,0.1067
2.22665e-08,0.0065
2.22898e-08,-0.0641
2.23131e-08,-0.1070
2.23363e-08,-0.1270
2.23596e-08,-0.1334
2.23829e-08,-0.1360
2.24061e-08,-0.1408
2.24294e-08,-0.1530
