.HEADER
..NAMES
Time,V U2.E2
.DATA
1.77760e-08,1.2009
1.77993e-08,1.2019
1.78225e-08,1.2003
1.78458e-08,1.1995
1.78691e-08,1.1988
1.78923e-08,1.1974
1.79156e-08,1.1971
1.79389e-08,1.1981
1.79621e-08,1.1990
1.79854e-08,1.1988
1.80087e-08,1.1978
1.80319e-08,1.1973
1.80552e-08,1.1986
1.80785e-08,1.2006
1.81017e-08,1.2013
1.81250e-08,1.2006
1.81483e-08,1.1990
1.81715e-08,1.1975
1.81948e-08,1.1976
1.82181e-08,1.1990
1.82413e-08,1.1999
1.82646e-08,1.1998
1.82879e-08,1.1996
1.83111e-08,1.1993
1.83344e-08,1.1987
1.83577e-08,1.1985
1.83809e-08,1.1990
1.84042e-08,1.1996
1.84275e-08,1.1996
1.84507e-08,1.1991
1.84740e-08,1.1986
1.84973e-08,1.1987
1.85205e-08,1.1994
1.85438e-08,1.2000
1.85671e-08,1.2000
1.85903e-08,1.1995
1.86136e-08,1.1989
1.86369e-08,1.1986
1.86601e-08,1.1989
1.86834e-08,1.1994
1.87067e-08,1.1996
1.87299e-08,1.1996
1.87532e-08,1.1995
1.87765e-08,1.1993
1.87997e-08,1.1991
1.88230e-08,1.1992
1.88463e-08,1.1995
1.88695e-08,1.1979
1.88928e-08,1.1823
1.89161e-08,1.1390
1.89393e-08,1.0508
1.89626e-08,0.9389
1.89859e-08,0.8515
1.90091e-08,0.7951
1.90324e-08,0.7400
1.90557e-08,0.6918
1.90789e-08,0.6568
1.91022e-08,0.6260
1.91255e-08,0.5998
1.91487e-08,0.5795
1.91720e-08,0.5633
1.91953e-08,0.5528
1.92185e-08,0.5440
1.92418e-08,0.5324
1.92651e-08,0.5218
1.92883e-08,0.5166
1.93116e-08,0.5183
1.93349e-08,0.5239
1.93581e-08,0.5261
1.93814e-08,0.5174
1.94047e-08,0.5009
1.94279e-08,0.4897
1.94512e-08,0.4888
1.94745e-08,0.4912
1.94977e-08,0.4942
1.95210e-08,0.5003
1.95443e-08,0.5071
1.95675e-08,0.5115
1.95908e-08,0.5151
1.96141e-08,0.5186
1.96373e-08,0.5222
1.96606e-08,0.5245
