.HEADER
..NAMES
Time,V U2.K7&K8
.DATA
1.88230e-08,0.9033
1.88463e-08,0.8985
1.88695e-08,0.8964
1.88928e-08,0.8935
1.89161e-08,0.8907
1.89393e-08,0.8961
1.89626e-08,0.9132
1.89859e-08,0.9350
1.90091e-08,0.9505
1.90324e-08,0.9473
1.90557e-08,0.9146
1.90789e-08,0.8416
1.91022e-08,0.7361
1.91255e-08,0.6331
1.91487e-08,0.5300
1.91720e-08,0.4166
1.91953e-08,0.3227
1.92185e-08,0.2749
1.92418e-08,0.2695
1.92651e-08,0.2736
1.92883e-08,0.2758
1.93116e-08,0.2839
1.93349e-08,0.2892
1.93581e-08,0.2802
1.93814e-08,0.2579
1.94047e-08,0.2340
1.94279e-08,0.2196
1.94512e-08,0.2219
1.94745e-08,0.2492
1.94977e-08,0.3191
1.95210e-08,0.4289
1.95443e-08,0.5370
1.95675e-08,0.6387
1.95908e-08,0.7463
1.96141e-08,0.8410
1.96373e-08,0.8942
1.96606e-08,0.9027
1.96839e-08,0.8978
1.97071e-08,0.8960
1.97304e-08,0.8926
1.97537e-08,0.8908
1.97769e-08,0.8986
1.98002e-08,0.9175
1.98235e-08,0.9389
1.98468e-08,0.9518
1.98700e-08,0.9435
1.98933e-08,0.9037
1.99166e-08,0.8222
1.99398e-08,0.7150
1.99631e-08,0.6136
1.99864e-08,0.5078
2.00096e-08,0.3953
2.00329e-08,0.3092
2.00562e-08,0.2713
2.00794e-08,0.2704
2.01027e-08,0.2738
2.01260e-08,0.2769
2.01492e-08,0.2856
2.01725e-08,0.2887
2.01958e-08,0.2765
2.02190e-08,0.2529
2.02423e-08,0.2302
2.02656e-08,0.2186
2.02888e-08,0.2249
2.03121e-08,0.2590
2.03354e-08,0.3388
2.03586e-08,0.4514
2.03819e-08,0.5568
2.04052e-08,0.6595
2.04284e-08,0.7669
2.04517e-08,0.8554
2.04750e-08,0.8986
2.04982e-08,0.9017
2.05215e-08,0.8971
2.05448e-08,0.8954
2.05680e-08,0.8918
2.05913e-08,0.8913
2.06146e-08,0.9016
2.06378e-08,0.9218
2.06611e-08,0.9425
2.06844e-08,0.9522
2.07076e-08,0.9384
2.07309e-08,0.8912
2.07542e-08,0.8018
2.07774e-08,0.6943
2.08007e-08,0.5937
2.08240e-08,0.4852
2.08472e-08,0.3752
2.08705e-08,0.2977
2.08938e-08,0.2693
2.09170e-08,0.2713
2.09403e-08,0.2739
2.09636e-08,0.2783
2.09868e-08,0.2871
2.10101e-08,0.2875
2.10334e-08,0.2724
2.10566e-08,0.2479
2.10799e-08,0.2268
2.11032e-08,0.2182
2.11264e-08,0.2289
2.11497e-08,0.2707
2.11730e-08,0.3598
2.11962e-08,0.4733
2.12195e-08,0.5766
2.12428e-08,0.6808
2.12660e-08,0.7869
2.12893e-08,0.8679
2.13126e-08,0.9014
2.13358e-08,0.9005
2.13591e-08,0.8967
2.13824e-08,0.8948
2.14056e-08,0.8910
2.14289e-08,0.8923
2.14522e-08,0.9050
2.14754e-08,0.9262
2.14987e-08,0.9456
2.15220e-08,0.9517
2.15452e-08,0.9320
2.15685e-08,0.8768
2.15918e-08,0.7807
2.16150e-08,0.6741
2.16383e-08,0.5735
2.16616e-08,0.4625
2.16848e-08,0.3565
2.17081e-08,0.2883
2.17314e-08,0.2684
2.17546e-08,0.2721
2.17779e-08,0.2742
2.18012e-08,0.2800
2.18244e-08,0.2882
2.18477e-08,0.2857
2.18710e-08,0.2679
2.18942e-08,0.2431
2.19175e-08,0.2239
2.19408e-08,0.2185
2.19640e-08,0.2341
2.19873e-08,0.2845
2.20106e-08,0.3820
2.20338e-08,0.4947
2.20571e-08,0.5966
2.20804e-08,0.7022
2.21037e-08,0.8059
2.21269e-08,0.8785
2.21502e-08,0.9029
2.21735e-08,0.8994
2.21967e-08,0.8964
2.22200e-08,0.8941
2.22433e-08,0.8906
2.22665e-08,0.8938
2.22898e-08,0.9088
2.23131e-08,0.9305
2.23363e-08,0.9483
2.23596e-08,0.9502
2.23829e-08,0.9243
2.24061e-08,0.8606
2.24294e-08,0.7593
2.24527e-08,0.6542
2.24759e-08,0.5526
2.24992e-08,0.4399
2.25225e-08,0.3393
2.25457e-08,0.2808
2.25690e-08,0.2685
2.25923e-08,0.2727
2.26155e-08,0.2748
2.26388e-08,0.2819
2.26621e-08,0.2889
2.26853e-08,0.2832
2.27086e-08,0.2631
2.27319e-08,0.2386
2.27551e-08,0.2215
2.27784e-08,0.2197
2.28017e-08,0.2406
2.28249e-08,0.3003
2.28482e-08,0.4046
2.28715e-08,0.5154
2.28947e-08,0.6168
2.29180e-08,0.7236
2.29413e-08,0.8236
2.29645e-08,0.8871
2.29878e-08,0.9032
2.30111e-08,0.8985
2.30343e-08,0.8960
2.30576e-08,0.8932
2.30809e-08,0.8904
2.31041e-08,0.8958
2.31274e-08,0.9128
2.31507e-08,0.9347
2.31739e-08,0.9504
2.31972e-08,0.9475
2.32205e-08,0.9152
2.32437e-08,0.8428
2.32670e-08,0.7378
2.32903e-08,0.6344
2.33135e-08,0.5310
2.33368e-08,0.4177
2.33601e-08,0.3236
2.33833e-08,0.2751
2.34066e-08,0.2690
2.34299e-08,0.2731
2.34531e-08,0.2755
2.34764e-08,0.2837
2.34997e-08,0.2891
2.35229e-08,0.2802
2.35462e-08,0.2581
2.35695e-08,0.2343
2.35927e-08,0.2197
2.36160e-08,0.2217
2.36393e-08,0.2486
2.36625e-08,0.3180
2.36858e-08,0.4273
2.37091e-08,0.5357
2.37323e-08,0.6374
2.37556e-08,0.7449
2.37789e-08,0.8398
2.38021e-08,0.8937
2.38254e-08,0.9027
2.38487e-08,0.8977
2.38719e-08,0.8956
2.38952e-08,0.8924
2.39185e-08,0.8906
2.39417e-08,0.8983
2.39650e-08,0.9171
2.39883e-08,0.9386
2.40115e-08,0.9517
2.40348e-08,0.9437
2.40581e-08,0.9045
2.40813e-08,0.8235
2.41046e-08,0.7165
2.41279e-08,0.6147
2.41511e-08,0.5088
2.41744e-08,0.3964
2.41977e-08,0.3098
2.42209e-08,0.2713
2.42442e-08,0.2699
2.42675e-08,0.2733
2.42907e-08,0.2766
2.43140e-08,0.2854
2.43373e-08,0.2886
2.43605e-08,0.2766
2.43838e-08,0.2531
2.44071e-08,0.2304
2.44303e-08,0.2186
2.44536e-08,0.2246
2.44769e-08,0.2583
2.45002e-08,0.3374
2.45234e-08,0.4498
2.45467e-08,0.5556
2.45700e-08,0.6583
2.45932e-08,0.7655
2.46165e-08,0.8543
2.46398e-08,0.8983
2.46630e-08,0.9018
2.46863e-08,0.8971
2.47096e-08,0.8952
2.47328e-08,0.8916
2.47561e-08,0.8911
2.47794e-08,0.9013
2.48026e-08,0.9214
2.48259e-08,0.9422
2.48492e-08,0.9522
2.48724e-08,0.9387
