.HEADER
..NAMES
Time,V U2.F7
.DATA
1.58681e-08,-0.1172
1.58914e-08,-0.1528
1.59146e-08,-0.1764
1.59379e-08,-0.1954
1.59612e-08,-0.2085
1.59844e-08,-0.2043
1.60077e-08,-0.1522
1.60310e-08,-0.0628
1.60542e-08,0.0533
1.60775e-08,0.1873
1.61008e-08,0.3123
1.61240e-08,0.4450
1.61473e-08,0.5925
1.61706e-08,0.7443
1.61938e-08,0.9001
1.62171e-08,1.0452
1.62404e-08,1.1637
1.62636e-08,1.2556
1.62869e-08,1.3180
1.63102e-08,1.3550
1.63334e-08,1.3843
1.63567e-08,1.4090
1.63800e-08,1.4226
1.64032e-08,1.4090
1.64265e-08,1.3478
1.64498e-08,1.2510
1.64730e-08,1.1315
1.64963e-08,1.0024
1.65196e-08,0.8749
1.65428e-08,0.7338
1.65661e-08,0.5795
1.65894e-08,0.4195
1.66126e-08,0.2593
1.66359e-08,0.1155
1.66592e-08,-0.0001
1.66824e-08,-0.0879
1.67057e-08,-0.1476
1.67290e-08,-0.1890
1.67522e-08,-0.2263
1.67755e-08,-0.2596
1.67988e-08,-0.2848
1.68220e-08,-0.2951
1.68453e-08,-0.2875
1.68686e-08,-0.2715
1.68918e-08,-0.2561
1.69151e-08,-0.2444
1.69384e-08,-0.2308
1.69616e-08,-0.2066
1.69849e-08,-0.1702
1.70082e-08,-0.1238
1.70314e-08,-0.0732
1.70547e-08,-0.0259
1.70780e-08,0.0151
1.71012e-08,0.0490
1.71245e-08,0.0768
1.71478e-08,0.1029
1.71710e-08,0.1274
1.71943e-08,0.1455
1.72176e-08,0.1520
1.72408e-08,0.1443
1.72641e-08,0.1275
1.72874e-08,0.1113
1.73106e-08,0.1015
1.73339e-08,0.0976
1.73572e-08,0.0950
1.73804e-08,0.0885
1.74037e-08,0.0774
1.74270e-08,0.0636
1.74502e-08,0.0499
1.74735e-08,0.0385
1.74968e-08,0.0289
1.75201e-08,0.0196
1.75433e-08,0.0078
1.75666e-08,-0.0081
1.75899e-08,-0.0261
1.76131e-08,-0.0412
1.76364e-08,-0.0497
1.76597e-08,-0.0509
1.76829e-08,-0.0485
1.77062e-08,-0.0466
1.77295e-08,-0.0457
1.77527e-08,-0.0440
1.77760e-08,-0.0389
1.77993e-08,-0.0301
1.78225e-08,-0.0202
1.78458e-08,-0.0122
1.78691e-08,-0.0081
1.78923e-08,-0.0079
1.79156e-08,-0.0098
1.79389e-08,-0.0109
1.79621e-08,-0.0086
1.79854e-08,-0.0028
1.80087e-08,0.0041
1.80319e-08,0.0094
1.80552e-08,0.0155
1.80785e-08,0.0312
1.81017e-08,0.0766
1.81250e-08,0.1482
1.81483e-08,0.2396
1.81715e-08,0.3459
1.81948e-08,0.4495
1.82181e-08,0.5537
1.82413e-08,0.6629
1.82646e-08,0.7697
1.82879e-08,0.8746
1.83111e-08,0.9712
1.83344e-08,1.0495
1.83577e-08,1.1088
1.83809e-08,1.1491
1.84042e-08,1.1733
1.84275e-08,1.1941
1.84507e-08,1.2174
1.84740e-08,1.2423
1.84973e-08,1.2653
1.85205e-08,1.2803
1.85438e-08,1.2870
1.85671e-08,1.2890
1.85903e-08,1.2888
1.86136e-08,1.2859
1.86369e-08,1.2757
1.86601e-08,1.2566
1.86834e-08,1.2302
1.87067e-08,1.1988
1.87299e-08,1.1684
1.87532e-08,1.1430
1.87765e-08,1.1244
1.87997e-08,1.1131
1.88230e-08,1.1064
1.88463e-08,1.1009
1.88695e-08,1.0919
1.88928e-08,1.0766
1.89161e-08,1.0381
1.89393e-08,0.9772
1.89626e-08,0.8968
1.89859e-08,0.7953
1.90091e-08,0.6859
1.90324e-08,0.5716
1.90557e-08,0.4512
1.90789e-08,0.3338
1.91022e-08,0.2264
1.91255e-08,0.1328
1.91487e-08,0.0604
1.91720e-08,0.0098
1.91953e-08,-0.0230
1.92185e-08,-0.0403
1.92418e-08,-0.0510
1.92651e-08,-0.0628
1.92883e-08,-0.0771
1.93116e-08,-0.0848
1.93349e-08,-0.0590
1.93581e-08,0.0038
1.93814e-08,0.0960
1.94047e-08,0.2141
1.94279e-08,0.3356
1.94512e-08,0.4643
1.94745e-08,0.6101
1.94977e-08,0.7602
1.95210e-08,0.9117
1.95443e-08,1.0540
1.95675e-08,1.1704
1.95908e-08,1.2580
1.96141e-08,1.3159
1.96373e-08,1.3442
1.96606e-08,1.3584
1.96839e-08,1.3689
1.97071e-08,1.3774
1.97304e-08,1.3831
1.97537e-08,1.3802
1.97769e-08,1.3699
1.98002e-08,1.3587
1.98235e-08,1.3509
1.98468e-08,1.3452
1.98700e-08,1.3325
1.98933e-08,1.3078
1.99166e-08,1.2717
1.99398e-08,1.2271
1.99631e-08,1.1810
1.99864e-08,1.1390
2.00096e-08,1.1035
2.00329e-08,1.0768
2.00562e-08,1.0576
2.00794e-08,1.0426
2.01027e-08,1.0325
2.01260e-08,1.0230
2.01492e-08,1.0121
2.01725e-08,0.9802
2.01958e-08,0.9270
2.02190e-08,0.8525
2.02423e-08,0.7543
2.02656e-08,0.6503
2.02888e-08,0.5409
2.03121e-08,0.4270
2.03354e-08,0.3171
2.03586e-08,0.2158
2.03819e-08,0.1269
2.04052e-08,0.0594
2.04284e-08,0.0130
2.04517e-08,-0.0150
2.04750e-08,-0.0263
2.04982e-08,-0.0323
2.05215e-08,-0.0412
2.05448e-08,-0.0556
2.05680e-08,-0.0756
2.05913e-08,-0.0956
2.06146e-08,-0.1115
2.06378e-08,-0.1225
2.06611e-08,-0.1293
2.06844e-08,-0.1318
2.07076e-08,-0.1269
2.07309e-08,-0.1129
2.07542e-08,-0.0900
2.07774e-08,-0.0596
2.08007e-08,-0.0255
2.08240e-08,0.0080
2.08472e-08,0.0376
2.08705e-08,0.0601
2.08938e-08,0.0742
2.09170e-08,0.0816
2.09403e-08,0.0828
2.09636e-08,0.0809
2.09868e-08,0.0824
2.10101e-08,0.1043
2.10334e-08,0.1547
2.10566e-08,0.2279
2.10799e-08,0.3269
2.11032e-08,0.4364
2.11264e-08,0.5467
2.11497e-08,0.6638
2.11730e-08,0.7759
2.11962e-08,0.8795
2.12195e-08,0.9724
2.12428e-08,1.0460
2.12660e-08,1.0992
2.12893e-08,1.1348
2.13126e-08,1.1528
2.13358e-08,1.1625
2.13591e-08,1.1740
2.13824e-08,1.1896
2.14056e-08,1.2106
2.14289e-08,1.2333
2.14522e-08,1.2531
2.14754e-08,1.2696
2.14987e-08,1.2817
2.15220e-08,1.2885
2.15452e-08,1.2860
2.15685e-08,1.2720
2.15918e-08,1.2482
2.16150e-08,1.2167
2.16383e-08,1.1826
2.16616e-08,1.1512
2.16848e-08,1.1254
2.17081e-08,1.1079
2.17314e-08,1.0994
2.17546e-08,1.0970
2.17779e-08,1.0965
2.18012e-08,1.0906
2.18244e-08,1.0662
2.18477e-08,1.0136
2.18710e-08,0.9388
2.18942e-08,0.8434
2.19175e-08,0.7338
2.19408e-08,0.6200
2.19640e-08,0.4972
2.19873e-08,0.3723
2.20106e-08,0.2548
2.20338e-08,0.1502
2.20571e-08,0.0668
2.20804e-08,0.0096
2.21037e-08,-0.0257
2.21269e-08,-0.0429
2.21502e-08,-0.0501
2.21735e-08,-0.0585
2.21967e-08,-0.0714
2.22200e-08,-0.0881
2.22433e-08,-0.1065
2.22665e-08,-0.1227
2.22898e-08,-0.1359
2.23131e-08,-0.1458
2.23363e-08,-0.1510
2.23596e-08,-0.1477
2.23829e-08,-0.1329
2.24061e-08,-0.1079
2.24294e-08,-0.0751
2.24527e-08,-0.0382
2.24759e-08,-0.0019
2.24992e-08,0.0308
2.25225e-08,0.0580
2.25457e-08,0.0778
2.25690e-08,0.0907
2.25923e-08,0.0965
2.26155e-08,0.0942
2.26388e-08,0.0845
2.26621e-08,0.0691
2.26853e-08,0.0529
2.27086e-08,0.0413
2.27319e-08,0.0371
2.27551e-08,0.0397
2.27784e-08,0.0455
2.28017e-08,0.0508
2.28249e-08,0.0532
2.28482e-08,0.0517
2.28715e-08,0.0466
2.28947e-08,0.0388
2.29180e-08,0.0287
2.29413e-08,0.0171
2.29645e-08,0.0042
2.29878e-08,-0.0096
2.30111e-08,-0.0228
2.30343e-08,-0.0326
2.30576e-08,-0.0324
2.30809e-08,-0.0107
2.31041e-08,0.0472
2.31274e-08,0.1294
2.31507e-08,0.2330
2.31739e-08,0.3496
2.31972e-08,0.4632
2.32205e-08,0.5831
2.32437e-08,0.7033
2.32670e-08,0.8159
2.32903e-08,0.9208
2.33135e-08,1.0098
2.33368e-08,1.0781
2.33601e-08,1.1296
2.33833e-08,1.1653
2.34066e-08,1.1903
2.34299e-08,1.2154
2.34531e-08,1.2416
2.34764e-08,1.2676
2.34997e-08,1.2903
2.35229e-08,1.3052
2.35462e-08,1.3137
2.35695e-08,1.3171
2.35927e-08,1.3155
2.36160e-08,1.3062
2.36393e-08,1.2856
2.36625e-08,1.2558
2.36858e-08,1.2203
2.37091e-08,1.1833
2.37323e-08,1.1509
2.37556e-08,1.1254
2.37789e-08,1.1077
2.38021e-08,1.0978
2.38254e-08,1.0928
2.38487e-08,1.0910
2.38719e-08,1.0933
2.38952e-08,1.1002
2.39185e-08,1.1122
2.39417e-08,1.1266
2.39650e-08,1.1381
2.39883e-08,1.1439
2.40115e-08,1.1447
2.40348e-08,1.1433
2.40581e-08,1.1434
2.40813e-08,1.1469
2.41046e-08,1.1541
2.41279e-08,1.1643
2.41511e-08,1.1762
2.41744e-08,1.1890
2.41977e-08,1.2019
2.42209e-08,1.2142
2.42442e-08,1.2260
2.42675e-08,1.2352
2.42907e-08,1.2323
2.43140e-08,1.2100
2.43373e-08,1.1487
2.43605e-08,1.0592
2.43838e-08,0.9525
2.44071e-08,0.8316
2.44303e-08,0.7138
2.44536e-08,0.5927
2.44769e-08,0.4663
2.45002e-08,0.3440
