.HEADER
..NAMES
Time,V U2.G2
.DATA
1.25874e-08,1.0176
1.26107e-08,1.0198
1.26340e-08,1.0259
1.26572e-08,1.0363
1.26805e-08,1.0544
1.27038e-08,1.0803
1.27270e-08,1.1083
1.27503e-08,1.1313
1.27736e-08,1.1436
1.27968e-08,1.1467
1.28201e-08,1.1487
1.28434e-08,1.1561
1.28667e-08,1.1704
1.28899e-08,1.1886
1.29132e-08,1.2063
1.29365e-08,1.2210
1.29597e-08,1.2328
1.29830e-08,1.2430
1.30063e-08,1.2523
1.30295e-08,1.2609
1.30528e-08,1.2680
1.30761e-08,1.2713
1.30993e-08,1.2683
1.31226e-08,1.2580
1.31459e-08,1.2430
1.31691e-08,1.2282
1.31924e-08,1.2177
1.32157e-08,1.2117
1.32389e-08,1.2073
1.32622e-08,1.2016
1.32855e-08,1.1946
1.33087e-08,1.1887
1.33320e-08,1.1866
1.33553e-08,1.1882
1.33785e-08,1.1913
1.34018e-08,1.1930
1.34251e-08,1.1915
1.34483e-08,1.1847
1.34716e-08,1.1663
1.34949e-08,1.1290
1.35181e-08,1.0599
1.35414e-08,0.9703
1.35647e-08,0.8670
1.35879e-08,0.7547
1.36112e-08,0.6478
1.36345e-08,0.5363
1.36577e-08,0.4223
1.36810e-08,0.3132
1.37043e-08,0.2107
1.37275e-08,0.1216
1.37508e-08,0.0532
1.37741e-08,0.0012
1.37973e-08,-0.0352
1.38206e-08,-0.0573
1.38439e-08,-0.0760
1.38671e-08,-0.0966
1.38904e-08,-0.1181
1.39137e-08,-0.1392
1.39369e-08,-0.1539
1.39602e-08,-0.1584
1.39835e-08,-0.1552
1.40067e-08,-0.1465
1.40300e-08,-0.1320
1.40533e-08,-0.1104
1.40765e-08,-0.0816
1.40998e-08,-0.0474
1.41231e-08,-0.0122
1.41463e-08,0.0187
1.41696e-08,0.0445
1.41929e-08,0.0647
1.42161e-08,0.0788
1.42394e-08,0.0883
1.42627e-08,0.0942
1.42859e-08,0.0970
1.43092e-08,0.1003
1.43325e-08,0.1108
1.43557e-08,0.1437
1.43790e-08,0.2001
1.44023e-08,0.2771
1.44255e-08,0.3759
1.44488e-08,0.4777
1.44721e-08,0.5811
1.44953e-08,0.6876
1.45186e-08,0.7852
1.45419e-08,0.8782
1.45651e-08,0.9617
1.45884e-08,1.0272
1.46117e-08,1.0765
1.46349e-08,1.1116
1.46582e-08,1.1322
1.46815e-08,1.1475
1.47047e-08,1.1660
1.47280e-08,1.1874
1.47513e-08,1.2127
1.47745e-08,1.2382
1.47978e-08,1.2562
1.48211e-08,1.2665
1.48443e-08,1.2697
1.48676e-08,1.2665
1.48909e-08,1.2574
1.49141e-08,1.2417
1.49374e-08,1.2192
1.49607e-08,1.1907
1.49839e-08,1.1612
1.50072e-08,1.1346
1.50305e-08,1.1135
1.50537e-08,1.1012
1.50770e-08,1.0972
1.51003e-08,1.0989
1.51236e-08,1.1045
1.51468e-08,1.1119
1.51701e-08,1.1201
1.51934e-08,1.1297
1.52166e-08,1.1406
1.52399e-08,1.1505
1.52632e-08,1.1573
1.52864e-08,1.1594
1.53097e-08,1.1576
1.53330e-08,1.1556
1.53562e-08,1.1567
1.53795e-08,1.1624
1.54028e-08,1.1728
1.54260e-08,1.1858
1.54493e-08,1.1992
1.54726e-08,1.2110
1.54958e-08,1.2205
1.55191e-08,1.2277
1.55424e-08,1.2328
1.55656e-08,1.2359
1.55889e-08,1.2365
1.56122e-08,1.2339
