.HEADER
..NAMES
Time,V U2.P2
.DATA
1.18662e-08,1.1968
1.18894e-08,1.1981
1.19127e-08,1.1996
1.19360e-08,1.2013
1.19592e-08,1.2030
1.19825e-08,1.2047
1.20058e-08,1.2059
1.20290e-08,1.2064
1.20523e-08,1.2058
1.20756e-08,1.2042
1.20988e-08,1.2019
1.21221e-08,1.1998
1.21454e-08,1.1985
1.21686e-08,1.1982
1.21919e-08,1.1986
1.22152e-08,1.1993
1.22384e-08,1.1999
1.22617e-08,1.2005
1.22850e-08,1.2015
1.23082e-08,1.2027
1.23315e-08,1.2040
1.23548e-08,1.2047
1.23780e-08,1.2048
1.24013e-08,1.2042
1.24246e-08,1.2032
1.24478e-08,1.2020
1.24711e-08,1.2011
1.24944e-08,1.2003
1.25176e-08,1.1997
1.25409e-08,1.1993
1.25642e-08,1.1993
1.25874e-08,1.1998
1.26107e-08,1.2009
1.26340e-08,1.2023
1.26572e-08,1.2036
1.26805e-08,1.2042
1.27038e-08,1.2042
1.27270e-08,1.2036
1.27503e-08,1.2027
1.27736e-08,1.2020
1.27968e-08,1.2014
1.28201e-08,1.2009
1.28434e-08,1.2005
1.28667e-08,1.2002
1.28899e-08,1.2001
1.29132e-08,1.2003
1.29365e-08,1.2008
1.29597e-08,1.2015
1.29830e-08,1.2022
1.30063e-08,1.2026
1.30295e-08,1.2028
1.30528e-08,1.2028
1.30761e-08,1.2028
1.30993e-08,1.2027
1.31226e-08,1.2024
1.31459e-08,1.2018
1.31691e-08,1.2011
1.31924e-08,1.2004
1.32157e-08,1.2001
1.32389e-08,1.2002
1.32622e-08,1.2007
1.32855e-08,1.2013
1.33087e-08,1.2019
1.33320e-08,1.2023
1.33553e-08,1.2025
1.33785e-08,1.2026
1.34018e-08,1.2026
1.34251e-08,1.2024
1.34483e-08,1.2022
1.34716e-08,1.2017
1.34949e-08,1.2013
1.35181e-08,1.2010
1.35414e-08,1.2009
1.35647e-08,1.2009
1.35879e-08,1.2011
1.36112e-08,1.2013
1.36345e-08,1.2014
1.36577e-08,1.2014
1.36810e-08,1.1971
1.37043e-08,1.1741
1.37275e-08,1.1160
1.37508e-08,1.0054
1.37741e-08,0.8765
1.37973e-08,0.7578
1.38206e-08,0.6254
1.38439e-08,0.4635
1.38671e-08,0.3050
1.38904e-08,0.1759
1.39137e-08,0.0688
1.39369e-08,-0.0141
1.39602e-08,-0.0690
1.39835e-08,-0.0996
1.40067e-08,-0.1145
1.40300e-08,-0.1250
1.40533e-08,-0.1383
1.40765e-08,-0.1543
1.40998e-08,-0.1666
1.41231e-08,-0.1731
1.41463e-08,-0.1767
1.41696e-08,-0.1820
1.41929e-08,-0.1907
1.42161e-08,-0.1972
1.42394e-08,-0.1899
1.42627e-08,-0.1616
1.42859e-08,-0.1207
1.43092e-08,-0.0804
1.43325e-08,-0.0393
1.43557e-08,0.0089
1.43790e-08,0.0559
1.44023e-08,0.0919
1.44255e-08,0.1178
1.44488e-08,0.1354
1.44721e-08,0.1401
1.44953e-08,0.1293
1.45186e-08,0.1069
1.45419e-08,0.0816
1.45651e-08,0.0625
1.45884e-08,0.0532
1.46117e-08,0.0504
1.46349e-08,0.0493
1.46582e-08,0.0481
1.46815e-08,0.0477
1.47047e-08,0.0494
1.47280e-08,0.0526
1.47513e-08,0.0526
1.47745e-08,0.0455
1.47978e-08,0.0317
1.48211e-08,0.0153
1.48443e-08,-0.0025
1.48676e-08,-0.0218
1.48909e-08,-0.0389
1.49141e-08,-0.0498
1.49374e-08,-0.0555
1.49607e-08,-0.0590
1.49839e-08,-0.0594
1.50072e-08,-0.0536
1.50305e-08,-0.0403
1.50537e-08,-0.0226
1.50770e-08,-0.0060
1.51003e-08,0.0048
1.51236e-08,0.0089
1.51468e-08,0.0079
1.51701e-08,0.0043
1.51934e-08,-0.0003
1.52166e-08,-0.0049
1.52399e-08,-0.0089
1.52632e-08,-0.0114
1.52864e-08,-0.0113
1.53097e-08,-0.0083
1.53330e-08,-0.0028
1.53562e-08,0.0050
1.53795e-08,0.0143
1.54028e-08,0.0227
1.54260e-08,0.0270
1.54493e-08,0.0271
1.54726e-08,0.0255
1.54958e-08,0.0237
1.55191e-08,0.0209
1.55424e-08,0.0159
1.55656e-08,0.0085
1.55889e-08,0.0001
1.56122e-08,-0.0072
1.56354e-08,-0.0116
1.56587e-08,-0.0124
1.56820e-08,-0.0097
1.57052e-08,-0.0050
1.57285e-08,0.0003
1.57518e-08,0.0047
1.57750e-08,0.0074
1.57983e-08,0.0084
1.58216e-08,0.0081
1.58448e-08,0.0065
1.58681e-08,0.0032
1.58914e-08,-0.0018
1.59146e-08,-0.0071
1.59379e-08,-0.0107
1.59612e-08,-0.0114
1.59844e-08,-0.0097
1.60077e-08,-0.0070
1.60310e-08,-0.0042
1.60542e-08,-0.0015
1.60775e-08,0.0012
1.61008e-08,0.0040
1.61240e-08,0.0067
1.61473e-08,0.0091
1.61706e-08,0.0104
1.61938e-08,0.0099
1.62171e-08,0.0075
1.62404e-08,0.0039
1.62636e-08,0.0005
1.62869e-08,-0.0020
1.63102e-08,-0.0031
1.63334e-08,-0.0033
1.63567e-08,-0.0028
1.63800e-08,-0.0015
1.64032e-08,0.0008
1.64265e-08,0.0039
1.64498e-08,0.0068
1.64730e-08,0.0085
1.64963e-08,0.0084
1.65196e-08,0.0069
1.65428e-08,0.0045
1.65661e-08,0.0019
1.65894e-08,-0.0001
1.66126e-08,-0.0013
1.66359e-08,-0.0018
1.66592e-08,-0.0022
1.66824e-08,-0.0024
1.67057e-08,-0.0024
1.67290e-08,-0.0016
1.67522e-08,-0.0000
1.67755e-08,0.0019
1.67988e-08,0.0036
1.68220e-08,0.0045
1.68453e-08,0.0047
1.68686e-08,0.0045
1.68918e-08,0.0039
1.69151e-08,0.0029
1.69384e-08,0.0016
1.69616e-08,0.0001
1.69849e-08,-0.0014
1.70082e-08,-0.0021
1.70314e-08,0.0012
1.70547e-08,0.0203
1.70780e-08,0.0793
