.HEADER
..NAMES
Time,V U2.T2
.DATA
1.22384e-08,1.2009
1.22617e-08,1.2009
1.22850e-08,1.2008
1.23082e-08,1.2005
1.23315e-08,1.2002
1.23548e-08,1.2000
1.23780e-08,1.1999
1.24013e-08,1.2000
1.24246e-08,1.2002
1.24478e-08,1.2005
1.24711e-08,1.2008
1.24944e-08,1.2009
1.25176e-08,1.2009
1.25409e-08,1.2008
1.25642e-08,1.2007
1.25874e-08,1.2006
1.26107e-08,1.2004
1.26340e-08,1.2003
1.26572e-08,1.2002
1.26805e-08,1.2001
1.27038e-08,1.2002
1.27270e-08,1.2003
1.27503e-08,1.2005
1.27736e-08,1.2006
1.27968e-08,1.2007
1.28201e-08,1.2003
1.28434e-08,1.1924
1.28667e-08,1.1611
1.28899e-08,1.0841
1.29132e-08,0.9511
1.29365e-08,0.8071
1.29597e-08,0.6844
1.29830e-08,0.5705
1.30063e-08,0.4371
1.30295e-08,0.2928
1.30528e-08,0.1629
1.30761e-08,0.0558
1.30993e-08,-0.0212
1.31226e-08,-0.0679
1.31459e-08,-0.0939
1.31691e-08,-0.1097
1.31924e-08,-0.1246
1.32157e-08,-0.1419
1.32389e-08,-0.1634
1.32622e-08,-0.1846
1.32855e-08,-0.1954
1.33087e-08,-0.1910
1.33320e-08,-0.1772
1.33553e-08,-0.1633
1.33785e-08,-0.1481
1.34018e-08,-0.1175
1.34251e-08,-0.0644
1.34483e-08,-0.0016
1.34716e-08,0.0509
1.34949e-08,0.0863
1.35181e-08,0.1095
1.35414e-08,0.1250
1.35647e-08,0.1350
1.35879e-08,0.1402
1.36112e-08,0.1385
1.36345e-08,0.1285
1.36577e-08,0.1120
1.36810e-08,0.0928
1.37043e-08,0.0749
1.37275e-08,0.0626
1.37508e-08,0.0597
1.37741e-08,0.0643
1.37973e-08,0.0676
1.38206e-08,0.0607
1.38439e-08,0.0432
1.38671e-08,0.0227
1.38904e-08,0.0054
1.39137e-08,-0.0099
1.39369e-08,-0.0271
1.39602e-08,-0.0462
1.39835e-08,-0.0625
1.40067e-08,-0.0711
1.40300e-08,-0.0706
1.40533e-08,-0.0624
