.HEADER
..NAMES
Time,V U2.C2
.DATA
1.69384e-08,-0.2408
1.69616e-08,-0.2098
1.69849e-08,-0.1735
1.70082e-08,-0.1288
1.70314e-08,-0.0884
1.70547e-08,-0.0488
1.70780e-08,-0.0011
1.71012e-08,0.0464
1.71245e-08,0.0879
1.71478e-08,0.1227
1.71710e-08,0.1443
1.71943e-08,0.1539
1.72176e-08,0.1614
1.72408e-08,0.1733
1.72641e-08,0.1945
1.72874e-08,0.2485
1.73106e-08,0.3236
1.73339e-08,0.3831
1.73572e-08,0.4505
1.73804e-08,0.5505
1.74037e-08,0.6490
1.74270e-08,0.7470
1.74502e-08,0.8543
1.74735e-08,0.9469
1.74968e-08,1.0194
1.75201e-08,1.0795
1.75433e-08,1.1246
1.75666e-08,1.1540
1.75899e-08,1.1753
1.76131e-08,1.1919
1.76364e-08,1.2005
1.76597e-08,1.2041
1.76829e-08,1.2123
1.77062e-08,1.2309
1.77295e-08,1.2566
1.77527e-08,1.2787
1.77760e-08,1.2864
1.77993e-08,1.2841
1.78225e-08,1.2792
1.78458e-08,1.2650
1.78691e-08,1.2447
1.78923e-08,1.2268
1.79156e-08,1.2050
1.79389e-08,1.1774
1.79621e-08,1.1517
1.79854e-08,1.1300
1.80087e-08,1.1141
1.80319e-08,1.1093
1.80552e-08,1.1136
1.80785e-08,1.1197
1.81017e-08,1.1268
1.81250e-08,1.1387
1.81483e-08,1.1548
1.81715e-08,1.1696
1.81948e-08,1.1787
1.82181e-08,1.1804
1.82413e-08,1.1764
1.82646e-08,1.1701
1.82879e-08,1.1641
1.83111e-08,1.1621
1.83344e-08,1.1672
1.83577e-08,1.1760
1.83809e-08,1.1848
1.84042e-08,1.1939
1.84275e-08,1.2033
1.84507e-08,1.2132
1.84740e-08,1.2246
1.84973e-08,1.2344
1.85205e-08,1.2385
1.85438e-08,1.2375
1.85671e-08,1.2344
1.85903e-08,1.2298
1.86136e-08,1.2232
1.86369e-08,1.2155
1.86601e-08,1.2073
1.86834e-08,1.1991
1.87067e-08,1.1925
1.87299e-08,1.1895
1.87532e-08,1.1914
1.87765e-08,1.1976
1.87997e-08,1.2047
1.88230e-08,1.2093
1.88463e-08,1.2100
1.88695e-08,1.2055
1.88928e-08,1.1829
1.89161e-08,1.1306
1.89393e-08,1.0294
1.89626e-08,0.9074
1.89859e-08,0.8074
1.90091e-08,0.7098
1.90324e-08,0.5861
1.90557e-08,0.4592
1.90789e-08,0.3395
1.91022e-08,0.2191
1.91255e-08,0.1120
1.91487e-08,0.0309
1.91720e-08,-0.0276
1.91953e-08,-0.0659
1.92185e-08,-0.0903
1.92418e-08,-0.1114
1.92651e-08,-0.1331
1.92883e-08,-0.1485
1.93116e-08,-0.1540
1.93349e-08,-0.1612
1.93581e-08,-0.1796
1.93814e-08,-0.2016
1.94047e-08,-0.2101
1.94279e-08,-0.1958
1.94512e-08,-0.1675
1.94745e-08,-0.1357
1.94977e-08,-0.0982
1.95210e-08,-0.0592
1.95443e-08,-0.0287
1.95675e-08,-0.0014
1.95908e-08,0.0295
1.96141e-08,0.0609
1.96373e-08,0.0888
1.96606e-08,0.1076
1.96839e-08,0.1116
1.97071e-08,0.1043
1.97304e-08,0.0961
1.97537e-08,0.0901
1.97769e-08,0.0808
1.98002e-08,0.0670
1.98235e-08,0.0554
1.98468e-08,0.0510
1.98700e-08,0.0532
