.HEADER
..NAMES
Time,V U2.E7
.DATA
1.65428e-08,0.5188
1.65661e-08,0.5195
1.65894e-08,0.5197
1.66126e-08,0.5185
1.66359e-08,0.5164
1.66592e-08,0.5142
1.66824e-08,0.5124
1.67057e-08,0.5113
1.67290e-08,0.5116
1.67522e-08,0.5125
1.67755e-08,0.5137
1.67988e-08,0.5146
1.68220e-08,0.5142
1.68453e-08,0.5137
1.68686e-08,0.5137
1.68918e-08,0.5143
1.69151e-08,0.5151
1.69384e-08,0.5151
1.69616e-08,0.5143
1.69849e-08,0.5133
1.70082e-08,0.5128
1.70314e-08,0.5130
1.70547e-08,0.5137
1.70780e-08,0.5143
1.71012e-08,0.5147
1.71245e-08,0.5149
1.71478e-08,0.5148
1.71710e-08,0.5146
1.71943e-08,0.5145
1.72176e-08,0.5197
1.72408e-08,0.5510
1.72641e-08,0.6255
1.72874e-08,0.7234
1.73106e-08,0.8476
1.73339e-08,0.9642
1.73572e-08,1.0419
1.73804e-08,1.1000
1.74037e-08,1.1248
1.74270e-08,1.1319
1.74502e-08,1.1437
1.74735e-08,1.1517
1.74968e-08,1.1622
1.75201e-08,1.1806
1.75433e-08,1.1923
1.75666e-08,1.1959
1.75899e-08,1.1998
1.76131e-08,1.1992
1.76364e-08,1.2038
1.76597e-08,1.2154
1.76829e-08,1.2218
1.77062e-08,1.2249
1.77295e-08,1.2196
1.77527e-08,1.2086
1.77760e-08,1.2008
1.77993e-08,1.1935
1.78225e-08,1.1897
1.78458e-08,1.1886
1.78691e-08,1.1876
1.78923e-08,1.1886
1.79156e-08,1.1897
1.79389e-08,1.1896
1.79621e-08,1.1906
1.79854e-08,1.1934
1.80087e-08,1.1967
1.80319e-08,1.2010
1.80552e-08,1.2021
1.80785e-08,1.1993
1.81017e-08,1.1962
1.81250e-08,1.1930
1.81483e-08,1.1931
1.81715e-08,1.1953
1.81948e-08,1.1965
1.82181e-08,1.1976
1.82413e-08,1.1977
1.82646e-08,1.1973
1.82879e-08,1.1975
1.83111e-08,1.1975
1.83344e-08,1.1977
1.83577e-08,1.1989
1.83809e-08,1.2001
1.84042e-08,1.2006
1.84275e-08,1.2002
1.84507e-08,1.1984
1.84740e-08,1.1970
1.84973e-08,1.1971
1.85205e-08,1.1978
1.85438e-08,1.1990
