.HEADER
..NAMES
Time,V U2.N7
.DATA
1.10286e-08,1.0906
1.10518e-08,1.0754
1.10751e-08,1.0704
1.10984e-08,1.0739
1.11216e-08,1.0857
1.11449e-08,1.1038
1.11682e-08,1.1239
1.11914e-08,1.1419
1.12147e-08,1.1550
1.12380e-08,1.1607
1.12612e-08,1.1565
1.12845e-08,1.1454
1.13078e-08,1.1363
1.13310e-08,1.1375
1.13543e-08,1.1499
1.13776e-08,1.1667
1.14008e-08,1.1823
1.14241e-08,1.1972
1.14474e-08,1.2141
1.14706e-08,1.2330
1.14939e-08,1.2507
1.15172e-08,1.2627
1.15404e-08,1.2658
1.15637e-08,1.2598
1.15870e-08,1.2474
1.16102e-08,1.2319
1.16335e-08,1.2167
1.16568e-08,1.2049
1.16800e-08,1.1980
1.17033e-08,1.1951
1.17266e-08,1.1941
1.17498e-08,1.1946
1.17731e-08,1.1982
1.17964e-08,1.2050
1.18196e-08,1.2117
1.18429e-08,1.2135
1.18662e-08,1.2082
1.18894e-08,1.1981
1.19127e-08,1.1874
1.19360e-08,1.1793
1.19592e-08,1.1747
1.19825e-08,1.1730
1.20058e-08,1.1699
1.20290e-08,1.1510
1.20523e-08,1.0998
1.20756e-08,0.9936
1.20988e-08,0.8573
1.21221e-08,0.7284
1.21454e-08,0.5960
1.21686e-08,0.4442
1.21919e-08,0.2909
1.22152e-08,0.1553
1.22384e-08,0.0480
1.22617e-08,-0.0275
1.22850e-08,-0.0737
1.23082e-08,-0.1009
1.23315e-08,-0.1197
1.23548e-08,-0.1344
1.23780e-08,-0.1481
1.24013e-08,-0.1615
1.24246e-08,-0.1747
1.24478e-08,-0.1808
1.24711e-08,-0.1777
1.24944e-08,-0.1708
1.25176e-08,-0.1660
1.25409e-08,-0.1605
1.25642e-08,-0.1398
1.25874e-08,-0.0955
1.26107e-08,-0.0389
1.26340e-08,0.0156
1.26572e-08,0.0617
1.26805e-08,0.0986
1.27038e-08,0.1251
1.27270e-08,0.1412
1.27503e-08,0.1465
1.27736e-08,0.1402
1.27968e-08,0.1248
1.28201e-08,0.1050
1.28434e-08,0.0855
1.28667e-08,0.0739
1.28899e-08,0.0858
1.29132e-08,0.1488
1.29365e-08,0.2647
1.29597e-08,0.3894
1.29830e-08,0.5047
1.30063e-08,0.6282
1.30295e-08,0.7610
1.30528e-08,0.8862
1.30761e-08,0.9905
1.30993e-08,1.0657
1.31226e-08,1.1110
1.31459e-08,1.1338
1.31691e-08,1.1486
1.31924e-08,1.1654
1.32157e-08,1.1890
1.32389e-08,1.2199
1.32622e-08,1.2566
1.32855e-08,1.2911
1.33087e-08,1.3132
1.33320e-08,1.3210
1.33553e-08,1.3216
1.33785e-08,1.3213
1.34018e-08,1.3130
1.34251e-08,1.2828
1.34483e-08,1.2327
1.34716e-08,1.1785
1.34949e-08,1.1328
1.35181e-08,1.0997
1.35414e-08,1.0796
1.35647e-08,1.0708
1.35879e-08,1.0709
1.36112e-08,1.0795
1.36345e-08,1.0958
1.36577e-08,1.1161
1.36810e-08,1.1358
1.37043e-08,1.1514
1.37275e-08,1.1603
1.37508e-08,1.1599
1.37741e-08,1.1504
1.37973e-08,1.1388
1.38206e-08,1.1351
1.38439e-08,1.1436
1.38671e-08,1.1596
1.38904e-08,1.1760
1.39137e-08,1.1909
1.39369e-08,1.2070
1.39602e-08,1.2256
1.39835e-08,1.2444
1.40067e-08,1.2593
1.40300e-08,1.2661
1.40533e-08,1.2634
1.40765e-08,1.2530
1.40998e-08,1.2382
1.41231e-08,1.2225
1.41463e-08,1.2090
1.41696e-08,1.1999
1.41929e-08,1.1956
1.42161e-08,1.1939
1.42394e-08,1.1938
1.42627e-08,1.1961
1.42859e-08,1.2021
1.43092e-08,1.2096
1.43325e-08,1.2140
1.43557e-08,1.2114
1.43790e-08,1.2026
1.44023e-08,1.1915
1.44255e-08,1.1820
1.44488e-08,1.1760
1.44721e-08,1.1732
1.44953e-08,1.1718
1.45186e-08,1.1613
1.45419e-08,1.1260
1.45651e-08,1.0428
1.45884e-08,0.9123
1.46117e-08,0.7795
1.46349e-08,0.6520
1.46582e-08,0.5073
1.46815e-08,0.3514
1.47047e-08,0.2073
1.47280e-08,0.0876
1.47513e-08,-0.0007
1.47745e-08,-0.0581
1.47978e-08,-0.0913
1.48211e-08,-0.1130
1.48443e-08,-0.1289
1.48676e-08,-0.1429
1.48909e-08,-0.1561
1.49141e-08,-0.1698
1.49374e-08,-0.1795
1.49607e-08,-0.1796
1.49839e-08,-0.1733
1.50072e-08,-0.1674
1.50305e-08,-0.1637
1.50537e-08,-0.1511
1.50770e-08,-0.1158
1.51003e-08,-0.0621
1.51236e-08,-0.0057
1.51468e-08,0.0440
1.51701e-08,0.0847
1.51934e-08,0.1156
1.52166e-08,0.1359
1.52399e-08,0.1457
1.52632e-08,0.1441
1.52864e-08,0.1319
1.53097e-08,0.1132
1.53330e-08,0.0930
1.53562e-08,0.0769
1.53795e-08,0.0768
1.54028e-08,0.1163
1.54260e-08,0.2152
1.54493e-08,0.3414
1.54726e-08,0.4598
1.54958e-08,0.5778
1.55191e-08,0.7085
1.55424e-08,0.8390
1.55656e-08,0.9530
1.55889e-08,1.0400
1.56122e-08,1.0967
1.56354e-08,1.1267
1.56587e-08,1.1429
1.56820e-08,1.1579
1.57052e-08,1.1785
1.57285e-08,1.2066
1.57518e-08,1.2415
1.57750e-08,1.2782
1.57983e-08,1.3061
1.58216e-08,1.3191
1.58448e-08,1.3214
1.58681e-08,1.3215
1.58914e-08,1.3182
1.59146e-08,1.2977
1.59379e-08,1.2540
1.59612e-08,1.1993
1.59844e-08,1.1493
1.60077e-08,1.1111
1.60310e-08,1.0860
1.60542e-08,1.0730
1.60775e-08,1.0697
1.61008e-08,1.0750
1.61240e-08,1.0886
1.61473e-08,1.1079
1.61706e-08,1.1250
1.61938e-08,1.1218
1.62171e-08,1.0781
1.62404e-08,0.9683
1.62636e-08,0.8176
1.62869e-08,0.6691
1.63102e-08,0.5223
1.63334e-08,0.3714
1.63567e-08,0.2342
1.63800e-08,0.1211
1.64032e-08,0.0352
1.64265e-08,-0.0207
1.64498e-08,-0.0466
1.64730e-08,-0.0535
1.64963e-08,-0.0553
1.65196e-08,-0.0615
1.65428e-08,-0.0784
1.65661e-08,-0.1059
1.65894e-08,-0.1392
1.66126e-08,-0.1657
1.66359e-08,-0.1786
1.66592e-08,-0.1809
1.66824e-08,-0.1784
1.67057e-08,-0.1709
1.67290e-08,-0.1466
1.67522e-08,-0.0980
1.67755e-08,-0.0347
1.67988e-08,0.0285
1.68220e-08,0.0820
1.68453e-08,0.1192
1.68686e-08,0.1372
1.68918e-08,0.1388
1.69151e-08,0.1294
1.69384e-08,0.1127
1.69616e-08,0.0923
1.69849e-08,0.0721
1.70082e-08,0.0547
1.70314e-08,0.0424
1.70547e-08,0.0380
1.70780e-08,0.0442
1.71012e-08,0.0574
1.71245e-08,0.0684
1.71478e-08,0.0695
1.71710e-08,0.0595
1.71943e-08,0.0439
1.72176e-08,0.0269
1.72408e-08,0.0086
1.72641e-08,-0.0120
1.72874e-08,-0.0342
1.73106e-08,-0.0549
1.73339e-08,-0.0700
1.73572e-08,-0.0755
1.73804e-08,-0.0699
1.74037e-08,-0.0551
1.74270e-08,-0.0356
1.74502e-08,-0.0166
1.74735e-08,-0.0026
1.74968e-08,0.0043
1.75201e-08,0.0058
1.75433e-08,0.0048
1.75666e-08,0.0024
1.75899e-08,-0.0023
1.76131e-08,-0.0092
1.76364e-08,-0.0154
1.76597e-08,-0.0168
1.76829e-08,-0.0117
1.77062e-08,-0.0017
1.77295e-08,0.0100
1.77527e-08,0.0203
1.77760e-08,0.0274
1.77993e-08,0.0313
1.78225e-08,0.0325
1.78458e-08,0.0320
1.78691e-08,0.0360
1.78923e-08,0.0616
1.79156e-08,0.1361
1.79389e-08,0.2511
1.79621e-08,0.3726
1.79854e-08,0.4984
1.80087e-08,0.6447
1.80319e-08,0.7996
1.80552e-08,0.9415
1.80785e-08,1.0579
1.81017e-08,1.1442
1.81250e-08,1.1996
1.81483e-08,1.2310
1.81715e-08,1.2486
1.81948e-08,1.2592
1.82181e-08,1.2678
1.82413e-08,1.2785
1.82646e-08,1.2929
1.82879e-08,1.3056
1.83111e-08,1.3105
1.83344e-08,1.3084
1.83577e-08,1.3060
1.83809e-08,1.3048
1.84042e-08,1.2939
1.84275e-08,1.2623
1.84507e-08,1.2154
1.84740e-08,1.1661
1.84973e-08,1.1214
1.85205e-08,1.0835
1.85438e-08,1.0553
1.85671e-08,1.0389
1.85903e-08,1.0352
1.86136e-08,1.0445
1.86369e-08,1.0643
1.86601e-08,1.0886
1.86834e-08,1.1025
1.87067e-08,1.0868
1.87299e-08,1.0151
1.87532e-08,0.8855
1.87765e-08,0.7441
1.87997e-08,0.6058
1.88230e-08,0.4579
1.88463e-08,0.3101
1.88695e-08,0.1808
1.88928e-08,0.0766
1.89161e-08,0.0035
1.89393e-08,-0.0372
1.89626e-08,-0.0516
1.89859e-08,-0.0549
1.90091e-08,-0.0573
1.90324e-08,-0.0665
1.90557e-08,-0.0854
1.90789e-08,-0.1133
1.91022e-08,-0.1419
1.91255e-08,-0.1614
1.91487e-08,-0.1714
1.91720e-08,-0.1759
1.91953e-08,-0.1770
1.92185e-08,-0.1660
1.92418e-08,-0.1301
1.92651e-08,-0.0727
1.92883e-08,-0.0091
1.93116e-08,0.0490
1.93349e-08,0.0946
1.93581e-08,0.1236
1.93814e-08,0.1359
1.94047e-08,0.1352
1.94279e-08,0.1243
1.94512e-08,0.1058
1.94745e-08,0.0841
1.94977e-08,0.0632
1.95210e-08,0.0463
1.95443e-08,0.0363
1.95675e-08,0.0367
1.95908e-08,0.0470
1.96141e-08,0.0600
1.96373e-08,0.0668
1.96606e-08,0.0632
1.96839e-08,0.0522
1.97071e-08,0.0386
1.97304e-08,0.0232
1.97537e-08,0.0042
1.97769e-08,-0.0185
1.98002e-08,-0.0420
1.98235e-08,-0.0618
1.98468e-08,-0.0731
1.98700e-08,-0.0733
1.98933e-08,-0.0634
1.99166e-08,-0.0466
1.99398e-08,-0.0278
1.99631e-08,-0.0113
1.99864e-08,-0.0004
2.00096e-08,0.0049
2.00329e-08,0.0066
2.00562e-08,0.0061
2.00794e-08,0.0028
2.01027e-08,-0.0039
2.01260e-08,-0.0118
2.01492e-08,-0.0168
2.01725e-08,-0.0155
2.01958e-08,-0.0082
2.02190e-08,0.0023
2.02423e-08,0.0129
2.02656e-08,0.0215
2.02888e-08,0.0277
2.03121e-08,0.0314
2.03354e-08,0.0328
2.03586e-08,0.0347
2.03819e-08,0.0492
2.04052e-08,0.1020
2.04284e-08,0.2045
