.HEADER
..NAMES
Time,V U2.B7&A7
.DATA
1.40300e-08,-0.6847
1.40533e-08,-0.6933
1.40765e-08,-0.6889
1.40998e-08,-0.6492
1.41231e-08,-0.5286
1.41463e-08,-0.3043
1.41696e-08,-0.0790
1.41929e-08,0.0816
1.42161e-08,0.2191
1.42394e-08,0.3528
1.42627e-08,0.4623
1.42859e-08,0.5303
1.43092e-08,0.5700
1.43325e-08,0.6108
1.43557e-08,0.6385
1.43790e-08,0.6441
1.44023e-08,0.6472
1.44255e-08,0.6639
1.44488e-08,0.6849
1.44721e-08,0.6951
1.44953e-08,0.6865
1.45186e-08,0.6391
1.45419e-08,0.5100
1.45651e-08,0.2840
1.45884e-08,0.0632
1.46117e-08,-0.0964
1.46349e-08,-0.2330
1.46582e-08,-0.3594
1.46815e-08,-0.4629
1.47047e-08,-0.5323
1.47280e-08,-0.5774
1.47513e-08,-0.6174
1.47745e-08,-0.6395
1.47978e-08,-0.6449
1.48211e-08,-0.6527
1.48443e-08,-0.6706
1.48676e-08,-0.6873
1.48909e-08,-0.6938
1.49141e-08,-0.6848
1.49374e-08,-0.6337
1.49607e-08,-0.4907
1.49839e-08,-0.2558
1.50072e-08,-0.0427
1.50305e-08,0.1089
1.50537e-08,0.2465
1.50770e-08,0.3770
1.51003e-08,0.4793
1.51236e-08,0.5391
1.51468e-08,0.5779
1.51701e-08,0.6182
1.51934e-08,0.6410
1.52166e-08,0.6442
1.52399e-08,0.6494
1.52632e-08,0.6684
1.52864e-08,0.6880
1.53097e-08,0.6953
1.53330e-08,0.6810
1.53562e-08,0.6219
1.53795e-08,0.4708
1.54028e-08,0.2362
1.54260e-08,0.0277
1.54493e-08,-0.1239
1.54726e-08,-0.2593
1.54958e-08,-0.3821
1.55191e-08,-0.4796
1.55424e-08,-0.5421
1.55656e-08,-0.5858
1.55889e-08,-0.6237
1.56122e-08,-0.6413
1.56354e-08,-0.6458
1.56587e-08,-0.6556
1.56820e-08,-0.6746
1.57052e-08,-0.6893
1.57285e-08,-0.6938
1.57518e-08,-0.6791
1.57750e-08,-0.6145
1.57983e-08,-0.4486
1.58216e-08,-0.2086
1.58448e-08,-0.0092
1.58681e-08,0.1358
1.58914e-08,0.2736
1.59146e-08,0.4000
1.59379e-08,0.4944
1.59612e-08,0.5471
1.59844e-08,0.5861
1.60077e-08,0.6248
1.60310e-08,0.6426
1.60542e-08,0.6444
1.60775e-08,0.6523
1.61008e-08,0.6729
1.61240e-08,0.6905
1.61473e-08,0.6947
1.61706e-08,0.6739
1.61938e-08,0.6009
1.62171e-08,0.4279
1.62404e-08,0.1901
1.62636e-08,-0.0052
1.62869e-08,-0.1509
1.63102e-08,-0.2850
1.63334e-08,-0.4037
1.63567e-08,-0.4947
1.63800e-08,-0.5511
1.64032e-08,-0.5942
1.64265e-08,-0.6290
1.64498e-08,-0.6426
1.64730e-08,-0.6469
1.64963e-08,-0.6590
1.65196e-08,-0.6783
1.65428e-08,-0.6910
1.65661e-08,-0.6931
1.65894e-08,-0.6716
1.66126e-08,-0.5911
1.66359e-08,-0.4031
1.66592e-08,-0.1637
1.66824e-08,0.0218
1.67057e-08,0.1628
1.67290e-08,0.3001
1.67522e-08,0.4218
1.67755e-08,0.5077
1.67988e-08,0.5547
1.68220e-08,0.5944
1.68453e-08,0.6303
1.68686e-08,0.6435
1.68918e-08,0.6449
1.69151e-08,0.6557
1.69384e-08,0.6771
1.69616e-08,0.6925
1.69849e-08,0.6931
1.70082e-08,0.6649
1.70314e-08,0.5757
1.70547e-08,0.3822
1.70780e-08,0.1463
1.71012e-08,-0.0360
1.71245e-08,-0.1777
1.71478e-08,-0.3101
1.71710e-08,-0.4242
1.71943e-08,-0.5082
1.72176e-08,-0.5598
1.72408e-08,-0.6023
1.72641e-08,-0.6334
1.72874e-08,-0.6435
1.73106e-08,-0.6484
1.73339e-08,-0.6627
1.73572e-08,-0.6816
1.73804e-08,-0.6922
1.74037e-08,-0.6915
1.74270e-08,-0.6619
1.74502e-08,-0.5631
1.74735e-08,-0.3557
1.74968e-08,-0.1217
1.75201e-08,0.0509
1.75433e-08,0.1898
1.75666e-08,0.3260
1.75899e-08,0.4420
1.76131e-08,0.5192
1.76364e-08,0.5621
1.76597e-08,0.6026
1.76829e-08,0.6348
1.77062e-08,0.6439
1.77295e-08,0.6459
1.77527e-08,0.6596
1.77760e-08,0.6811
1.77993e-08,0.6939
1.78225e-08,0.6905
1.78458e-08,0.6536
1.78691e-08,0.5460
1.78923e-08,0.3349
1.79156e-08,0.1052
1.79389e-08,-0.0652
1.79621e-08,-0.2044
1.79854e-08,-0.3343
1.80087e-08,-0.4433
1.80319e-08,-0.5202
1.80552e-08,-0.5682
1.80785e-08,-0.6099
1.81017e-08,-0.6367
1.81250e-08,-0.6441
1.81483e-08,-0.6503
1.81715e-08,-0.6666
1.81948e-08,-0.6846
1.82181e-08,-0.6931
1.82413e-08,-0.6889
1.82646e-08,-0.6497
1.82879e-08,-0.5302
1.83111e-08,-0.3073
1.83344e-08,-0.0826
1.83577e-08,0.0788
1.83809e-08,0.2171
1.84042e-08,0.3509
1.84275e-08,0.4606
1.84507e-08,0.5292
1.84740e-08,0.5696
1.84973e-08,0.6104
1.85205e-08,0.6382
1.85438e-08,0.6441
1.85671e-08,0.6474
1.85903e-08,0.6638
1.86136e-08,0.6846
1.86369e-08,0.6949
1.86601e-08,0.6866
1.86834e-08,0.6398
1.87067e-08,0.5116
1.87299e-08,0.2871
1.87532e-08,0.0671
1.87765e-08,-0.0934
1.87997e-08,-0.2309
1.88230e-08,-0.3576
1.88463e-08,-0.4612
1.88695e-08,-0.5309
1.88928e-08,-0.5767
1.89161e-08,-0.6170
1.89393e-08,-0.6393
1.89626e-08,-0.6448
1.89859e-08,-0.6527
1.90091e-08,-0.6706
1.90324e-08,-0.6871
1.90557e-08,-0.6936
1.90789e-08,-0.6849
1.91022e-08,-0.6344
1.91255e-08,-0.4927
1.91487e-08,-0.2593
1.91720e-08,-0.0464
1.91953e-08,0.1060
1.92185e-08,0.2443
1.92418e-08,0.3748
1.92651e-08,0.4775
1.92883e-08,0.5380
1.93116e-08,0.5774
1.93349e-08,0.6177
1.93581e-08,0.6406
1.93814e-08,0.6442
1.94047e-08,0.6496
1.94279e-08,0.6682
1.94512e-08,0.6876
1.94745e-08,0.6951
1.94977e-08,0.6813
1.95210e-08,0.6228
1.95443e-08,0.4728
1.95675e-08,0.2398
1.95908e-08,0.0316
1.96141e-08,-0.1209
1.96373e-08,-0.2572
1.96606e-08,-0.3800
1.96839e-08,-0.4777
1.97071e-08,-0.5407
1.97304e-08,-0.5851
1.97537e-08,-0.6233
1.97769e-08,-0.6410
1.98002e-08,-0.6456
1.98235e-08,-0.6556
1.98468e-08,-0.6745
1.98700e-08,-0.6891
1.98933e-08,-0.6936
1.99166e-08,-0.6793
1.99398e-08,-0.6155
1.99631e-08,-0.4510
1.99864e-08,-0.2126
2.00096e-08,-0.0129
2.00329e-08,0.1331
2.00562e-08,0.2713
2.00794e-08,0.3977
2.01027e-08,0.4926
2.01260e-08,0.5461
2.01492e-08,0.5855
2.01725e-08,0.6241
2.01958e-08,0.6423
2.02190e-08,0.6445
2.02423e-08,0.6524
2.02656e-08,0.6726
2.02888e-08,0.6901
2.03121e-08,0.6946
2.03354e-08,0.6743
2.03586e-08,0.6021
2.03819e-08,0.4303
2.04052e-08,0.1940
2.04284e-08,-0.0016
2.04517e-08,-0.1483
2.04750e-08,-0.2830
2.04982e-08,-0.4016
2.05215e-08,-0.4928
2.05448e-08,-0.5499
2.05680e-08,-0.5936
2.05913e-08,-0.6286
2.06146e-08,-0.6423
2.06378e-08,-0.6468
2.06611e-08,-0.6589
2.06844e-08,-0.6781
2.07076e-08,-0.6908
2.07309e-08,-0.6930
2.07542e-08,-0.6720
2.07774e-08,-0.5925
2.08007e-08,-0.4060
2.08240e-08,-0.1678
2.08472e-08,0.0186
2.08705e-08,0.1606
2.08938e-08,0.2979
2.09170e-08,0.4195
2.09403e-08,0.5061
2.09636e-08,0.5540
2.09868e-08,0.5938
2.10101e-08,0.6297
2.10334e-08,0.6433
2.10566e-08,0.6451
2.10799e-08,0.6557
2.11032e-08,0.6768
2.11264e-08,0.6922
2.11497e-08,0.6933
2.11730e-08,0.6655
2.11962e-08,0.5772
2.12195e-08,0.3850
2.12428e-08,0.1502
2.12660e-08,-0.0330
2.12893e-08,-0.1758
2.13126e-08,-0.3083
2.13358e-08,-0.4221
2.13591e-08,-0.5066
2.13824e-08,-0.5589
2.14056e-08,-0.6018
2.14289e-08,-0.6330
2.14522e-08,-0.6433
2.14754e-08,-0.6483
2.14987e-08,-0.6626
2.15220e-08,-0.6814
2.15452e-08,-0.6921
2.15685e-08,-0.6916
2.15918e-08,-0.6624
2.16150e-08,-0.5648
2.16383e-08,-0.3589
2.16616e-08,-0.1255
2.16848e-08,0.0485
2.17081e-08,0.1882
2.17314e-08,0.3239
2.17546e-08,0.4400
2.17779e-08,0.5180
2.18012e-08,0.5616
2.18244e-08,0.6020
2.18477e-08,0.6342
2.18710e-08,0.6439
