.HEADER
..NAMES
Time,V U2.L8
.DATA
1.80785e-08,1.0069
1.81017e-08,1.0808
1.81250e-08,1.1256
1.81483e-08,1.1468
1.81715e-08,1.1561
1.81948e-08,1.1651
1.82181e-08,1.1810
1.82413e-08,1.2081
1.82646e-08,1.2461
1.82879e-08,1.2866
1.83111e-08,1.3163
1.83344e-08,1.3285
1.83577e-08,1.3292
1.83809e-08,1.3278
1.84042e-08,1.3210
1.84275e-08,1.2956
1.84507e-08,1.2481
1.84740e-08,1.1907
1.84973e-08,1.1382
1.85205e-08,1.0990
1.85438e-08,1.0764
1.85671e-08,1.0688
1.85903e-08,1.0714
1.86136e-08,1.0809
1.86369e-08,1.0961
1.86601e-08,1.1145
1.86834e-08,1.1331
1.87067e-08,1.1498
1.87299e-08,1.1629
1.87532e-08,1.1686
1.87765e-08,1.1633
1.87997e-08,1.1493
1.88230e-08,1.1365
1.88463e-08,1.1346
1.88695e-08,1.1453
1.88928e-08,1.1624
1.89161e-08,1.1800
1.89393e-08,1.1971
1.89626e-08,1.2153
1.89859e-08,1.2348
1.90091e-08,1.2530
1.90324e-08,1.2657
1.90557e-08,1.2691
1.90789e-08,1.2627
1.91022e-08,1.2488
1.91255e-08,1.2315
1.91487e-08,1.2144
1.91720e-08,1.2016
1.91953e-08,1.1952
1.92185e-08,1.1938
1.92418e-08,1.1942
1.92651e-08,1.1948
1.92883e-08,1.1972
1.93116e-08,1.2032
1.93349e-08,1.2111
1.93581e-08,1.2162
1.93814e-08,1.2146
1.94047e-08,1.2062
1.94279e-08,1.1944
1.94512e-08,1.1832
1.94745e-08,1.1755
1.94977e-08,1.1698
1.95210e-08,1.1538
1.95443e-08,1.1110
1.95675e-08,1.0162
1.95908e-08,0.8852
1.96141e-08,0.7570
1.96373e-08,0.6394
1.96606e-08,0.5085
1.96839e-08,0.3654
1.97071e-08,0.2282
1.97304e-08,0.1063
1.97537e-08,0.0097
1.97769e-08,-0.0558
1.98002e-08,-0.0942
1.98235e-08,-0.1164
1.98468e-08,-0.1320
1.98700e-08,-0.1460
1.98933e-08,-0.1613
1.99166e-08,-0.1778
1.99398e-08,-0.1893
1.99631e-08,-0.1891
1.99864e-08,-0.1790
2.00096e-08,-0.1688
2.00329e-08,-0.1641
2.00562e-08,-0.1561
2.00794e-08,-0.1293
2.01027e-08,-0.0822
2.01260e-08,-0.0281
2.01492e-08,0.0209
2.01725e-08,0.0609
2.01958e-08,0.0908
2.02190e-08,0.1119
2.02423e-08,0.1266
2.02656e-08,0.1344
2.02888e-08,0.1332
2.03121e-08,0.1231
2.03354e-08,0.1068
2.03586e-08,0.0873
2.03819e-08,0.0686
2.04052e-08,0.0561
2.04284e-08,0.0537
2.04517e-08,0.0579
2.04750e-08,0.0599
2.04982e-08,0.0533
2.05215e-08,0.0403
2.05448e-08,0.0274
2.05680e-08,0.0178
2.05913e-08,0.0082
2.06146e-08,-0.0051
2.06378e-08,-0.0226
2.06611e-08,-0.0415
2.06844e-08,-0.0569
2.07076e-08,-0.0649
2.07309e-08,-0.0646
2.07542e-08,-0.0580
2.07774e-08,-0.0478
2.08007e-08,-0.0365
2.08240e-08,-0.0266
2.08472e-08,-0.0189
2.08705e-08,-0.0122
2.08938e-08,-0.0049
2.09170e-08,0.0018
2.09403e-08,0.0045
2.09636e-08,0.0015
2.09868e-08,-0.0044
2.10101e-08,-0.0082
2.10334e-08,-0.0067
2.10566e-08,-0.0005
2.10799e-08,0.0072
2.11032e-08,0.0135
2.11264e-08,0.0176
2.11497e-08,0.0204
2.11730e-08,0.0230
2.11962e-08,0.0252
2.12195e-08,0.0260
2.12428e-08,0.0244
2.12660e-08,0.0198
2.12893e-08,0.0125
2.13126e-08,0.0038
2.13358e-08,-0.0036
2.13591e-08,-0.0073
2.13824e-08,-0.0074
2.14056e-08,-0.0058
2.14289e-08,-0.0048
2.14522e-08,-0.0046
2.14754e-08,-0.0039
2.14987e-08,-0.0019
2.15220e-08,0.0009
2.15452e-08,0.0025
2.15685e-08,0.0017
2.15918e-08,-0.0016
2.16150e-08,-0.0059
2.16383e-08,-0.0093
2.16616e-08,-0.0107
2.16848e-08,-0.0101
2.17081e-08,-0.0082
2.17314e-08,-0.0057
2.17546e-08,-0.0035
2.17779e-08,-0.0017
2.18012e-08,0.0003
2.18244e-08,0.0031
2.18477e-08,0.0062
2.18710e-08,0.0084
2.18942e-08,0.0083
2.19175e-08,0.0061
2.19408e-08,0.0030
2.19640e-08,0.0006
2.19873e-08,-0.0004
2.20106e-08,0.0003
2.20338e-08,0.0086
2.20571e-08,0.0423
2.20804e-08,0.1277
2.21037e-08,0.2528
2.21269e-08,0.3826
2.21502e-08,0.5062
2.21735e-08,0.6409
2.21967e-08,0.7828
2.22200e-08,0.9165
2.22433e-08,1.0315
2.22665e-08,1.1220
2.22898e-08,1.1836
2.23131e-08,1.2207
2.23363e-08,1.2424
2.23596e-08,1.2565
2.23829e-08,1.2682
2.24061e-08,1.2825
2.24294e-08,1.3016
2.24527e-08,1.3206
2.24759e-08,1.3300
2.24992e-08,1.3272
2.25225e-08,1.3196
2.25457e-08,1.3140
2.25690e-08,1.3043
2.25923e-08,1.2774
2.26155e-08,1.2324
2.26388e-08,1.1813
2.26621e-08,1.1350
2.26853e-08,1.0978
2.27086e-08,1.0718
2.27319e-08,1.0564
2.27551e-08,1.0501
2.27784e-08,1.0525
2.28017e-08,1.0638
2.28249e-08,1.0815
2.28482e-08,1.1019
2.28715e-08,1.1228
