.HEADER
..NAMES
Time,V U2.R3
.DATA
1.22850e-08,1.1964
1.23082e-08,1.1960
1.23315e-08,1.1966
1.23548e-08,1.1977
1.23780e-08,1.1985
1.24013e-08,1.1993
1.24246e-08,1.2003
1.24478e-08,1.2017
1.24711e-08,1.2033
1.24944e-08,1.2047
1.25176e-08,1.2054
1.25409e-08,1.2051
1.25642e-08,1.2037
1.25874e-08,1.2018
1.26107e-08,1.1999
1.26340e-08,1.1988
1.26572e-08,1.1982
1.26805e-08,1.1981
1.27038e-08,1.1980
1.27270e-08,1.1981
1.27503e-08,1.1987
1.27736e-08,1.2000
1.27968e-08,1.2016
1.28201e-08,1.2029
1.28434e-08,1.2012
1.28667e-08,1.1838
1.28899e-08,1.1355
1.29132e-08,1.0341
1.29365e-08,0.8997
1.29597e-08,0.7750
1.29830e-08,0.6513
1.30063e-08,0.5047
1.30295e-08,0.3507
1.30528e-08,0.2141
1.30761e-08,0.0964
1.30993e-08,0.0026
1.31226e-08,-0.0606
1.31459e-08,-0.0995
1.31691e-08,-0.1203
1.31924e-08,-0.1324
1.32157e-08,-0.1427
1.32389e-08,-0.1551
1.32622e-08,-0.1727
1.32855e-08,-0.1888
1.33087e-08,-0.1952
1.33320e-08,-0.1949
1.33553e-08,-0.1961
1.33785e-08,-0.2017
1.34018e-08,-0.2039
1.34251e-08,-0.1878
1.34483e-08,-0.1489
1.34716e-08,-0.1000
1.34949e-08,-0.0520
1.35181e-08,-0.0036
1.35414e-08,0.0423
1.35647e-08,0.0793
1.35879e-08,0.1070
1.36112e-08,0.1257
1.36345e-08,0.1341
1.36577e-08,0.1322
1.36810e-08,0.1209
1.37043e-08,0.1020
1.37275e-08,0.0793
1.37508e-08,0.0597
1.37741e-08,0.0506
1.37973e-08,0.0527
1.38206e-08,0.0580
1.38439e-08,0.0594
1.38671e-08,0.0565
1.38904e-08,0.0529
1.39137e-08,0.0511
1.39369e-08,0.0484
1.39602e-08,0.0401
1.39835e-08,0.0257
1.40067e-08,0.0073
1.40300e-08,-0.0137
1.40533e-08,-0.0350
1.40765e-08,-0.0520
1.40998e-08,-0.0619
1.41231e-08,-0.0640
1.41463e-08,-0.0597
1.41696e-08,-0.0519
1.41929e-08,-0.0432
1.42161e-08,-0.0336
1.42394e-08,-0.0219
1.42627e-08,-0.0082
1.42859e-08,0.0032
1.43092e-08,0.0078
1.43325e-08,0.0050
1.43557e-08,-0.0015
1.43790e-08,-0.0077
1.44023e-08,-0.0114
1.44255e-08,-0.0123
1.44488e-08,-0.0110
1.44721e-08,-0.0076
1.44953e-08,-0.0028
1.45186e-08,0.0030
1.45419e-08,0.0151
1.45651e-08,0.0492
1.45884e-08,0.1309
1.46117e-08,0.2526
1.46349e-08,0.3721
1.46582e-08,0.4825
1.46815e-08,0.6081
1.47047e-08,0.7449
1.47280e-08,0.8732
1.47513e-08,0.9883
1.47745e-08,1.0860
1.47978e-08,1.1576
1.48211e-08,1.2043
1.48443e-08,1.2333
1.48676e-08,1.2526
1.48909e-08,1.2679
1.49141e-08,1.2836
1.49374e-08,1.3030
1.49607e-08,1.3217
1.49839e-08,1.3302
1.50072e-08,1.3278
1.50305e-08,1.3230
1.50537e-08,1.3239
1.50770e-08,1.3280
1.51003e-08,1.3208
1.51236e-08,1.2931
1.51468e-08,1.2530
1.51701e-08,1.2122
1.51934e-08,1.1725
1.52166e-08,1.1357
1.52399e-08,1.1072
1.52632e-08,1.0871
1.52864e-08,1.0739
1.53097e-08,1.0681
1.53330e-08,1.0705
1.53562e-08,1.0805
1.53795e-08,1.0974
1.54028e-08,1.1193
1.54260e-08,1.1411
1.54493e-08,1.1547
1.54726e-08,1.1569
1.54958e-08,1.1535
1.55191e-08,1.1530
1.55424e-08,1.1581
1.55656e-08,1.1655
1.55889e-08,1.1710
