.HEADER
..NAMES
Time,V U2.P7
.DATA
1.78458e-08,1.0654
1.78691e-08,1.0691
1.78923e-08,1.0402
1.79156e-08,0.9550
1.79389e-08,0.8454
1.79621e-08,0.7434
1.79854e-08,0.6279
1.80087e-08,0.4790
1.80319e-08,0.3232
1.80552e-08,0.1786
1.80785e-08,0.0449
1.81017e-08,-0.0595
1.81250e-08,-0.1246
1.81483e-08,-0.1568
1.81715e-08,-0.1662
1.81948e-08,-0.1574
1.82181e-08,-0.1394
1.82413e-08,-0.1274
1.82646e-08,-0.1252
1.82879e-08,-0.1257
1.83111e-08,-0.1221
1.83344e-08,-0.1239
1.83577e-08,-0.1416
1.83809e-08,-0.1723
1.84042e-08,-0.1989
1.84275e-08,-0.2026
1.84507e-08,-0.1806
1.84740e-08,-0.1448
1.84973e-08,-0.1029
1.85205e-08,-0.0545
1.85438e-08,-0.0032
1.85671e-08,0.0477
1.85903e-08,0.0966
1.86136e-08,0.1346
1.86369e-08,0.1528
1.86601e-08,0.1525
1.86834e-08,0.1384
1.87067e-08,0.1119
1.87299e-08,0.0773
1.87532e-08,0.0458
1.87765e-08,0.0268
1.87997e-08,0.0195
1.88230e-08,0.0172
1.88463e-08,0.0166
1.88695e-08,0.0208
1.88928e-08,0.0331
1.89161e-08,0.0522
1.89393e-08,0.0698
1.89626e-08,0.0765
1.89859e-08,0.0683
1.90091e-08,0.0487
1.90324e-08,0.0235
1.90557e-08,-0.0023
1.90789e-08,-0.0265
1.91022e-08,-0.0490
1.91255e-08,-0.0669
1.91487e-08,-0.0761
1.91720e-08,-0.0757
1.91953e-08,-0.0673
1.92185e-08,-0.0515
1.92418e-08,-0.0292
1.92651e-08,-0.0050
1.92883e-08,0.0144
1.93116e-08,0.0243
1.93349e-08,0.0252
1.93581e-08,0.0206
1.93814e-08,0.0139
1.94047e-08,0.0060
1.94279e-08,-0.0044
1.94512e-08,-0.0173
1.94745e-08,-0.0290
1.94977e-08,-0.0342
1.95210e-08,-0.0300
1.95443e-08,-0.0181
1.95675e-08,-0.0027
1.95908e-08,0.0128
1.96141e-08,0.0263
1.96373e-08,0.0365
1.96606e-08,0.0419
1.96839e-08,0.0419
1.97071e-08,0.0374
1.97304e-08,0.0292
1.97537e-08,0.0177
1.97769e-08,0.0038
1.98002e-08,-0.0101
1.98235e-08,-0.0204
1.98468e-08,-0.0244
1.98700e-08,-0.0218
1.98933e-08,-0.0150
1.99166e-08,-0.0071
1.99398e-08,0.0005
1.99631e-08,0.0080
1.99864e-08,0.0155
2.00096e-08,0.0215
2.00329e-08,0.0234
2.00562e-08,0.0200
2.00794e-08,0.0121
2.01027e-08,0.0019
2.01260e-08,-0.0080
2.01492e-08,-0.0159
2.01725e-08,-0.0205
2.01958e-08,-0.0213
2.02190e-08,-0.0187
2.02423e-08,-0.0137
2.02656e-08,-0.0074
2.02888e-08,-0.0001
2.03121e-08,0.0076
2.03354e-08,0.0148
2.03586e-08,0.0197
2.03819e-08,0.0207
2.04052e-08,0.0173
2.04284e-08,0.0111
2.04517e-08,0.0045
2.04750e-08,-0.0014
2.04982e-08,-0.0061
2.05215e-08,-0.0098
2.05448e-08,-0.0118
2.05680e-08,-0.0115
2.05913e-08,-0.0084
2.06146e-08,-0.0030
2.06378e-08,0.0036
2.06611e-08,0.0097
2.06844e-08,0.0141
2.07076e-08,0.0160
2.07309e-08,0.0152
2.07542e-08,0.0122
2.07774e-08,0.0080
2.08007e-08,0.0035
2.08240e-08,-0.0009
2.08472e-08,-0.0049
2.08705e-08,-0.0083
2.08938e-08,-0.0102
2.09170e-08,-0.0098
2.09403e-08,-0.0068
2.09636e-08,-0.0022
2.09868e-08,0.0027
2.10101e-08,0.0067
2.10334e-08,0.0093
2.10566e-08,0.0107
2.10799e-08,0.0107
2.11032e-08,0.0094
2.11264e-08,0.0067
2.11497e-08,0.0031
2.11730e-08,-0.0009
2.11962e-08,-0.0044
2.12195e-08,-0.0066
2.12428e-08,-0.0072
2.12660e-08,-0.0059
2.12893e-08,-0.0033
2.13126e-08,-0.0001
2.13358e-08,0.0029
2.13591e-08,0.0055
2.13824e-08,0.0074
2.14056e-08,0.0088
2.14289e-08,0.0092
2.14522e-08,0.0083
2.14754e-08,0.0060
2.14987e-08,0.0028
2.15220e-08,-0.0004
2.15452e-08,-0.0029
2.15685e-08,-0.0042
2.15918e-08,-0.0043
2.16150e-08,-0.0035
2.16383e-08,-0.0020
2.16616e-08,0.0001
2.16848e-08,0.0024
2.17081e-08,0.0047
2.17314e-08,0.0064
2.17546e-08,0.0074
2.17779e-08,0.0073
2.18012e-08,0.0061
2.18244e-08,0.0042
2.18477e-08,0.0019
2.18710e-08,-0.0001
2.18942e-08,-0.0015
2.19175e-08,-0.0024
2.19408e-08,-0.0026
2.19640e-08,-0.0024
2.19873e-08,-0.0014
2.20106e-08,0.0005
2.20338e-08,0.0075
2.20571e-08,0.0341
2.20804e-08,0.1072
2.21037e-08,0.2243
2.21269e-08,0.3423
2.21502e-08,0.4475
2.21735e-08,0.5689
2.21967e-08,0.7099
2.22200e-08,0.8482
2.22433e-08,0.9767
2.22665e-08,1.0867
2.22898e-08,1.1643
2.23131e-08,1.2118
2.23363e-08,1.2438
2.23596e-08,1.2672
2.23829e-08,1.2810
2.24061e-08,1.2892
2.24294e-08,1.2995
