.HEADER
..NAMES
Time,V U2.A3
.DATA
1.88928e-08,-0.1428
1.89161e-08,-0.1258
1.89393e-08,-0.0505
1.89626e-08,0.0795
1.89859e-08,0.1900
1.90091e-08,0.2672
1.90324e-08,0.3795
1.90557e-08,0.5399
1.90789e-08,0.7041
1.91022e-08,0.8497
1.91255e-08,0.9732
1.91487e-08,1.0789
1.91720e-08,1.1782
1.91953e-08,1.2708
1.92185e-08,1.3425
1.92418e-08,1.3825
1.92651e-08,1.3959
1.92883e-08,1.4015
1.93116e-08,1.4103
1.93349e-08,1.4143
1.93581e-08,1.4038
1.93814e-08,1.3879
1.94047e-08,1.3811
1.94279e-08,1.3768
1.94512e-08,1.3557
1.94745e-08,1.3227
1.94977e-08,1.2995
1.95210e-08,1.2866
1.95443e-08,1.2662
1.95675e-08,1.2326
1.95908e-08,1.1933
1.96141e-08,1.1572
1.96373e-08,1.1311
1.96606e-08,1.1121
1.96839e-08,1.0909
1.97071e-08,1.0655
1.97304e-08,1.0458
1.97537e-08,1.0437
1.97769e-08,1.0589
1.98002e-08,1.0779
1.98235e-08,1.0913
1.98468e-08,1.1039
1.98700e-08,1.1226
1.98933e-08,1.1438
1.99166e-08,1.1592
1.99398e-08,1.1681
1.99631e-08,1.1757
1.99864e-08,1.1831
2.00096e-08,1.1879
2.00329e-08,1.1907
2.00562e-08,1.1938
2.00794e-08,1.1985
2.01027e-08,1.2053
2.01260e-08,1.2125
2.01492e-08,1.2174
2.01725e-08,1.2210
2.01958e-08,1.2274
2.02190e-08,1.2386
2.02423e-08,1.2497
2.02656e-08,1.2538
2.02888e-08,1.2500
2.03121e-08,1.2439
2.03354e-08,1.2394
2.03586e-08,1.2340
2.03819e-08,1.2240
2.04052e-08,1.2107
2.04284e-08,1.1988
2.04517e-08,1.1914
2.04750e-08,1.1885
2.04982e-08,1.1879
2.05215e-08,1.1878
2.05448e-08,1.1879
2.05680e-08,1.1893
2.05913e-08,1.1920
2.06146e-08,1.1948
2.06378e-08,1.1967
2.06611e-08,1.1981
2.06844e-08,1.1993
2.07076e-08,1.1990
2.07309e-08,1.1962
2.07542e-08,1.1920
2.07774e-08,1.1889
2.08007e-08,1.1873
2.08240e-08,1.1861
2.08472e-08,1.1845
2.08705e-08,1.1841
2.08938e-08,1.1870
2.09170e-08,1.1930
2.09403e-08,1.2001
2.09636e-08,1.2055
2.09868e-08,1.2086
2.10101e-08,1.2102
2.10334e-08,1.2115
2.10566e-08,1.2124
2.10799e-08,1.2117
2.11032e-08,1.2091
2.11264e-08,1.2056
2.11497e-08,1.2028
2.11730e-08,1.2008
2.11962e-08,1.1991
2.12195e-08,1.1977
2.12428e-08,1.1969
2.12660e-08,1.1970
2.12893e-08,1.1980
2.13126e-08,1.1995
2.13358e-08,1.2018
2.13591e-08,1.2045
2.13824e-08,1.2069
2.14056e-08,1.2079
2.14289e-08,1.2071
2.14522e-08,1.2050
2.14754e-08,1.2026
2.14987e-08,1.2003
2.15220e-08,1.1981
