.HEADER
..NAMES
Time,V U2.L2
.DATA
2.01958e-08,-0.0140
2.02190e-08,-0.0253
2.02423e-08,-0.0289
2.02656e-08,-0.0228
2.02888e-08,-0.0089
2.03121e-08,0.0076
2.03354e-08,0.0213
2.03586e-08,0.0338
2.03819e-08,0.0590
2.04052e-08,0.1227
2.04284e-08,0.2302
2.04517e-08,0.3446
2.04750e-08,0.4503
2.04982e-08,0.5693
2.05215e-08,0.7095
2.05448e-08,0.8501
2.05680e-08,0.9784
2.05913e-08,1.0832
2.06146e-08,1.1585
2.06378e-08,1.2076
2.06611e-08,1.2420
2.06844e-08,1.2680
2.07076e-08,1.2851
2.07309e-08,1.2942
2.07542e-08,1.3011
2.07774e-08,1.3046
2.08007e-08,1.3004
2.08240e-08,1.2921
2.08472e-08,1.2884
2.08705e-08,1.2915
2.08938e-08,1.2912
2.09170e-08,1.2734
2.09403e-08,1.2405
2.09636e-08,1.2070
2.09868e-08,1.1790
2.10101e-08,1.1527
2.10334e-08,1.1248
2.10566e-08,1.0950
2.10799e-08,1.0681
2.11032e-08,1.0535
2.11264e-08,1.0563
2.11497e-08,1.0723
2.11730e-08,1.0931
2.11962e-08,1.1145
2.12195e-08,1.1356
2.12428e-08,1.1530
2.12660e-08,1.1641
2.12893e-08,1.1717
2.13126e-08,1.1793
2.13358e-08,1.1859
2.13591e-08,1.1883
2.13824e-08,1.1862
2.14056e-08,1.1850
2.14289e-08,1.1909
2.14522e-08,1.2040
2.14754e-08,1.2189
2.14987e-08,1.2303
2.15220e-08,1.2365
2.15452e-08,1.2407
2.15685e-08,1.2464
2.15918e-08,1.2525
2.16150e-08,1.2538
2.16383e-08,1.2475
2.16616e-08,1.2353
2.16848e-08,1.2211
2.17081e-08,1.2072
2.17314e-08,1.1954
2.17546e-08,1.1878
2.17779e-08,1.1850
2.18012e-08,1.1853
2.18244e-08,1.1870
2.18477e-08,1.1895
2.18710e-08,1.1937
2.18942e-08,1.1995
2.19175e-08,1.2044
2.19408e-08,1.2050
2.19640e-08,1.2003
2.19873e-08,1.1928
2.20106e-08,1.1869
2.20338e-08,1.1849
2.20571e-08,1.1855
2.20804e-08,1.1861
2.21037e-08,1.1863
2.21269e-08,1.1876
2.21502e-08,1.1915
2.21735e-08,1.1976
2.21967e-08,1.2045
2.22200e-08,1.2107
2.22433e-08,1.2150
2.22665e-08,1.2168
2.22898e-08,1.2161
2.23131e-08,1.2138
2.23363e-08,1.2108
2.23596e-08,1.2078
2.23829e-08,1.2043
2.24061e-08,1.2001
2.24294e-08,1.1964
2.24527e-08,1.1951
2.24759e-08,1.1975
2.24992e-08,1.2023
2.25225e-08,1.2070
2.25457e-08,1.2093
2.25690e-08,1.2093
2.25923e-08,1.2083
2.26155e-08,1.2072
2.26388e-08,1.2057
2.26621e-08,1.2033
2.26853e-08,1.2002
2.27086e-08,1.1970
2.27319e-08,1.1946
2.27551e-08,1.1937
2.27784e-08,1.1943
2.28017e-08,1.1960
2.28249e-08,1.1983
2.28482e-08,1.2004
2.28715e-08,1.2020
2.28947e-08,1.2034
2.29180e-08,1.2050
2.29413e-08,1.2068
2.29645e-08,1.2075
2.29878e-08,1.2063
2.30111e-08,1.2035
2.30343e-08,1.2004
2.30576e-08,1.1983
2.30809e-08,1.1978
2.31041e-08,1.1983
2.31274e-08,1.1992
2.31507e-08,1.2004
2.31739e-08,1.2019
2.31972e-08,1.2038
2.32205e-08,1.2056
2.32437e-08,1.2068
2.32670e-08,1.2068
2.32903e-08,1.2058
2.33135e-08,1.2040
2.33368e-08,1.2021
2.33601e-08,1.2006
2.33833e-08,1.1999
2.34066e-08,1.1998
2.34299e-08,1.1997
2.34531e-08,1.1994
2.34764e-08,1.1993
2.34997e-08,1.1999
2.35229e-08,1.2013
2.35462e-08,1.2029
2.35695e-08,1.2041
2.35927e-08,1.2044
2.36160e-08,1.2041
2.36393e-08,1.2035
2.36625e-08,1.2028
2.36858e-08,1.2019
