.HEADER
..NAMES
Time,V U2.G3&F3
.DATA
1.07494e-08,-0.6882
1.07726e-08,-0.6605
1.07959e-08,-0.5923
1.08192e-08,-0.4583
1.08424e-08,-0.2704
1.08657e-08,-0.0712
1.08890e-08,0.0933
1.09122e-08,0.2174
1.09355e-08,0.3249
1.09588e-08,0.4385
1.09820e-08,0.5483
1.10053e-08,0.6287
1.10286e-08,0.6681
1.10518e-08,0.6755
1.10751e-08,0.6743
1.10984e-08,0.6805
1.11216e-08,0.6922
1.11449e-08,0.6971
1.11682e-08,0.6873
1.11914e-08,0.6569
1.12147e-08,0.5830
1.12380e-08,0.4425
1.12612e-08,0.2513
1.12845e-08,0.0541
1.13078e-08,-0.1052
1.13310e-08,-0.2258
1.13543e-08,-0.3327
1.13776e-08,-0.4467
1.14008e-08,-0.5554
1.14241e-08,-0.6338
1.14474e-08,-0.6703
1.14706e-08,-0.6754
1.14939e-08,-0.6732
1.15172e-08,-0.6794
1.15404e-08,-0.6911
1.15637e-08,-0.6956
1.15870e-08,-0.6845
1.16102e-08,-0.6513
1.16335e-08,-0.5712
1.16568e-08,-0.4244
1.16800e-08,-0.2304
1.17033e-08,-0.0352
1.17266e-08,0.1202
1.17498e-08,0.2389
1.17731e-08,0.3466
1.17964e-08,0.4614
1.18196e-08,0.5670
1.18429e-08,0.6396
1.18662e-08,0.6713
1.18894e-08,0.6752
1.19127e-08,0.6748
1.19360e-08,0.6828
1.19592e-08,0.6941
1.19825e-08,0.6965
1.20058e-08,0.6832
1.20290e-08,0.6468
1.20523e-08,0.5605
1.20756e-08,0.4075
1.20988e-08,0.2112
1.21221e-08,0.0191
1.21454e-08,-0.1313
1.21686e-08,-0.2470
1.21919e-08,-0.3545
1.22152e-08,-0.4695
1.22384e-08,-0.5738
1.22617e-08,-0.6442
1.22850e-08,-0.6730
1.23082e-08,-0.6749
1.23315e-08,-0.6737
1.23548e-08,-0.6817
1.23780e-08,-0.6929
1.24013e-08,-0.6947
1.24246e-08,-0.6801
1.24478e-08,-0.6403
1.24711e-08,-0.5473
1.24944e-08,-0.3886
1.25176e-08,-0.1904
1.25409e-08,-0.0012
1.25642e-08,0.1456
1.25874e-08,0.2600
1.26107e-08,0.3687
1.26340e-08,0.4839
1.26572e-08,0.5843
1.26805e-08,0.6489
1.27038e-08,0.6734
1.27270e-08,0.6748
1.27503e-08,0.6757
1.27736e-08,0.6853
1.27968e-08,0.6956
