.HEADER
..NAMES
Time,V U2.T8
.DATA
2.35927e-08,0.0832
2.36160e-08,0.1149
2.36393e-08,0.1324
2.36625e-08,0.1399
2.36858e-08,0.1376
2.37091e-08,0.1297
2.37323e-08,0.1344
2.37556e-08,0.1822
2.37789e-08,0.2712
2.38021e-08,0.3599
2.38254e-08,0.4400
2.38487e-08,0.5523
2.38719e-08,0.7080
2.38952e-08,0.8652
2.39185e-08,0.9936
2.39417e-08,1.0958
2.39650e-08,1.1740
2.39883e-08,1.2269
2.40115e-08,1.2579
2.40348e-08,1.2721
2.40581e-08,1.2739
2.40813e-08,1.2662
2.41046e-08,1.2507
2.41279e-08,1.2310
2.41511e-08,1.2181
2.41744e-08,1.2201
2.41977e-08,1.2341
2.42209e-08,1.2554
2.42442e-08,1.2805
2.42675e-08,1.3012
2.42907e-08,1.3062
2.43140e-08,1.2968
2.43373e-08,1.2858
2.43605e-08,1.2743
2.43838e-08,1.2472
2.44071e-08,1.1980
2.44303e-08,1.1423
2.44536e-08,1.0988
2.44769e-08,1.0719
2.45002e-08,1.0584
2.45234e-08,1.0566
2.45467e-08,1.0666
