.HEADER
..NAMES
Time,V U2.C8
.DATA
1.64963e-08,-0.0041
1.65196e-08,-0.0051
1.65428e-08,-0.0052
1.65661e-08,-0.0052
1.65894e-08,-0.0053
1.66126e-08,-0.0032
1.66359e-08,0.0032
1.66592e-08,0.0126
1.66824e-08,0.0207
1.67057e-08,0.0245
1.67290e-08,0.0242
1.67522e-08,0.0219
1.67755e-08,0.0193
1.67988e-08,0.0170
1.68220e-08,0.0155
1.68453e-08,0.0142
1.68686e-08,0.0120
1.68918e-08,0.0083
1.69151e-08,0.0066
1.69384e-08,0.0210
1.69616e-08,0.0778
1.69849e-08,0.1798
1.70082e-08,0.2851
1.70314e-08,0.3769
1.70547e-08,0.4746
1.70780e-08,0.5825
1.71012e-08,0.6964
1.71245e-08,0.8160
1.71478e-08,0.9295
1.71710e-08,1.0269
1.71943e-08,1.1037
1.72176e-08,1.1587
1.72408e-08,1.1957
1.72641e-08,1.2232
1.72874e-08,1.2498
1.73106e-08,1.2744
1.73339e-08,1.2884
1.73572e-08,1.2919
1.73804e-08,1.2978
1.74037e-08,1.3153
1.74270e-08,1.3332
1.74502e-08,1.3349
1.74735e-08,1.3180
1.74968e-08,1.2881
1.75201e-08,1.2514
1.75433e-08,1.2171
1.75666e-08,1.1892
1.75899e-08,1.1662
1.76131e-08,1.1463
1.76364e-08,1.1262
1.76597e-08,1.1045
1.76829e-08,1.0859
1.77062e-08,1.0789
1.77295e-08,1.0866
1.77527e-08,1.1011
1.77760e-08,1.1130
1.77993e-08,1.1212
1.78225e-08,1.1305
1.78458e-08,1.1425
1.78691e-08,1.1531
1.78923e-08,1.1587
1.79156e-08,1.1590
1.79389e-08,1.1564
1.79621e-08,1.1558
1.79854e-08,1.1616
1.80087e-08,1.1749
1.80319e-08,1.1940
1.80552e-08,1.2141
1.80785e-08,1.2282
1.81017e-08,1.2336
1.81250e-08,1.2342
1.81483e-08,1.2310
1.81715e-08,1.2111
1.81948e-08,1.1535
1.82181e-08,1.0418
1.82413e-08,0.9196
