.HEADER
..NAMES
Time,V U2.M8
.DATA
2.10101e-08,1.1098
2.10334e-08,1.0777
2.10566e-08,1.0569
2.10799e-08,1.0473
2.11032e-08,1.0465
2.11264e-08,1.0534
2.11497e-08,1.0662
2.11730e-08,1.0820
2.11962e-08,1.0994
2.12195e-08,1.1187
2.12428e-08,1.1378
2.12660e-08,1.1501
2.12893e-08,1.1525
2.13126e-08,1.1503
2.13358e-08,1.1530
2.13591e-08,1.1642
2.13824e-08,1.1795
2.14056e-08,1.1935
2.14289e-08,1.2061
2.14522e-08,1.2201
2.14754e-08,1.2352
2.14987e-08,1.2494
2.15220e-08,1.2609
2.15452e-08,1.2673
2.15685e-08,1.2673
2.15918e-08,1.2612
2.16150e-08,1.2500
2.16383e-08,1.2357
2.16616e-08,1.2214
2.16848e-08,1.2110
2.17081e-08,1.2051
2.17314e-08,1.2007
2.17546e-08,1.1955
2.17779e-08,1.1913
2.18012e-08,1.1912
2.18244e-08,1.1953
2.18477e-08,1.1997
2.18710e-08,1.2006
2.18942e-08,1.1972
2.19175e-08,1.1913
2.19408e-08,1.1850
2.19640e-08,1.1799
2.19873e-08,1.1766
2.20106e-08,1.1754
2.20338e-08,1.1761
2.20571e-08,1.1786
2.20804e-08,1.1824
2.21037e-08,1.1871
2.21269e-08,1.1931
2.21502e-08,1.2008
2.21735e-08,1.2088
2.21967e-08,1.2141
2.22200e-08,1.2151
2.22433e-08,1.2128
2.22665e-08,1.2100
2.22898e-08,1.2082
2.23131e-08,1.2070
2.23363e-08,1.2054
2.23596e-08,1.2035
2.23829e-08,1.2020
2.24061e-08,1.2021
2.24294e-08,1.2038
2.24527e-08,1.2066
2.24759e-08,1.2094
2.24992e-08,1.2113
2.25225e-08,1.2115
2.25457e-08,1.2097
2.25690e-08,1.2062
2.25923e-08,1.2024
2.26155e-08,1.1995
2.26388e-08,1.1977
2.26621e-08,1.1963
2.26853e-08,1.1945
2.27086e-08,1.1930
2.27319e-08,1.1929
2.27551e-08,1.1949
2.27784e-08,1.1980
2.28017e-08,1.2010
2.28249e-08,1.2029
2.28482e-08,1.2035
2.28715e-08,1.2033
2.28947e-08,1.2027
2.29180e-08,1.2019
2.29413e-08,1.2011
2.29645e-08,1.2002
2.29878e-08,1.1995
2.30111e-08,1.1988
2.30343e-08,1.1985
2.30576e-08,1.1990
2.30809e-08,1.2007
2.31041e-08,1.2032
2.31274e-08,1.2054
2.31507e-08,1.2063
2.31739e-08,1.2060
2.31972e-08,1.2052
2.32205e-08,1.2045
2.32437e-08,1.2039
2.32670e-08,1.2031
2.32903e-08,1.2019
2.33135e-08,1.2006
2.33368e-08,1.1995
2.33601e-08,1.1991
2.33833e-08,1.1994
2.34066e-08,1.2004
2.34299e-08,1.2016
2.34531e-08,1.2026
2.34764e-08,1.2031
2.34997e-08,1.2030
2.35229e-08,1.2026
2.35462e-08,1.2023
2.35695e-08,1.2021
2.35927e-08,1.2016
2.36160e-08,1.2008
2.36393e-08,1.1998
2.36625e-08,1.1991
2.36858e-08,1.1992
2.37091e-08,1.2000
2.37323e-08,1.2011
2.37556e-08,1.2020
2.37789e-08,1.2026
2.38021e-08,1.2028
2.38254e-08,1.2029
2.38487e-08,1.2029
2.38719e-08,1.2028
2.38952e-08,1.2026
2.39185e-08,1.2022
2.39417e-08,1.2016
2.39650e-08,1.2009
2.39883e-08,1.2005
2.40115e-08,1.2005
2.40348e-08,1.2009
2.40581e-08,1.2016
2.40813e-08,1.2016
2.41046e-08,1.1934
2.41279e-08,1.1611
2.41511e-08,1.0827
2.41744e-08,0.9506
2.41977e-08,0.8115
2.42209e-08,0.6832
2.42442e-08,0.5499
2.42675e-08,0.3985
2.42907e-08,0.2547
2.43140e-08,0.1284
2.43373e-08,0.0285
2.43605e-08,-0.0401
2.43838e-08,-0.0811
2.44071e-08,-0.1035
2.44303e-08,-0.1181
2.44536e-08,-0.1299
2.44769e-08,-0.1438
2.45002e-08,-0.1622
2.45234e-08,-0.1812
2.45467e-08,-0.1905
2.45700e-08,-0.1872
