.HEADER
..NAMES
Time,V U2.K3
.DATA
1.81948e-08,0.0102
1.82181e-08,0.0082
1.82413e-08,0.0043
1.82646e-08,-0.0003
1.82879e-08,-0.0043
1.83111e-08,-0.0068
1.83344e-08,-0.0073
1.83577e-08,-0.0059
1.83809e-08,-0.0033
1.84042e-08,-0.0003
1.84275e-08,0.0023
1.84507e-08,0.0041
1.84740e-08,0.0049
1.84973e-08,0.0051
1.85205e-08,0.0051
1.85438e-08,0.0051
1.85671e-08,0.0053
1.85903e-08,0.0051
1.86136e-08,0.0042
1.86369e-08,0.0025
1.86601e-08,0.0001
1.86834e-08,-0.0025
1.87067e-08,-0.0047
1.87299e-08,-0.0059
1.87532e-08,-0.0056
1.87765e-08,-0.0039
1.87997e-08,-0.0011
1.88230e-08,0.0018
1.88463e-08,0.0040
1.88695e-08,0.0050
1.88928e-08,0.0049
1.89161e-08,0.0042
1.89393e-08,0.0033
1.89626e-08,0.0024
1.89859e-08,0.0017
1.90091e-08,0.0012
1.90324e-08,0.0008
1.90557e-08,0.0002
1.90789e-08,-0.0007
1.91022e-08,-0.0018
1.91255e-08,-0.0019
1.91487e-08,0.0053
1.91720e-08,0.0330
1.91953e-08,0.0960
1.92185e-08,0.1878
1.92418e-08,0.3008
1.92651e-08,0.4283
1.92883e-08,0.5651
1.93116e-08,0.7113
1.93349e-08,0.8493
1.93581e-08,0.9651
1.93814e-08,1.0561
1.94047e-08,1.1295
1.94279e-08,1.1932
1.94512e-08,1.2465
1.94745e-08,1.2813
1.94977e-08,1.2943
1.95210e-08,1.2963
1.95443e-08,1.2947
1.95675e-08,1.2917
1.95908e-08,1.2871
1.96141e-08,1.2831
1.96373e-08,1.2882
1.96606e-08,1.3058
1.96839e-08,1.3281
1.97071e-08,1.3451
1.97304e-08,1.3503
1.97537e-08,1.3431
1.97769e-08,1.3264
1.98002e-08,1.3006
1.98235e-08,1.2653
1.98468e-08,1.2245
1.98700e-08,1.1849
1.98933e-08,1.1515
1.99166e-08,1.1254
1.99398e-08,1.1044
1.99631e-08,1.0873
1.99864e-08,1.0756
2.00096e-08,1.0715
2.00329e-08,1.0774
2.00562e-08,1.0933
2.00794e-08,1.1164
2.01027e-08,1.1418
2.01260e-08,1.1649
2.01492e-08,1.1825
2.01725e-08,1.1929
2.01958e-08,1.1951
2.02190e-08,1.1892
2.02423e-08,1.1781
2.02656e-08,1.1671
2.02888e-08,1.1607
2.03121e-08,1.1607
2.03354e-08,1.1650
2.03586e-08,1.1715
2.03819e-08,1.1801
2.04052e-08,1.1914
2.04284e-08,1.2043
2.04517e-08,1.2167
2.04750e-08,1.2276
2.04982e-08,1.2384
2.05215e-08,1.2495
2.05448e-08,1.2585
2.05680e-08,1.2611
2.05913e-08,1.2550
2.06146e-08,1.2418
2.06378e-08,1.2257
2.06611e-08,1.2100
2.06844e-08,1.1961
2.07076e-08,1.1854
2.07309e-08,1.1797
2.07542e-08,1.1803
2.07774e-08,1.1858
2.08007e-08,1.1928
2.08240e-08,1.1989
2.08472e-08,1.2031
2.08705e-08,1.2063
2.08938e-08,1.2090
2.09170e-08,1.2111
2.09403e-08,1.2119
2.09636e-08,1.2112
2.09868e-08,1.2085
2.10101e-08,1.2035
2.10334e-08,1.1963
2.10566e-08,1.1874
2.10799e-08,1.1789
2.11032e-08,1.1730
2.11264e-08,1.1717
2.11497e-08,1.1754
2.11730e-08,1.1829
2.11962e-08,1.1921
2.12195e-08,1.2009
2.12428e-08,1.2080
2.12660e-08,1.2128
2.12893e-08,1.2152
2.13126e-08,1.2151
2.13358e-08,1.2133
2.13591e-08,1.2107
2.13824e-08,1.2083
2.14056e-08,1.2061
2.14289e-08,1.2033
2.14522e-08,1.1992
2.14754e-08,1.1945
2.14987e-08,1.1907
2.15220e-08,1.1891
2.15452e-08,1.1901
2.15685e-08,1.1935
2.15918e-08,1.1987
2.16150e-08,1.2017
2.16383e-08,1.1928
2.16616e-08,1.1569
2.16848e-08,1.0782
2.17081e-08,0.9710
2.17314e-08,0.8409
2.17546e-08,0.7000
2.17779e-08,0.5495
2.18012e-08,0.3940
2.18244e-08,0.2525
2.18477e-08,0.1384
2.18710e-08,0.0511
2.18942e-08,-0.0205
2.19175e-08,-0.0821
2.19408e-08,-0.1324
2.19640e-08,-0.1600
2.19873e-08,-0.1647
2.20106e-08,-0.1603
2.20338e-08,-0.1536
2.20571e-08,-0.1477
2.20804e-08,-0.1425
2.21037e-08,-0.1413
2.21269e-08,-0.1528
2.21502e-08,-0.1773
2.21735e-08,-0.2037
2.21967e-08,-0.2211
2.22200e-08,-0.2231
2.22433e-08,-0.2106
2.22665e-08,-0.1869
2.22898e-08,-0.1527
2.23131e-08,-0.1087
2.23363e-08,-0.0601
2.23596e-08,-0.0140
2.23829e-08,0.0255
2.24061e-08,0.0579
2.24294e-08,0.0858
2.24527e-08,0.1093
2.24759e-08,0.1260
2.24992e-08,0.1327
2.25225e-08,0.1270
2.25457e-08,0.1095
2.25690e-08,0.0844
2.25923e-08,0.0583
2.26155e-08,0.0364
2.26388e-08,0.0217
2.26621e-08,0.0156
2.26853e-08,0.0182
2.27086e-08,0.0289
2.27319e-08,0.0435
2.27551e-08,0.0561
2.27784e-08,0.0620
2.28017e-08,0.0606
2.28249e-08,0.0550
2.28482e-08,0.0473
2.28715e-08,0.0370
2.28947e-08,0.0233
2.29180e-08,0.0076
2.29413e-08,-0.0082
2.29645e-08,-0.0233
2.29878e-08,-0.0387
2.30111e-08,-0.0541
2.30343e-08,-0.0656
2.30576e-08,-0.0683
2.30809e-08,-0.0606
2.31041e-08,-0.0454
2.31274e-08,-0.0276
2.31507e-08,-0.0110
2.31739e-08,0.0031
2.31972e-08,0.0132
2.32205e-08,0.0175
2.32437e-08,0.0154
2.32670e-08,0.0090
2.32903e-08,0.0018
2.33135e-08,-0.0038
2.33368e-08,-0.0077
2.33601e-08,-0.0109
2.33833e-08,-0.0139
2.34066e-08,-0.0164
