.HEADER
..NAMES
Time,V U2.C3
.DATA
2.02423e-08,0.9513
2.02656e-08,1.0550
2.02888e-08,1.1402
2.03121e-08,1.1945
2.03354e-08,1.2224
2.03586e-08,1.2421
2.03819e-08,1.2656
2.04052e-08,1.2889
2.04284e-08,1.3010
2.04517e-08,1.2967
2.04750e-08,1.2878
2.04982e-08,1.2894
2.05215e-08,1.3009
2.05448e-08,1.3117
2.05680e-08,1.3065
2.05913e-08,1.2749
2.06146e-08,1.2312
2.06378e-08,1.1979
2.06611e-08,1.1719
2.06844e-08,1.1422
2.07076e-08,1.1137
2.07309e-08,1.0913
2.07542e-08,1.0703
2.07774e-08,1.0532
2.08007e-08,1.0506
2.08240e-08,1.0642
2.08472e-08,1.0832
2.08705e-08,1.0970
2.08938e-08,1.1052
2.09170e-08,1.1156
2.09403e-08,1.1344
2.09636e-08,1.1572
2.09868e-08,1.1741
2.10101e-08,1.1793
2.10334e-08,1.1748
2.10566e-08,1.1691
2.10799e-08,1.1711
2.11032e-08,1.1808
2.11264e-08,1.1918
2.11497e-08,1.2023
2.11730e-08,1.2138
2.11962e-08,1.2241
2.12195e-08,1.2331
2.12428e-08,1.2440
2.12660e-08,1.2553
2.12893e-08,1.2593
2.13126e-08,1.2522
2.13358e-08,1.2388
2.13591e-08,1.2273
2.13824e-08,1.2211
2.14056e-08,1.2173
2.14289e-08,1.2110
2.14522e-08,1.2012
2.14754e-08,1.1911
2.14987e-08,1.1849
2.15220e-08,1.1848
2.15452e-08,1.1891
2.15685e-08,1.1939
2.15918e-08,1.1966
2.16150e-08,1.1976
2.16383e-08,1.1974
2.16616e-08,1.1970
2.16848e-08,1.1971
2.17081e-08,1.1965
2.17314e-08,1.1921
2.17546e-08,1.1839
2.17779e-08,1.1767
2.18012e-08,1.1755
2.18244e-08,1.1802
2.18477e-08,1.1873
2.18710e-08,1.1931
2.18942e-08,1.1969
2.19175e-08,1.2001
2.19408e-08,1.2039
2.19640e-08,1.2083
2.19873e-08,1.2120
2.20106e-08,1.2131
2.20338e-08,1.2113
2.20571e-08,1.2078
2.20804e-08,1.2047
2.21037e-08,1.2031
2.21269e-08,1.2026
2.21502e-08,1.2020
2.21735e-08,1.1998
2.21967e-08,1.1969
2.22200e-08,1.1958
2.22433e-08,1.1984
2.22665e-08,1.2032
2.22898e-08,1.2073
2.23131e-08,1.2088
2.23363e-08,1.2080
2.23596e-08,1.2061
2.23829e-08,1.2041
2.24061e-08,1.2022
2.24294e-08,1.1999
2.24527e-08,1.1969
2.24759e-08,1.1938
2.24992e-08,1.1917
2.25225e-08,1.1918
2.25457e-08,1.1941
2.25690e-08,1.1972
2.25923e-08,1.1995
2.26155e-08,1.2003
2.26388e-08,1.2001
2.26621e-08,1.2006
2.26853e-08,1.2021
2.27086e-08,1.2037
2.27319e-08,1.2041
2.27551e-08,1.2028
2.27784e-08,1.2008
2.28017e-08,1.1991
2.28249e-08,1.1981
2.28482e-08,1.1978
2.28715e-08,1.1977
2.28947e-08,1.1976
2.29180e-08,1.1978
2.29413e-08,1.1987
2.29645e-08,1.2008
2.29878e-08,1.2034
2.30111e-08,1.2053
2.30343e-08,1.2056
2.30576e-08,1.2043
2.30809e-08,1.2023
2.31041e-08,1.2008
2.31274e-08,1.2001
2.31507e-08,1.1996
2.31739e-08,1.1989
2.31972e-08,1.1981
2.32205e-08,1.1977
2.32437e-08,1.1981
2.32670e-08,1.1991
2.32903e-08,1.2001
2.33135e-08,1.2008
2.33368e-08,1.2010
2.33601e-08,1.2009
2.33833e-08,1.2011
2.34066e-08,1.2017
2.34299e-08,1.2022
2.34531e-08,1.2021
2.34764e-08,1.2011
2.34997e-08,1.1996
2.35229e-08,1.1983
2.35462e-08,1.1979
2.35695e-08,1.1981
2.35927e-08,1.1987
2.36160e-08,1.1992
2.36393e-08,1.1998
2.36625e-08,1.2006
2.36858e-08,1.2015
2.37091e-08,1.2023
2.37323e-08,1.2025
2.37556e-08,1.2020
2.37789e-08,1.1969
2.38021e-08,1.1725
2.38254e-08,1.1146
2.38487e-08,1.0084
2.38719e-08,0.8942
2.38952e-08,0.8086
2.39185e-08,0.7049
2.39417e-08,0.5629
2.39650e-08,0.4226
2.39883e-08,0.3006
2.40115e-08,0.1889
2.40348e-08,0.0895
2.40581e-08,0.0118
2.40813e-08,-0.0450
2.41046e-08,-0.0866
2.41279e-08,-0.1175
2.41511e-08,-0.1376
2.41744e-08,-0.1453
2.41977e-08,-0.1431
2.42209e-08,-0.1405
2.42442e-08,-0.1479
2.42675e-08,-0.1651
2.42907e-08,-0.1829
2.43140e-08,-0.1869
2.43373e-08,-0.1691
2.43605e-08,-0.1446
2.43838e-08,-0.1266
2.44071e-08,-0.1025
2.44303e-08,-0.0632
2.44536e-08,-0.0211
2.44769e-08,0.0157
2.45002e-08,0.0501
2.45234e-08,0.0806
2.45467e-08,0.1002
