.HEADER
..NAMES
Time,V U2.K2
.DATA
1.60310e-08,1.2115
1.60542e-08,1.2255
1.60775e-08,1.2437
1.61008e-08,1.2584
1.61240e-08,1.2633
1.61473e-08,1.2555
1.61706e-08,1.2357
1.61938e-08,1.2076
1.62171e-08,1.1768
1.62404e-08,1.1488
1.62636e-08,1.1278
1.62869e-08,1.1173
1.63102e-08,1.1179
1.63334e-08,1.1265
1.63567e-08,1.1391
1.63800e-08,1.1522
1.64032e-08,1.1632
1.64265e-08,1.1698
1.64498e-08,1.1709
1.64730e-08,1.1677
1.64963e-08,1.1620
1.65196e-08,1.1545
1.65428e-08,1.1467
1.65661e-08,1.1417
1.65894e-08,1.1383
1.66126e-08,1.1312
1.66359e-08,1.1073
1.66592e-08,1.0610
1.66824e-08,1.0026
1.67057e-08,0.9280
1.67290e-08,0.8369
1.67522e-08,0.7397
1.67755e-08,0.6496
1.67988e-08,0.5753
1.68220e-08,0.5094
1.68453e-08,0.4489
1.68686e-08,0.3992
1.68918e-08,0.3522
1.69151e-08,0.2977
1.69384e-08,0.2324
1.69616e-08,0.1624
1.69849e-08,0.0948
1.70082e-08,0.0287
1.70314e-08,-0.0319
1.70547e-08,-0.0804
1.70780e-08,-0.1149
1.71012e-08,-0.1373
1.71245e-08,-0.1487
1.71478e-08,-0.1469
1.71710e-08,-0.1328
1.71943e-08,-0.1132
1.72176e-08,-0.0951
1.72408e-08,-0.0824
1.72641e-08,-0.0779
1.72874e-08,-0.0828
1.73106e-08,-0.0949
1.73339e-08,-0.1081
1.73572e-08,-0.1158
1.73804e-08,-0.1133
1.74037e-08,-0.0989
1.74270e-08,-0.0742
1.74502e-08,-0.0432
1.74735e-08,-0.0106
1.74968e-08,0.0188
1.75201e-08,0.0404
1.75433e-08,0.0516
1.75666e-08,0.0536
1.75899e-08,0.0497
1.76131e-08,0.0428
1.76364e-08,0.0349
1.76597e-08,0.0287
1.76829e-08,0.0263
1.77062e-08,0.0276
1.77295e-08,0.0320
1.77527e-08,0.0394
1.77760e-08,0.0493
1.77993e-08,0.0587
1.78225e-08,0.0640
1.78458e-08,0.0637
1.78691e-08,0.0616
1.78923e-08,0.0678
1.79156e-08,0.0960
1.79389e-08,0.1420
1.79621e-08,0.2060
1.79854e-08,0.2907
1.80087e-08,0.3866
1.80319e-08,0.4817
1.80552e-08,0.5618
1.80785e-08,0.6277
1.81017e-08,0.6857
1.81250e-08,0.7322
1.81483e-08,0.7712
1.81715e-08,0.8139
1.81948e-08,0.8684
1.82181e-08,0.9330
1.82413e-08,1.0005
1.82646e-08,1.0687
1.82879e-08,1.1349
1.83111e-08,1.1921
1.83344e-08,1.2352
1.83577e-08,1.2646
1.83809e-08,1.2823
1.84042e-08,1.2864
1.84275e-08,1.2758
1.84507e-08,1.2551
1.84740e-08,1.2320
1.84973e-08,1.2126
1.85205e-08,1.2016
1.85438e-08,1.2026
1.85671e-08,1.2159
1.85903e-08,1.2359
1.86136e-08,1.2546
1.86369e-08,1.2645
1.86601e-08,1.2616
1.86834e-08,1.2455
1.87067e-08,1.2191
1.87299e-08,1.1877
1.87532e-08,1.1571
1.87765e-08,1.1329
1.87997e-08,1.1192
1.88230e-08,1.1166
1.88463e-08,1.1228
1.88695e-08,1.1344
1.88928e-08,1.1484
1.89161e-08,1.1615
1.89393e-08,1.1710
1.89626e-08,1.1755
1.89859e-08,1.1755
1.90091e-08,1.1712
1.90324e-08,1.1628
1.90557e-08,1.1526
1.90789e-08,1.1442
1.91022e-08,1.1412
1.91255e-08,1.1456
1.91487e-08,1.1577
1.91720e-08,1.1760
1.91953e-08,1.1966
1.92185e-08,1.2138
1.92418e-08,1.2231
1.92651e-08,1.2233
1.92883e-08,1.2161
1.93116e-08,1.2043
1.93349e-08,1.1919
1.93581e-08,1.1831
1.93814e-08,1.1805
1.94047e-08,1.1843
1.94279e-08,1.1933
1.94512e-08,1.2052
1.94745e-08,1.2172
1.94977e-08,1.2267
1.95210e-08,1.2318
1.95443e-08,1.2317
1.95675e-08,1.2268
1.95908e-08,1.2178
1.96141e-08,1.2063
1.96373e-08,1.1943
1.96606e-08,1.1839
1.96839e-08,1.1774
1.97071e-08,1.1763
1.97304e-08,1.1811
1.97537e-08,1.1908
1.97769e-08,1.2030
1.98002e-08,1.2143
1.98235e-08,1.2213
1.98468e-08,1.2218
1.98700e-08,1.2155
1.98933e-08,1.2046
1.99166e-08,1.1920
1.99398e-08,1.1811
1.99631e-08,1.1745
1.99864e-08,1.1734
2.00096e-08,1.1774
2.00329e-08,1.1849
2.00562e-08,1.1939
2.00794e-08,1.2023
2.01027e-08,1.2086
2.01260e-08,1.2116
2.01492e-08,1.2110
2.01725e-08,1.2074
2.01958e-08,1.2015
2.02190e-08,1.1947
2.02423e-08,1.1884
2.02656e-08,1.1842
2.02888e-08,1.1831
2.03121e-08,1.1855
2.03354e-08,1.1883
2.03586e-08,1.1833
2.03819e-08,1.1591
2.04052e-08,1.1045
2.04284e-08,1.0304
2.04517e-08,0.9411
2.04750e-08,0.8377
2.04982e-08,0.7336
2.05215e-08,0.6411
2.05448e-08,0.5702
2.05680e-08,0.5141
2.05913e-08,0.4629
2.06146e-08,0.4185
2.06378e-08,0.3734
2.06611e-08,0.3171
2.06844e-08,0.2453
2.07076e-08,0.1650
2.07309e-08,0.0865
2.07542e-08,0.0128
2.07774e-08,-0.0525
2.08007e-08,-0.1024
2.08240e-08,-0.1340
2.08472e-08,-0.1498
2.08705e-08,-0.1529
2.08938e-08,-0.1430
2.09170e-08,-0.1219
2.09403e-08,-0.0973
2.09636e-08,-0.0779
2.09868e-08,-0.0687
2.10101e-08,-0.0716
2.10334e-08,-0.0857
2.10566e-08,-0.1066
2.10799e-08,-0.1257
2.11032e-08,-0.1344
2.11264e-08,-0.1278
2.11497e-08,-0.1054
2.11730e-08,-0.0712
2.11962e-08,-0.0316
2.12195e-08,0.0064
2.12428e-08,0.0371
2.12660e-08,0.0561
2.12893e-08,0.0621
2.13126e-08,0.0572
2.13358e-08,0.0464
2.13591e-08,0.0344
2.13824e-08,0.0241
2.14056e-08,0.0182
2.14289e-08,0.0184
2.14522e-08,0.0244
2.14754e-08,0.0343
2.14987e-08,0.0466
2.15220e-08,0.0596
2.15452e-08,0.0702
2.15685e-08,0.0741
2.15918e-08,0.0695
2.16150e-08,0.0604
2.16383e-08,0.0558
2.16616e-08,0.0761
2.16848e-08,0.1176
2.17081e-08,0.1805
2.17314e-08,0.2681
2.17546e-08,0.3698
2.17779e-08,0.4742
2.18012e-08,0.5612
2.18244e-08,0.6298
2.18477e-08,0.6869
2.18710e-08,0.7304
2.18942e-08,0.7636
2.19175e-08,0.7994
2.19408e-08,0.8478
2.19640e-08,0.9101
2.19873e-08,0.9788
2.20106e-08,1.0502
2.20338e-08,1.1223
2.20571e-08,1.1867
2.20804e-08,1.2367
2.21037e-08,1.2711
2.21269e-08,1.2914
2.21502e-08,1.2963
2.21735e-08,1.2840
2.21967e-08,1.2590
2.22200e-08,1.2303
2.22433e-08,1.2056
2.22665e-08,1.1908
2.22898e-08,1.1906
2.23131e-08,1.2057
2.23363e-08,1.2307
2.23596e-08,1.2559
2.23829e-08,1.2721
2.24061e-08,1.2735
2.24294e-08,1.2586
2.24527e-08,1.2302
2.24759e-08,1.1945
2.24992e-08,1.1586
2.25225e-08,1.1292
2.25457e-08,1.1116
2.25690e-08,1.1074
2.25923e-08,1.1142
2.26155e-08,1.1283
2.26388e-08,1.1457
2.26621e-08,1.1627
2.26853e-08,1.1754
2.27086e-08,1.1819
2.27319e-08,1.1820
2.27551e-08,1.1763
2.27784e-08,1.1653
2.28017e-08,1.1514
2.28249e-08,1.1385
2.28482e-08,1.1246
2.28715e-08,1.1067
2.28947e-08,1.0693
2.29180e-08,1.0205
2.29413e-08,0.9651
2.29645e-08,0.8926
2.29878e-08,0.8087
2.30111e-08,0.7189
2.30343e-08,0.6375
2.30576e-08,0.5648
2.30809e-08,0.4928
2.31041e-08,0.4277
2.31274e-08,0.3727
2.31507e-08,0.3181
2.31739e-08,0.2571
2.31972e-08,0.1906
2.32205e-08,0.1264
