.HEADER
..NAMES
Time,V U2.M7
.DATA
9.8652e-09,-0.0096
9.8885e-09,-0.0123
9.9117e-09,-0.0125
9.9350e-09,-0.0097
9.9583e-09,-0.0048
9.9815e-09,0.0004
1.00048e-08,0.0048
1.00281e-08,0.0078
1.00513e-08,0.0093
1.00746e-08,0.0095
1.00979e-08,0.0091
1.01211e-08,0.0084
1.01444e-08,0.0071
1.01677e-08,0.0048
1.01909e-08,0.0021
1.02142e-08,0.0001
1.02375e-08,-0.0000
1.02607e-08,0.0016
1.02840e-08,0.0040
1.03073e-08,0.0057
1.03305e-08,0.0065
1.03538e-08,0.0083
1.03771e-08,0.0212
1.04003e-08,0.0678
1.04236e-08,0.1736
1.04469e-08,0.3112
1.04702e-08,0.4375
1.04934e-08,0.5592
1.05167e-08,0.6988
1.05400e-08,0.8419
1.05632e-08,0.9713
1.05865e-08,1.0790
1.06098e-08,1.1569
1.06330e-08,1.2043
1.06563e-08,1.2308
1.06796e-08,1.2484
1.07028e-08,1.2636
1.07261e-08,1.2801
1.07494e-08,1.2994
1.07726e-08,1.3185
1.07959e-08,1.3283
1.08192e-08,1.3226
1.08424e-08,1.3078
1.08657e-08,1.2936
1.08890e-08,1.2787
1.09122e-08,1.2487
1.09355e-08,1.1984
1.09588e-08,1.1423
1.09820e-08,1.0961
1.10053e-08,1.0641
1.10286e-08,1.0458
1.10518e-08,1.0389
1.10751e-08,1.0399
1.10984e-08,1.0476
1.11216e-08,1.0629
1.11449e-08,1.0839
1.11682e-08,1.1062
1.11914e-08,1.1265
1.12147e-08,1.1428
1.12380e-08,1.1525
1.12612e-08,1.1542
1.12845e-08,1.1521
1.13078e-08,1.1556
1.13310e-08,1.1699
1.13543e-08,1.1908
1.13776e-08,1.2104
1.14008e-08,1.2257
1.14241e-08,1.2396
1.14474e-08,1.2540
1.14706e-08,1.2672
1.14939e-08,1.2751
1.15172e-08,1.2745
1.15404e-08,1.2650
1.15637e-08,1.2498
1.15870e-08,1.2333
1.16102e-08,1.2184
1.16335e-08,1.2067
1.16568e-08,1.1993
1.16800e-08,1.1958
1.17033e-08,1.1939
1.17266e-08,1.1922
1.17498e-08,1.1916
1.17731e-08,1.1935
1.17964e-08,1.1968
1.18196e-08,1.1973
1.18429e-08,1.1922
1.18662e-08,1.1832
1.18894e-08,1.1744
1.19127e-08,1.1695
1.19360e-08,1.1693
1.19592e-08,1.1724
1.19825e-08,1.1771
1.20058e-08,1.1828
1.20290e-08,1.1897
1.20523e-08,1.1976
1.20756e-08,1.2055
1.20988e-08,1.2123
1.21221e-08,1.2169
1.21454e-08,1.2184
1.21686e-08,1.2162
1.21919e-08,1.2116
1.22152e-08,1.2072
1.22384e-08,1.2050
1.22617e-08,1.2050
1.22850e-08,1.2057
1.23082e-08,1.2061
1.23315e-08,1.2066
1.23548e-08,1.2081
1.23780e-08,1.2107
1.24013e-08,1.2131
1.24246e-08,1.2134
1.24478e-08,1.2109
1.24711e-08,1.2062
1.24944e-08,1.2010
1.25176e-08,1.1964
1.25409e-08,1.1934
1.25642e-08,1.1921
1.25874e-08,1.1922
1.26107e-08,1.1931
1.26340e-08,1.1943
1.26572e-08,1.1960
1.26805e-08,1.1984
1.27038e-08,1.2014
1.27270e-08,1.2039
1.27503e-08,1.2046
1.27736e-08,1.2034
1.27968e-08,1.2013
1.28201e-08,1.1993
1.28434e-08,1.1926
1.28667e-08,1.1650
1.28899e-08,1.0943
1.29132e-08,0.9637
1.29365e-08,0.8122
1.29597e-08,0.6796
1.29830e-08,0.5502
1.30063e-08,0.4034
1.30295e-08,0.2570
1.30528e-08,0.1294
1.30761e-08,0.0297
1.30993e-08,-0.0380
1.31226e-08,-0.0772
1.31459e-08,-0.0999
1.31691e-08,-0.1171
1.31924e-08,-0.1341
1.32157e-08,-0.1533
1.32389e-08,-0.1747
1.32622e-08,-0.1928
1.32855e-08,-0.1975
1.33087e-08,-0.1858
1.33320e-08,-0.1669
1.33553e-08,-0.1491
1.33785e-08,-0.1270
1.34018e-08,-0.0860
1.34251e-08,-0.0256
1.34483e-08,0.0364
1.34716e-08,0.0848
1.34949e-08,0.1172
1.35181e-08,0.1365
1.35414e-08,0.1459
1.35647e-08,0.1482
1.35879e-08,0.1433
1.36112e-08,0.1307
1.36345e-08,0.1130
1.36577e-08,0.0949
1.36810e-08,0.0792
1.37043e-08,0.0676
1.37275e-08,0.0626
1.37508e-08,0.0645
1.37741e-08,0.0668
1.37973e-08,0.0603
1.38206e-08,0.0422
1.38439e-08,0.0188
1.38671e-08,-0.0016
1.38904e-08,-0.0179
1.39137e-08,-0.0336
1.39369e-08,-0.0506
1.39602e-08,-0.0655
1.39835e-08,-0.0739
1.40067e-08,-0.0728
1.40300e-08,-0.0631
1.40533e-08,-0.0488
1.40765e-08,-0.0341
1.40998e-08,-0.0202
1.41231e-08,0.0002
1.41463e-08,0.0487
1.41696e-08,0.1522
1.41929e-08,0.2958
1.42161e-08,0.4341
1.42394e-08,0.5611
1.42627e-08,0.6985
1.42859e-08,0.8422
1.43092e-08,0.9764
1.43325e-08,1.0931
1.43557e-08,1.1828
1.43790e-08,1.2393
1.44023e-08,1.2683
1.44255e-08,1.2826
1.44488e-08,1.2918
1.44721e-08,1.3014
1.44953e-08,1.3138
1.45186e-08,1.3264
1.45419e-08,1.3305
1.45651e-08,1.3194
1.45884e-08,1.2980
1.46117e-08,1.2781
1.46349e-08,1.2617
1.46582e-08,1.2361
1.46815e-08,1.1915
1.47047e-08,1.1372
1.47280e-08,1.0890
1.47513e-08,1.0544
1.47745e-08,1.0346
1.47978e-08,1.0277
1.48211e-08,1.0292
1.48443e-08,1.0364
1.48676e-08,1.0501
1.48909e-08,1.0702
1.49141e-08,1.0940
1.49374e-08,1.1183
1.49607e-08,1.1401
1.49839e-08,1.1558
1.50072e-08,1.1622
1.50305e-08,1.1622
1.50537e-08,1.1648
1.50770e-08,1.1771
1.51003e-08,1.1971
1.51236e-08,1.2169
1.51468e-08,1.2318
1.51701e-08,1.2435
1.51934e-08,1.2550
1.52166e-08,1.2663
1.52399e-08,1.2746
1.52632e-08,1.2759
1.52864e-08,1.2686
1.53097e-08,1.2542
1.53330e-08,1.2372
1.53562e-08,1.2209
1.53795e-08,1.2079
1.54028e-08,1.1992
1.54260e-08,1.1944
1.54493e-08,1.1914
1.54726e-08,1.1883
1.54958e-08,1.1860
1.55191e-08,1.1868
1.55424e-08,1.1904
1.55656e-08,1.1930
1.55889e-08,1.1908
1.56122e-08,1.1838
1.56354e-08,1.1756
1.56587e-08,1.1703
1.56820e-08,1.1697
1.57052e-08,1.1728
1.57285e-08,1.1779
1.57518e-08,1.1835
1.57750e-08,1.1896
1.57983e-08,1.1966
1.58216e-08,1.2040
1.58448e-08,1.2111
1.58681e-08,1.2168
1.58914e-08,1.2196
1.59146e-08,1.2186
1.59379e-08,1.2145
1.59612e-08,1.2099
1.59844e-08,1.2070
1.60077e-08,1.2065
1.60310e-08,1.2069
1.60542e-08,1.2069
1.60775e-08,1.2065
1.61008e-08,1.2069
1.61240e-08,1.2086
1.61473e-08,1.2109
1.61706e-08,1.2119
1.61938e-08,1.2105
1.62171e-08,1.2066
1.62404e-08,1.2015
1.62636e-08,1.1968
1.62869e-08,1.1935
1.63102e-08,1.1920
1.63334e-08,1.1921
1.63567e-08,1.1929
1.63800e-08,1.1939
1.64032e-08,1.1950
1.64265e-08,1.1970
1.64498e-08,1.1999
1.64730e-08,1.2028
1.64963e-08,1.2043
1.65196e-08,1.2038
1.65428e-08,1.2021
1.65661e-08,1.2003
1.65894e-08,1.1955
1.66126e-08,1.1729
1.66359e-08,1.1127
1.66592e-08,0.9927
1.66824e-08,0.8403
1.67057e-08,0.7007
1.67290e-08,0.5725
1.67522e-08,0.4297
1.67755e-08,0.2813
1.67988e-08,0.1491
1.68220e-08,0.0437
1.68453e-08,-0.0297
1.68686e-08,-0.0732
1.68918e-08,-0.0975
1.69151e-08,-0.1146
1.69384e-08,-0.1309
1.69616e-08,-0.1496
1.69849e-08,-0.1709
1.70082e-08,-0.1905
1.70314e-08,-0.1987
1.70547e-08,-0.1901
1.70780e-08,-0.1715
1.71012e-08,-0.1526
1.71245e-08,-0.1319
1.71478e-08,-0.0954
1.71710e-08,-0.0379
1.71943e-08,0.0259
1.72176e-08,0.0780
1.72408e-08,0.1134
1.72641e-08,0.1347
1.72874e-08,0.1454
1.73106e-08,0.1485
1.73339e-08,0.1447
1.73572e-08,0.1333
1.73804e-08,0.1162
1.74037e-08,0.0978
1.74270e-08,0.0815
1.74502e-08,0.0691
1.74735e-08,0.0627
1.74968e-08,0.0635
1.75201e-08,0.0665
1.75433e-08,0.0625
1.75666e-08,0.0465
1.75899e-08,0.0233
1.76131e-08,0.0015
1.76364e-08,-0.0156
1.76597e-08,-0.0312
1.76829e-08,-0.0479
1.77062e-08,-0.0636
1.77295e-08,-0.0735
1.77527e-08,-0.0742
1.77760e-08,-0.0658
1.77993e-08,-0.0518
1.78225e-08,-0.0367
1.78458e-08,-0.0233
1.78691e-08,-0.0131
1.78923e-08,-0.0067
1.79156e-08,-0.0037
1.79389e-08,-0.0019
1.79621e-08,0.0003
1.79854e-08,0.0017
1.80087e-08,0.0008
1.80319e-08,-0.0011
1.80552e-08,0.0000
1.80785e-08,0.0070
1.81017e-08,0.0181
1.81250e-08,0.0285
1.81483e-08,0.0346
1.81715e-08,0.0356
1.81948e-08,0.0333
1.82181e-08,0.0296
1.82413e-08,0.0248
1.82646e-08,0.0187
1.82879e-08,0.0112
1.83111e-08,0.0035
1.83344e-08,-0.0033
1.83577e-08,-0.0081
1.83809e-08,-0.0098
1.84042e-08,-0.0080
1.84275e-08,-0.0040
1.84507e-08,-0.0004
1.84740e-08,0.0008
1.84973e-08,-0.0002
1.85205e-08,-0.0018
1.85438e-08,-0.0028
1.85671e-08,-0.0039
1.85903e-08,-0.0060
1.86136e-08,-0.0092
1.86369e-08,-0.0120
1.86601e-08,-0.0126
1.86834e-08,-0.0101
1.87067e-08,-0.0055
1.87299e-08,-0.0003
1.87532e-08,0.0043
1.87765e-08,0.0074
1.87997e-08,0.0089
1.88230e-08,0.0091
1.88463e-08,0.0087
1.88695e-08,0.0081
1.88928e-08,0.0070
1.89161e-08,0.0050
1.89393e-08,0.0024
1.89626e-08,0.0003
1.89859e-08,-0.0001
1.90091e-08,0.0013
1.90324e-08,0.0036
1.90557e-08,0.0054
1.90789e-08,0.0062
1.91022e-08,0.0076
1.91255e-08,0.0192
1.91487e-08,0.0634
1.91720e-08,0.1633
1.91953e-08,0.2998
1.92185e-08,0.4293
1.92418e-08,0.5510
1.92651e-08,0.6875
1.92883e-08,0.8310
1.93116e-08,0.9619
1.93349e-08,1.0711
1.93581e-08,1.1515
1.93814e-08,1.2011
1.94047e-08,1.2286
1.94279e-08,1.2463
1.94512e-08,1.2616
1.94745e-08,1.2782
1.94977e-08,1.2975
1.95210e-08,1.3169
1.95443e-08,1.3277
1.95675e-08,1.3235
1.95908e-08,1.3090
1.96141e-08,1.2943
1.96373e-08,1.2794
1.96606e-08,1.2511
1.96839e-08,1.2026
1.97071e-08,1.1463
1.97304e-08,1.0987
1.97537e-08,1.0657
1.97769e-08,1.0466
1.98002e-08,1.0391
1.98235e-08,1.0397
1.98468e-08,1.0470
1.98700e-08,1.0616
1.98933e-08,1.0822
1.99166e-08,1.1045
1.99398e-08,1.1250
1.99631e-08,1.1416
1.99864e-08,1.1518
2.00096e-08,1.1540
2.00329e-08,1.1520
2.00562e-08,1.1548
2.00794e-08,1.1681
2.01027e-08,1.1888
2.01260e-08,1.2089
2.01492e-08,1.2247
2.01725e-08,1.2385
2.01958e-08,1.2528
2.02190e-08,1.2661
2.02423e-08,1.2745
2.02656e-08,1.2746
2.02888e-08,1.2657
2.03121e-08,1.2508
2.03354e-08,1.2342
2.03586e-08,1.2191
2.03819e-08,1.2072
2.04052e-08,1.1995
2.04284e-08,1.1958
2.04517e-08,1.1939
2.04750e-08,1.1923
2.04982e-08,1.1915
2.05215e-08,1.1932
2.05448e-08,1.1964
2.05680e-08,1.1972
2.05913e-08,1.1926
2.06146e-08,1.1838
2.06378e-08,1.1748
2.06611e-08,1.1695
2.06844e-08,1.1689
2.07076e-08,1.1719
2.07309e-08,1.1767
2.07542e-08,1.1823
2.07774e-08,1.1890
2.08007e-08,1.1968
2.08240e-08,1.2048
2.08472e-08,1.2117
2.08705e-08,1.2165
2.08938e-08,1.2182
2.09170e-08,1.2163
2.09403e-08,1.2118
2.09636e-08,1.2073
2.09868e-08,1.2049
2.10101e-08,1.2048
2.10334e-08,1.2055
2.10566e-08,1.2059
2.10799e-08,1.2064
2.11032e-08,1.2078
2.11264e-08,1.2104
2.11497e-08,1.2128
2.11730e-08,1.2133
2.11962e-08,1.2110
2.12195e-08,1.2065
2.12428e-08,1.2012
2.12660e-08,1.1965
2.12893e-08,1.1934
2.13126e-08,1.1919
2.13358e-08,1.1920
2.13591e-08,1.1929
2.13824e-08,1.1941
2.14056e-08,1.1957
2.14289e-08,1.1981
2.14522e-08,1.2010
2.14754e-08,1.2035
2.14987e-08,1.2044
2.15220e-08,1.2034
2.15452e-08,1.2013
2.15685e-08,1.1993
2.15918e-08,1.1935
2.16150e-08,1.1680
2.16383e-08,1.1025
2.16616e-08,0.9774
2.16848e-08,0.8249
2.17081e-08,0.6876
2.17314e-08,0.5589
2.17546e-08,0.4148
2.17779e-08,0.2672
2.18012e-08,0.1369
2.18244e-08,0.0344
2.18477e-08,-0.0360
2.18710e-08,-0.0769
2.18942e-08,-0.0999
2.19175e-08,-0.1166
2.19408e-08,-0.1330
2.19640e-08,-0.1519
2.19873e-08,-0.1731
2.20106e-08,-0.1918
2.20338e-08,-0.1982
2.20571e-08,-0.1880
2.20804e-08,-0.1691
2.21037e-08,-0.1505
2.21269e-08,-0.1290
2.21502e-08,-0.0905
2.21735e-08,-0.0316
2.21967e-08,0.0316
2.22200e-08,0.0821
2.22433e-08,0.1160
2.22665e-08,0.1361
2.22898e-08,0.1460
2.23131e-08,0.1485
2.23363e-08,0.1441
2.23596e-08,0.1321
2.23829e-08,0.1146
2.24061e-08,0.0961
2.24294e-08,0.0800
2.24527e-08,0.0679
2.24759e-08,0.0623
2.24992e-08,0.0636
2.25225e-08,0.0664
2.25457e-08,0.0612
2.25690e-08,0.0442
2.25923e-08,0.0209
2.26155e-08,-0.0005
2.26388e-08,-0.0172
2.26621e-08,-0.0327
2.26853e-08,-0.0494
2.27086e-08,-0.0648
2.27319e-08,-0.0740
2.27551e-08,-0.0738
2.27784e-08,-0.0646
2.28017e-08,-0.0504
2.28249e-08,-0.0354
2.28482e-08,-0.0223
2.28715e-08,-0.0124
2.28947e-08,-0.0064
2.29180e-08,-0.0035
2.29413e-08,-0.0016
2.29645e-08,0.0006
2.29878e-08,0.0019
2.30111e-08,0.0007
2.30343e-08,-0.0012
2.30576e-08,0.0004
2.30809e-08,0.0079
2.31041e-08,0.0192
2.31274e-08,0.0293
2.31507e-08,0.0348
2.31739e-08,0.0354
2.31972e-08,0.0329
2.32205e-08,0.0291
2.32437e-08,0.0243
2.32670e-08,0.0180
2.32903e-08,0.0105
2.33135e-08,0.0028
2.33368e-08,-0.0039
2.33601e-08,-0.0084
2.33833e-08,-0.0098
2.34066e-08,-0.0077
2.34299e-08,-0.0037
2.34531e-08,-0.0003
2.34764e-08,0.0007
2.34997e-08,-0.0004
2.35229e-08,-0.0019
2.35462e-08,-0.0029
2.35695e-08,-0.0040
2.35927e-08,-0.0062
2.36160e-08,-0.0095
2.36393e-08,-0.0122
2.36625e-08,-0.0125
2.36858e-08,-0.0098
2.37091e-08,-0.0050
2.37323e-08,0.0002
2.37556e-08,0.0046
2.37789e-08,0.0075
2.38021e-08,0.0089
2.38254e-08,0.0091
2.38487e-08,0.0087
2.38719e-08,0.0081
2.38952e-08,0.0069
2.39185e-08,0.0048
2.39417e-08,0.0022
2.39650e-08,0.0002
2.39883e-08,-0.0000
2.40115e-08,0.0015
2.40348e-08,0.0038
2.40581e-08,0.0055
2.40813e-08,0.0062
2.41046e-08,0.0081
2.41279e-08,0.0220
2.41511e-08,0.0714
2.41744e-08,0.1775
2.41977e-08,0.3155
2.42209e-08,0.4436
2.42442e-08,0.5660
2.42675e-08,0.7041
2.42907e-08,0.8470
2.43140e-08,0.9759
2.43373e-08,1.0823
2.43605e-08,1.1591
2.43838e-08,1.2055
2.44071e-08,1.2311
2.44303e-08,1.2481
2.44536e-08,1.2634
2.44769e-08,1.2801
2.45002e-08,1.2998
2.45234e-08,1.3188
2.45467e-08,1.3282
