.HEADER
..NAMES
Time,V U2.P8
.DATA
1.68918e-08,1.2033
1.69151e-08,1.2042
1.69384e-08,1.2040
1.69616e-08,1.2038
1.69849e-08,1.2039
1.70082e-08,1.2039
1.70314e-08,1.2030
1.70547e-08,1.2007
1.70780e-08,1.1979
1.71012e-08,1.1958
1.71245e-08,1.1951
1.71478e-08,1.1957
1.71710e-08,1.1972
1.71943e-08,1.1988
1.72176e-08,1.2004
1.72408e-08,1.2018
1.72641e-08,1.2030
1.72874e-08,1.2042
1.73106e-08,1.2050
1.73339e-08,1.2053
1.73572e-08,1.2048
1.73804e-08,1.2034
1.74037e-08,1.2013
1.74270e-08,1.1990
1.74502e-08,1.1975
1.74735e-08,1.1971
1.74968e-08,1.1976
1.75201e-08,1.1983
1.75433e-08,1.1987
1.75666e-08,1.1989
1.75899e-08,1.1994
1.76131e-08,1.2004
1.76364e-08,1.2017
1.76597e-08,1.2028
1.76829e-08,1.2034
1.77062e-08,1.2033
1.77295e-08,1.2025
1.77527e-08,1.2013
1.77760e-08,1.2001
1.77993e-08,1.1992
1.78225e-08,1.1986
1.78458e-08,1.1982
1.78691e-08,1.1925
1.78923e-08,1.1661
1.79156e-08,1.1007
1.79389e-08,0.9821
1.79621e-08,0.8546
1.79854e-08,0.7462
1.80087e-08,0.6308
1.80319e-08,0.4782
1.80552e-08,0.3203
1.80785e-08,0.1895
1.81017e-08,0.0806
1.81250e-08,-0.0099
1.81483e-08,-0.0745
1.81715e-08,-0.1142
1.81948e-08,-0.1347
1.82181e-08,-0.1461
1.82413e-08,-0.1539
1.82646e-08,-0.1628
1.82879e-08,-0.1714
1.83111e-08,-0.1769
1.83344e-08,-0.1771
1.83577e-08,-0.1743
1.83809e-08,-0.1753
1.84042e-08,-0.1849
1.84275e-08,-0.1981
1.84507e-08,-0.2010
1.84740e-08,-0.1805
1.84973e-08,-0.1406
1.85205e-08,-0.0998
1.85438e-08,-0.0654
1.85671e-08,-0.0265
1.85903e-08,0.0209
1.86136e-08,0.0638
1.86369e-08,0.0947
1.86601e-08,0.1179
1.86834e-08,0.1342
1.87067e-08,0.1384
1.87299e-08,0.1287
1.87532e-08,0.1090
1.87765e-08,0.0865
1.87997e-08,0.0675
1.88230e-08,0.0562
1.88463e-08,0.0513
1.88695e-08,0.0481
1.88928e-08,0.0426
1.89161e-08,0.0358
1.89393e-08,0.0329
1.89626e-08,0.0377
1.89859e-08,0.0465
1.90091e-08,0.0510
1.90324e-08,0.0456
1.90557e-08,0.0328
1.90789e-08,0.0183
1.91022e-08,0.0030
1.91255e-08,-0.0152
1.91487e-08,-0.0333
1.91720e-08,-0.0459
1.91953e-08,-0.0525
1.92185e-08,-0.0567
1.92418e-08,-0.0593
1.92651e-08,-0.0569
1.92883e-08,-0.0476
1.93116e-08,-0.0326
1.93349e-08,-0.0159
1.93581e-08,-0.0022
1.93814e-08,0.0050
1.94047e-08,0.0061
1.94279e-08,0.0047
1.94512e-08,0.0042
1.94745e-08,0.0046
1.94977e-08,0.0036
1.95210e-08,-0.0005
1.95443e-08,-0.0062
1.95675e-08,-0.0104
1.95908e-08,-0.0113
1.96141e-08,-0.0094
1.96373e-08,-0.0049
1.96606e-08,0.0026
1.96839e-08,0.0123
1.97071e-08,0.0208
1.97304e-08,0.0249
1.97537e-08,0.0255
1.97769e-08,0.0251
1.98002e-08,0.0244
1.98235e-08,0.0223
1.98468e-08,0.0173
1.98700e-08,0.0094
1.98933e-08,0.0002
1.99166e-08,-0.0075
1.99398e-08,-0.0114
1.99631e-08,-0.0113
1.99864e-08,-0.0088
2.00096e-08,-0.0059
2.00329e-08,-0.0035
2.00562e-08,-0.0012
2.00794e-08,0.0013
2.01027e-08,0.0037
2.01260e-08,0.0056
2.01492e-08,0.0072
2.01725e-08,0.0079
2.01958e-08,0.0068
2.02190e-08,0.0028
2.02423e-08,-0.0029
2.02656e-08,-0.0078
2.02888e-08,-0.0101
2.03121e-08,-0.0100
2.03354e-08,-0.0089
2.03586e-08,-0.0075
2.03819e-08,-0.0037
2.04052e-08,0.0138
2.04284e-08,0.0675
2.04517e-08,0.1756
2.04750e-08,0.2987
2.04982e-08,0.4032
2.05215e-08,0.5121
2.05448e-08,0.6535
2.05680e-08,0.8008
2.05913e-08,0.9254
2.06146e-08,1.0339
2.06378e-08,1.1270
2.06611e-08,1.1958
2.06844e-08,1.2395
2.07076e-08,1.2629
2.07309e-08,1.2749
2.07542e-08,1.2826
2.07774e-08,1.2918
2.08007e-08,1.3029
2.08240e-08,1.3122
2.08472e-08,1.3157
2.08705e-08,1.3135
2.08938e-08,1.3124
2.09170e-08,1.3188
2.09403e-08,1.3309
2.09636e-08,1.3363
2.09868e-08,1.3214
2.10101e-08,1.2874
2.10334e-08,1.2510
2.10566e-08,1.2203
2.10799e-08,1.1866
2.11032e-08,1.1467
2.11264e-08,1.1121
2.11497e-08,1.0891
2.11730e-08,1.0724
2.11962e-08,1.0608
2.12195e-08,1.0593
2.12428e-08,1.0704
2.12660e-08,1.0915
2.12893e-08,1.1169
2.13126e-08,1.1400
2.13358e-08,1.1552
2.13591e-08,1.1622
2.13824e-08,1.1655
2.14056e-08,1.1700
2.14289e-08,1.1767
2.14522e-08,1.1812
2.14754e-08,1.1793
2.14987e-08,1.1728
2.15220e-08,1.1687
2.15452e-08,1.1725
2.15685e-08,1.1829
2.15918e-08,1.1952
2.16150e-08,1.2050
2.16383e-08,1.1994
2.16616e-08,1.1589
2.16848e-08,1.0580
2.17081e-08,0.9292
2.17314e-08,0.8135
2.17546e-08,0.6996
2.17779e-08,0.5495
2.18012e-08,0.3797
2.18244e-08,0.2283
2.18477e-08,0.0993
2.18710e-08,-0.0092
2.18942e-08,-0.0864
2.19175e-08,-0.1309
2.19408e-08,-0.1502
2.19640e-08,-0.1583
2.19873e-08,-0.1631
2.20106e-08,-0.1686
2.20338e-08,-0.1732
2.20571e-08,-0.1749
2.20804e-08,-0.1731
2.21037e-08,-0.1699
2.21269e-08,-0.1707
2.21502e-08,-0.1814
2.21735e-08,-0.2005
2.21967e-08,-0.2150
2.22200e-08,-0.2071
2.22433e-08,-0.1728
2.22665e-08,-0.1291
2.22898e-08,-0.0899
2.23131e-08,-0.0492
2.23363e-08,0.0003
2.23596e-08,0.0498
2.23829e-08,0.0897
2.24061e-08,0.1218
2.24294e-08,0.1463
2.24527e-08,0.1565
2.24759e-08,0.1487
2.24992e-08,0.1270
2.25225e-08,0.0999
2.25457e-08,0.0754
2.25690e-08,0.0587
2.25923e-08,0.0499
2.26155e-08,0.0451
2.26388e-08,0.0397
2.26621e-08,0.0326
2.26853e-08,0.0283
2.27086e-08,0.0322
2.27319e-08,0.0437
2.27551e-08,0.0547
2.27784e-08,0.0561
2.28017e-08,0.0465
2.28249e-08,0.0313
2.28482e-08,0.0140
2.28715e-08,-0.0054
2.28947e-08,-0.0189
2.29180e-08,-0.0021
2.29413e-08,0.0761
2.29645e-08,0.1958
2.29878e-08,0.3077
2.30111e-08,0.4121
2.30343e-08,0.5512
2.30576e-08,0.7233
2.30809e-08,0.8861
2.31041e-08,1.0224
2.31274e-08,1.1338
2.31507e-08,1.2150
2.31739e-08,1.2639
2.31972e-08,1.2882
2.32205e-08,1.2989
2.32437e-08,1.3026
2.32670e-08,1.3026
2.32903e-08,1.3017
2.33135e-08,1.3012
2.33368e-08,1.3006
2.33601e-08,1.2990
2.33833e-08,1.3002
2.34066e-08,1.3119
2.34299e-08,1.3357
2.34531e-08,1.3588
2.34764e-08,1.3607
2.34997e-08,1.3335
2.35229e-08,1.2932
2.35462e-08,1.2575
2.35695e-08,1.2230
2.35927e-08,1.1780
2.36160e-08,1.1279
2.36393e-08,1.0860
2.36625e-08,1.0555
2.36858e-08,1.0351
2.37091e-08,1.0292
2.37323e-08,1.0406
2.37556e-08,1.0657
2.37789e-08,1.0970
2.38021e-08,1.1273
2.38254e-08,1.1509
2.38487e-08,1.1653
2.38719e-08,1.1731
2.38952e-08,1.1797
2.39185e-08,1.1877
2.39417e-08,1.1929
2.39650e-08,1.1888
2.39883e-08,1.1749
2.40115e-08,1.1601
2.40348e-08,1.1553
2.40581e-08,1.1630
2.40813e-08,1.1772
2.41046e-08,1.1926
2.41279e-08,1.2103
2.41511e-08,1.2305
2.41744e-08,1.2483
2.41977e-08,1.2599
2.42209e-08,1.2667
2.42442e-08,1.2702
2.42675e-08,1.2683
2.42907e-08,1.2583
2.43140e-08,1.2407
2.43373e-08,1.2190
2.43605e-08,1.1985
2.43838e-08,1.1845
2.44071e-08,1.1792
2.44303e-08,1.1802
2.44536e-08,1.1825
2.44769e-08,1.1833
