.HEADER
..NAMES
Time,V U2.D3
.DATA
1.28434e-08,1.1525
1.28667e-08,1.1613
1.28899e-08,1.1650
1.29132e-08,1.1659
1.29365e-08,1.1616
1.29597e-08,1.1507
1.29830e-08,1.1392
1.30063e-08,1.1338
1.30295e-08,1.1372
1.30528e-08,1.1498
1.30761e-08,1.1686
1.30993e-08,1.1871
1.31226e-08,1.2026
1.31459e-08,1.2180
1.31691e-08,1.2347
1.31924e-08,1.2495
1.32157e-08,1.2588
1.32389e-08,1.2623
1.32622e-08,1.2599
1.32855e-08,1.2506
1.33087e-08,1.2354
1.33320e-08,1.2191
1.33553e-08,1.2063
1.33785e-08,1.1973
1.34018e-08,1.1900
1.34251e-08,1.1853
1.34483e-08,1.1863
1.34716e-08,1.1939
1.34949e-08,1.2050
1.35181e-08,1.2159
1.35414e-08,1.2237
1.35647e-08,1.2263
1.35879e-08,1.2232
1.36112e-08,1.2163
1.36345e-08,1.2078
1.36577e-08,1.1990
1.36810e-08,1.1907
1.37043e-08,1.1830
1.37275e-08,1.1758
1.37508e-08,1.1702
1.37741e-08,1.1665
1.37973e-08,1.1556
1.38206e-08,1.1227
1.38439e-08,1.0471
1.38671e-08,0.9442
1.38904e-08,0.8602
1.39137e-08,0.7842
1.39369e-08,0.6697
1.39602e-08,0.5363
1.39835e-08,0.4142
1.40067e-08,0.2956
1.40300e-08,0.1732
1.40533e-08,0.0658
1.40765e-08,-0.0087
1.40998e-08,-0.0535
1.41231e-08,-0.0857
1.41463e-08,-0.1144
1.41696e-08,-0.1341
1.41929e-08,-0.1400
1.42161e-08,-0.1389
1.42394e-08,-0.1434
1.42627e-08,-0.1578
1.42859e-08,-0.1785
1.43092e-08,-0.2005
1.43325e-08,-0.2150
1.43557e-08,-0.2142
1.43790e-08,-0.2034
1.44023e-08,-0.1896
1.44255e-08,-0.1677
1.44488e-08,-0.1378
1.44721e-08,-0.1099
1.44953e-08,-0.0820
1.45186e-08,-0.0427
1.45419e-08,0.0053
1.45651e-08,0.0464
1.45884e-08,0.0714
1.46117e-08,0.0849
1.46349e-08,0.0929
1.46582e-08,0.0947
1.46815e-08,0.0869
1.47047e-08,0.0721
1.47280e-08,0.0567
1.47513e-08,0.0444
1.47745e-08,0.0357
1.47978e-08,0.0332
1.48211e-08,0.0396
1.48443e-08,0.0518
1.48676e-08,0.0627
1.48909e-08,0.0684
1.49141e-08,0.0679
1.49374e-08,0.0621
1.49607e-08,0.0550
1.49839e-08,0.0488
1.50072e-08,0.0399
1.50305e-08,0.0247
1.50537e-08,0.0056
1.50770e-08,-0.0126
1.51003e-08,-0.0281
1.51236e-08,-0.0406
1.51468e-08,-0.0484
1.51701e-08,-0.0493
1.51934e-08,-0.0443
1.52166e-08,-0.0362
1.52399e-08,-0.0263
1.52632e-08,-0.0141
1.52864e-08,-0.0008
1.53097e-08,0.0084
1.53330e-08,0.0100
1.53562e-08,0.0048
1.53795e-08,-0.0034
1.54028e-08,-0.0118
1.54260e-08,-0.0183
1.54493e-08,-0.0217
1.54726e-08,-0.0227
1.54958e-08,-0.0221
1.55191e-08,-0.0197
1.55424e-08,-0.0154
1.55656e-08,-0.0092
1.55889e-08,-0.0011
1.56122e-08,0.0084
1.56354e-08,0.0175
1.56587e-08,0.0238
1.56820e-08,0.0267
1.57052e-08,0.0269
1.57285e-08,0.0251
1.57518e-08,0.0207
1.57750e-08,0.0130
1.57983e-08,0.0034
1.58216e-08,-0.0054
1.58448e-08,-0.0113
1.58681e-08,-0.0134
1.58914e-08,-0.0113
1.59146e-08,-0.0058
1.59379e-08,0.0010
1.59612e-08,0.0068
1.59844e-08,0.0107
1.60077e-08,0.0128
1.60310e-08,0.0137
1.60542e-08,0.0134
1.60775e-08,0.0117
1.61008e-08,0.0081
1.61240e-08,0.0032
1.61473e-08,-0.0021
1.61706e-08,-0.0067
1.61938e-08,-0.0102
1.62171e-08,-0.0125
1.62404e-08,-0.0134
1.62636e-08,-0.0126
1.62869e-08,-0.0098
1.63102e-08,-0.0052
1.63334e-08,0.0005
1.63567e-08,0.0065
1.63800e-08,0.0113
1.64032e-08,0.0134
1.64265e-08,0.0122
1.64498e-08,0.0088
