.HEADER
..NAMES
Time,V U2.G3&F3
.DATA
1.88695e-08,0.5291
1.88928e-08,0.5255
1.89161e-08,0.5211
1.89393e-08,0.5141
1.89626e-08,0.5068
1.89859e-08,0.5016
1.90091e-08,0.4982
1.90324e-08,0.4957
1.90557e-08,0.4954
1.90789e-08,0.5003
1.91022e-08,0.5137
1.91255e-08,0.5449
1.91487e-08,0.6103
1.91720e-08,0.7092
1.91953e-08,0.8213
1.92185e-08,0.9201
1.92418e-08,0.9942
1.92651e-08,1.0510
1.92883e-08,1.1011
1.93116e-08,1.1471
1.93349e-08,1.1823
1.93581e-08,1.2012
1.93814e-08,1.2037
1.94047e-08,1.1970
1.94279e-08,1.1913
1.94512e-08,1.1915
1.94745e-08,1.1960
1.94977e-08,1.2004
1.95210e-08,1.2038
1.95443e-08,1.2087
1.95675e-08,1.2165
1.95908e-08,1.2235
1.96141e-08,1.2255
1.96373e-08,1.2223
1.96606e-08,1.2162
1.96839e-08,1.2090
1.97071e-08,1.1991
1.97304e-08,1.1804
1.97537e-08,1.1399
1.97769e-08,1.0661
1.98002e-08,0.9697
1.98235e-08,0.8749
1.98468e-08,0.8025
1.98700e-08,0.7521
1.98933e-08,0.7098
1.99166e-08,0.6651
1.99398e-08,0.6211
1.99631e-08,0.5875
1.99864e-08,0.5682
2.00096e-08,0.5607
2.00329e-08,0.5569
2.00562e-08,0.5506
2.00794e-08,0.5412
2.01027e-08,0.5331
2.01260e-08,0.5283
2.01492e-08,0.5248
2.01725e-08,0.5194
2.01958e-08,0.5117
2.02190e-08,0.5048
2.02423e-08,0.5004
2.02656e-08,0.4974
2.02888e-08,0.4953
2.03121e-08,0.4962
2.03354e-08,0.5031
2.03586e-08,0.5200
2.03819e-08,0.5597
2.04052e-08,0.6366
2.04284e-08,0.7438
2.04517e-08,0.8557
2.04750e-08,0.9474
2.04982e-08,1.0145
2.05215e-08,1.0674
2.05448e-08,1.1165
2.05680e-08,1.1606
2.05913e-08,1.1915
2.06146e-08,1.2049
2.06378e-08,1.2028
2.06611e-08,1.1947
2.06844e-08,1.1903
2.07076e-08,1.1924
2.07309e-08,1.1975
2.07542e-08,1.2014
