.HEADER
..NAMES
Time,V U2.J7
.DATA
1.19360e-08,1.2762
1.19592e-08,1.2042
1.19825e-08,1.1026
1.20058e-08,0.9815
1.20290e-08,0.8436
1.20523e-08,0.7026
1.20756e-08,0.5565
1.20988e-08,0.4097
1.21221e-08,0.2712
1.21454e-08,0.1451
1.21686e-08,0.0425
1.21919e-08,-0.0299
1.22152e-08,-0.0773
1.22384e-08,-0.1060
1.22617e-08,-0.1221
1.22850e-08,-0.1329
1.23082e-08,-0.1422
1.23315e-08,-0.1522
1.23548e-08,-0.1619
1.23780e-08,-0.1691
1.24013e-08,-0.1753
1.24246e-08,-0.1827
1.24478e-08,-0.1908
1.24711e-08,-0.1949
1.24944e-08,-0.1913
1.25176e-08,-0.1753
1.25409e-08,-0.1446
1.25642e-08,-0.0941
1.25874e-08,-0.0108
1.26107e-08,0.1005
1.26340e-08,0.2272
1.26572e-08,0.3665
1.26805e-08,0.5039
1.27038e-08,0.6400
1.27270e-08,0.7753
1.27503e-08,0.8979
1.27736e-08,1.0070
1.27968e-08,1.0933
1.28201e-08,1.1545
1.28434e-08,1.1969
1.28667e-08,1.2251
1.28899e-08,1.2419
1.29132e-08,1.2528
1.29365e-08,1.2616
1.29597e-08,1.2722
1.29830e-08,1.2839
1.30063e-08,1.2925
1.30295e-08,1.2970
1.30528e-08,1.2995
1.30761e-08,1.3008
1.30993e-08,1.2982
1.31226e-08,1.2885
1.31459e-08,1.2679
1.31691e-08,1.2305
1.31924e-08,1.1727
1.32157e-08,1.0820
1.32389e-08,0.9732
1.32622e-08,0.8499
1.32855e-08,0.7191
1.33087e-08,0.5916
1.33320e-08,0.4621
1.33553e-08,0.3380
1.33785e-08,0.2217
1.34018e-08,0.1180
1.34251e-08,0.0354
1.34483e-08,-0.0231
1.34716e-08,-0.0644
1.34949e-08,-0.0918
1.35181e-08,-0.1102
1.35414e-08,-0.1246
1.35647e-08,-0.1377
1.35879e-08,-0.1508
1.36112e-08,-0.1614
1.36345e-08,-0.1681
1.36577e-08,-0.1714
1.36810e-08,-0.1736
1.37043e-08,-0.1738
1.37275e-08,-0.1696
1.37508e-08,-0.1585
1.37741e-08,-0.1369
1.37973e-08,-0.1060
1.38206e-08,-0.0693
1.38439e-08,-0.0325
1.38671e-08,0.0011
1.38904e-08,0.0315
1.39137e-08,0.0583
1.39369e-08,0.0805
1.39602e-08,0.0969
1.39835e-08,0.1068
1.40067e-08,0.1094
1.40300e-08,0.1044
1.40533e-08,0.0932
1.40765e-08,0.0796
1.40998e-08,0.0676
1.41231e-08,0.0593
1.41463e-08,0.0550
1.41696e-08,0.0532
1.41929e-08,0.0516
1.42161e-08,0.0491
1.42394e-08,0.0463
1.42627e-08,0.0442
1.42859e-08,0.0425
1.43092e-08,0.0390
1.43325e-08,0.0322
1.43557e-08,0.0221
1.43790e-08,0.0096
1.44023e-08,-0.0038
1.44255e-08,-0.0133
1.44488e-08,-0.0100
1.44721e-08,0.0241
1.44953e-08,0.0865
1.45186e-08,0.1684
1.45419e-08,0.2686
1.45651e-08,0.3753
1.45884e-08,0.4926
1.46117e-08,0.6198
1.46349e-08,0.7457
1.46582e-08,0.8695
1.46815e-08,0.9770
1.47047e-08,1.0622
1.47280e-08,1.1264
1.47513e-08,1.1719
1.47745e-08,1.2011
1.47978e-08,1.2208
1.48211e-08,1.2361
1.48443e-08,1.2516
1.48676e-08,1.2661
1.48909e-08,1.2767
1.49141e-08,1.2842
1.49374e-08,1.2926
1.49607e-08,1.3038
1.49839e-08,1.3146
1.50072e-08,1.3207
1.50305e-08,1.3135
1.50537e-08,1.2871
1.50770e-08,1.2269
1.51003e-08,1.1330
1.51236e-08,1.0181
1.51468e-08,0.8845
1.51701e-08,0.7448
1.51934e-08,0.6022
1.52166e-08,0.4554
1.52399e-08,0.3154
1.52632e-08,0.1850
1.52864e-08,0.0738
1.53097e-08,-0.0088
1.53330e-08,-0.0640
1.53562e-08,-0.0988
1.53795e-08,-0.1185
1.54028e-08,-0.1309
1.54260e-08,-0.1407
1.54493e-08,-0.1509
1.54726e-08,-0.1612
1.54958e-08,-0.1691
1.55191e-08,-0.1750
1.55424e-08,-0.1808
1.55656e-08,-0.1881
1.55889e-08,-0.1931
1.56122e-08,-0.1919
1.56354e-08,-0.1801
1.56587e-08,-0.1550
1.56820e-08,-0.1189
1.57052e-08,-0.0768
1.57285e-08,-0.0348
1.57518e-08,0.0044
1.57750e-08,0.0407
1.57983e-08,0.0730
1.58216e-08,0.0995
1.58448e-08,0.1184
1.58681e-08,0.1281
1.58914e-08,0.1273
1.59146e-08,0.1165
1.59379e-08,0.0993
1.59612e-08,0.0816
1.59844e-08,0.0673
1.60077e-08,0.0582
1.60310e-08,0.0535
1.60542e-08,0.0512
1.60775e-08,0.0493
1.61008e-08,0.0476
1.61240e-08,0.0470
1.61473e-08,0.0479
1.61706e-08,0.0486
1.61938e-08,0.0461
1.62171e-08,0.0387
1.62404e-08,0.0266
1.62636e-08,0.0112
1.62869e-08,-0.0052
1.63102e-08,-0.0200
1.63334e-08,-0.0314
1.63567e-08,-0.0393
1.63800e-08,-0.0443
1.64032e-08,-0.0469
1.64265e-08,-0.0466
1.64498e-08,-0.0426
1.64730e-08,-0.0348
1.64963e-08,-0.0240
1.65196e-08,-0.0125
1.65428e-08,-0.0032
1.65661e-08,0.0018
1.65894e-08,0.0030
1.66126e-08,0.0019
1.66359e-08,0.0002
1.66592e-08,-0.0013
1.66824e-08,-0.0026
1.67057e-08,-0.0038
1.67290e-08,-0.0050
1.67522e-08,-0.0058
1.67755e-08,-0.0053
1.67988e-08,-0.0025
1.68220e-08,0.0025
1.68453e-08,0.0089
1.68686e-08,0.0150
1.68918e-08,0.0195
1.69151e-08,0.0216
1.69384e-08,0.0217
1.69616e-08,0.0205
1.69849e-08,0.0188
1.70082e-08,0.0163
1.70314e-08,0.0126
1.70547e-08,0.0076
1.70780e-08,0.0023
1.71012e-08,-0.0021
1.71245e-08,-0.0047
1.71478e-08,-0.0050
1.71710e-08,-0.0033
1.71943e-08,-0.0008
1.72176e-08,0.0015
1.72408e-08,0.0030
1.72641e-08,0.0038
1.72874e-08,0.0043
1.73106e-08,0.0047
1.73339e-08,0.0050
1.73572e-08,0.0047
1.73804e-08,0.0033
1.74037e-08,0.0007
1.74270e-08,-0.0022
1.74502e-08,-0.0046
1.74735e-08,-0.0057
1.74968e-08,-0.0054
1.75201e-08,-0.0043
1.75433e-08,-0.0028
1.75666e-08,-0.0012
1.75899e-08,0.0005
1.76131e-08,0.0023
1.76364e-08,0.0042
1.76597e-08,0.0060
1.76829e-08,0.0072
1.77062e-08,0.0073
1.77295e-08,0.0063
1.77527e-08,0.0046
1.77760e-08,0.0027
1.77993e-08,0.0014
1.78225e-08,0.0009
1.78458e-08,0.0009
1.78691e-08,0.0010
1.78923e-08,0.0010
1.79156e-08,0.0010
1.79389e-08,0.0014
1.79621e-08,0.0022
1.79854e-08,0.0035
1.80087e-08,0.0048
1.80319e-08,0.0057
1.80552e-08,0.0058
1.80785e-08,0.0052
1.81017e-08,0.0041
1.81250e-08,0.0030
1.81483e-08,0.0021
1.81715e-08,0.0014
1.81948e-08,0.0009
1.82181e-08,0.0004
1.82413e-08,-0.0000
1.82646e-08,-0.0001
1.82879e-08,0.0003
1.83111e-08,0.0012
1.83344e-08,0.0022
1.83577e-08,0.0031
1.83809e-08,0.0035
1.84042e-08,0.0035
1.84275e-08,0.0033
1.84507e-08,0.0030
1.84740e-08,0.0029
1.84973e-08,0.0028
1.85205e-08,0.0026
1.85438e-08,0.0021
1.85671e-08,0.0015
1.85903e-08,0.0009
1.86136e-08,0.0007
1.86369e-08,0.0009
1.86601e-08,0.0015
1.86834e-08,0.0022
1.87067e-08,0.0028
1.87299e-08,0.0032
1.87532e-08,0.0033
1.87765e-08,0.0033
1.87997e-08,0.0033
1.88230e-08,0.0033
1.88463e-08,0.0032
1.88695e-08,0.0029
1.88928e-08,0.0024
1.89161e-08,0.0019
1.89393e-08,0.0016
1.89626e-08,0.0015
1.89859e-08,0.0017
1.90091e-08,0.0019
1.90324e-08,0.0021
1.90557e-08,0.0023
1.90789e-08,0.0023
1.91022e-08,0.0024
1.91255e-08,0.0026
1.91487e-08,0.0029
1.91720e-08,0.0031
