.HEADER
..NAMES
Time,V U2.B8
.DATA
5.5362e-09,0.6703
5.5459e-09,0.6847
5.5555e-09,0.7008
5.5652e-09,0.7144
5.5748e-09,0.7210
5.5845e-09,0.7187
5.5941e-09,0.7082
5.6037e-09,0.6898
5.6134e-09,0.6648
5.6230e-09,0.6353
5.6327e-09,0.6037
5.6423e-09,0.5732
5.6520e-09,0.5487
5.6616e-09,0.5334
5.6713e-09,0.5284
5.6809e-09,0.5337
5.6905e-09,0.5486
5.7002e-09,0.5704
5.7098e-09,0.5965
5.7195e-09,0.6255
5.7291e-09,0.6565
5.7388e-09,0.6892
5.7484e-09,0.7233
5.7581e-09,0.7572
5.7677e-09,0.7886
5.7774e-09,0.8163
5.7870e-09,0.8405
5.7966e-09,0.8625
5.8063e-09,0.8835
5.8159e-09,0.9046
5.8256e-09,0.9260
5.8352e-09,0.9483
5.8449e-09,0.9718
5.8545e-09,0.9963
5.8642e-09,1.0212
5.8738e-09,1.0458
5.8835e-09,1.0688
5.8931e-09,1.0887
5.9027e-09,1.1047
5.9124e-09,1.1166
5.9220e-09,1.1244
5.9317e-09,1.1291
5.9413e-09,1.1320
5.9510e-09,1.1348
5.9606e-09,1.1388
5.9703e-09,1.1451
5.9799e-09,1.1540
5.9895e-09,1.1652
5.9992e-09,1.1778
6.0088e-09,1.1903
6.0185e-09,1.2012
6.0281e-09,1.2092
6.0378e-09,1.2134
6.0474e-09,1.2139
6.0571e-09,1.2114
6.0667e-09,1.2068
6.0764e-09,1.2011
6.0860e-09,1.1953
6.0956e-09,1.1907
6.1053e-09,1.1886
6.1149e-09,1.1897
6.1246e-09,1.1939
6.1342e-09,1.2005
6.1439e-09,1.2085
6.1535e-09,1.2173
6.1632e-09,1.2266
6.1728e-09,1.2358
6.1824e-09,1.2444
6.1921e-09,1.2515
6.2017e-09,1.2561
6.2114e-09,1.2573
6.2210e-09,1.2544
6.2307e-09,1.2479
6.2403e-09,1.2387
6.2500e-09,1.2283
6.2596e-09,1.2180
6.2693e-09,1.2086
6.2789e-09,1.2006
6.2885e-09,1.1945
6.2982e-09,1.1904
6.3078e-09,1.1885
6.3175e-09,1.1885
6.3271e-09,1.1894
6.3368e-09,1.1903
6.3464e-09,1.1902
6.3561e-09,1.1886
6.3657e-09,1.1856
6.3753e-09,1.1814
6.3850e-09,1.1767
6.3946e-09,1.1726
6.4043e-09,1.1695
6.4139e-09,1.1683
6.4236e-09,1.1555
6.4332e-09,1.1277
6.4429e-09,1.0806
6.4525e-09,1.0056
6.4621e-09,0.9103
6.4718e-09,0.8124
6.4814e-09,0.7146
6.4911e-09,0.6211
6.5007e-09,0.5432
6.5104e-09,0.4800
6.5200e-09,0.4259
6.5297e-09,0.3846
6.5393e-09,0.3542
6.5490e-09,0.3288
6.5586e-09,0.3111
6.5682e-09,0.3034
6.5779e-09,0.3012
6.5875e-09,0.3027
6.5972e-09,0.3112
6.6068e-09,0.3262
6.6165e-09,0.3473
6.6261e-09,0.3723
6.6358e-09,0.3933
6.6454e-09,0.4074
6.6550e-09,0.4164
6.6647e-09,0.4221
6.6743e-09,0.4262
6.6840e-09,0.4295
6.6936e-09,0.4315
6.7033e-09,0.4325
6.7129e-09,0.4345
6.7226e-09,0.4392
6.7322e-09,0.4447
6.7419e-09,0.4480
6.7515e-09,0.4473
6.7611e-09,0.4407
6.7708e-09,0.4262
6.7804e-09,0.4048
6.7901e-09,0.3796
