.HEADER
..NAMES
Time,V U2.D7
.DATA
9.1242e-09,-0.0057
9.1338e-09,-0.0047
9.1435e-09,-0.0032
9.1531e-09,-0.0012
9.1627e-09,0.0012
9.1724e-09,0.0034
9.1820e-09,0.0048
9.1917e-09,0.0053
9.2013e-09,0.0045
9.2110e-09,0.0028
9.2206e-09,0.0007
9.2303e-09,-0.0015
9.2399e-09,-0.0034
9.2496e-09,-0.0046
9.2592e-09,-0.0052
9.2688e-09,-0.0053
9.2785e-09,-0.0053
9.2881e-09,-0.0052
9.2978e-09,-0.0053
9.3074e-09,-0.0055
9.3171e-09,-0.0059
9.3267e-09,-0.0063
9.3364e-09,-0.0068
9.3460e-09,-0.0071
9.3556e-09,-0.0073
9.3653e-09,-0.0071
9.3749e-09,-0.0065
9.3846e-09,-0.0054
9.3942e-09,-0.0040
9.4039e-09,-0.0024
9.4135e-09,-0.0009
9.4232e-09,0.0000
9.4328e-09,0.0002
9.4425e-09,-0.0005
9.4521e-09,-0.0020
9.4617e-09,-0.0039
9.4714e-09,-0.0057
9.4810e-09,-0.0070
9.4907e-09,-0.0075
9.5003e-09,-0.0072
9.5100e-09,-0.0064
9.5196e-09,-0.0053
9.5293e-09,-0.0054
9.5389e-09,-0.0081
9.5486e-09,-0.0038
9.5582e-09,0.0160
9.5678e-09,0.0443
9.5775e-09,0.0752
9.5871e-09,0.1150
9.5968e-09,0.1652
9.6064e-09,0.2244
9.6161e-09,0.2927
9.6257e-09,0.3633
9.6354e-09,0.4298
9.6450e-09,0.4857
9.6546e-09,0.5259
9.6643e-09,0.5533
9.6739e-09,0.5732
9.6836e-09,0.5857
9.6932e-09,0.5896
9.7029e-09,0.5900
9.7125e-09,0.5912
9.7222e-09,0.5922
9.7318e-09,0.5914
9.7415e-09,0.5922
9.7511e-09,0.5968
9.7607e-09,0.6032
9.7704e-09,0.6095
9.7800e-09,0.6155
9.7897e-09,0.6205
9.7993e-09,0.6234
9.8090e-09,0.6241
9.8186e-09,0.6223
9.8283e-09,0.6193
9.8379e-09,0.6161
9.8475e-09,0.6123
9.8572e-09,0.6083
9.8668e-09,0.6059
9.8765e-09,0.6059
9.8861e-09,0.6075
9.8958e-09,0.6111
9.9054e-09,0.6179
9.9151e-09,0.6279
9.9247e-09,0.6403
9.9344e-09,0.6543
9.9440e-09,0.6676
9.9536e-09,0.6761
9.9633e-09,0.6769
9.9729e-09,0.6692
9.9826e-09,0.6538
9.9922e-09,0.6328
1.00019e-08,0.6085
1.00115e-08,0.5835
1.00212e-08,0.5606
1.00308e-08,0.5431
1.00404e-08,0.5326
1.00501e-08,0.5302
1.00597e-08,0.5369
1.00694e-08,0.5519
1.00790e-08,0.5721
1.00887e-08,0.5937
1.00983e-08,0.6136
1.01080e-08,0.6302
1.01176e-08,0.6441
1.01273e-08,0.6586
1.01369e-08,0.6766
1.01465e-08,0.6991
1.01562e-08,0.7258
1.01658e-08,0.7563
1.01755e-08,0.7897
1.01851e-08,0.8247
1.01948e-08,0.8604
1.02044e-08,0.8957
1.02141e-08,0.9302
1.02237e-08,0.9630
1.02333e-08,0.9923
