.HEADER
..NAMES
Time,V U2.C7
.DATA
8.5262e-09,-0.0651
8.5358e-09,-0.0603
8.5455e-09,-0.0597
8.5551e-09,-0.0613
8.5648e-09,-0.0629
8.5744e-09,-0.0630
8.5840e-09,-0.0607
8.5937e-09,-0.0561
8.6033e-09,-0.0514
8.6130e-09,-0.0489
8.6226e-09,-0.0501
8.6323e-09,-0.0553
8.6419e-09,-0.0637
8.6516e-09,-0.0734
8.6612e-09,-0.0827
8.6709e-09,-0.0904
8.6805e-09,-0.0958
8.6901e-09,-0.0986
8.6998e-09,-0.0997
8.7094e-09,-0.1002
8.7191e-09,-0.1013
8.7287e-09,-0.1037
8.7384e-09,-0.1075
8.7480e-09,-0.1118
8.7577e-09,-0.1147
8.7673e-09,-0.1141
8.7769e-09,-0.1082
8.7866e-09,-0.0964
8.7962e-09,-0.0799
8.8059e-09,-0.0611
8.8155e-09,-0.0425
8.8252e-09,-0.0261
8.8348e-09,-0.0133
8.8445e-09,-0.0045
8.8541e-09,0.0006
8.8638e-09,0.0027
8.8734e-09,0.0025
8.8830e-09,0.0012
8.8927e-09,-0.0003
8.9023e-09,-0.0010
8.9120e-09,0.0000
8.9216e-09,0.0026
8.9313e-09,0.0059
8.9409e-09,0.0088
8.9506e-09,0.0107
8.9602e-09,0.0112
8.9698e-09,0.0106
8.9795e-09,0.0098
8.9891e-09,0.0099
8.9988e-09,0.0113
9.0084e-09,0.0142
9.0181e-09,0.0181
9.0277e-09,0.0219
9.0374e-09,0.0248
9.0470e-09,0.0261
9.0567e-09,0.0260
9.0663e-09,0.0249
9.0759e-09,0.0236
9.0856e-09,0.0230
9.0952e-09,0.0235
9.1049e-09,0.0251
9.1145e-09,0.0272
9.1242e-09,0.0289
9.1338e-09,0.0294
9.1435e-09,0.0280
9.1531e-09,0.0246
9.1627e-09,0.0196
9.1724e-09,0.0138
9.1820e-09,0.0083
9.1917e-09,0.0046
9.2013e-09,0.0033
9.2110e-09,0.0051
9.2206e-09,0.0094
9.2303e-09,0.0155
9.2399e-09,0.0219
9.2496e-09,0.0277
9.2592e-09,0.0321
9.2688e-09,0.0350
9.2785e-09,0.0366
9.2881e-09,0.0372
9.2978e-09,0.0373
9.3074e-09,0.0368
9.3171e-09,0.0359
9.3267e-09,0.0346
9.3364e-09,0.0331
9.3460e-09,0.0315
9.3556e-09,0.0296
9.3653e-09,0.0275
9.3749e-09,0.0250
9.3846e-09,0.0220
9.3942e-09,0.0188
9.4039e-09,0.0156
9.4135e-09,0.0130
9.4232e-09,0.0110
9.4328e-09,0.0097
9.4425e-09,0.0088
9.4521e-09,0.0078
9.4617e-09,0.0065
9.4714e-09,0.0047
9.4810e-09,0.0027
9.4907e-09,0.0009
9.5003e-09,-0.0002
9.5100e-09,-0.0003
9.5196e-09,0.0007
9.5293e-09,0.0008
9.5389e-09,0.0007
9.5486e-09,0.0102
9.5582e-09,0.0334
9.5678e-09,0.0614
9.5775e-09,0.0922
9.5871e-09,0.1306
9.5968e-09,0.1745
9.6064e-09,0.2262
9.6161e-09,0.2881
9.6257e-09,0.3507
9.6354e-09,0.4044
9.6450e-09,0.4493
9.6546e-09,0.4869
9.6643e-09,0.5147
9.6739e-09,0.5338
9.6836e-09,0.5499
9.6932e-09,0.5643
9.7029e-09,0.5763
9.7125e-09,0.5875
9.7222e-09,0.5976
9.7318e-09,0.6045
9.7415e-09,0.6091
9.7511e-09,0.6131
9.7607e-09,0.6146
9.7704e-09,0.6129
9.7800e-09,0.6114
9.7897e-09,0.6116
9.7993e-09,0.6122
9.8090e-09,0.6128
9.8186e-09,0.6132
9.8283e-09,0.6127
9.8379e-09,0.6113
9.8475e-09,0.6097
9.8572e-09,0.6073
9.8668e-09,0.6048
