.HEADER
..NAMES
Time,V U2.F7
.DATA
8.6033e-09,-0.0990
8.6130e-09,-0.1011
8.6226e-09,-0.1013
8.6323e-09,-0.1002
8.6419e-09,-0.0986
8.6516e-09,-0.0969
8.6612e-09,-0.0947
8.6709e-09,-0.0918
8.6805e-09,-0.0878
8.6901e-09,-0.0833
8.6998e-09,-0.0791
8.7094e-09,-0.0757
8.7191e-09,-0.0733
8.7287e-09,-0.0721
8.7384e-09,-0.0717
8.7480e-09,-0.0717
8.7577e-09,-0.0718
8.7673e-09,-0.0715
8.7769e-09,-0.0700
8.7866e-09,-0.0668
8.7962e-09,-0.0614
8.8059e-09,-0.0542
8.8155e-09,-0.0452
8.8252e-09,-0.0352
8.8348e-09,-0.0250
8.8445e-09,-0.0151
8.8541e-09,-0.0064
8.8638e-09,0.0007
8.8734e-09,0.0059
8.8830e-09,0.0092
8.8927e-09,0.0109
8.9023e-09,0.0113
8.9120e-09,0.0112
8.9216e-09,0.0109
8.9313e-09,0.0108
8.9409e-09,0.0107
8.9506e-09,0.0106
8.9602e-09,0.0104
8.9698e-09,0.0103
8.9795e-09,0.0102
8.9891e-09,0.0103
8.9988e-09,0.0106
9.0084e-09,0.0112
9.0181e-09,0.0116
9.0277e-09,0.0122
9.0374e-09,0.0129
9.0470e-09,0.0141
9.0567e-09,0.0154
9.0663e-09,0.0166
9.0759e-09,0.0172
9.0856e-09,0.0172
9.0952e-09,0.0165
9.1049e-09,0.0157
9.1145e-09,0.0153
9.1242e-09,0.0155
9.1338e-09,0.0165
9.1435e-09,0.0182
9.1531e-09,0.0205
9.1627e-09,0.0234
9.1724e-09,0.0267
9.1820e-09,0.0300
9.1917e-09,0.0330
9.2013e-09,0.0350
9.2110e-09,0.0359
9.2206e-09,0.0354
9.2303e-09,0.0338
9.2399e-09,0.0316
9.2496e-09,0.0291
9.2592e-09,0.0268
9.2688e-09,0.0247
9.2785e-09,0.0230
9.2881e-09,0.0216
9.2978e-09,0.0206
9.3074e-09,0.0199
9.3171e-09,0.0195
9.3267e-09,0.0190
9.3364e-09,0.0185
9.3460e-09,0.0177
9.3556e-09,0.0168
