.HEADER
..NAMES
Time,V U1.T4
.DATA
1.23082e-08,0.0046
1.23315e-08,0.0041
1.23548e-08,0.0032
1.23780e-08,0.0022
1.24013e-08,0.0014
1.24246e-08,0.0010
1.24478e-08,0.0010
1.24711e-08,0.0015
1.24944e-08,0.0023
1.25176e-08,0.0030
1.25409e-08,0.0034
1.25642e-08,0.0036
1.25874e-08,0.0036
1.26107e-08,0.0036
1.26340e-08,0.0036
1.26572e-08,0.0049
1.26805e-08,0.0233
1.27038e-08,0.0886
1.27270e-08,0.2352
1.27503e-08,0.3734
1.27736e-08,0.4830
1.27968e-08,0.5576
1.28201e-08,0.6011
1.28434e-08,0.6271
1.28667e-08,0.6403
1.28899e-08,0.6480
1.29132e-08,0.6538
1.29365e-08,0.6581
1.29597e-08,0.6618
1.29830e-08,0.6646
1.30063e-08,0.6662
1.30295e-08,0.6663
1.30528e-08,0.6644
1.30761e-08,0.6620
1.30993e-08,0.6607
1.31226e-08,0.6623
1.31459e-08,0.6678
1.31691e-08,0.6788
1.31924e-08,0.7010
1.32157e-08,0.7387
1.32389e-08,0.7930
1.32622e-08,0.8609
1.32855e-08,0.9358
1.33087e-08,1.0095
1.33320e-08,1.0744
1.33553e-08,1.1259
1.33785e-08,1.1633
1.34018e-08,1.1890
1.34251e-08,1.2061
1.34483e-08,1.2178
1.34716e-08,1.2259
1.34949e-08,1.2320
1.35181e-08,1.2377
1.35414e-08,1.2435
1.35647e-08,1.2490
1.35879e-08,1.2529
1.36112e-08,1.2542
1.36345e-08,1.2533
1.36577e-08,1.2502
1.36810e-08,1.2440
1.37043e-08,1.2333
1.37275e-08,1.2175
1.37508e-08,1.1970
1.37741e-08,1.1739
1.37973e-08,1.1522
1.38206e-08,1.1360
1.38439e-08,1.1283
1.38671e-08,1.1294
1.38904e-08,1.1364
1.39137e-08,1.1152
1.39369e-08,1.0659
1.39602e-08,0.9113
1.39835e-08,0.7639
1.40067e-08,0.6610
1.40300e-08,0.5923
1.40533e-08,0.5476
1.40765e-08,0.5241
1.40998e-08,0.5121
1.41231e-08,0.5063
1.41463e-08,0.5043
1.41696e-08,0.5039
1.41929e-08,0.5050
1.42161e-08,0.5079
1.42394e-08,0.5132
1.42627e-08,0.5209
1.42859e-08,0.5305
1.43092e-08,0.5381
1.43325e-08,0.5404
1.43557e-08,0.5345
1.43790e-08,0.5198
1.44023e-08,0.4980
1.44255e-08,0.4667
1.44488e-08,0.4217
1.44721e-08,0.3631
1.44953e-08,0.2944
1.45186e-08,0.2213
1.45419e-08,0.1516
1.45651e-08,0.0913
1.45884e-08,0.0437
1.46117e-08,0.0089
1.46349e-08,-0.0158
1.46582e-08,-0.0331
1.46815e-08,-0.0457
1.47047e-08,-0.0549
1.47280e-08,-0.0622
1.47513e-08,-0.0693
1.47745e-08,-0.0767
1.47978e-08,-0.0833
1.48211e-08,-0.0868
1.48443e-08,-0.0854
1.48676e-08,-0.0796
1.48909e-08,-0.0706
1.49141e-08,-0.0584
1.49374e-08,-0.0432
1.49607e-08,-0.0246
1.49839e-08,-0.0032
1.50072e-08,0.0195
1.50305e-08,0.0402
1.50537e-08,0.0557
1.50770e-08,0.0636
1.51003e-08,0.0638
1.51236e-08,0.0585
1.51468e-08,0.0508
1.51701e-08,0.0432
1.51934e-08,0.0367
1.52166e-08,0.0320
1.52399e-08,0.0294
1.52632e-08,0.0289
1.52864e-08,0.0296
1.53097e-08,0.0299
1.53330e-08,0.0284
1.53562e-08,0.0247
1.53795e-08,0.0191
1.54028e-08,0.0122
1.54260e-08,0.0050
1.54493e-08,-0.0021
1.54726e-08,-0.0093
1.54958e-08,-0.0163
1.55191e-08,-0.0227
1.55424e-08,-0.0270
1.55656e-08,-0.0276
1.55889e-08,-0.0242
1.56122e-08,-0.0177
1.56354e-08,-0.0102
1.56587e-08,-0.0035
1.56820e-08,0.0013
1.57052e-08,0.0036
1.57285e-08,0.0038
1.57518e-08,0.0024
1.57750e-08,0.0004
1.57983e-08,-0.0015
1.58216e-08,-0.0024
1.58448e-08,-0.0017
1.58681e-08,0.0005
1.58914e-08,0.0037
1.59146e-08,0.0072
1.59379e-08,0.0100
1.59612e-08,0.0120
1.59844e-08,0.0134
1.60077e-08,0.0145
1.60310e-08,0.0150
1.60542e-08,0.0143
1.60775e-08,0.0120
1.61008e-08,0.0082
1.61240e-08,0.0038
1.61473e-08,-0.0002
1.61706e-08,-0.0028
1.61938e-08,-0.0034
1.62171e-08,-0.0024
1.62404e-08,-0.0004
1.62636e-08,0.0020
1.62869e-08,0.0039
1.63102e-08,0.0051
1.63334e-08,0.0052
1.63567e-08,0.0041
1.63800e-08,0.0022
1.64032e-08,0.0001
1.64265e-08,-0.0016
1.64498e-08,-0.0024
1.64730e-08,-0.0024
1.64963e-08,-0.0020
1.65196e-08,-0.0014
1.65428e-08,-0.0006
1.65661e-08,0.0005
1.65894e-08,0.0021
1.66126e-08,0.0040
1.66359e-08,0.0058
1.66592e-08,0.0070
1.66824e-08,0.0072
1.67057e-08,0.0062
1.67290e-08,0.0045
1.67522e-08,0.0026
1.67755e-08,0.0011
1.67988e-08,0.0003
1.68220e-08,0.0003
1.68453e-08,0.0010
1.68686e-08,0.0023
1.68918e-08,0.0037
1.69151e-08,0.0049
1.69384e-08,0.0054
1.69616e-08,0.0053
1.69849e-08,0.0046
1.70082e-08,0.0038
1.70314e-08,0.0030
1.70547e-08,0.0024
1.70780e-08,0.0019
1.71012e-08,0.0014
1.71245e-08,0.0008
1.71478e-08,0.0003
1.71710e-08,0.0003
1.71943e-08,0.0009
1.72176e-08,0.0019
1.72408e-08,0.0030
1.72641e-08,0.0040
1.72874e-08,0.0045
1.73106e-08,0.0045
1.73339e-08,0.0039
1.73572e-08,0.0031
1.73804e-08,0.0021
1.74037e-08,0.0013
1.74270e-08,0.0009
1.74502e-08,0.0010
1.74735e-08,0.0015
1.74968e-08,0.0023
1.75201e-08,0.0030
1.75433e-08,0.0034
1.75666e-08,0.0036
1.75899e-08,0.0036
1.76131e-08,0.0036
1.76364e-08,0.0036
1.76597e-08,0.0035
1.76829e-08,0.0033
1.77062e-08,0.0028
1.77295e-08,0.0023
1.77527e-08,0.0017
1.77760e-08,0.0014
1.77993e-08,0.0015
1.78225e-08,0.0018
1.78458e-08,0.0024
1.78691e-08,0.0030
1.78923e-08,0.0035
1.79156e-08,0.0038
1.79389e-08,0.0037
1.79621e-08,0.0033
1.79854e-08,0.0028
1.80087e-08,0.0023
1.80319e-08,0.0019
1.80552e-08,0.0018
1.80785e-08,0.0019
1.81017e-08,0.0022
1.81250e-08,0.0024
1.81483e-08,0.0025
1.81715e-08,0.0026
1.81948e-08,0.0027
1.82181e-08,0.0029
1.82413e-08,0.0031
1.82646e-08,0.0032
1.82879e-08,0.0032
1.83111e-08,0.0030
1.83344e-08,0.0027
1.83577e-08,0.0024
1.83809e-08,0.0021
1.84042e-08,0.0019
1.84275e-08,0.0019
1.84507e-08,0.0021
1.84740e-08,0.0025
1.84973e-08,0.0028
1.85205e-08,0.0031
1.85438e-08,0.0032
1.85671e-08,0.0031
1.85903e-08,0.0029
1.86136e-08,0.0026
1.86369e-08,0.0024
1.86601e-08,0.0024
1.86834e-08,0.0024
1.87067e-08,0.0024
1.87299e-08,0.0024
1.87532e-08,0.0023
1.87765e-08,0.0023
1.87997e-08,0.0024
1.88230e-08,0.0025
1.88463e-08,0.0027
1.88695e-08,0.0029
1.88928e-08,0.0029
1.89161e-08,0.0029
1.89393e-08,0.0028
1.89626e-08,0.0026
1.89859e-08,0.0024
1.90091e-08,0.0022
