.HEADER
..NAMES
Time,V U1.V1&V2
.DATA
1.03305e-08,1.1592
1.03538e-08,1.1558
1.03771e-08,1.1553
1.04003e-08,1.1606
1.04236e-08,1.1670
1.04469e-08,1.1727
1.04702e-08,1.1802
1.04934e-08,1.1900
1.05167e-08,1.1969
1.05400e-08,1.1955
1.05632e-08,1.1864
1.05865e-08,1.1761
1.06098e-08,1.1686
1.06330e-08,1.1609
1.06563e-08,1.1493
1.06796e-08,1.1382
1.07028e-08,1.1341
1.07261e-08,1.1379
1.07494e-08,1.1459
1.07726e-08,1.1490
1.07959e-08,1.1209
1.08192e-08,1.0443
1.08424e-08,0.8954
1.08657e-08,0.7782
1.08890e-08,0.7073
1.09122e-08,0.6556
1.09355e-08,0.6246
1.09588e-08,0.6129
1.09820e-08,0.6047
1.10053e-08,0.5909
1.10286e-08,0.5739
1.10518e-08,0.5586
1.10751e-08,0.5451
1.10984e-08,0.5305
1.11216e-08,0.5168
1.11449e-08,0.5098
1.11682e-08,0.5131
1.11914e-08,0.5223
1.12147e-08,0.5310
1.12380e-08,0.5383
1.12612e-08,0.5490
1.12845e-08,0.5645
1.13078e-08,0.5781
1.13310e-08,0.5845
1.13543e-08,0.5845
1.13776e-08,0.5809
1.14008e-08,0.5737
1.14241e-08,0.5781
1.14474e-08,0.6595
1.14706e-08,0.8404
1.14939e-08,0.9820
1.15172e-08,1.0693
1.15404e-08,1.1279
1.15637e-08,1.1552
1.15870e-08,1.1593
1.16102e-08,1.1550
1.16335e-08,1.1568
1.16568e-08,1.1630
1.16800e-08,1.1688
1.17033e-08,1.1745
1.17266e-08,1.1828
1.17498e-08,1.1927
1.17731e-08,1.1976
1.17964e-08,1.1933
1.18196e-08,1.1829
1.18429e-08,1.1736
1.18662e-08,1.1666
1.18894e-08,1.1578
1.19127e-08,1.1453
1.19360e-08,1.1358
1.19592e-08,1.1344
1.19825e-08,1.1400
1.20058e-08,1.1485
1.20290e-08,1.1431
1.20523e-08,1.1087
1.20756e-08,1.0071
1.20988e-08,0.8655
1.21221e-08,0.7561
1.21454e-08,0.6880
1.21686e-08,0.6415
1.21919e-08,0.6172
1.22152e-08,0.6090
1.22384e-08,0.6004
1.22617e-08,0.5860
1.22850e-08,0.5694
1.23082e-08,0.5549
1.23315e-08,0.5411
1.23548e-08,0.5263
1.23780e-08,0.5139
1.24013e-08,0.5097
1.24246e-08,0.5152
1.24478e-08,0.5248
1.24711e-08,0.5329
1.24944e-08,0.5407
1.25176e-08,0.5529
1.25409e-08,0.5686
1.25642e-08,0.5807
1.25874e-08,0.5852
1.26107e-08,0.5840
1.26340e-08,0.5796
1.26572e-08,0.5725
1.26805e-08,0.5884
1.27038e-08,0.7047
1.27270e-08,0.8822
1.27503e-08,1.0028
1.27736e-08,1.0847
1.27968e-08,1.1351
1.28201e-08,1.1563
1.28434e-08,1.1572
1.28667e-08,1.1549
1.28899e-08,1.1584
1.29132e-08,1.1645
1.29365e-08,1.1701
1.29597e-08,1.1766
1.29830e-08,1.1855
1.30063e-08,1.1943
1.30295e-08,1.1969
1.30528e-08,1.1905
1.30761e-08,1.1803
1.30993e-08,1.1718
1.31226e-08,1.1647
1.31459e-08,1.1547
1.31691e-08,1.1426
1.31924e-08,1.1354
1.32157e-08,1.1360
1.32389e-08,1.1425
1.32622e-08,1.1511
1.32855e-08,1.1346
1.33087e-08,1.0945
1.33320e-08,0.9636
1.33553e-08,0.8318
1.33785e-08,0.7343
1.34018e-08,0.6749
1.34251e-08,0.6353
1.34483e-08,0.6155
1.34716e-08,0.6081
1.34949e-08,0.5976
1.35181e-08,0.5817
1.35414e-08,0.5650
1.35647e-08,0.5509
1.35879e-08,0.5370
1.36112e-08,0.5224
1.36345e-08,0.5115
1.36577e-08,0.5103
1.36810e-08,0.5176
1.37043e-08,0.5273
1.37275e-08,0.5350
1.37508e-08,0.5435
1.37741e-08,0.5572
1.37973e-08,0.5727
1.38206e-08,0.5827
1.38439e-08,0.5852
1.38671e-08,0.5829
1.38904e-08,0.5775
1.39137e-08,0.5729
1.39369e-08,0.5993
1.39602e-08,0.7581
1.39835e-08,0.9156
1.40067e-08,1.0272
1.40300e-08,1.1048
1.40533e-08,1.1421
1.40765e-08,1.1573
1.40998e-08,1.1558
1.41231e-08,1.1550
1.41463e-08,1.1597
1.41696e-08,1.1659
1.41929e-08,1.1717
1.42161e-08,1.1788
1.42394e-08,1.1882
1.42627e-08,1.1960
1.42859e-08,1.1962
1.43092e-08,1.1882
1.43325e-08,1.1779
1.43557e-08,1.1699
1.43790e-08,1.1624
1.44023e-08,1.1516
1.44255e-08,1.1401
1.44488e-08,1.1347
1.44721e-08,1.1372
1.44953e-08,1.1445
1.45186e-08,1.1506
1.45419e-08,1.1254
1.45651e-08,1.0641
1.45884e-08,0.9192
1.46117e-08,0.7977
1.46349e-08,0.7182
1.46582e-08,0.6635
1.46815e-08,0.6298
1.47047e-08,0.6152
1.47280e-08,0.6074
1.47513e-08,0.5940
1.47745e-08,0.5766
1.47978e-08,0.5607
1.48211e-08,0.5472
1.48443e-08,0.5329
1.48676e-08,0.5186
1.48909e-08,0.5102
1.49141e-08,0.5120
1.49374e-08,0.5208
1.49607e-08,0.5299
1.49839e-08,0.5371
1.50072e-08,0.5468
1.50305e-08,0.5619
1.50537e-08,0.5765
1.50770e-08,0.5840
1.51003e-08,0.5846
1.51236e-08,0.5815
1.51468e-08,0.5751
1.51701e-08,0.5744
1.51934e-08,0.6331
1.52166e-08,0.8048
1.52399e-08,0.9613
1.52632e-08,1.0514
1.52864e-08,1.1173
1.53097e-08,1.1493
1.53330e-08,1.1588
1.53562e-08,1.1553
1.53795e-08,1.1556
1.54028e-08,1.1613
1.54260e-08,1.1676
1.54493e-08,1.1734
1.54726e-08,1.1812
1.54958e-08,1.1910
1.55191e-08,1.1973
1.55424e-08,1.1949
1.55656e-08,1.1853
1.55889e-08,1.1753
1.56122e-08,1.1680
1.56354e-08,1.1599
1.56587e-08,1.1481
1.56820e-08,1.1375
1.57052e-08,1.1342
1.57285e-08,1.1386
1.57518e-08,1.1469
1.57750e-08,1.1466
1.57983e-08,1.1160
1.58216e-08,1.0292
1.58448e-08,0.8818
1.58681e-08,0.7702
1.58914e-08,0.7011
1.59146e-08,0.6508
1.59379e-08,0.6228
1.59612e-08,0.6125
1.59844e-08,0.6038
1.60077e-08,0.5893
1.60310e-08,0.5722
1.60542e-08,0.5572
1.60775e-08,0.5437
1.61008e-08,0.5289
1.61240e-08,0.5156
1.61473e-08,0.5098
1.61706e-08,0.5140
1.61938e-08,0.5234
1.62171e-08,0.5318
1.62404e-08,0.5392
1.62636e-08,0.5505
1.62869e-08,0.5662
1.63102e-08,0.5792
1.63334e-08,0.5848
1.63567e-08,0.5842
1.63800e-08,0.5804
1.64032e-08,0.5726
1.64265e-08,0.5810
1.64498e-08,0.6774
1.64730e-08,0.8694
1.64963e-08,0.9922
1.65196e-08,1.0792
1.65428e-08,1.1305
1.65661e-08,1.1564
1.65894e-08,1.1589
1.66126e-08,1.1550
1.66359e-08,1.1574
1.66592e-08,1.1636
1.66824e-08,1.1694
1.67057e-08,1.1753
1.67290e-08,1.1839
1.67522e-08,1.1935
1.67755e-08,1.1976
1.67988e-08,1.1925
1.68220e-08,1.1819
1.68453e-08,1.1728
1.68686e-08,1.1660
1.68918e-08,1.1568
1.69151e-08,1.1442
1.69384e-08,1.1353
1.69616e-08,1.1347
1.69849e-08,1.1408
1.70082e-08,1.1494
1.70314e-08,1.1401
1.70547e-08,1.1035
1.70780e-08,0.9903
1.71012e-08,0.8533
1.71245e-08,0.7463
1.71478e-08,0.6833
1.71710e-08,0.6387
1.71943e-08,0.6159
1.72176e-08,0.6086
1.72408e-08,0.5992
1.72641e-08,0.5844
1.72874e-08,0.5678
1.73106e-08,0.5536
1.73339e-08,0.5397
1.73572e-08,0.5249
1.73804e-08,0.5130
1.74037e-08,0.5100
1.74270e-08,0.5162
1.74502e-08,0.5258
1.74735e-08,0.5337
1.74968e-08,0.5417
1.75201e-08,0.5545
1.75433e-08,0.5702
1.75666e-08,0.5815
1.75899e-08,0.5853
1.76131e-08,0.5837
1.76364e-08,0.5790
1.76597e-08,0.5727
1.76829e-08,0.5961
1.77062e-08,0.7255
1.77295e-08,0.8977
1.77527e-08,1.0120
1.77760e-08,1.0911
1.77993e-08,1.1399
1.78225e-08,1.1576
1.78458e-08,1.1570
1.78691e-08,1.1551
1.78923e-08,1.1592
1.79156e-08,1.1652
1.79389e-08,1.1707
1.79621e-08,1.1774
1.79854e-08,1.1866
1.80087e-08,1.1951
1.80319e-08,1.1967
1.80552e-08,1.1896
1.80785e-08,1.1793
1.81017e-08,1.1711
1.81250e-08,1.1639
1.81483e-08,1.1535
1.81715e-08,1.1415
1.81948e-08,1.1350
1.82181e-08,1.1365
1.82413e-08,1.1433
1.82646e-08,1.1521
1.82879e-08,1.1317
1.83111e-08,1.0892
1.83344e-08,0.9494
1.83577e-08,0.8163
1.83809e-08,0.7267
1.84042e-08,0.6689
1.84275e-08,0.6317
1.84507e-08,0.6142
1.84740e-08,0.6071
1.84973e-08,0.5961
1.85205e-08,0.5798
1.85438e-08,0.5635
1.85671e-08,0.5496
1.85903e-08,0.5356
1.86136e-08,0.5211
1.86369e-08,0.5111
1.86601e-08,0.5108
1.86834e-08,0.5186
1.87067e-08,0.5282
1.87299e-08,0.5358
1.87532e-08,0.5447
1.87765e-08,0.5588
1.87997e-08,0.5740
1.88230e-08,0.5834
1.88463e-08,0.5853
1.88695e-08,0.5826
1.88928e-08,0.5768
1.89161e-08,0.5732
1.89393e-08,0.6108
1.89626e-08,0.7763
1.89859e-08,0.9261
1.90091e-08,1.0359
1.90324e-08,1.1085
1.90557e-08,1.1439
1.90789e-08,1.1577
1.91022e-08,1.1556
1.91255e-08,1.1554
1.91487e-08,1.1604
1.91720e-08,1.1665
1.91953e-08,1.1724
1.92185e-08,1.1797
1.92418e-08,1.1892
1.92651e-08,1.1963
1.92883e-08,1.1956
1.93116e-08,1.1871
1.93349e-08,1.1770
1.93581e-08,1.1692
1.93814e-08,1.1616
1.94047e-08,1.1504
1.94279e-08,1.1394
1.94512e-08,1.1348
1.94745e-08,1.1379
1.94977e-08,1.1455
1.95210e-08,1.1494
1.95443e-08,1.1228
1.95675e-08,1.0552
1.95908e-08,0.9051
1.96141e-08,0.7879
1.96373e-08,0.7117
1.96606e-08,0.6592
1.96839e-08,0.6274
1.97071e-08,0.6143
1.97304e-08,0.6063
1.97537e-08,0.5923
1.97769e-08,0.5749
1.98002e-08,0.5592
1.98235e-08,0.5457
1.98468e-08,0.5313
1.98700e-08,0.5174
1.98933e-08,0.5099
1.99166e-08,0.5127
1.99398e-08,0.5218
1.99631e-08,0.5308
1.99864e-08,0.5380
2.00096e-08,0.5482
2.00329e-08,0.5636
2.00562e-08,0.5777
2.00794e-08,0.5844
2.01027e-08,0.5845
2.01260e-08,0.5810
2.01492e-08,0.5741
2.01725e-08,0.5762
2.01958e-08,0.6484
2.02190e-08,0.8273
2.02423e-08,0.9747
2.02656e-08,1.0606
2.02888e-08,1.1234
2.03121e-08,1.1520
2.03354e-08,1.1586
2.03586e-08,1.1547
2.03819e-08,1.1559
2.04052e-08,1.1621
2.04284e-08,1.1683
2.04517e-08,1.1742
2.04750e-08,1.1823
2.04982e-08,1.1921
2.05215e-08,1.1977
2.05448e-08,1.1942
2.05680e-08,1.1841
2.05913e-08,1.1743
2.06146e-08,1.1672
2.06378e-08,1.1588
2.06611e-08,1.1466
2.06844e-08,1.1365
2.07076e-08,1.1342
2.07309e-08,1.1394
2.07542e-08,1.1479
2.07774e-08,1.1440
2.08007e-08,1.1114
2.08240e-08,1.0136
2.08472e-08,0.8683
2.08705e-08,0.7624
2.08938e-08,0.6939
2.09170e-08,0.6478
2.09403e-08,0.6215
2.09636e-08,0.6121
2.09868e-08,0.6028
2.10101e-08,0.5876
2.10334e-08,0.5706
2.10566e-08,0.5559
2.10799e-08,0.5423
2.11032e-08,0.5273
2.11264e-08,0.5145
2.11497e-08,0.5098
2.11730e-08,0.5150
2.11962e-08,0.5245
2.12195e-08,0.5326
2.12428e-08,0.5401
2.12660e-08,0.5521
2.12893e-08,0.5679
2.13126e-08,0.5802
2.13358e-08,0.5849
2.13591e-08,0.5839
2.13824e-08,0.5798
2.14056e-08,0.5725
2.14289e-08,0.5807
2.14522e-08,0.6956
2.14754e-08,0.8797
2.14987e-08,1.0014
2.15220e-08,1.0867
2.15452e-08,1.1327
2.15685e-08,1.1575
2.15918e-08,1.1584
2.16150e-08,1.1549
2.16383e-08,1.1579
2.16616e-08,1.1642
2.16848e-08,1.1699
2.17081e-08,1.1760
2.17314e-08,1.1849
2.17546e-08,1.1943
2.17779e-08,1.1975
2.18012e-08,1.1916
2.18244e-08,1.1810
2.18477e-08,1.1722
2.18710e-08,1.1653
2.18942e-08,1.1556
2.19175e-08,1.1431
2.19408e-08,1.1350
2.19640e-08,1.1352
2.19873e-08,1.1417
2.20106e-08,1.1504
2.20338e-08,1.1372
2.20571e-08,1.0949
2.20804e-08,0.9740
2.21037e-08,0.8409
2.21269e-08,0.7399
2.21502e-08,0.6784
2.21735e-08,0.6359
2.21967e-08,0.6155
