.HEADER
..NAMES
Time,V U2.A3
.DATA
4.8514e-09,-0.0755
4.8611e-09,-0.0582
4.8707e-09,-0.0436
4.8804e-09,-0.0337
4.8900e-09,-0.0294
4.8997e-09,-0.0295
4.9093e-09,-0.0316
4.9190e-09,-0.0331
4.9286e-09,-0.0325
4.9382e-09,-0.0298
4.9479e-09,-0.0264
4.9575e-09,-0.0240
4.9672e-09,-0.0245
4.9768e-09,-0.0291
4.9865e-09,-0.0379
4.9961e-09,-0.0505
5.0058e-09,-0.0658
5.0154e-09,-0.0826
5.0250e-09,-0.0996
5.0347e-09,-0.1152
5.0443e-09,-0.1277
5.0540e-09,-0.1356
5.0636e-09,-0.1377
5.0733e-09,-0.1339
5.0829e-09,-0.1248
5.0926e-09,-0.1114
5.1022e-09,-0.0954
5.1119e-09,-0.0790
5.1215e-09,-0.0642
5.1311e-09,-0.0528
5.1408e-09,-0.0458
5.1504e-09,-0.0432
5.1601e-09,-0.0442
5.1697e-09,-0.0467
5.1794e-09,-0.0487
5.1890e-09,-0.0481
5.1987e-09,-0.0436
5.2083e-09,-0.0354
5.2179e-09,-0.0249
5.2276e-09,-0.0141
5.2372e-09,-0.0049
5.2469e-09,0.0011
5.2565e-09,0.0035
5.2662e-09,0.0028
5.2758e-09,0.0003
5.2855e-09,-0.0023
5.2951e-09,-0.0034
5.3047e-09,-0.0018
5.3144e-09,0.0027
5.3240e-09,0.0097
5.3337e-09,0.0183
5.3433e-09,0.0272
5.3530e-09,0.0354
5.3626e-09,0.0422
5.3723e-09,0.0475
5.3819e-09,0.0515
5.3916e-09,0.0544
5.4012e-09,0.0562
5.4108e-09,0.0570
5.4205e-09,0.0563
5.4301e-09,0.0539
5.4398e-09,0.0500
5.4494e-09,0.0449
5.4591e-09,0.0390
5.4687e-09,0.0328
5.4784e-09,0.0267
5.4880e-09,0.0209
5.4976e-09,0.0152
5.5073e-09,0.0099
5.5169e-09,0.0051
5.5266e-09,0.0014
5.5362e-09,-0.0008
5.5459e-09,-0.0011
5.5555e-09,0.0004
5.5652e-09,0.0035
5.5748e-09,0.0076
5.5845e-09,0.0119
5.5941e-09,0.0156
5.6037e-09,0.0182
5.6134e-09,0.0193
5.6230e-09,0.0192
5.6327e-09,0.0185
5.6423e-09,0.0178
5.6520e-09,0.0179
5.6616e-09,0.0194
5.6713e-09,0.0224
5.6809e-09,0.0262
5.6905e-09,0.0301
5.7002e-09,0.0329
5.7098e-09,0.0340
5.7195e-09,0.0327
5.7291e-09,0.0294
5.7388e-09,0.0247
5.7484e-09,0.0196
5.7581e-09,0.0149
5.7677e-09,0.0116
5.7774e-09,0.0100
5.7870e-09,0.0101
5.7966e-09,0.0116
5.8063e-09,0.0140
5.8159e-09,0.0168
5.8256e-09,0.0193
5.8352e-09,0.0212
5.8449e-09,0.0223
5.8545e-09,0.0224
5.8642e-09,0.0215
5.8738e-09,0.0198
5.8835e-09,0.0173
5.8931e-09,0.0143
5.9027e-09,0.0111
5.9124e-09,0.0080
5.9220e-09,0.0052
5.9317e-09,0.0028
5.9413e-09,0.0010
5.9510e-09,-0.0007
5.9606e-09,-0.0024
5.9703e-09,-0.0044
5.9799e-09,-0.0070
5.9895e-09,-0.0100
5.9992e-09,-0.0131
6.0088e-09,-0.0158
6.0185e-09,-0.0177
6.0281e-09,-0.0186
6.0378e-09,-0.0183
6.0474e-09,-0.0172
6.0571e-09,-0.0155
6.0667e-09,-0.0136
6.0764e-09,-0.0119
6.0860e-09,-0.0104
6.0956e-09,-0.0093
6.1053e-09,-0.0084
6.1149e-09,-0.0075
6.1246e-09,-0.0064
6.1342e-09,-0.0049
6.1439e-09,-0.0032
6.1535e-09,-0.0015
6.1632e-09,-0.0001
6.1728e-09,0.0006
6.1824e-09,0.0006
6.1921e-09,-0.0002
6.2017e-09,-0.0017
6.2114e-09,-0.0035
6.2210e-09,-0.0052
6.2307e-09,-0.0066
6.2403e-09,-0.0073
6.2500e-09,-0.0074
6.2596e-09,-0.0069
6.2693e-09,-0.0060
6.2789e-09,-0.0048
6.2885e-09,-0.0036
6.2982e-09,-0.0025
6.3078e-09,-0.0016
6.3175e-09,-0.0010
6.3271e-09,-0.0009
6.3368e-09,-0.0011
6.3464e-09,-0.0016
6.3561e-09,-0.0022
6.3657e-09,-0.0029
6.3753e-09,-0.0034
6.3850e-09,-0.0036
6.3946e-09,-0.0035
6.4043e-09,-0.0031
6.4139e-09,-0.0026
6.4236e-09,-0.0023
6.4332e-09,-0.0023
6.4429e-09,-0.0028
6.4525e-09,-0.0038
6.4621e-09,-0.0052
6.4718e-09,-0.0067
6.4814e-09,-0.0080
6.4911e-09,-0.0088
6.5007e-09,-0.0089
6.5104e-09,-0.0083
6.5200e-09,-0.0071
