.HEADER
..NAMES
Time,V U1.L1&L2
.DATA
1.26107e-08,0.2487
1.26340e-08,0.2622
1.26572e-08,0.2844
1.26805e-08,0.3276
1.27038e-08,0.4420
1.27270e-08,0.6159
1.27503e-08,0.7316
1.27736e-08,0.7992
1.27968e-08,0.8336
1.28201e-08,0.8416
1.28434e-08,0.8419
1.28667e-08,0.8528
1.28899e-08,0.8795
1.29132e-08,0.9116
1.29365e-08,0.9334
1.29597e-08,0.9356
1.29830e-08,0.9159
1.30063e-08,0.8779
1.30295e-08,0.8296
1.30528e-08,0.7832
1.30761e-08,0.7533
1.30993e-08,0.7495
1.31226e-08,0.7706
1.31459e-08,0.8076
1.31691e-08,0.8509
1.31924e-08,0.8914
1.32157e-08,0.9175
1.32389e-08,0.9228
1.32622e-08,0.9105
1.32855e-08,0.8646
1.33087e-08,0.7978
1.33320e-08,0.6432
1.33553e-08,0.5023
1.33785e-08,0.4158
1.34018e-08,0.3678
1.34251e-08,0.3421
1.34483e-08,0.3368
1.34716e-08,0.3358
1.34949e-08,0.3197
1.35181e-08,0.2910
1.35414e-08,0.2613
1.35647e-08,0.2436
1.35879e-08,0.2462
1.36112e-08,0.2696
1.36345e-08,0.3092
1.36577e-08,0.3562
1.36810e-08,0.3971
1.37043e-08,0.4186
1.37275e-08,0.4137
1.37508e-08,0.3867
1.37741e-08,0.3476
1.37973e-08,0.3052
1.38206e-08,0.2692
1.38439e-08,0.2497
1.38671e-08,0.2511
1.38904e-08,0.2679
1.39137e-08,0.2933
1.39369e-08,0.3449
1.39602e-08,0.4904
1.39835e-08,0.6491
1.40067e-08,0.7535
1.40300e-08,0.8099
1.40533e-08,0.8335
1.40765e-08,0.8404
1.40998e-08,0.8423
1.41231e-08,0.8582
1.41463e-08,0.8882
1.41696e-08,0.9191
1.41929e-08,0.9364
1.42161e-08,0.9328
1.42394e-08,0.9076
1.42627e-08,0.8660
1.42859e-08,0.8168
1.43092e-08,0.7734
1.43325e-08,0.7499
1.43557e-08,0.7532
1.43790e-08,0.7794
1.44023e-08,0.8189
1.44255e-08,0.8624
1.44488e-08,0.8999
1.44721e-08,0.9207
1.44953e-08,0.9207
1.45186e-08,0.9023
1.45419e-08,0.8490
1.45651e-08,0.7572
