.HEADER
..NAMES
Time,V U1.J1
.DATA
1.46815e-08,1.1880
1.47047e-08,1.1891
1.47280e-08,1.1922
1.47513e-08,1.1967
1.47745e-08,1.2018
1.47978e-08,1.2062
1.48211e-08,1.2085
1.48443e-08,1.2081
1.48676e-08,1.2053
1.48909e-08,1.2009
1.49141e-08,1.1965
1.49374e-08,1.1932
1.49607e-08,1.1916
1.49839e-08,1.1917
1.50072e-08,1.1933
1.50305e-08,1.1959
1.50537e-08,1.1987
1.50770e-08,1.2017
1.51003e-08,1.2045
1.51236e-08,1.2069
1.51468e-08,1.2089
1.51701e-08,1.2101
1.51934e-08,1.2104
1.52166e-08,1.2097
1.52399e-08,1.2079
1.52632e-08,1.2049
1.52864e-08,1.2014
1.53097e-08,1.1980
1.53330e-08,1.1955
1.53562e-08,1.1948
1.53795e-08,1.1958
1.54028e-08,1.1983
1.54260e-08,1.2014
1.54493e-08,1.2042
1.54726e-08,1.2061
1.54958e-08,1.2068
1.55191e-08,1.2065
1.55424e-08,1.2054
1.55656e-08,1.2039
1.55889e-08,1.2023
1.56122e-08,1.2007
1.56354e-08,1.1993
1.56587e-08,1.1982
1.56820e-08,1.1973
1.57052e-08,1.1969
1.57285e-08,1.1971
1.57518e-08,1.1980
1.57750e-08,1.1995
1.57983e-08,1.2016
1.58216e-08,1.2038
1.58448e-08,1.2057
1.58681e-08,1.2067
1.58914e-08,1.2066
1.59146e-08,1.2053
1.59379e-08,1.2033
1.59612e-08,1.2012
1.59844e-08,1.1995
1.60077e-08,1.1985
1.60310e-08,1.1984
1.60542e-08,1.1988
1.60775e-08,1.1997
1.61008e-08,1.2006
1.61240e-08,1.2016
1.61473e-08,1.2025
1.61706e-08,1.2032
1.61938e-08,1.2038
1.62171e-08,1.2042
1.62404e-08,1.2043
1.62636e-08,1.2040
1.62869e-08,1.2033
1.63102e-08,1.2022
1.63334e-08,1.2008
1.63567e-08,1.1995
1.63800e-08,1.1985
1.64032e-08,1.1983
1.64265e-08,1.1988
1.64498e-08,1.1999
1.64730e-08,1.2013
1.64963e-08,1.2026
1.65196e-08,1.2035
1.65428e-08,1.2039
1.65661e-08,1.2037
1.65894e-08,1.2033
1.66126e-08,1.2027
1.66359e-08,1.2020
1.66592e-08,1.2014
1.66824e-08,1.2009
1.67057e-08,1.2005
1.67290e-08,1.2001
1.67522e-08,1.2000
1.67755e-08,1.2000
1.67988e-08,1.2002
1.68220e-08,1.2008
1.68453e-08,1.2016
1.68686e-08,1.2025
1.68918e-08,1.2032
1.69151e-08,1.2036
1.69384e-08,1.2036
1.69616e-08,1.2030
1.69849e-08,1.2022
1.70082e-08,1.2012
1.70314e-08,1.2005
1.70547e-08,1.2001
1.70780e-08,1.2000
1.71012e-08,1.2002
1.71245e-08,1.2006
1.71478e-08,1.2010
1.71710e-08,1.2014
1.71943e-08,1.2018
1.72176e-08,1.2021
1.72408e-08,1.2023
1.72641e-08,1.2024
1.72874e-08,1.2025
1.73106e-08,1.2024
1.73339e-08,1.2022
1.73572e-08,1.2017
1.73804e-08,1.2012
1.74037e-08,1.2006
1.74270e-08,1.2002
1.74502e-08,1.2001
1.74735e-08,1.2003
1.74968e-08,1.2007
1.75201e-08,1.2013
1.75433e-08,1.2019
1.75666e-08,1.2023
1.75899e-08,1.2024
1.76131e-08,1.2024
