.HEADER
..NAMES
Time,V U1.E1&E2
.DATA
1.16335e-08,1.2150
1.16568e-08,1.1969
1.16800e-08,1.1918
1.17033e-08,1.1945
1.17266e-08,1.1947
1.17498e-08,1.1884
1.17731e-08,1.1843
1.17964e-08,1.1899
1.18196e-08,1.1735
1.18429e-08,1.1186
1.18662e-08,0.9719
1.18894e-08,0.8067
1.19127e-08,0.6954
1.19360e-08,0.6233
1.19592e-08,0.5709
1.19825e-08,0.5311
1.20058e-08,0.5136
1.20290e-08,0.5239
1.20523e-08,0.5427
1.20756e-08,0.5520
1.20988e-08,0.5494
1.21221e-08,0.5400
1.21454e-08,0.5336
1.21686e-08,0.5339
1.21919e-08,0.5325
1.22152e-08,0.5236
1.22384e-08,0.5196
1.22617e-08,0.5578
1.22850e-08,0.7138
1.23082e-08,0.9155
1.23315e-08,1.0452
1.23548e-08,1.1400
1.23780e-08,1.2021
1.24013e-08,1.2423
1.24246e-08,1.2555
1.24478e-08,1.2371
1.24711e-08,1.2105
1.24944e-08,1.1950
1.25176e-08,1.1920
1.25409e-08,1.1949
1.25642e-08,1.1938
1.25874e-08,1.1869
1.26107e-08,1.1848
1.26340e-08,1.1914
1.26572e-08,1.1656
1.26805e-08,1.1038
1.27038e-08,0.9370
1.27270e-08,0.7800
1.27503e-08,0.6795
1.27736e-08,0.6114
1.27968e-08,0.5616
1.28201e-08,0.5258
1.28434e-08,0.5139
1.28667e-08,0.5279
1.28899e-08,0.5453
1.29132e-08,0.5522
1.29365e-08,0.5478
1.29597e-08,0.5383
1.29830e-08,0.5333
1.30063e-08,0.5343
1.30295e-08,0.5311
1.30528e-08,0.5217
1.30761e-08,0.5222
1.30993e-08,0.5729
1.31226e-08,0.7570
1.31459e-08,0.9465
1.31691e-08,1.0633
1.31924e-08,1.1526
1.32157e-08,1.2103
1.32389e-08,1.2470
1.32622e-08,1.2539
1.32855e-08,1.2314
1.33087e-08,1.2065
1.33320e-08,1.1936
1.33553e-08,1.1925
1.33785e-08,1.1952
1.34018e-08,1.1928
1.34251e-08,1.1857
1.34483e-08,1.1856
1.34716e-08,1.1897
1.34949e-08,1.1566
1.35181e-08,1.0759
1.35414e-08,0.9032
1.35647e-08,0.7573
1.35879e-08,0.6643
1.36112e-08,0.6000
1.36345e-08,0.5532
1.36577e-08,0.5213
1.36810e-08,0.5150
1.37043e-08,0.5319
1.37275e-08,0.5476
1.37508e-08,0.5521
1.37741e-08,0.5459
1.37973e-08,0.5368
1.38206e-08,0.5333
1.38439e-08,0.5344
1.38671e-08,0.5294
1.38904e-08,0.5200
1.39137e-08,0.5265
1.39369e-08,0.6007
1.39602e-08,0.8001
1.39835e-08,0.9723
1.40067e-08,1.0875
1.40300e-08,1.1635
1.40533e-08,1.2187
1.40765e-08,1.2515
1.40998e-08,1.2511
1.41231e-08,1.2258
1.41463e-08,1.2030
1.41696e-08,1.1928
1.41929e-08,1.1931
1.42161e-08,1.1953
1.42394e-08,1.1915
1.42627e-08,1.1848
1.42859e-08,1.1868
1.43092e-08,1.1868
1.43325e-08,1.1473
1.43557e-08,1.0482
1.43790e-08,0.8691
1.44023e-08,0.7333
1.44255e-08,0.6498
1.44488e-08,0.5896
1.44721e-08,0.5449
1.44953e-08,0.5174
1.45186e-08,0.5173
