.HEADER
..NAMES
Time,V U1.G5
.DATA
1.46582e-08,0.4771
1.46815e-08,0.4331
1.47047e-08,0.3723
1.47280e-08,0.3019
1.47513e-08,0.2296
1.47745e-08,0.1637
1.47978e-08,0.1115
1.48211e-08,0.0767
1.48443e-08,0.0591
1.48676e-08,0.0547
1.48909e-08,0.0567
1.49141e-08,0.0579
1.49374e-08,0.0524
1.49607e-08,0.0508
1.49839e-08,0.0769
1.50072e-08,0.1758
1.50305e-08,0.2896
1.50537e-08,0.3614
1.50770e-08,0.4104
1.51003e-08,0.4449
1.51236e-08,0.4676
1.51468e-08,0.4909
1.51701e-08,0.5209
1.51934e-08,0.5588
1.52166e-08,0.5996
1.52399e-08,0.6391
1.52632e-08,0.6725
1.52864e-08,0.6951
1.53097e-08,0.7053
1.53330e-08,0.7029
1.53562e-08,0.6898
1.53795e-08,0.6700
1.54028e-08,0.6493
1.54260e-08,0.6333
1.54493e-08,0.6272
1.54726e-08,0.6367
1.54958e-08,0.6629
1.55191e-08,0.7053
1.55424e-08,0.7627
1.55656e-08,0.8300
1.55889e-08,0.9008
1.56122e-08,0.9685
1.56354e-08,1.0255
1.56587e-08,1.0676
1.56820e-08,1.0940
1.57052e-08,1.1075
1.57285e-08,1.1142
1.57518e-08,1.1202
1.57750e-08,1.1113
1.57983e-08,1.0788
1.58216e-08,0.9715
1.58448e-08,0.8382
1.58681e-08,0.7373
1.58914e-08,0.6937
1.59146e-08,0.6723
1.59379e-08,0.6600
1.59612e-08,0.6461
1.59844e-08,0.6228
1.60077e-08,0.5899
1.60310e-08,0.5517
1.60542e-08,0.5148
1.60775e-08,0.4839
1.61008e-08,0.4630
1.61240e-08,0.4533
1.61473e-08,0.4551
1.61706e-08,0.4659
1.61938e-08,0.4832
1.62171e-08,0.5022
1.62404e-08,0.5175
1.62636e-08,0.5253
1.62869e-08,0.5213
1.63102e-08,0.5015
1.63334e-08,0.4648
1.63567e-08,0.4107
1.63800e-08,0.3428
1.64032e-08,0.2677
1.64265e-08,0.1930
1.64498e-08,0.1277
1.64730e-08,0.0790
1.64963e-08,0.0494
1.65196e-08,0.0370
1.65428e-08,0.0355
1.65661e-08,0.0370
1.65894e-08,0.0347
1.66126e-08,0.0245
1.66359e-08,0.0059
1.66592e-08,-0.0182
1.66824e-08,-0.0434
1.67057e-08,-0.0649
1.67290e-08,-0.0789
1.67522e-08,-0.0836
1.67755e-08,-0.0788
1.67988e-08,-0.0661
1.68220e-08,-0.0478
1.68453e-08,-0.0271
1.68686e-08,-0.0067
1.68918e-08,0.0114
1.69151e-08,0.0261
1.69384e-08,0.0373
1.69616e-08,0.0450
1.69849e-08,0.0489
1.70082e-08,0.0490
1.70314e-08,0.0486
1.70547e-08,0.0694
1.70780e-08,0.1502
1.71012e-08,0.3014
1.71245e-08,0.4198
1.71478e-08,0.5077
1.71710e-08,0.5626
1.71943e-08,0.5989
1.72176e-08,0.6202
1.72408e-08,0.6329
1.72641e-08,0.6428
1.72874e-08,0.6504
1.73106e-08,0.6532
1.73339e-08,0.6531
1.73572e-08,0.6496
1.73804e-08,0.6435
1.74037e-08,0.6350
1.74270e-08,0.6240
1.74502e-08,0.5887
1.74735e-08,0.5206
1.74968e-08,0.3631
1.75201e-08,0.2192
1.75433e-08,0.1250
1.75666e-08,0.0662
1.75899e-08,0.0558
1.76131e-08,0.0836
1.76364e-08,0.1330
1.76597e-08,0.1947
1.76829e-08,0.2586
1.77062e-08,0.3190
1.77295e-08,0.3693
1.77527e-08,0.4070
1.77760e-08,0.4335
1.77993e-08,0.4529
1.78225e-08,0.4709
1.78458e-08,0.4915
1.78691e-08,0.5253
1.78923e-08,0.6179
1.79156e-08,0.8374
1.79389e-08,1.0275
1.79621e-08,1.1503
1.79854e-08,1.1965
1.80087e-08,1.1779
1.80319e-08,1.1251
1.80552e-08,1.0458
1.80785e-08,0.9572
1.81017e-08,0.8704
1.81250e-08,0.7928
1.81483e-08,0.7303
1.81715e-08,0.6850
1.81948e-08,0.6530
1.82181e-08,0.6285
1.82413e-08,0.6048
1.82646e-08,0.5776
1.82879e-08,0.5470
1.83111e-08,0.5177
1.83344e-08,0.4945
1.83577e-08,0.4824
1.83809e-08,0.4874
1.84042e-08,0.5116
1.84275e-08,0.5572
1.84507e-08,0.6269
1.84740e-08,0.7185
1.84973e-08,0.8267
1.85205e-08,0.9415
1.85438e-08,1.0499
1.85671e-08,1.1409
1.85903e-08,1.2072
1.86136e-08,1.2485
1.86369e-08,1.2699
1.86601e-08,1.2786
1.86834e-08,1.2747
1.87067e-08,1.2325
1.87299e-08,1.1447
1.87532e-08,0.9858
1.87765e-08,0.8528
1.87997e-08,0.7779
1.88230e-08,0.7352
1.88463e-08,0.7142
1.88695e-08,0.6923
1.88928e-08,0.6626
1.89161e-08,0.6216
1.89393e-08,0.5711
1.89626e-08,0.5188
1.89859e-08,0.4718
1.90091e-08,0.4352
1.90324e-08,0.4113
1.90557e-08,0.4006
1.90789e-08,0.4016
1.91022e-08,0.4128
1.91255e-08,0.4316
1.91487e-08,0.4535
1.91720e-08,0.4736
1.91953e-08,0.4866
1.92185e-08,0.4858
1.92418e-08,0.4669
1.92651e-08,0.4283
1.92883e-08,0.3718
1.93116e-08,0.3038
1.93349e-08,0.2318
1.93581e-08,0.1648
1.93814e-08,0.1109
1.94047e-08,0.0746
1.94279e-08,0.0560
1.94512e-08,0.0515
1.94745e-08,0.0541
1.94977e-08,0.0562
1.95210e-08,0.0518
1.95443e-08,0.0378
1.95675e-08,0.0149
1.95908e-08,-0.0130
1.96141e-08,-0.0403
1.96373e-08,-0.0620
1.96606e-08,-0.0749
1.96839e-08,-0.0778
1.97071e-08,-0.0720
1.97304e-08,-0.0595
1.97537e-08,-0.0430
1.97769e-08,-0.0249
1.98002e-08,-0.0068
1.98235e-08,0.0099
1.98468e-08,0.0242
1.98700e-08,0.0353
1.98933e-08,0.0420
1.99166e-08,0.0441
1.99398e-08,0.0414
1.99631e-08,0.0348
1.99864e-08,0.0260
2.00096e-08,0.0174
2.00329e-08,0.0115
2.00562e-08,0.0102
2.00794e-08,0.0141
2.01027e-08,0.0222
2.01260e-08,0.0320
2.01492e-08,0.0402
2.01725e-08,0.0438
2.01958e-08,0.0412
2.02190e-08,0.0324
2.02423e-08,0.0192
2.02656e-08,0.0048
2.02888e-08,-0.0078
2.03121e-08,-0.0163
2.03354e-08,-0.0199
2.03586e-08,-0.0191
2.03819e-08,-0.0152
2.04052e-08,-0.0102
2.04284e-08,-0.0055
2.04517e-08,-0.0022
2.04750e-08,-0.0004
2.04982e-08,0.0000
2.05215e-08,-0.0002
2.05448e-08,-0.0007
2.05680e-08,-0.0012
2.05913e-08,-0.0018
2.06146e-08,-0.0026
2.06378e-08,-0.0037
2.06611e-08,-0.0048
2.06844e-08,-0.0055
2.07076e-08,-0.0050
2.07309e-08,-0.0028
2.07542e-08,0.0012
2.07774e-08,0.0087
2.08007e-08,0.0371
2.08240e-08,0.1147
2.08472e-08,0.2776
2.08705e-08,0.4039
2.08938e-08,0.4929
2.09170e-08,0.5411
2.09403e-08,0.5631
2.09636e-08,0.5739
2.09868e-08,0.5787
2.10101e-08,0.5887
2.10334e-08,0.6057
2.10566e-08,0.6247
2.10799e-08,0.6438
2.11032e-08,0.6584
2.11264e-08,0.6660
2.11497e-08,0.6650
2.11730e-08,0.6565
2.11962e-08,0.6181
2.12195e-08,0.5546
2.12428e-08,0.3899
2.12660e-08,0.2370
2.12893e-08,0.1347
2.13126e-08,0.0758
2.13358e-08,0.0549
2.13591e-08,0.0793
2.13824e-08,0.1282
2.14056e-08,0.1882
2.14289e-08,0.2523
2.14522e-08,0.3145
2.14754e-08,0.3676
2.14987e-08,0.4079
2.15220e-08,0.4354
2.15452e-08,0.4527
2.15685e-08,0.4654
2.15918e-08,0.4789
2.16150e-08,0.4974
2.16383e-08,0.5202
2.16616e-08,0.5443
2.16848e-08,0.5653
2.17081e-08,0.5760
2.17314e-08,0.5704
2.17546e-08,0.5439
2.17779e-08,0.4932
2.18012e-08,0.4205
2.18244e-08,0.3314
2.18477e-08,0.2351
2.18710e-08,0.1436
2.18942e-08,0.0671
