.HEADER
..NAMES
Time,V U1.F1
.DATA
1.51003e-08,1.1883
1.51236e-08,1.1893
1.51468e-08,1.1939
1.51701e-08,1.2004
1.51934e-08,1.2087
1.52166e-08,1.2191
1.52399e-08,1.2287
1.52632e-08,1.2337
1.52864e-08,1.2333
1.53097e-08,1.2285
1.53330e-08,1.2196
1.53562e-08,1.2065
1.53795e-08,1.1910
1.54028e-08,1.1764
1.54260e-08,1.1645
1.54493e-08,1.1557
1.54726e-08,1.1506
1.54958e-08,1.1500
1.55191e-08,1.1538
1.55424e-08,1.1598
1.55656e-08,1.1666
1.55889e-08,1.1744
1.56122e-08,1.1831
1.56354e-08,1.1911
1.56587e-08,1.1968
1.56820e-08,1.2005
1.57052e-08,1.2024
1.57285e-08,1.2019
1.57518e-08,1.1985
1.57750e-08,1.1935
1.57983e-08,1.1893
1.58216e-08,1.1870
1.58448e-08,1.1867
1.58681e-08,1.1885
1.58914e-08,1.1929
1.59146e-08,1.1994
1.59379e-08,1.2062
1.59612e-08,1.2120
1.59844e-08,1.2166
1.60077e-08,1.2195
1.60310e-08,1.2202
1.60542e-08,1.2187
1.60775e-08,1.2156
1.61008e-08,1.2119
1.61240e-08,1.2078
1.61473e-08,1.2036
1.61706e-08,1.1998
1.61938e-08,1.1739
1.62171e-08,1.1163
1.62404e-08,0.9793
1.62636e-08,0.8209
1.62869e-08,0.6930
1.63102e-08,0.6151
1.63334e-08,0.5640
1.63567e-08,0.5443
1.63800e-08,0.5437
1.64032e-08,0.5455
1.64265e-08,0.5439
1.64498e-08,0.5424
1.64730e-08,0.5404
1.64963e-08,0.5334
1.65196e-08,0.5212
1.65428e-08,0.5104
1.65661e-08,0.5057
1.65894e-08,0.5037
1.66126e-08,0.5040
1.66359e-08,0.5091
1.66592e-08,0.5198
1.66824e-08,0.5315
1.67057e-08,0.5386
1.67290e-08,0.5404
1.67522e-08,0.5354
1.67755e-08,0.5180
1.67988e-08,0.4835
1.68220e-08,0.4333
1.68453e-08,0.3727
1.68686e-08,0.3049
1.68918e-08,0.2326
1.69151e-08,0.1629
1.69384e-08,0.1038
1.69616e-08,0.0575
1.69849e-08,0.0216
1.70082e-08,-0.0053
1.70314e-08,-0.0188
1.70547e-08,-0.0016
1.70780e-08,0.0692
1.71012e-08,0.2166
1.71245e-08,0.3377
1.71478e-08,0.4376
1.71710e-08,0.5106
1.71943e-08,0.5510
1.72176e-08,0.5592
1.72408e-08,0.5551
1.72641e-08,0.5498
1.72874e-08,0.5428
1.73106e-08,0.5345
1.73339e-08,0.5355
1.73572e-08,0.5501
1.73804e-08,0.5737
1.74037e-08,0.5995
1.74270e-08,0.6284
1.74502e-08,0.6589
1.74735e-08,0.6834
1.74968e-08,0.6957
1.75201e-08,0.6982
1.75433e-08,0.6973
1.75666e-08,0.6941
1.75899e-08,0.6890
1.76131e-08,0.6898
1.76364e-08,0.7045
1.76597e-08,0.7349
1.76829e-08,0.7772
1.77062e-08,0.8301
1.77295e-08,0.8934
1.77527e-08,0.9617
1.77760e-08,1.0255
1.77993e-08,1.0802
1.78225e-08,1.1268
1.78458e-08,1.1619
1.78691e-08,1.1523
1.78923e-08,1.0908
1.79156e-08,0.9340
