.HEADER
..NAMES
Time,V U1.L1&L2
.DATA
1.17033e-08,0.9097
1.17266e-08,0.8800
1.17498e-08,0.8454
1.17731e-08,0.8128
1.17964e-08,0.7883
1.18196e-08,0.7578
1.18429e-08,0.7182
1.18662e-08,0.6079
1.18894e-08,0.4863
1.19127e-08,0.4043
1.19360e-08,0.3432
1.19592e-08,0.2997
1.19825e-08,0.2766
1.20058e-08,0.2667
1.20290e-08,0.2564
1.20523e-08,0.2465
1.20756e-08,0.2437
1.20988e-08,0.2524
1.21221e-08,0.2730
1.21454e-08,0.3024
1.21686e-08,0.3352
1.21919e-08,0.3654
1.22152e-08,0.3860
1.22384e-08,0.3938
1.22617e-08,0.4150
1.22850e-08,0.5167
1.23082e-08,0.6703
1.23315e-08,0.7678
1.23548e-08,0.8391
1.23780e-08,0.8853
1.24013e-08,0.9070
1.24246e-08,0.9171
1.24478e-08,0.9251
1.24711e-08,0.9336
1.24944e-08,0.9363
1.25176e-08,0.9265
1.25409e-08,0.9045
1.25642e-08,0.8733
1.25874e-08,0.8387
1.26107e-08,0.8071
1.26340e-08,0.7849
1.26572e-08,0.7513
1.26805e-08,0.7068
1.27038e-08,0.5819
1.27270e-08,0.4668
1.27503e-08,0.3901
1.27736e-08,0.3341
1.27968e-08,0.2923
1.28201e-08,0.2742
1.28434e-08,0.2652
1.28667e-08,0.2541
1.28899e-08,0.2452
1.29132e-08,0.2444
1.29365e-08,0.2557
1.29597e-08,0.2783
1.29830e-08,0.3089
1.30063e-08,0.3417
1.30295e-08,0.3705
1.30528e-08,0.3885
1.30761e-08,0.3956
1.30993e-08,0.4234
1.31226e-08,0.5497
1.31459e-08,0.6933
1.31691e-08,0.7844
1.31924e-08,0.8477
1.32157e-08,0.8901
1.32389e-08,0.9102
1.32622e-08,0.9183
1.32855e-08,0.9270
1.33087e-08,0.9350
1.33320e-08,0.9355
1.33553e-08,0.9232
1.33785e-08,0.8989
1.34018e-08,0.8665
1.34251e-08,0.8320
1.34483e-08,0.8018
1.34716e-08,0.7795
1.34949e-08,0.7457
1.35181e-08,0.6836
1.35414e-08,0.5545
1.35647e-08,0.4470
1.35879e-08,0.3776
1.36112e-08,0.3201
1.36345e-08,0.2879
1.36577e-08,0.2726
1.36810e-08,0.2623
1.37043e-08,0.2519
1.37275e-08,0.2442
1.37508e-08,0.2456
1.37741e-08,0.2595
1.37973e-08,0.2841
1.38206e-08,0.3156
1.38439e-08,0.3482
1.38671e-08,0.3753
1.38904e-08,0.3904
1.39137e-08,0.3982
1.39369e-08,0.4401
1.39602e-08,0.5812
1.39835e-08,0.7151
1.40067e-08,0.8010
1.40300e-08,0.8573
1.40533e-08,0.8947
1.40765e-08,0.9119
1.40998e-08,0.9199
1.41231e-08,0.9287
1.41463e-08,0.9360
1.41696e-08,0.9341
1.41929e-08,0.9192
1.42161e-08,0.8930
1.42394e-08,0.8595
1.42627e-08,0.8254
1.42859e-08,0.7968
1.43092e-08,0.7724
1.43325e-08,0.7402
1.43557e-08,0.6596
1.43790e-08,0.5296
1.44023e-08,0.4287
1.44255e-08,0.3624
1.44488e-08,0.3123
1.44721e-08,0.2815
1.44953e-08,0.2700
1.45186e-08,0.2606
1.45419e-08,0.2499
1.45651e-08,0.2436
1.45884e-08,0.2474
1.46117e-08,0.2637
1.46349e-08,0.2901
1.46582e-08,0.3224
1.46815e-08,0.3544
1.47047e-08,0.3797
1.47280e-08,0.3916
1.47513e-08,0.4013
1.47745e-08,0.4589
1.47978e-08,0.6094
1.48211e-08,0.7313
1.48443e-08,0.8135
1.48676e-08,0.8676
1.48909e-08,0.8988
1.49141e-08,0.9136
1.49374e-08,0.9214
1.49607e-08,0.9305
1.49839e-08,0.9367
1.50072e-08,0.9322
1.50305e-08,0.9149
1.50537e-08,0.8868
1.50770e-08,0.8526
1.51003e-08,0.8190
1.51236e-08,0.7923
1.51468e-08,0.7650
1.51701e-08,0.7311
1.51934e-08,0.6394
1.52166e-08,0.5073
1.52399e-08,0.4143
1.52632e-08,0.3515
1.52864e-08,0.3033
1.53097e-08,0.2782
1.53330e-08,0.2686
1.53562e-08,0.2582
1.53795e-08,0.2481
1.54028e-08,0.2434
1.54260e-08,0.2497
1.54493e-08,0.2683
1.54726e-08,0.2963
1.54958e-08,0.3291
1.55191e-08,0.3603
1.55424e-08,0.3834
1.55656e-08,0.3927
1.55889e-08,0.4056
1.56122e-08,0.4842
1.56354e-08,0.6416
1.56587e-08,0.7478
1.56820e-08,0.8269
1.57052e-08,0.8758
1.57285e-08,0.9031
1.57518e-08,0.9149
1.57750e-08,0.9233
1.57983e-08,0.9322
1.58216e-08,0.9368
1.58448e-08,0.9297
1.58681e-08,0.9100
1.58914e-08,0.8803
1.59146e-08,0.8456
1.59379e-08,0.8130
1.59612e-08,0.7884
1.59844e-08,0.7583
1.60077e-08,0.7193
1.60310e-08,0.6098
1.60542e-08,0.4820
1.60775e-08,0.4010
1.61008e-08,0.3398
1.61240e-08,0.2979
1.61473e-08,0.2754
1.61706e-08,0.2658
1.61938e-08,0.2562
1.62171e-08,0.2465
1.62404e-08,0.2436
1.62636e-08,0.2525
1.62869e-08,0.2732
1.63102e-08,0.3027
1.63334e-08,0.3355
1.63567e-08,0.3657
1.63800e-08,0.3864
1.64032e-08,0.3942
1.64265e-08,0.4153
1.64498e-08,0.5156
1.64730e-08,0.6659
1.64963e-08,0.7654
1.65196e-08,0.8361
1.65428e-08,0.8838
1.65661e-08,0.9060
1.65894e-08,0.9164
1.66126e-08,0.9248
1.66359e-08,0.9336
1.66592e-08,0.9364
1.66824e-08,0.9267
1.67057e-08,0.9047
1.67290e-08,0.8736
1.67522e-08,0.8389
1.67755e-08,0.8073
1.67988e-08,0.7851
1.68220e-08,0.7519
1.68453e-08,0.7070
1.68686e-08,0.5837
1.68918e-08,0.4638
1.69151e-08,0.3874
1.69384e-08,0.3314
1.69616e-08,0.2907
1.69849e-08,0.2733
1.70082e-08,0.2645
1.70314e-08,0.2539
1.70547e-08,0.2452
1.70780e-08,0.2444
1.71012e-08,0.2558
1.71245e-08,0.2785
1.71478e-08,0.3091
1.71710e-08,0.3419
1.71943e-08,0.3708
1.72176e-08,0.3888
1.72408e-08,0.3960
1.72641e-08,0.4226
1.72874e-08,0.5487
1.73106e-08,0.6893
1.73339e-08,0.7838
1.73572e-08,0.8462
1.73804e-08,0.8886
1.74037e-08,0.9093
1.74270e-08,0.9177
1.74502e-08,0.9267
1.74735e-08,0.9349
1.74968e-08,0.9355
1.75201e-08,0.9233
1.75433e-08,0.8992
1.75666e-08,0.8667
1.75899e-08,0.8322
1.76131e-08,0.8020
1.76364e-08,0.7799
1.76597e-08,0.7462
1.76829e-08,0.6846
1.77062e-08,0.5531
1.77295e-08,0.4450
1.77527e-08,0.3760
1.77760e-08,0.3188
1.77993e-08,0.2867
1.78225e-08,0.2720
1.78458e-08,0.2619
1.78691e-08,0.2518
1.78923e-08,0.2442
1.79156e-08,0.2456
1.79389e-08,0.2594
1.79621e-08,0.2840
1.79854e-08,0.3156
1.80087e-08,0.3482
1.80319e-08,0.3754
1.80552e-08,0.3905
1.80785e-08,0.3984
1.81017e-08,0.4394
1.81250e-08,0.5798
1.81483e-08,0.7121
1.81715e-08,0.7997
1.81948e-08,0.8565
1.82181e-08,0.8935
1.82413e-08,0.9112
1.82646e-08,0.9194
1.82879e-08,0.9283
1.83111e-08,0.9358
1.83344e-08,0.9341
1.83577e-08,0.9194
1.83809e-08,0.8933
1.84042e-08,0.8599
1.84275e-08,0.8257
1.84507e-08,0.7971
1.84740e-08,0.7729
1.84973e-08,0.7407
1.85205e-08,0.6604
1.85438e-08,0.5310
1.85671e-08,0.4284
1.85903e-08,0.3614
1.86136e-08,0.3116
1.86369e-08,0.2809
1.86601e-08,0.2695
1.86834e-08,0.2603
1.87067e-08,0.2499
1.87299e-08,0.2436
1.87532e-08,0.2473
1.87765e-08,0.2635
1.87997e-08,0.2898
1.88230e-08,0.3221
1.88463e-08,0.3542
1.88695e-08,0.3795
1.88928e-08,0.3915
1.89161e-08,0.4013
1.89393e-08,0.4575
1.89626e-08,0.6083
1.89859e-08,0.7288
1.90091e-08,0.8120
1.90324e-08,0.8673
1.90557e-08,0.8979
1.90789e-08,0.9129
1.91022e-08,0.9208
1.91255e-08,0.9300
1.91487e-08,0.9364
1.91720e-08,0.9321
1.91953e-08,0.9150
1.92185e-08,0.8871
1.92418e-08,0.8530
1.92651e-08,0.8194
1.92883e-08,0.7926
1.93116e-08,0.7654
1.93349e-08,0.7320
1.93581e-08,0.6411
1.93814e-08,0.5101
1.94047e-08,0.4147
1.94279e-08,0.3512
1.94512e-08,0.3031
1.94745e-08,0.2778
1.94977e-08,0.2682
1.95210e-08,0.2580
1.95443e-08,0.2481
1.95675e-08,0.2434
1.95908e-08,0.2495
1.96141e-08,0.2679
1.96373e-08,0.2959
1.96606e-08,0.3286
1.96839e-08,0.3599
1.97071e-08,0.3831
1.97304e-08,0.3926
1.97537e-08,0.4062
1.97769e-08,0.4835
1.98002e-08,0.6387
1.98235e-08,0.7455
1.98468e-08,0.8250
1.98700e-08,0.8748
1.98933e-08,0.9024
1.99166e-08,0.9141
1.99398e-08,0.9227
1.99631e-08,0.9317
1.99864e-08,0.9365
2.00096e-08,0.9297
2.00329e-08,0.9103
2.00562e-08,0.8807
2.00794e-08,0.8461
2.01027e-08,0.8134
2.01260e-08,0.7887
2.01492e-08,0.7587
2.01725e-08,0.7200
2.01958e-08,0.6119
2.02190e-08,0.4845
2.02423e-08,0.4019
2.02656e-08,0.3391
2.02888e-08,0.2974
2.03121e-08,0.2754
2.03354e-08,0.2652
2.03586e-08,0.2560
2.03819e-08,0.2465
2.04052e-08,0.2436
2.04284e-08,0.2523
2.04517e-08,0.2728
2.04750e-08,0.3022
2.04982e-08,0.3351
2.05215e-08,0.3654
2.05448e-08,0.3862
2.05680e-08,0.3942
2.05913e-08,0.4154
2.06146e-08,0.5149
2.06378e-08,0.6624
2.06611e-08,0.7647
2.06844e-08,0.8348
2.07076e-08,0.8823
2.07309e-08,0.9053
2.07542e-08,0.9156
2.07774e-08,0.9242
2.08007e-08,0.9331
2.08240e-08,0.9361
2.08472e-08,0.9268
2.08705e-08,0.9051
2.08938e-08,0.8740
2.09170e-08,0.8393
2.09403e-08,0.8076
2.09636e-08,0.7853
2.09868e-08,0.7523
2.10101e-08,0.7081
2.10334e-08,0.5858
2.10566e-08,0.4659
2.10799e-08,0.3880
2.11032e-08,0.3310
2.11264e-08,0.2899
2.11497e-08,0.2730
2.11730e-08,0.2639
2.11962e-08,0.2538
2.12195e-08,0.2451
2.12428e-08,0.2442
2.12660e-08,0.2555
2.12893e-08,0.2780
2.13126e-08,0.3086
2.13358e-08,0.3415
2.13591e-08,0.3704
2.13824e-08,0.3886
2.14056e-08,0.3960
2.14289e-08,0.4217
2.14522e-08,0.5483
2.14754e-08,0.6863
2.14987e-08,0.7833
2.15220e-08,0.8460
2.15452e-08,0.8872
2.15685e-08,0.9084
2.15918e-08,0.9170
2.16150e-08,0.9261
2.16383e-08,0.9344
2.16616e-08,0.9353
2.16848e-08,0.9234
2.17081e-08,0.8995
2.17314e-08,0.8672
2.17546e-08,0.8327
2.17779e-08,0.8023
2.18012e-08,0.7802
2.18244e-08,0.7464
2.18477e-08,0.6863
2.18710e-08,0.5566
2.18942e-08,0.4465
2.19175e-08,0.3766
2.19408e-08,0.3190
2.19640e-08,0.2858
2.19873e-08,0.2717
2.20106e-08,0.2617
2.20338e-08,0.2516
2.20571e-08,0.2441
2.20804e-08,0.2454
2.21037e-08,0.2591
2.21269e-08,0.2835
2.21502e-08,0.3151
2.21735e-08,0.3477
2.21967e-08,0.3750
2.22200e-08,0.3904
2.22433e-08,0.3983
2.22665e-08,0.4387
2.22898e-08,0.5788
2.23131e-08,0.7099
2.23363e-08,0.7983
2.23596e-08,0.8567
2.23829e-08,0.8925
2.24061e-08,0.9104
2.24294e-08,0.9188
2.24527e-08,0.9278
2.24759e-08,0.9354
2.24992e-08,0.9340
2.25225e-08,0.9196
2.25457e-08,0.8937
2.25690e-08,0.8603
2.25923e-08,0.8261
2.26155e-08,0.7974
2.26388e-08,0.7734
2.26621e-08,0.7410
2.26853e-08,0.6615
2.27086e-08,0.5339
2.27319e-08,0.4297
2.27551e-08,0.3614
2.27784e-08,0.3117
2.28017e-08,0.2806
2.28249e-08,0.2690
2.28482e-08,0.2601
2.28715e-08,0.2498
2.28947e-08,0.2435
2.29180e-08,0.2471
2.29413e-08,0.2631
2.29645e-08,0.2893
2.29878e-08,0.3216
2.30111e-08,0.3538
2.30343e-08,0.3792
2.30576e-08,0.3915
2.30809e-08,0.4012
2.31041e-08,0.4564
2.31274e-08,0.6073
2.31507e-08,0.7280
2.31739e-08,0.8099
2.31972e-08,0.8668
2.32205e-08,0.8969
2.32437e-08,0.9122
2.32670e-08,0.9203
2.32903e-08,0.9296
2.33135e-08,0.9361
2.33368e-08,0.9321
2.33601e-08,0.9153
2.33833e-08,0.8875
2.34066e-08,0.8534
2.34299e-08,0.8198
2.34531e-08,0.7929
2.34764e-08,0.7658
2.34997e-08,0.7328
2.35229e-08,0.6425
2.35462e-08,0.5125
2.35695e-08,0.4158
2.35927e-08,0.3513
2.36160e-08,0.3027
2.36393e-08,0.2773
2.36625e-08,0.2677
2.36858e-08,0.2579
2.37091e-08,0.2480
2.37323e-08,0.2433
2.37556e-08,0.2493
2.37789e-08,0.2675
2.38021e-08,0.2954
2.38254e-08,0.3282
2.38487e-08,0.3596
2.38719e-08,0.3829
2.38952e-08,0.3925
2.39185e-08,0.4066
2.39417e-08,0.4823
2.39650e-08,0.6355
2.39883e-08,0.7451
2.40115e-08,0.8236
2.40348e-08,0.8740
2.40581e-08,0.9018
2.40813e-08,0.9136
2.41046e-08,0.9223
2.41279e-08,0.9314
2.41511e-08,0.9363
2.41744e-08,0.9298
2.41977e-08,0.9106
2.42209e-08,0.8811
2.42442e-08,0.8465
2.42675e-08,0.8137
2.42907e-08,0.7889
2.43140e-08,0.7590
2.43373e-08,0.7207
2.43605e-08,0.6132
2.43838e-08,0.4864
2.44071e-08,0.4030
2.44303e-08,0.3388
2.44536e-08,0.2969
2.44769e-08,0.2752
2.45002e-08,0.2648
2.45234e-08,0.2559
2.45467e-08,0.2465
2.45700e-08,0.2435
2.45932e-08,0.2520
2.46165e-08,0.2724
2.46398e-08,0.3017
2.46630e-08,0.3346
2.46863e-08,0.3650
2.47096e-08,0.3860
2.47328e-08,0.3943
2.47561e-08,0.4152
2.47794e-08,0.5133
2.48026e-08,0.6595
2.48259e-08,0.7655
2.48492e-08,0.8340
2.48724e-08,0.8812
