.HEADER
..NAMES
Time,V U1.K1
.DATA
1.09355e-08,1.1925
1.09588e-08,1.1914
1.09820e-08,1.1894
1.10053e-08,1.1867
1.10286e-08,1.1846
1.10518e-08,1.1845
1.10751e-08,1.1872
1.10984e-08,1.1930
1.11216e-08,1.2018
1.11449e-08,1.2126
1.11682e-08,1.2233
1.11914e-08,1.2310
1.12147e-08,1.2339
1.12380e-08,1.2316
1.12612e-08,1.2251
1.12845e-08,1.2166
1.13078e-08,1.2081
1.13310e-08,1.2011
1.13543e-08,1.1962
1.13776e-08,1.1932
1.14008e-08,1.1919
1.14241e-08,1.1919
1.14474e-08,1.1928
1.14706e-08,1.1942
1.14939e-08,1.1958
1.15172e-08,1.1977
1.15404e-08,1.1999
1.15637e-08,1.2023
1.15870e-08,1.2043
1.16102e-08,1.2053
1.16335e-08,1.2050
1.16568e-08,1.2032
1.16800e-08,1.1996
1.17033e-08,1.1946
1.17266e-08,1.1892
1.17498e-08,1.1852
1.17731e-08,1.1838
1.17964e-08,1.1855
1.18196e-08,1.1670
1.18429e-08,1.1198
1.18662e-08,0.9870
1.18894e-08,0.8300
1.19127e-08,0.7161
1.19360e-08,0.6345
1.19592e-08,0.5779
1.19825e-08,0.5445
1.20058e-08,0.5277
1.20290e-08,0.5196
1.20523e-08,0.5150
1.20756e-08,0.5121
1.20988e-08,0.5091
1.21221e-08,0.5064
1.21454e-08,0.5030
1.21686e-08,0.4996
1.21919e-08,0.4970
1.22152e-08,0.4956
1.22384e-08,0.4965
1.22617e-08,0.5008
1.22850e-08,0.5067
1.23082e-08,0.5108
1.23315e-08,0.5102
1.23548e-08,0.5042
1.23780e-08,0.4925
1.24013e-08,0.4721
1.24246e-08,0.4373
1.24478e-08,0.3861
1.24711e-08,0.3243
1.24944e-08,0.2585
1.25176e-08,0.1922
1.25409e-08,0.1296
1.25642e-08,0.0755
1.25874e-08,0.0326
1.26107e-08,0.0004
1.26340e-08,-0.0228
1.26572e-08,-0.0391
1.26805e-08,-0.0498
1.27038e-08,-0.0562
1.27270e-08,-0.0594
1.27503e-08,-0.0604
1.27736e-08,-0.0609
1.27968e-08,-0.0627
1.28201e-08,-0.0664
1.28434e-08,-0.0711
1.28667e-08,-0.0751
1.28899e-08,-0.0775
1.29132e-08,-0.0787
1.29365e-08,-0.0784
1.29597e-08,-0.0747
1.29830e-08,-0.0652
1.30063e-08,-0.0494
1.30295e-08,-0.0294
1.30528e-08,-0.0076
1.30761e-08,0.0144
1.30993e-08,0.0339
1.31226e-08,0.0480
1.31459e-08,0.0553
1.31691e-08,0.0568
1.31924e-08,0.0540
1.32157e-08,0.0489
1.32389e-08,0.0428
1.32622e-08,0.0365
1.32855e-08,0.0302
1.33087e-08,0.0243
1.33320e-08,0.0195
1.33553e-08,0.0167
1.33785e-08,0.0160
1.34018e-08,0.0167
1.34251e-08,0.0179
1.34483e-08,0.0192
1.34716e-08,0.0206
1.34949e-08,0.0276
1.35181e-08,0.0593
1.35414e-08,0.1588
1.35647e-08,0.3138
1.35879e-08,0.4301
1.36112e-08,0.5101
1.36345e-08,0.5714
1.36577e-08,0.6009
1.36810e-08,0.6134
1.37043e-08,0.6184
1.37275e-08,0.6233
1.37508e-08,0.6293
1.37741e-08,0.6359
1.37973e-08,0.6430
1.38206e-08,0.6501
1.38439e-08,0.6574
1.38671e-08,0.6637
1.38904e-08,0.6685
1.39137e-08,0.6714
1.39369e-08,0.6706
1.39602e-08,0.6665
1.39835e-08,0.6621
1.40067e-08,0.6609
1.40300e-08,0.6633
1.40533e-08,0.6690
1.40765e-08,0.6810
1.40998e-08,0.7065
1.41231e-08,0.7505
1.41463e-08,0.8101
1.41696e-08,0.8789
1.41929e-08,0.9519
1.42161e-08,1.0237
1.42394e-08,1.0869
1.42627e-08,1.1368
1.42859e-08,1.1726
1.43092e-08,1.1893
1.43325e-08,1.1633
1.43557e-08,1.0817
1.43790e-08,0.9154
1.44023e-08,0.7818
1.44255e-08,0.6912
1.44488e-08,0.6240
1.44721e-08,0.5852
1.44953e-08,0.5675
1.45186e-08,0.5624
1.45419e-08,0.5621
1.45651e-08,0.5632
1.45884e-08,0.5646
1.46117e-08,0.5659
1.46349e-08,0.5646
1.46582e-08,0.5573
1.46815e-08,0.5430
1.47047e-08,0.5231
1.47280e-08,0.4998
1.47513e-08,0.4767
1.47745e-08,0.4570
1.47978e-08,0.4424
1.48211e-08,0.4335
1.48443e-08,0.4291
1.48676e-08,0.4275
1.48909e-08,0.4238
1.49141e-08,0.4098
1.49374e-08,0.3781
1.49607e-08,0.3305
1.49839e-08,0.2738
1.50072e-08,0.2125
1.50305e-08,0.1502
1.50537e-08,0.0923
1.50770e-08,0.0435
1.51003e-08,0.0057
1.51236e-08,-0.0227
1.51468e-08,-0.0438
1.51701e-08,-0.0465
1.51934e-08,-0.0197
1.52166e-08,0.0969
1.52399e-08,0.2357
1.52632e-08,0.3552
1.52864e-08,0.4449
1.53097e-08,0.5191
1.53330e-08,0.5631
1.53562e-08,0.5863
1.53795e-08,0.5962
1.54028e-08,0.5967
1.54260e-08,0.5905
1.54493e-08,0.5830
1.54726e-08,0.5801
1.54958e-08,0.5863
1.55191e-08,0.6022
1.55424e-08,0.6249
1.55656e-08,0.6518
1.55889e-08,0.6791
1.56122e-08,0.7009
1.56354e-08,0.7143
1.56587e-08,0.7212
1.56820e-08,0.7259
1.57052e-08,0.7293
1.57285e-08,0.7335
1.57518e-08,0.7426
1.57750e-08,0.7632
1.57983e-08,0.7983
1.58216e-08,0.8449
1.58448e-08,0.8986
1.58681e-08,0.9571
1.58914e-08,1.0160
1.59146e-08,1.0703
1.59379e-08,1.1173
1.59612e-08,1.1571
1.59844e-08,1.1902
1.60077e-08,1.2161
1.60310e-08,1.2335
1.60542e-08,1.2420
1.60775e-08,1.2425
1.61008e-08,1.2367
1.61240e-08,1.2272
1.61473e-08,1.2179
1.61706e-08,1.2123
1.61938e-08,1.2118
1.62171e-08,1.2157
1.62404e-08,1.2223
1.62636e-08,1.2306
1.62869e-08,1.2387
1.63102e-08,1.2439
1.63334e-08,1.2434
1.63567e-08,1.2364
1.63800e-08,1.2242
1.64032e-08,1.2082
1.64265e-08,1.1902
1.64498e-08,1.1729
1.64730e-08,1.1592
1.64963e-08,1.1502
1.65196e-08,1.1455
1.65428e-08,1.1441
1.65661e-08,1.1454
1.65894e-08,1.1491
1.66126e-08,1.1553
1.66359e-08,1.1639
1.66592e-08,1.1745
1.66824e-08,1.1859
1.67057e-08,1.1960
1.67290e-08,1.2028
1.67522e-08,1.2056
1.67755e-08,1.2046
1.67988e-08,1.2008
1.68220e-08,1.1647
1.68453e-08,1.1008
1.68686e-08,0.9380
1.68918e-08,0.7819
1.69151e-08,0.6768
1.69384e-08,0.6027
1.69616e-08,0.5593
1.69849e-08,0.5413
1.70082e-08,0.5368
1.70314e-08,0.5373
1.70547e-08,0.5372
1.70780e-08,0.5357
1.71012e-08,0.5320
1.71245e-08,0.5269
1.71478e-08,0.5204
1.71710e-08,0.5134
1.71943e-08,0.5062
1.72176e-08,0.4990
1.72408e-08,0.4934
1.72641e-08,0.4911
1.72874e-08,0.4911
1.73106e-08,0.4918
1.73339e-08,0.4911
1.73572e-08,0.4889
1.73804e-08,0.4834
1.74037e-08,0.4688
1.74270e-08,0.4373
1.74502e-08,0.3872
1.74735e-08,0.3244
1.74968e-08,0.2552
1.75201e-08,0.1839
1.75433e-08,0.1164
1.75666e-08,0.0590
1.75899e-08,0.0148
1.76131e-08,-0.0167
1.76364e-08,-0.0377
1.76597e-08,-0.0452
1.76829e-08,-0.0256
1.77062e-08,0.0569
1.77295e-08,0.2042
1.77527e-08,0.3268
1.77760e-08,0.4156
1.77993e-08,0.4917
1.78225e-08,0.5350
1.78458e-08,0.5562
1.78691e-08,0.5645
1.78923e-08,0.5668
1.79156e-08,0.5652
1.79389e-08,0.5620
1.79621e-08,0.5623
1.79854e-08,0.5707
1.80087e-08,0.5887
1.80319e-08,0.6141
1.80552e-08,0.6441
1.80785e-08,0.6758
1.81017e-08,0.7029
1.81250e-08,0.7210
1.81483e-08,0.7300
1.81715e-08,0.7338
1.81948e-08,0.7345
1.82181e-08,0.7341
1.82413e-08,0.7366
1.82646e-08,0.7492
1.82879e-08,0.7780
1.83111e-08,0.8219
1.83344e-08,0.8761
1.83577e-08,0.9372
1.83809e-08,1.0011
1.84042e-08,1.0611
1.84275e-08,1.1124
1.84507e-08,1.1538
1.84740e-08,1.1865
1.84973e-08,1.2112
1.85205e-08,1.2279
1.85438e-08,1.2364
1.85671e-08,1.2375
1.85903e-08,1.2326
1.86136e-08,1.2237
1.86369e-08,1.2138
1.86601e-08,1.2069
1.86834e-08,1.2051
1.87067e-08,1.2084
1.87299e-08,1.2156
1.87532e-08,1.2255
1.87765e-08,1.2364
1.87997e-08,1.2454
1.88230e-08,1.2489
1.88463e-08,1.2449
1.88695e-08,1.2338
1.88928e-08,1.2173
1.89161e-08,1.1972
1.89393e-08,1.1765
1.89626e-08,1.1590
1.89859e-08,1.1472
1.90091e-08,1.1414
1.90324e-08,1.1405
1.90557e-08,1.1432
1.90789e-08,1.1485
1.91022e-08,1.1558
1.91255e-08,1.1646
1.91487e-08,1.1748
1.91720e-08,1.1857
1.91953e-08,1.1958
1.92185e-08,1.2033
1.92418e-08,1.2070
1.92651e-08,1.2068
1.92883e-08,1.2033
1.93116e-08,1.1834
1.93349e-08,1.1306
1.93581e-08,1.0106
1.93814e-08,0.8387
1.94047e-08,0.7108
1.94279e-08,0.6258
1.94512e-08,0.5710
1.94745e-08,0.5455
1.94977e-08,0.5389
1.95210e-08,0.5398
1.95443e-08,0.5411
