.HEADER
..NAMES
Time,V U1.T1
.DATA
1.33785e-08,0.0337
1.34018e-08,0.0346
1.34251e-08,0.0329
1.34483e-08,0.0288
1.34716e-08,0.0226
1.34949e-08,0.0151
1.35181e-08,0.0072
1.35414e-08,-0.0000
1.35647e-08,-0.0059
1.35879e-08,-0.0108
1.36112e-08,-0.0149
1.36345e-08,-0.0180
1.36577e-08,-0.0192
1.36810e-08,-0.0181
1.37043e-08,-0.0145
1.37275e-08,-0.0093
1.37508e-08,-0.0039
1.37741e-08,0.0002
1.37973e-08,0.0021
1.38206e-08,0.0017
1.38439e-08,-0.0004
1.38671e-08,-0.0033
1.38904e-08,-0.0060
1.39137e-08,-0.0078
1.39369e-08,-0.0084
1.39602e-08,-0.0079
1.39835e-08,-0.0063
1.40067e-08,-0.0037
1.40300e-08,-0.0006
1.40533e-08,0.0028
1.40765e-08,0.0060
1.40998e-08,0.0089
1.41231e-08,0.0115
1.41463e-08,0.0133
1.41696e-08,0.0140
1.41929e-08,0.0131
1.42161e-08,0.0106
1.42394e-08,0.0070
1.42627e-08,0.0030
1.42859e-08,-0.0003
1.43092e-08,-0.0020
1.43325e-08,-0.0021
1.43557e-08,-0.0007
1.43790e-08,0.0014
1.44023e-08,0.0035
1.44255e-08,0.0051
1.44488e-08,0.0061
1.44721e-08,0.0067
1.44953e-08,0.0068
1.45186e-08,0.0063
1.45419e-08,0.0052
1.45651e-08,0.0036
1.45884e-08,0.0016
1.46117e-08,-0.0005
1.46349e-08,-0.0026
1.46582e-08,-0.0041
1.46815e-08,-0.0047
1.47047e-08,-0.0043
1.47280e-08,-0.0028
1.47513e-08,-0.0005
1.47745e-08,0.0022
1.47978e-08,0.0045
1.48211e-08,0.0059
1.48443e-08,0.0062
1.48676e-08,0.0055
1.48909e-08,0.0043
1.49141e-08,0.0029
1.49374e-08,0.0017
1.49607e-08,0.0008
1.49839e-08,-0.0000
1.50072e-08,-0.0006
1.50305e-08,-0.0009
1.50537e-08,-0.0007
1.50770e-08,-0.0000
1.51003e-08,0.0012
1.51236e-08,0.0028
1.51468e-08,0.0044
1.51701e-08,0.0197
1.51934e-08,0.0676
1.52166e-08,0.2093
1.52399e-08,0.3587
1.52632e-08,0.4811
1.52864e-08,0.5669
1.53097e-08,0.6310
1.53330e-08,0.6672
1.53562e-08,0.6857
1.53795e-08,0.6939
1.54028e-08,0.6943
1.54260e-08,0.6890
1.54493e-08,0.6819
1.54726e-08,0.6748
1.54958e-08,0.6685
1.55191e-08,0.6640
1.55424e-08,0.6608
1.55656e-08,0.6580
1.55889e-08,0.6548
1.56122e-08,0.6517
1.56354e-08,0.6502
1.56587e-08,0.6514
1.56820e-08,0.6573
1.57052e-08,0.6700
1.57285e-08,0.6955
1.57518e-08,0.7371
1.57750e-08,0.7916
1.57983e-08,0.8534
1.58216e-08,0.9182
1.58448e-08,0.9815
1.58681e-08,1.0389
1.58914e-08,1.0885
1.59146e-08,1.1313
1.59379e-08,1.1677
1.59612e-08,1.1972
1.59844e-08,1.1963
1.60077e-08,1.1572
1.60310e-08,1.0237
1.60542e-08,0.8626
1.60775e-08,0.7453
1.61008e-08,0.6609
1.61240e-08,0.6052
1.61473e-08,0.5735
1.61706e-08,0.5607
1.61938e-08,0.5585
1.62171e-08,0.5620
1.62404e-08,0.5661
1.62636e-08,0.5650
1.62869e-08,0.5578
1.63102e-08,0.5453
1.63334e-08,0.5290
1.63567e-08,0.5122
1.63800e-08,0.4974
1.64032e-08,0.4866
1.64265e-08,0.4784
1.64498e-08,0.4707
1.64730e-08,0.4634
1.64963e-08,0.4565
1.65196e-08,0.4473
1.65428e-08,0.4298
