.HEADER
..NAMES
Time,V U1.V1&V2
.DATA
2.22898e-08,0.7930
2.23131e-08,0.9628
2.23363e-08,1.0866
2.23596e-08,1.1663
2.23829e-08,1.2045
2.24061e-08,1.2109
2.24294e-08,1.2022
2.24527e-08,1.1941
2.24759e-08,1.1881
2.24992e-08,1.1849
2.25225e-08,1.1856
2.25457e-08,1.1920
2.25690e-08,1.2004
2.25923e-08,1.2060
2.26155e-08,1.2063
2.26388e-08,1.1952
2.26621e-08,1.1492
2.26853e-08,1.0515
2.27086e-08,0.8800
2.27319e-08,0.7429
2.27551e-08,0.6554
2.27784e-08,0.5972
2.28017e-08,0.5689
2.28249e-08,0.5651
2.28482e-08,0.5659
2.28715e-08,0.5648
2.28947e-08,0.5617
2.29180e-08,0.5546
2.29413e-08,0.5434
2.29645e-08,0.5292
2.29878e-08,0.5170
2.30111e-08,0.5100
2.30343e-08,0.5090
2.30576e-08,0.5125
2.30809e-08,0.5335
2.31041e-08,0.6252
2.31274e-08,0.8297
2.31507e-08,0.9889
2.31739e-08,1.1039
2.31972e-08,1.1806
2.32205e-08,1.2081
2.32437e-08,1.2091
2.32670e-08,1.2004
2.32903e-08,1.1926
2.33135e-08,1.1872
2.33368e-08,1.1847
2.33601e-08,1.1865
2.33833e-08,1.1937
2.34066e-08,1.2018
2.34299e-08,1.2065
2.34531e-08,1.2057
2.34764e-08,1.1871
2.34997e-08,1.1362
2.35229e-08,1.0186
2.35462e-08,0.8510
2.35695e-08,0.7235
2.35927e-08,0.6404
2.36160e-08,0.5889
2.36393e-08,0.5666
2.36625e-08,0.5653
2.36858e-08,0.5658
2.37091e-08,0.5645
2.37323e-08,0.5607
2.37556e-08,0.5528
2.37789e-08,0.5407
2.38021e-08,0.5264
2.38254e-08,0.5152
2.38487e-08,0.5094
2.38719e-08,0.5094
2.38952e-08,0.5141
2.39185e-08,0.5437
2.39417e-08,0.6623
2.39650e-08,0.8666
2.39883e-08,1.0135
2.40115e-08,1.1250
2.40348e-08,1.1881
2.40581e-08,1.2098
2.40813e-08,1.2076
2.41046e-08,1.1988
2.41279e-08,1.1913
2.41511e-08,1.1864
2.41744e-08,1.1846
2.41977e-08,1.1876
2.42209e-08,1.1953
2.42442e-08,1.2030
2.42675e-08,1.2068
2.42907e-08,1.2049
2.43140e-08,1.1782
2.43373e-08,1.1221
2.43605e-08,0.9809
2.43838e-08,0.8209
2.44071e-08,0.7053
2.44303e-08,0.6282
2.44536e-08,0.5824
2.44769e-08,0.5652
2.45002e-08,0.5653
2.45234e-08,0.5655
2.45467e-08,0.5640
2.45700e-08,0.5594
2.45932e-08,0.5508
2.46165e-08,0.5380
2.46398e-08,0.5239
2.46630e-08,0.5135
2.46863e-08,0.5089
2.47096e-08,0.5100
2.47328e-08,0.5173
2.47561e-08,0.5586
2.47794e-08,0.7047
2.48026e-08,0.8978
2.48259e-08,1.0432
2.48492e-08,1.1388
2.48724e-08,1.1950
