.HEADER
..NAMES
Time,V U1.L1&L2
.DATA
1.24944e-08,0.6868
1.25176e-08,0.6681
1.25409e-08,0.6215
1.25642e-08,0.5555
1.25874e-08,0.4831
1.26107e-08,0.4182
1.26340e-08,0.3754
1.26572e-08,0.3375
1.26805e-08,0.2732
1.27038e-08,0.0424
1.27270e-08,-0.2121
1.27503e-08,-0.3743
1.27736e-08,-0.4875
1.27968e-08,-0.5696
1.28201e-08,-0.6104
1.28434e-08,-0.6315
1.28667e-08,-0.6566
1.28899e-08,-0.6798
1.29132e-08,-0.6866
1.29365e-08,-0.6647
1.29597e-08,-0.6152
1.29830e-08,-0.5476
1.30063e-08,-0.4752
1.30295e-08,-0.4110
1.30528e-08,-0.3688
1.30761e-08,-0.3311
1.30993e-08,-0.2592
1.31226e-08,-0.0138
1.31459e-08,0.2326
1.31691e-08,0.3864
1.31924e-08,0.4986
1.32157e-08,0.5736
1.32389e-08,0.6124
1.32622e-08,0.6353
1.32855e-08,0.6601
1.33087e-08,0.6815
1.33320e-08,0.6856
1.33553e-08,0.6609
1.33785e-08,0.6095
1.34018e-08,0.5410
1.34251e-08,0.4690
1.34483e-08,0.4073
1.34716e-08,0.3680
1.34949e-08,0.3310
1.35181e-08,0.2403
1.35414e-08,-0.0135
1.35647e-08,-0.2529
1.35879e-08,-0.4023
1.36112e-08,-0.5084
1.36345e-08,-0.5789
1.36577e-08,-0.6144
1.36810e-08,-0.6369
1.37043e-08,-0.6619
1.37275e-08,-0.6831
1.37508e-08,-0.6849
1.37741e-08,-0.6569
1.37973e-08,-0.6028
1.38206e-08,-0.5330
1.38439e-08,-0.4611
1.38671e-08,-0.4003
1.38904e-08,-0.3608
1.39137e-08,-0.3251
1.39369e-08,-0.2204
1.39602e-08,0.0412
1.39835e-08,0.2693
1.40067e-08,0.4163
1.40300e-08,0.5172
1.40533e-08,0.5825
1.40765e-08,0.6178
1.40998e-08,0.6401
1.41231e-08,0.6649
1.41463e-08,0.6843
1.41696e-08,0.6831
1.41929e-08,0.6525
1.42161e-08,0.5967
1.42394e-08,0.5262
1.42627e-08,0.4552
1.42859e-08,0.3973
1.43092e-08,0.3597
1.43325e-08,0.3235
1.43557e-08,0.1990
1.43790e-08,-0.0677
1.44023e-08,-0.2867
1.44255e-08,-0.4286
1.44488e-08,-0.5248
1.44721e-08,-0.5894
1.44953e-08,-0.6195
1.45186e-08,-0.6412
1.45419e-08,-0.6668
1.45651e-08,-0.6856
1.45884e-08,-0.6818
1.46117e-08,-0.6479
1.46349e-08,-0.5896
1.46582e-08,-0.5182
1.46815e-08,-0.4474
1.47047e-08,-0.3907
1.47280e-08,-0.3525
1.47513e-08,-0.3157
1.47745e-08,-0.1779
1.47978e-08,0.0918
1.48211e-08,0.3015
1.48443e-08,0.4385
1.48676e-08,0.5341
1.48909e-08,0.5931
1.49141e-08,0.6218
1.49374e-08,0.6447
1.49607e-08,0.6697
1.49839e-08,0.6862
1.50072e-08,0.6794
1.50305e-08,0.6430
1.50537e-08,0.5833
1.50770e-08,0.5115
1.51003e-08,0.4418
1.51236e-08,0.3884
1.51468e-08,0.3520
1.51701e-08,0.3118
1.51934e-08,0.1604
1.52166e-08,-0.1224
1.52399e-08,-0.3154
1.52632e-08,-0.4491
1.52864e-08,-0.5426
1.53097e-08,-0.5977
1.53330e-08,-0.6229
1.53562e-08,-0.6466
1.53795e-08,-0.6718
1.54028e-08,-0.6871
1.54260e-08,-0.6774
1.54493e-08,-0.6379
1.54726e-08,-0.5760
1.54958e-08,-0.5035
1.55191e-08,-0.4343
1.55424e-08,-0.3822
1.55656e-08,-0.3452
1.55889e-08,-0.3044
1.56122e-08,-0.1333
1.56354e-08,0.1443
1.56587e-08,0.3297
1.56820e-08,0.4631
1.57052e-08,0.5494
1.57285e-08,0.6005
1.57518e-08,0.6267
1.57750e-08,0.6501
1.57983e-08,0.6741
1.58216e-08,0.6871
