.HEADER
..NAMES
Time,V U1.N3
.DATA
1.28434e-08,-0.0004
1.28667e-08,0.0058
1.28899e-08,0.0099
1.29132e-08,0.0106
1.29365e-08,0.0081
1.29597e-08,0.0035
1.29830e-08,-0.0012
1.30063e-08,-0.0043
1.30295e-08,-0.0048
1.30528e-08,-0.0027
1.30761e-08,0.0014
1.30993e-08,0.0063
1.31226e-08,0.0107
1.31459e-08,0.0135
1.31691e-08,0.0142
1.31924e-08,0.0127
1.32157e-08,0.0100
1.32389e-08,0.0072
1.32622e-08,0.0049
1.32855e-08,0.0035
1.33087e-08,0.0027
1.33320e-08,0.0019
1.33553e-08,0.0006
1.33785e-08,-0.0011
1.34018e-08,-0.0027
1.34251e-08,-0.0036
1.34483e-08,-0.0032
1.34716e-08,-0.0015
1.34949e-08,0.0071
1.35181e-08,0.0411
1.35414e-08,0.1435
1.35647e-08,0.3058
1.35879e-08,0.4307
1.36112e-08,0.5150
1.36345e-08,0.5762
1.36577e-08,0.6076
1.36810e-08,0.6227
1.37043e-08,0.6310
1.37275e-08,0.6377
1.37508e-08,0.6453
1.37741e-08,0.6529
1.37973e-08,0.6589
1.38206e-08,0.6608
1.38439e-08,0.6592
1.38671e-08,0.6553
1.38904e-08,0.6510
1.39137e-08,0.6487
1.39369e-08,0.6493
1.39602e-08,0.6539
1.39835e-08,0.6629
1.40067e-08,0.6759
1.40300e-08,0.6939
1.40533e-08,0.7211
1.40765e-08,0.7625
1.40998e-08,0.8186
1.41231e-08,0.8865
1.41463e-08,0.9608
1.41696e-08,1.0339
1.41929e-08,1.0989
1.42161e-08,1.1511
1.42394e-08,1.1879
1.42627e-08,1.2093
1.42859e-08,1.2181
1.43092e-08,1.2195
1.43325e-08,1.2191
1.43557e-08,1.2205
1.43790e-08,1.2253
1.44023e-08,1.2334
1.44255e-08,1.2423
1.44488e-08,1.2491
1.44721e-08,1.2514
1.44953e-08,1.2489
1.45186e-08,1.2430
1.45419e-08,1.2354
1.45651e-08,1.2261
1.45884e-08,1.2149
1.46117e-08,1.2012
1.46349e-08,1.1853
1.46582e-08,1.1684
1.46815e-08,1.1523
1.47047e-08,1.1390
1.47280e-08,1.1303
1.47513e-08,1.1280
1.47745e-08,1.1329
1.47978e-08,1.1445
1.48211e-08,1.1601
1.48443e-08,1.1762
1.48676e-08,1.1894
1.48909e-08,1.1971
1.49141e-08,1.1986
1.49374e-08,1.1952
1.49607e-08,1.1897
1.49839e-08,1.1853
1.50072e-08,1.1841
1.50305e-08,1.1866
1.50537e-08,1.1920
1.50770e-08,1.1991
1.51003e-08,1.2067
1.51236e-08,1.2137
1.51468e-08,1.2050
1.51701e-08,1.1621
1.51934e-08,1.0505
1.52166e-08,0.8808
1.52399e-08,0.7532
1.52632e-08,0.6674
1.52864e-08,0.6120
1.53097e-08,0.5742
1.53330e-08,0.5504
1.53562e-08,0.5316
1.53795e-08,0.5177
1.54028e-08,0.5072
1.54260e-08,0.5010
1.54493e-08,0.5004
1.54726e-08,0.5056
1.54958e-08,0.5143
1.55191e-08,0.5222
1.55424e-08,0.5273
1.55656e-08,0.5270
1.55889e-08,0.5215
1.56122e-08,0.5104
1.56354e-08,0.4950
1.56587e-08,0.4774
1.56820e-08,0.4562
1.57052e-08,0.4269
1.57285e-08,0.3843
1.57518e-08,0.3290
1.57750e-08,0.2639
1.57983e-08,0.1945
1.58216e-08,0.1280
1.58448e-08,0.0703
1.58681e-08,0.0252
