.HEADER
..NAMES
Time,V U1.V1&V2
.DATA
1.25874e-08,0.6930
1.26107e-08,0.6987
1.26340e-08,0.6913
1.26572e-08,0.6445
1.26805e-08,0.5325
1.27038e-08,0.2054
1.27270e-08,-0.1445
1.27503e-08,-0.3761
1.27736e-08,-0.5431
1.27968e-08,-0.6336
1.28201e-08,-0.6617
1.28434e-08,-0.6554
1.28667e-08,-0.6446
1.28899e-08,-0.6388
1.29132e-08,-0.6394
1.29365e-08,-0.6462
1.29597e-08,-0.6601
1.29830e-08,-0.6777
1.30063e-08,-0.6926
1.30295e-08,-0.6977
1.30528e-08,-0.6895
1.30761e-08,-0.6368
1.30993e-08,-0.5125
1.31226e-08,-0.1669
1.31459e-08,0.1707
1.31691e-08,0.3950
1.31924e-08,0.5571
1.32157e-08,0.6417
1.32389e-08,0.6625
1.32622e-08,0.6517
1.32855e-08,0.6421
1.33087e-08,0.6385
1.33320e-08,0.6388
1.33553e-08,0.6440
1.33785e-08,0.6589
1.34018e-08,0.6794
1.34251e-08,0.6951
1.34483e-08,0.6980
1.34716e-08,0.6858
1.34949e-08,0.6302
1.35181e-08,0.4869
1.35414e-08,0.1319
1.35647e-08,-0.1948
1.35879e-08,-0.4197
1.36112e-08,-0.5649
1.36345e-08,-0.6425
1.36577e-08,-0.6625
1.36810e-08,-0.6531
1.37043e-08,-0.6432
1.37275e-08,-0.6384
1.37508e-08,-0.6403
1.37741e-08,-0.6484
1.37973e-08,-0.6635
1.38206e-08,-0.6811
1.38439e-08,-0.6946
1.38671e-08,-0.6971
1.38904e-08,-0.6828
1.39137e-08,-0.6216
1.39369e-08,-0.4598
1.39602e-08,-0.0920
1.39835e-08,0.2199
1.40067e-08,0.4365
1.40300e-08,0.5772
1.40533e-08,0.6497
1.40765e-08,0.6619
1.40998e-08,0.6493
1.41231e-08,0.6409
1.41463e-08,0.6381
1.41696e-08,0.6394
1.41929e-08,0.6462
1.42161e-08,0.6628
1.42394e-08,0.6832
1.42627e-08,0.6968
1.42859e-08,0.6969
1.43092e-08,0.6792
1.43325e-08,0.6137
1.43557e-08,0.4312
1.43790e-08,0.0584
1.44023e-08,-0.2454
1.44255e-08,-0.4514
1.44488e-08,-0.5839
1.44721e-08,-0.6508
1.44953e-08,-0.6615
1.45186e-08,-0.6507
1.45419e-08,-0.6416
1.45651e-08,-0.6382
1.45884e-08,-0.6414
1.46117e-08,-0.6509
1.46349e-08,-0.6670
1.46582e-08,-0.6844
1.46815e-08,-0.6961
1.47047e-08,-0.6960
1.47280e-08,-0.6749
1.47513e-08,-0.6024
1.47745e-08,-0.3999
1.47978e-08,-0.0239
1.48211e-08,0.2671
1.48443e-08,0.4681
1.48676e-08,0.6005
1.48909e-08,0.6570
1.49141e-08,0.6593
1.49374e-08,0.6471
1.49607e-08,0.6398
1.49839e-08,0.6379
1.50072e-08,0.6400
1.50305e-08,0.6488
1.50537e-08,0.6670
1.50770e-08,0.6867
1.51003e-08,0.6979
1.51236e-08,0.6954
1.51468e-08,0.6698
1.51701e-08,0.5928
1.51934e-08,0.3663
1.52166e-08,-0.0174
1.52399e-08,-0.2894
1.52632e-08,-0.4845
1.52864e-08,-0.6052
1.53097e-08,-0.6563
1.53330e-08,-0.6596
1.53562e-08,-0.6486
1.53795e-08,-0.6404
1.54028e-08,-0.6383
1.54260e-08,-0.6426
1.54493e-08,-0.6538
1.54726e-08,-0.6706
1.54958e-08,-0.6874
1.55191e-08,-0.6971
1.55424e-08,-0.6945
1.55656e-08,-0.6642
1.55889e-08,-0.5816
1.56122e-08,-0.3274
1.56354e-08,0.0521
1.56587e-08,0.3116
1.56820e-08,0.5034
1.57052e-08,0.6153
1.57285e-08,0.6609
1.57518e-08,0.6569
1.57750e-08,0.6453
1.57983e-08,0.6390
1.58216e-08,0.6379
1.58448e-08,0.6409
1.58681e-08,0.6518
1.58914e-08,0.6710
1.59146e-08,0.6899
1.59379e-08,0.6985
1.59612e-08,0.6935
1.59844e-08,0.6582
1.60077e-08,0.5667
1.60310e-08,0.2860
1.60542e-08,-0.0800
1.60775e-08,-0.3359
1.61008e-08,-0.5145
1.61240e-08,-0.6185
1.61473e-08,-0.6606
1.61706e-08,-0.6579
1.61938e-08,-0.6468
1.62171e-08,-0.6395
1.62404e-08,-0.6386
1.62636e-08,-0.6441
1.62869e-08,-0.6568
1.63102e-08,-0.6741
