.HEADER
..NAMES
Time,V U1.V6
.DATA
2.10799e-08,0.4875
2.11032e-08,0.4852
2.11264e-08,0.4856
2.11497e-08,0.4913
2.11730e-08,0.5021
2.11962e-08,0.5164
2.12195e-08,0.5307
2.12428e-08,0.5421
2.12660e-08,0.5496
2.12893e-08,0.5487
2.13126e-08,0.5321
2.13358e-08,0.4964
2.13591e-08,0.4409
2.13824e-08,0.3696
2.14056e-08,0.2910
2.14289e-08,0.2136
2.14522e-08,0.1452
2.14754e-08,0.0904
2.14987e-08,0.0496
2.15220e-08,0.0205
2.15452e-08,-0.0004
2.15685e-08,-0.0155
2.15918e-08,-0.0261
2.16150e-08,-0.0298
2.16383e-08,-0.0109
2.16616e-08,0.0603
2.16848e-08,0.1987
2.17081e-08,0.3005
2.17314e-08,0.3812
2.17546e-08,0.4395
2.17779e-08,0.4704
2.18012e-08,0.4916
2.18244e-08,0.5081
2.18477e-08,0.5289
2.18710e-08,0.5574
2.18942e-08,0.5932
2.19175e-08,0.6331
2.19408e-08,0.6706
2.19640e-08,0.7008
2.19873e-08,0.7191
2.20106e-08,0.7253
2.20338e-08,0.7223
2.20571e-08,0.7138
2.20804e-08,0.7032
2.21037e-08,0.6923
2.21269e-08,0.6841
2.21502e-08,0.6855
2.21735e-08,0.7011
2.21967e-08,0.7337
2.22200e-08,0.7843
2.22433e-08,0.8478
2.22665e-08,0.9173
2.22898e-08,0.9856
2.23131e-08,1.0455
2.23363e-08,1.0937
2.23596e-08,1.1284
2.23829e-08,1.1505
2.24061e-08,1.1623
2.24294e-08,1.1624
2.24527e-08,1.1238
2.24759e-08,1.0431
2.24992e-08,0.8804
2.25225e-08,0.7466
2.25457e-08,0.6678
2.25690e-08,0.6265
2.25923e-08,0.6065
2.26155e-08,0.5998
2.26388e-08,0.5979
2.26621e-08,0.5943
2.26853e-08,0.5856
2.27086e-08,0.5693
2.27319e-08,0.5465
2.27551e-08,0.5194
2.27784e-08,0.4921
2.28017e-08,0.4691
2.28249e-08,0.4547
2.28482e-08,0.4495
2.28715e-08,0.4657
2.28947e-08,0.5580
2.29180e-08,0.7624
2.29413e-08,0.9556
2.29645e-08,1.0699
2.29878e-08,1.1287
2.30111e-08,1.1285
2.30343e-08,1.0861
2.30576e-08,1.0140
2.30809e-08,0.9319
2.31041e-08,0.8517
2.31274e-08,0.7830
2.31507e-08,0.7296
2.31739e-08,0.6909
2.31972e-08,0.6644
2.32205e-08,0.6476
2.32437e-08,0.6367
2.32670e-08,0.6187
2.32903e-08,0.5851
2.33135e-08,0.4744
2.33368e-08,0.3157
2.33601e-08,0.1686
2.33833e-08,0.0602
2.34066e-08,-0.0052
2.34299e-08,-0.0170
2.34531e-08,0.0137
2.34764e-08,0.0751
2.34997e-08,0.1548
2.35229e-08,0.2437
2.35462e-08,0.3315
2.35695e-08,0.4123
2.35927e-08,0.4812
2.36160e-08,0.5354
2.36393e-08,0.5743
2.36625e-08,0.5986
2.36858e-08,0.6106
2.37091e-08,0.6367
2.37323e-08,0.7589
2.37556e-08,0.9692
2.37789e-08,1.1155
2.38021e-08,1.2041
2.38254e-08,1.2306
2.38487e-08,1.2185
2.38719e-08,1.1734
2.38952e-08,1.1082
2.39185e-08,1.0318
2.39417e-08,0.9506
2.39650e-08,0.8707
2.39883e-08,0.7946
2.40115e-08,0.7251
2.40348e-08,0.6639
2.40581e-08,0.6120
2.40813e-08,0.5685
2.41046e-08,0.5340
2.41279e-08,0.5094
2.41511e-08,0.4945
2.41744e-08,0.4864
2.41977e-08,0.4852
2.42209e-08,0.4986
2.42442e-08,0.5299
2.42675e-08,0.5830
2.42907e-08,0.6585
2.43140e-08,0.7495
2.43373e-08,0.8481
2.43605e-08,0.9455
2.43838e-08,1.0343
2.44071e-08,1.1107
2.44303e-08,1.1731
2.44536e-08,1.2230
2.44769e-08,1.2618
2.45002e-08,1.2901
2.45234e-08,1.3094
2.45467e-08,1.3217
2.45700e-08,1.3289
2.45932e-08,1.3313
2.46165e-08,1.3286
2.46398e-08,1.3215
2.46630e-08,1.3120
2.46863e-08,1.3016
