.HEADER
..NAMES
Time,V U1.P4
.DATA
1.31459e-08,0.0318
1.31691e-08,0.0291
1.31924e-08,0.0286
1.32157e-08,0.0287
1.32389e-08,0.0290
1.32622e-08,0.0289
1.32855e-08,0.0281
1.33087e-08,0.0256
1.33320e-08,0.0213
1.33553e-08,0.0156
1.33785e-08,0.0092
1.34018e-08,0.0028
1.34251e-08,-0.0033
1.34483e-08,-0.0090
1.34716e-08,-0.0145
1.34949e-08,-0.0196
1.35181e-08,-0.0237
1.35414e-08,-0.0255
1.35647e-08,-0.0236
1.35879e-08,-0.0177
1.36112e-08,-0.0093
1.36345e-08,-0.0011
1.36577e-08,0.0043
1.36810e-08,0.0060
1.37043e-08,0.0045
1.37275e-08,0.0014
1.37508e-08,-0.0015
1.37741e-08,-0.0033
1.37973e-08,-0.0034
1.38206e-08,-0.0020
1.38439e-08,0.0005
1.38671e-08,0.0035
1.38904e-08,0.0067
1.39137e-08,0.0096
1.39369e-08,0.0117
1.39602e-08,0.0128
1.39835e-08,0.0129
1.40067e-08,0.0124
1.40300e-08,0.0117
1.40533e-08,0.0109
1.40765e-08,0.0096
1.40998e-08,0.0072
1.41231e-08,0.0038
1.41463e-08,-0.0001
1.41696e-08,-0.0030
1.41929e-08,-0.0039
1.42161e-08,-0.0026
1.42394e-08,0.0002
1.42627e-08,0.0035
1.42859e-08,0.0058
1.43092e-08,0.0064
1.43325e-08,0.0054
1.43557e-08,0.0033
1.43790e-08,0.0010
1.44023e-08,-0.0009
1.44255e-08,-0.0022
1.44488e-08,-0.0028
1.44721e-08,-0.0026
1.44953e-08,-0.0017
1.45186e-08,-0.0003
1.45419e-08,0.0011
1.45651e-08,0.0022
1.45884e-08,0.0029
1.46117e-08,0.0033
1.46349e-08,0.0038
1.46582e-08,0.0046
1.46815e-08,0.0054
1.47047e-08,0.0058
1.47280e-08,0.0054
1.47513e-08,0.0040
1.47745e-08,0.0021
1.47978e-08,0.0004
1.48211e-08,-0.0005
1.48443e-08,-0.0000
1.48676e-08,0.0014
1.48909e-08,0.0032
1.49141e-08,0.0047
1.49374e-08,0.0055
1.49607e-08,0.0055
1.49839e-08,0.0049
1.50072e-08,0.0039
1.50305e-08,0.0027
1.50537e-08,0.0016
1.50770e-08,0.0009
1.51003e-08,0.0006
1.51236e-08,0.0008
1.51468e-08,0.0012
1.51701e-08,0.0154
1.51934e-08,0.0615
1.52166e-08,0.1993
1.52399e-08,0.3428
1.52632e-08,0.4557
1.52864e-08,0.5272
1.53097e-08,0.5801
1.53330e-08,0.6098
1.53562e-08,0.6268
1.53795e-08,0.6374
1.54028e-08,0.6452
