.HEADER
..NAMES
Time,V U1.M1
.DATA
1.41696e-08,1.1937
1.41929e-08,1.1998
1.42161e-08,1.2028
1.42394e-08,1.2027
1.42627e-08,1.1997
1.42859e-08,1.1949
1.43092e-08,1.1898
1.43325e-08,1.1859
1.43557e-08,1.1844
1.43790e-08,1.1859
1.44023e-08,1.1906
1.44255e-08,1.1975
1.44488e-08,1.2053
1.44721e-08,1.2129
1.44953e-08,1.2191
1.45186e-08,1.2232
1.45419e-08,1.2247
1.45651e-08,1.2236
1.45884e-08,1.2203
1.46117e-08,1.2154
1.46349e-08,1.2095
1.46582e-08,1.2034
1.46815e-08,1.1979
1.47047e-08,1.1935
1.47280e-08,1.1906
1.47513e-08,1.1895
1.47745e-08,1.1902
1.47978e-08,1.1924
1.48211e-08,1.1957
1.48443e-08,1.1995
1.48676e-08,1.2032
1.48909e-08,1.2060
1.49141e-08,1.2070
1.49374e-08,1.2062
1.49607e-08,1.2038
1.49839e-08,1.2002
1.50072e-08,1.1963
1.50305e-08,1.1929
1.50537e-08,1.1906
1.50770e-08,1.1898
1.51003e-08,1.1904
1.51236e-08,1.1922
1.51468e-08,1.1948
1.51701e-08,1.1978
1.51934e-08,1.2007
1.52166e-08,1.2034
1.52399e-08,1.2056
1.52632e-08,1.2070
1.52864e-08,1.2074
1.53097e-08,1.2070
1.53330e-08,1.2056
1.53562e-08,1.2036
1.53795e-08,1.2013
1.54028e-08,1.1990
1.54260e-08,1.1971
1.54493e-08,1.1959
1.54726e-08,1.1957
1.54958e-08,1.1965
1.55191e-08,1.1982
1.55424e-08,1.2004
1.55656e-08,1.2025
1.55889e-08,1.2042
1.56122e-08,1.2051
1.56354e-08,1.2051
1.56587e-08,1.2042
1.56820e-08,1.2028
1.57052e-08,1.2012
1.57285e-08,1.1996
1.57518e-08,1.1983
1.57750e-08,1.1973
1.57983e-08,1.1968
1.58216e-08,1.1966
1.58448e-08,1.1968
1.58681e-08,1.1974
1.58914e-08,1.1984
1.59146e-08,1.1996
1.59379e-08,1.2009
1.59612e-08,1.2021
1.59844e-08,1.1806
1.60077e-08,1.1282
1.60310e-08,0.9867
1.60542e-08,0.8207
1.60775e-08,0.7018
1.61008e-08,0.6170
1.61240e-08,0.5652
1.61473e-08,0.5389
1.61706e-08,0.5284
1.61938e-08,0.5232
1.62171e-08,0.5229
1.62404e-08,0.5243
1.62636e-08,0.5216
1.62869e-08,0.5166
1.63102e-08,0.5131
1.63334e-08,0.5093
1.63567e-08,0.5043
1.63800e-08,0.5003
1.64032e-08,0.5009
1.64265e-08,0.5047
1.64498e-08,0.5086
1.64730e-08,0.5125
1.64963e-08,0.5146
1.65196e-08,0.5104
1.65428e-08,0.4964
1.65661e-08,0.4705
1.65894e-08,0.4308
1.66126e-08,0.3771
1.66359e-08,0.3126
1.66592e-08,0.2430
1.66824e-08,0.1742
1.67057e-08,0.1115
1.67290e-08,0.0587
1.67522e-08,0.0177
1.67755e-08,-0.0116
1.67988e-08,-0.0316
1.68220e-08,-0.0419
1.68453e-08,-0.0286
1.68686e-08,0.0392
1.68918e-08,0.1762
1.69151e-08,0.3169
1.69384e-08,0.4099
1.69616e-08,0.4853
1.69849e-08,0.5280
1.70082e-08,0.5425
1.70314e-08,0.5470
1.70547e-08,0.5462
1.70780e-08,0.5443
1.71012e-08,0.5467
1.71245e-08,0.5589
1.71478e-08,0.5783
1.71710e-08,0.6030
1.71943e-08,0.6325
1.72176e-08,0.6641
1.72408e-08,0.6913
1.72641e-08,0.7094
1.72874e-08,0.7188
1.73106e-08,0.7203
1.73339e-08,0.7159
1.73572e-08,0.7101
1.73804e-08,0.7086
1.74037e-08,0.7164
1.74270e-08,0.7367
1.74502e-08,0.7717
1.74735e-08,0.8213
1.74968e-08,0.8818
1.75201e-08,0.9475
1.75433e-08,1.0131
1.75666e-08,1.0738
1.75899e-08,1.1257
1.76131e-08,1.1661
1.76364e-08,1.1915
1.76597e-08,1.1728
1.76829e-08,1.1070
1.77062e-08,0.9414
1.77295e-08,0.7898
1.77527e-08,0.6802
1.77760e-08,0.6019
1.77993e-08,0.5583
1.78225e-08,0.5404
1.78458e-08,0.5364
1.78691e-08,0.5416
1.78923e-08,0.5534
1.79156e-08,0.5639
1.79389e-08,0.5675
1.79621e-08,0.5656
1.79854e-08,0.5579
1.80087e-08,0.5423
1.80319e-08,0.5206
1.80552e-08,0.4986
1.80785e-08,0.4809
1.81017e-08,0.4670
1.81250e-08,0.4577
1.81483e-08,0.4538
1.81715e-08,0.4521
1.81948e-08,0.4478
1.82181e-08,0.4368
1.82413e-08,0.4155
1.82646e-08,0.3809
1.82879e-08,0.3329
1.83111e-08,0.2752
1.83344e-08,0.2126
1.83577e-08,0.1503
1.83809e-08,0.0927
1.84042e-08,0.0431
1.84275e-08,0.0030
1.84507e-08,-0.0277
1.84740e-08,-0.0498
1.84973e-08,-0.0557
1.85205e-08,-0.0309
1.85438e-08,0.0727
1.85671e-08,0.2218
1.85903e-08,0.3545
1.86136e-08,0.4510
1.86369e-08,0.5213
1.86601e-08,0.5607
1.86834e-08,0.5753
1.87067e-08,0.5779
1.87299e-08,0.5739
1.87532e-08,0.5672
1.87765e-08,0.5668
1.87997e-08,0.5749
1.88230e-08,0.5893
1.88463e-08,0.6102
1.88695e-08,0.6368
1.88928e-08,0.6648
1.89161e-08,0.6880
1.89393e-08,0.7038
1.89626e-08,0.7128
1.89859e-08,0.7154
1.90091e-08,0.7142
1.90324e-08,0.7132
1.90557e-08,0.7174
1.90789e-08,0.7303
1.91022e-08,0.7543
1.91255e-08,0.7914
1.91487e-08,0.8411
1.91720e-08,0.8996
1.91953e-08,0.9626
1.92185e-08,1.0254
1.92418e-08,1.0839
1.92651e-08,1.1341
1.92883e-08,1.1735
1.93116e-08,1.2019
1.93349e-08,1.2199
1.93581e-08,1.2289
1.93814e-08,1.2302
1.94047e-08,1.2263
1.94279e-08,1.2198
1.94512e-08,1.2134
1.94745e-08,1.2091
1.94977e-08,1.2087
1.95210e-08,1.2129
1.95443e-08,1.2207
1.95675e-08,1.2299
1.95908e-08,1.2385
1.96141e-08,1.2442
1.96373e-08,1.2449
1.96606e-08,1.2395
1.96839e-08,1.2287
1.97071e-08,1.2137
1.97304e-08,1.1961
1.97537e-08,1.1780
1.97769e-08,1.1619
1.98002e-08,1.1495
1.98235e-08,1.1418
1.98468e-08,1.1392
1.98700e-08,1.1417
1.98933e-08,1.1483
1.99166e-08,1.1576
1.99398e-08,1.1681
1.99631e-08,1.1790
1.99864e-08,1.1890
2.00096e-08,1.1967
2.00329e-08,1.2015
2.00562e-08,1.2032
2.00794e-08,1.2019
2.01027e-08,1.1979
2.01260e-08,1.1927
2.01492e-08,1.1661
2.01725e-08,1.1112
2.01958e-08,0.9696
2.02190e-08,0.8075
2.02423e-08,0.6948
2.02656e-08,0.6180
2.02888e-08,0.5750
2.03121e-08,0.5575
2.03354e-08,0.5531
2.03586e-08,0.5509
2.03819e-08,0.5503
2.04052e-08,0.5486
2.04284e-08,0.5406
2.04517e-08,0.5291
2.04750e-08,0.5188
2.04982e-08,0.5086
2.05215e-08,0.4983
2.05448e-08,0.4905
2.05680e-08,0.4892
2.05913e-08,0.4930
2.06146e-08,0.4987
2.06378e-08,0.5060
2.06611e-08,0.5124
2.06844e-08,0.5128
2.07076e-08,0.5026
2.07309e-08,0.4789
2.07542e-08,0.4393
2.07774e-08,0.3835
2.08007e-08,0.3151
2.08240e-08,0.2410
2.08472e-08,0.1679
2.08705e-08,0.1022
2.08938e-08,0.0479
2.09170e-08,0.0073
2.09403e-08,-0.0203
2.09636e-08,-0.0373
2.09868e-08,-0.0445
2.10101e-08,-0.0284
2.10334e-08,0.0453
2.10566e-08,0.1830
2.10799e-08,0.3273
2.11032e-08,0.4212
2.11264e-08,0.4961
2.11497e-08,0.5372
2.11730e-08,0.5492
2.11962e-08,0.5505
2.12195e-08,0.5464
2.12428e-08,0.5414
2.12660e-08,0.5416
2.12893e-08,0.5527
2.13126e-08,0.5722
2.13358e-08,0.5985
2.13591e-08,0.6308
2.13824e-08,0.6653
2.14056e-08,0.6951
2.14289e-08,0.7150
2.14522e-08,0.7250
2.14754e-08,0.7259
2.14987e-08,0.7199
2.15220e-08,0.7122
2.15452e-08,0.7086
2.15685e-08,0.7148
2.15918e-08,0.7341
2.16150e-08,0.7687
2.16383e-08,0.8184
2.16616e-08,0.8794
2.16848e-08,0.9460
2.17081e-08,1.0128
2.17314e-08,1.0748
2.17546e-08,1.1279
2.17779e-08,1.1694
2.18012e-08,1.1956
2.18244e-08,1.1776
2.18477e-08,1.1135
2.18710e-08,0.9463
2.18942e-08,0.7933
2.19175e-08,0.6809
2.19408e-08,0.6006
2.19640e-08,0.5549
2.19873e-08,0.5367
2.20106e-08,0.5329
2.20338e-08,0.5390
2.20571e-08,0.5521
2.20804e-08,0.5641
2.21037e-08,0.5689
2.21269e-08,0.5677
2.21502e-08,0.5602
2.21735e-08,0.5444
2.21967e-08,0.5223
2.22200e-08,0.4997
2.22433e-08,0.4813
2.22665e-08,0.4668
2.22898e-08,0.4570
2.23131e-08,0.4526
2.23363e-08,0.4505
2.23596e-08,0.4460
2.23829e-08,0.4353
2.24061e-08,0.4145
2.24294e-08,0.3807
2.24527e-08,0.3337
2.24759e-08,0.2769
2.24992e-08,0.2150
2.25225e-08,0.1530
2.25457e-08,0.0952
2.25690e-08,0.0450
2.25923e-08,0.0040
2.26155e-08,-0.0276
2.26388e-08,-0.0504
2.26621e-08,-0.0653
2.26853e-08,-0.0728
2.27086e-08,-0.0732
2.27319e-08,-0.0681
2.27551e-08,-0.0599
2.27784e-08,-0.0513
2.28017e-08,-0.0450
2.28249e-08,-0.0425
2.28482e-08,-0.0444
2.28715e-08,-0.0492
2.28947e-08,-0.0551
2.29180e-08,-0.0601
2.29413e-08,-0.0617
2.29645e-08,-0.0579
2.29878e-08,-0.0481
2.30111e-08,-0.0332
2.30343e-08,-0.0150
2.30576e-08,0.0047
2.30809e-08,0.0233
2.31041e-08,0.0383
2.31274e-08,0.0487
2.31507e-08,0.0542
2.31739e-08,0.0553
2.31972e-08,0.0529
2.32205e-08,0.0483
2.32437e-08,0.0422
2.32670e-08,0.0347
2.32903e-08,0.0261
2.33135e-08,0.0174
2.33368e-08,0.0099
2.33601e-08,0.0046
2.33833e-08,0.0023
2.34066e-08,0.0034
2.34299e-08,0.0072
2.34531e-08,0.0121
2.34764e-08,0.0163
2.34997e-08,0.0321
2.35229e-08,0.0827
2.35462e-08,0.2195
2.35695e-08,0.3616
2.35927e-08,0.4701
2.36160e-08,0.5442
2.36393e-08,0.5896
2.36625e-08,0.6059
2.36858e-08,0.6124
2.37091e-08,0.6160
2.37323e-08,0.6175
2.37556e-08,0.6203
2.37789e-08,0.6284
2.38021e-08,0.6385
2.38254e-08,0.6470
2.38487e-08,0.6561
2.38719e-08,0.6660
2.38952e-08,0.6730
2.39185e-08,0.6741
2.39417e-08,0.6707
2.39650e-08,0.6642
2.39883e-08,0.6558
2.40115e-08,0.6493
2.40348e-08,0.6493
2.40581e-08,0.6604
2.40813e-08,0.6858
2.41046e-08,0.7280
2.41279e-08,0.7866
2.41511e-08,0.8572
2.41744e-08,0.9324
2.41977e-08,1.0055
2.42209e-08,1.0707
2.42442e-08,1.1240
2.42675e-08,1.1637
2.42907e-08,1.1906
2.43140e-08,1.1864
2.43373e-08,1.1456
